Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,975.0
18/08/1992,1993,2,947.4450081623654
23/08/1992,1993,3,992.1112766209447
26/08/1992,1993,4,1026.4440976945789
29/08/1992,1993,5,1051.806249644448
02/09/1992,1993,6,1050.09886003031
05/09/1992,1993,7,978.789492531948
12/09/1992,1993,8,947.0648222325159
19/09/1992,1993,9,947.1615398128134
28/09/1992,1993,10,983.5070639266994
03/10/1992,1993,11,1014.636888116091
17/10/1992,1993,12,1046.0904279448996
24/10/1992,1993,13,1077.5578849797641
02/11/1992,1993,14,1109.2215758146315
07/11/1992,1993,15,1140.8050116682125
21/11/1992,1993,16,1048.8997559385564
28/11/1992,1993,17,1012.1357854448866
05/12/1992,1993,18,985.571267671525
12/12/1992,1993,19,954.8491493221684
19/12/1992,1993,20,959.7584496187421
26/12/1992,1993,21,977.4644315169191
28/12/1992,1993,22,946.346878017712
09/01/1993,1993,23,941.9556967137545
16/01/1993,1993,24,1005.9904647521456
06/05/1993,1993,25,910.7998865181364
31/01/1993,1993,26,955.4679756025727
03/03/1993,1993,27,918.9336765068573
10/02/1993,1993,28,925.1972586348212
04/05/1993,1993,29,940.734715594891
20/02/1993,1993,30,951.2474465856961
01/03/1993,1993,31,898.5062921460594
21/04/1993,1993,32,926.3149120984167
24/02/1993,1993,33,952.8698332009774
13/03/1993,1993,34,963.4865469516748
20/03/1993,1993,35,1036.9265981522487
24/03/1993,1993,36,1037.877864843167
11/05/1993,1993,37,919.2757612360298
10/04/1993,1993,38,953.9839852170662
12/04/1993,1993,39,922.2606966734168
06/04/1993,1993,40,922.7138794725377
01/05/1993,1993,41,932.4524948393126
08/05/1993,1993,42,968.2378790392148
14/08/1993,1994,1,887.2437686024848
16/08/1993,1994,2,940.9467359545466
21/08/1993,1994,3,968.9752893949188
24/08/1993,1994,4,994.5819951258729
28/08/1993,1994,5,1032.2683638656088
01/09/1993,1994,6,1044.804792486696
11/09/1993,1994,7,1069.9063468760914
19/09/1993,1994,8,1038.699193747165
25/09/1993,1994,9,1063.4692669759138
02/10/1993,1994,10,1042.7124517392451
16/10/1993,1994,11,1036.642351655787
23/10/1993,1994,12,1018.8933310195785
30/10/1993,1994,13,1027.5697350338112
06/11/1993,1994,14,997.204722171877
20/11/1993,1994,15,1027.4126965368407
24/11/1993,1994,16,1032.1970006868387
27/11/1993,1994,17,1069.1015328435499
04/12/1993,1994,18,990.0481843809397
06/12/1993,1994,19,982.7850923527924
12/12/1993,1994,20,1031.4853710481775
18/12/1993,1994,21,1001.8894577463135
27/12/1993,1994,22,1030.7677825417868
29/12/1993,1994,23,1062.1395912866383
01/01/1994,1994,24,1093.4088407896115
03/01/1994,1994,25,1083.2842835461438
15/01/1994,1994,26,1044.1943927448974
22/01/1994,1994,27,1014.0745597162286
27/04/1994,1994,28,1166.0298733149652
13/02/1994,1994,29,1015.5235375779099
19/02/1994,1994,30,1005.4735505972445
26/02/1994,1994,31,1130.8443002611764
05/03/1994,1994,32,1161.4314457746461
22/03/1994,1994,33,1179.59005798291
19/03/1994,1994,34,1193.021069445095
26/03/1994,1994,35,1211.0171882156785
02/04/1994,1994,36,1153.4339048752431
04/04/1994,1994,37,1130.7954852964424
19/04/1994,1994,38,1162.0083552964875
16/04/1994,1994,39,1161.362496706666
23/04/1994,1994,40,1191.2824855777108
30/04/1994,1994,41,1044.8020311871423
07/05/1994,1994,42,1017.4528306871368
20/08/1994,1995,1,1042.8378724597978
23/08/1994,1995,2,1012.0116199989138
28/08/1994,1995,3,965.5570849065845
31/08/1994,1995,4,976.5927384727403
10/09/1994,1995,5,975.7598399632546
18/09/1994,1995,6,949.1929283088573
25/09/1994,1995,7,982.5544004231301
01/10/1994,1995,8,926.555748652261
08/10/1994,1995,9,955.5178522154296
15/10/1994,1995,10,1016.7780786646654
23/10/1994,1995,11,1056.87074832444
29/10/1994,1995,12,1006.8563841867361
23/11/1994,1995,13,912.0437888235291
06/11/1994,1995,14,1005.6624388751862
19/11/1994,1995,15,968.282448657473
26/11/1994,1995,16,981.406998335931
03/12/1994,1995,17,981.9615165832009
12/12/1994,1995,18,1043.3388223961026
17/12/1994,1995,19,996.041638325259
26/12/1994,1995,20,982.5361375886989
28/12/1994,1995,21,1013.2807080294574
31/12/1994,1995,22,982.568446901379
02/01/1995,1995,23,951.3880464118496
14/01/1995,1995,24,954.8820526524347
21/01/1995,1995,25,981.7127951617106
24/01/1995,1995,26,982.3509770780114
04/02/1995,1995,27,951.2159051832871
11/02/1995,1995,28,941.8946688288637
22/03/1995,1995,29,866.2240314068899
21/02/1995,1995,30,983.7234927585305
25/02/1995,1995,31,1012.3256621566761
05/03/1995,1995,32,956.422074899154
08/03/1995,1995,33,927.0374610516747
12/04/1995,1995,34,857.946716448956
19/03/1995,1995,35,895.9626094242099
01/04/1995,1995,36,918.4983321129546
08/04/1995,1995,37,887.1837524194909
15/04/1995,1995,38,889.6624812050795
17/04/1995,1995,39,931.5770462108873
29/04/1995,1995,40,955.9134463830852
04/05/1995,1995,41,961.7813329218247
14/05/1995,1995,42,933.9198962112641
20/08/1995,1996,1,941.3816786385245
23/08/1995,1996,2,1001.355778732718
26/08/1995,1996,3,999.6085675826904
29/08/1995,1996,4,1024.21369324907
10/09/1995,1996,5,1055.9316639438457
16/09/1995,1996,6,1086.1795038644882
23/09/1995,1996,7,1115.205423160926
30/09/1995,1996,8,1070.1116618462413
14/10/1995,1996,9,1102.9845632761046
21/10/1995,1996,10,1128.8798784072499
30/10/1995,1996,11,999.4713733907979
04/11/1995,1996,12,1115.7187547548576
18/11/1995,1996,13,1087.2419167290025
21/11/1995,1996,14,1118.9648569781841
26/11/1995,1996,15,1114.1782506600948
02/12/1995,1996,16,1109.077733887911
09/12/1995,1996,17,1090.9199783922159
16/12/1995,1996,18,1095.6645456971241
23/12/1995,1996,19,1070.0803044299785
26/12/1995,1996,20,1100.0832586970396
30/12/1995,1996,21,1062.0633125149316
02/01/1996,1996,22,1032.5347387793709
13/01/1996,1996,23,1063.2675401167412
20/01/1996,1996,24,1034.385655672076
03/02/1996,1996,25,1024.2731666026232
10/02/1996,1996,26,1050.678738414963
05/03/1996,1996,27,1110.0971216105213
24/02/1996,1996,28,1115.5341639825062
02/03/1996,1996,29,1080.2970370398289
01/05/1996,1996,30,1071.9834748623143
16/03/1996,1996,31,1141.4394110115445
23/03/1996,1996,32,1145.7722542014155
20/03/1996,1996,33,1112.343717470675
06/04/1996,1996,34,1175.2334939460393
08/04/1996,1996,35,1058.5414588087249
15/04/1996,1996,36,1058.6177147825686
27/04/1996,1996,37,1068.2010779820785
05/05/1996,1996,38,1103.5565840829108
17/08/1996,1997,1,1134.3892282930503
19/08/1996,1997,2,1087.3512041668089
24/08/1996,1997,3,1118.890150641551
04/09/1996,1997,4,1108.881539525969
07/09/1996,1997,5,1108.5132349463086
16/09/1996,1997,6,1137.5797667229986
21/09/1996,1997,7,1169.0973615069372
28/09/1996,1997,8,1200.7006559833565
12/10/1996,1997,9,1227.3310160197339
19/10/1996,1997,10,1168.31473515112
26/10/1996,1997,11,1193.5853368248884
02/11/1996,1997,12,1190.457044516543
16/11/1996,1997,13,1129.4991546316874
24/11/1996,1997,14,1159.357902162353
30/11/1996,1997,15,1188.4376092304594
07/12/1996,1997,16,1197.4313396829218
04/12/1996,1997,17,1216.5708158357804
21/12/1996,1997,18,1038.262415872205
26/12/1996,1997,19,1041.3733144113307
28/12/1996,1997,20,1047.3919824355264
01/01/1997,1997,21,1079.0135887067377
11/01/1997,1997,22,1027.3570757803202
19/01/1997,1997,23,1058.9915648680524
29/01/1997,1997,24,1090.4376660265198
01/02/1997,1997,25,1080.4270674166232
15/02/1997,1997,26,1069.7982791394709
23/02/1997,1997,27,1011.9819292005698
01/03/1997,1997,28,1042.4858571925226
19/02/1997,1997,29,1041.116097344597
08/03/1997,1997,30,1073.5391474668438
15/03/1997,1997,31,1103.4545331181382
24/03/1997,1997,32,1078.3457204228637
05/04/1997,1997,33,1107.1072208966752
12/04/1997,1997,34,1138.5774659882866
19/04/1997,1997,35,1119.555484401222
21/04/1997,1997,36,1114.3574531068846
03/05/1997,1997,37,1088.4744440284937
11/05/1997,1997,38,1115.0362164841415
09/08/1997,1998,1,1098.164843124124
11/08/1997,1998,2,1125.14500974699
23/08/1997,1998,3,1155.8069727842071
27/08/1997,1998,4,1152.4447970153544
30/08/1997,1998,5,1127.3379532812153
13/09/1997,1998,6,1158.3781340369974
21/09/1997,1998,7,1186.4668733765661
24/09/1997,1998,8,1215.9407752452582
27/09/1997,1998,9,1161.2537377885376
04/10/1997,1998,10,1184.9299345578581
18/10/1997,1998,11,1145.926476044517
26/10/1997,1998,12,1123.1028724305042
01/11/1997,1998,13,1072.227454865603
09/11/1997,1998,14,1137.3543910796022
22/11/1997,1998,15,1054.0703776624098
30/11/1997,1998,16,1012.18201356225
06/12/1997,1998,17,1058.9568379030109
13/12/1997,1998,18,1028.7872428898454
11/03/1998,1998,19,1169.85277227177
26/12/1997,1998,20,1059.9713392426588
28/12/1997,1998,21,1025.5842398325203
10/01/1998,1998,22,1069.4260265155453
17/01/1998,1998,23,1068.6929554768346
31/01/1998,1998,24,1105.047520136431
08/02/1998,1998,25,1132.7695330798501
31/03/1998,1998,26,1258.938642367141
21/02/1998,1998,27,1160.3715348957232
02/03/1998,1998,28,1138.2919530815489
29/04/1998,1998,29,1361.471163368983
14/03/1998,1998,30,1201.5684629399543
28/03/1998,1998,31,1230.4896054748292
06/05/1998,1998,32,1249.732949889203
11/04/1998,1998,33,1278.2467588010477
13/04/1998,1998,34,1302.2500512440677
18/04/1998,1998,35,1327.87682976898
25/04/1998,1998,36,1347.5092896528697
03/05/1998,1998,37,1382.2208033038373
10/05/1998,1998,38,1171.4906066227518
17/08/1998,1999,1,1200.2376262367682
22/08/1998,1999,2,1192.2340156112266
29/08/1998,1999,3,1167.3988411680011
09/09/1998,1999,4,1140.4228461621863
12/09/1998,1999,5,1117.5593024520194
20/09/1998,1999,6,1160.3783927130858
26/09/1998,1999,7,1046.005770018167
04/10/1998,1999,8,1075.1845549274165
17/10/1998,1999,9,1021.2592141125531
25/10/1998,1999,10,1049.8745011189346
31/10/1998,1999,11,1081.4312106679658
08/11/1998,1999,12,1112.266897433406
14/11/1998,1999,13,1101.2131198128382
21/11/1998,1999,14,1041.6484318525618
29/11/1998,1999,15,1043.3981651772199
05/12/1998,1999,16,1043.7969886235603
13/12/1998,1999,17,1015.4806305563247
20/12/1998,1999,18,1088.4448498661593
26/12/1998,1999,19,1115.5295330028055
28/12/1998,1999,20,1140.1234038716361
09/01/1999,1999,21,1142.0631232511278
16/01/1999,1999,22,1165.915432536873
31/01/1999,1999,23,1216.2835658365502
06/02/1999,1999,24,1247.036535371249
17/02/1999,1999,25,1247.8236387424693
20/02/1999,1999,26,1275.938829561234
28/02/1999,1999,27,1226.8615597049843
09/03/1999,1999,28,1257.0728667889225
13/03/1999,1999,29,1282.5406764538454
20/03/1999,1999,30,1310.0439907801428
03/04/1999,1999,31,1248.4086024030835
06/04/1999,1999,32,1276.248272829058
05/05/1999,1999,33,1373.555234150016
19/04/1999,1999,34,1297.1329121422766
24/04/1999,1999,35,1327.8831300381812
02/05/1999,1999,36,1352.0889106900815
11/05/1999,1999,37,1265.4589823254787
16/05/1999,1999,38,1290.0855425567029
07/08/1999,2000,1,1313.219581401914
10/08/1999,2000,2,1338.4647836300462
14/08/1999,2000,3,1273.7127485788128
22/08/1999,2000,4,1242.0014519342794
25/08/1999,2000,5,1268.6475707296875
28/08/1999,2000,6,1165.7727526343183
11/09/1999,2000,7,1197.462143811368
18/09/1999,2000,8,1228.746614985084
25/09/1999,2000,9,1260.0289074050345
03/10/1999,2000,10,1143.8791954188957
16/10/1999,2000,11,1171.2511302867274
23/10/1999,2000,12,1200.7540486711844
30/10/1999,2000,13,1145.5804202062425
07/11/1999,2000,14,1100.2313595950054
20/11/1999,2000,15,1125.5888119339215
28/11/1999,2000,16,1155.234166069411
04/12/1999,2000,17,1185.6565741973195
18/12/1999,2000,18,1170.8399492359672
26/12/1999,2000,19,1089.4066376012308
28/12/1999,2000,20,1168.459916406794
03/01/2000,2000,21,1115.2124263716871
15/01/2000,2000,22,1141.294062090983
24/01/2000,2000,23,1158.759874098115
05/02/2000,2000,24,1059.3888821526434
13/02/2000,2000,25,1028.7254680560188
26/02/2000,2000,26,1066.3574979243945
05/03/2000,2000,27,1070.1681717871568
12/03/2000,2000,28,1022.1778403723838
19/03/2000,2000,29,1047.6158068639795
26/03/2000,2000,30,1075.77058482129
01/04/2000,2000,31,1107.1410285919046
09/05/2000,2000,32,1194.7491399867288
16/04/2000,2000,33,1138.8648314180757
23/04/2000,2000,34,1163.403773707773
02/05/2000,2000,35,1226.4595165205787
29/04/2000,2000,36,1195.049454961047
06/05/2000,2000,37,1258.027548516848
14/05/2000,2000,38,1127.7857857034153
