Date,Season_End_Year,Week,ELO
09/08/1997,1998,1,970.6533461153748
12/08/1997,1998,2,998.8402370648633
24/08/1997,1998,3,972.4838114982448
27/08/1997,1998,4,1000.6259159303124
30/08/1997,1998,5,962.6122419299624
13/09/1997,1998,6,936.3126424844605
20/09/1997,1998,7,909.0043157486709
23/09/1997,1998,8,878.0240130276499
27/09/1997,1998,9,847.7847928399292
04/10/1997,1998,10,824.1085960706088
20/10/1997,1998,11,929.73166523923
25/10/1997,1998,12,900.1053222894213
01/11/1997,1998,13,931.7715911182073
08/11/1997,1998,14,901.6475621268906
22/11/1997,1998,15,988.9963836360604
29/11/1997,1998,16,958.2748837038056
08/12/1997,1998,17,926.5557340947147
13/12/1997,1998,18,940.905511534539
20/12/1997,1998,19,876.5396277992018
26/12/1997,1998,20,899.0401608362508
28/12/1997,1998,21,992.3161775049181
10/01/1998,1998,22,961.7838060350366
17/01/1998,1998,23,989.8383520089247
31/01/1998,1998,24,959.8775783101818
07/02/1998,1998,25,971.5452386720488
11/03/1998,1998,26,1039.1017403373664
21/02/1998,1998,27,940.6129516564748
28/02/1998,1998,28,1000.3459842236215
31/03/1998,1998,29,1016.6471727539936
14/03/1998,1998,30,1115.1358094060147
28/03/1998,1998,31,1069.1141977114194
04/04/1998,1998,32,988.5371687559923
11/04/1998,1998,33,1028.910488803925
13/04/1998,1998,34,945.8044473972778
18/04/1998,1998,35,951.2615583440158
25/04/1998,1998,36,931.6290984601262
02/05/1998,1998,37,899.9839696963456
10/05/1998,1998,38,870.4715847105366
