Date,Season_End_Year,Week,ELO
18/08/2002,2003,1,988.0358110296286
24/08/2002,2003,2,956.7582734681283
28/08/2002,2003,3,961.408628306378
31/08/2002,2003,4,1003.3767210653947
11/09/2002,2003,5,1043.515487463187
16/09/2002,2003,6,1072.4751320162568
21/09/2002,2003,7,1023.3753812909108
28/09/2002,2003,8,993.6117980688038
05/10/2002,2003,9,1044.7295925309952
19/10/2002,2003,10,1034.7230429553165
26/10/2002,2003,11,967.1169971141071
02/11/2002,2003,12,994.0145257467922
09/11/2002,2003,13,962.2902911645962
17/11/2002,2003,14,961.9354378948003
23/11/2002,2003,15,1011.4994049380231
30/11/2002,2003,16,1011.194867175948
07/12/2002,2003,17,979.8015961163419
15/12/2002,2003,18,1029.0088501918078
21/12/2002,2003,19,1037.8613361584457
26/12/2002,2003,20,1054.9524871702986
28/12/2002,2003,21,1029.3624472827225
01/01/2003,2003,22,998.7901792666347
12/01/2003,2003,23,968.4468917087671
18/01/2003,2003,24,980.1319170254216
04/02/2003,2003,25,924.3281162225334
01/02/2003,2003,26,951.783517359059
08/02/2003,2003,27,893.9764134638114
23/02/2003,2003,28,998.8327200743315
03/03/2003,2003,29,1025.5530457284178
16/03/2003,2003,30,990.5175863064674
22/03/2003,2003,31,1022.2273495831829
05/04/2003,2003,32,985.2889360389246
12/04/2003,2003,33,1009.8753666678065
19/04/2003,2003,34,1035.1255771106196
21/04/2003,2003,35,1063.7740455832445
26/04/2003,2003,36,1091.6664187101053
03/05/2003,2003,37,1061.4279328447628
11/05/2003,2003,38,1070.6317636527076
16/08/2003,2004,1,1102.3232434827912
23/08/2003,2004,2,1095.3997171186152
14/10/2003,2004,3,1172.705759739405
30/08/2003,2004,4,1124.5721265495843
14/09/2003,2004,5,1123.0429715857222
20/09/2003,2004,6,1154.7573332078744
27/09/2003,2004,7,1185.863168237755
04/10/2003,2004,8,1154.1417373775316
19/10/2003,2004,9,1143.2576783663624
25/10/2003,2004,10,1174.9443883698632
03/11/2003,2004,11,1137.737714005137
08/11/2003,2004,12,1124.9662038424885
22/11/2003,2004,13,1095.5191408888757
30/11/2003,2004,14,1068.3384168446694
06/12/2003,2004,15,1014.0878292830163
13/12/2003,2004,16,1067.132203779768
03/03/2004,2004,17,1108.005202889694
26/12/2003,2004,18,1098.8153460249728
28/12/2003,2004,19,1045.570022299988
07/01/2004,2004,20,964.7286984677135
10/01/2004,2004,21,1015.3904234991364
18/01/2004,2004,22,1032.8964047920235
31/01/2004,2004,23,1053.7670822754374
08/02/2004,2004,24,1035.9213410919738
11/02/2004,2004,25,1063.42582421772
22/02/2004,2004,26,1075.4369766204472
