Date,Season_End_Year,Week,ELO
14/08/2010,2011,1,1027.7352995273138
21/08/2010,2011,2,997.1052008513509
28/08/2010,2011,3,1001.9581198896716
11/09/2010,2011,4,1031.3185815757126
19/09/2010,2011,5,1012.3860212554209
25/09/2010,2011,6,982.4868313524618
03/10/2010,2011,7,1022.0163948528224
17/10/2010,2011,8,995.4409916825733
23/10/2010,2011,9,956.9858020825595
01/11/2010,2011,10,1044.6527359509903
06/11/2010,2011,11,1057.2507699421799
10/11/2010,2011,12,1025.1269339800713
13/11/2010,2011,13,1018.093676205771
20/11/2010,2011,14,1047.4897166699504
27/11/2010,2011,15,1057.1849983518118
25/01/2011,2011,16,945.8733164983927
11/12/2010,2011,17,1088.9530701031565
22/02/2011,2011,18,1073.880310853
12/01/2011,2011,19,1082.5335409991606
28/12/2010,2011,20,1115.1434626684454
01/01/2011,2011,21,1085.151995278865
04/01/2011,2011,22,1053.8447548843692
15/01/2011,2011,23,997.407460897776
22/01/2011,2011,24,965.7722720675526
02/02/2011,2011,25,916.4993284732059
05/02/2011,2011,26,884.927763248017
12/02/2011,2011,27,920.1748977848079
26/02/2011,2011,28,1046.8218417081762
07/03/2011,2011,29,1015.0970883451639
19/03/2011,2011,30,1004.1642729052536
03/04/2011,2011,31,973.5862734097681
10/04/2011,2011,32,942.9862558576334
16/04/2011,2011,33,914.2950941792714
23/04/2011,2011,34,935.664239028255
30/04/2011,2011,35,952.8688057479897
07/05/2011,2011,36,972.5926880729601
14/05/2011,2011,37,999.0477116298368
22/05/2011,2011,38,968.8972991113509
