Date,Season_End_Year,Week,ELO
19/08/1995,1996,1,970.6933134401714
22/08/1995,1996,2,940.6979868091911
26/08/1995,1996,3,981.3042955845538
30/08/1995,1996,4,950.7574965682451
09/09/1995,1996,5,956.6884577997901
16/09/1995,1996,6,928.1463918056402
23/09/1995,1996,7,896.8545135760419
30/09/1995,1996,8,865.1600026309997
14/10/1995,1996,9,871.6135960568425
21/10/1995,1996,10,848.4425920028533
30/10/1995,1996,11,977.8510970193053
04/11/1995,1996,12,890.1996430151377
18/11/1995,1996,13,858.4741805378916
22/11/1995,1996,14,826.849060886733
25/11/1995,1996,15,795.17910127897
02/12/1995,1996,16,853.0989168561659
09/12/1995,1996,17,821.9267684702695
16/12/1995,1996,18,791.118505582453
23/12/1995,1996,19,881.2865298226765
27/12/1995,1996,20,850.0176873294738
30/12/1995,1996,21,818.4589936007553
01/01/1996,1996,22,787.7285823045694
13/01/1996,1996,23,914.7288812040007
20/01/1996,1996,24,887.7256843639865
03/02/1996,1996,25,860.7178841126578
10/02/1996,1996,26,832.7352218555587
17/02/1996,1996,27,862.200150843454
25/02/1996,1996,28,840.8527285961999
02/03/1996,1996,29,915.0331851274175
20/03/1996,1996,30,951.1214238284374
16/03/1996,1996,31,982.731243429448
23/03/1996,1996,32,990.8097975752681
30/03/1996,1996,33,991.4197438853595
06/04/1996,1996,34,959.8124889116061
08/04/1996,1996,35,988.4344663888446
13/04/1996,1996,36,957.4982985334237
27/04/1996,1996,37,925.7781006869537
05/05/1996,1996,38,894.2049914663573
09/08/1997,1998,1,970.6700120494468
01/12/1997,1998,2,1084.5488145028162
23/08/1997,1998,3,984.304898345227
27/08/1997,1998,4,956.1627939131594
01/09/1997,1998,5,956.1577219599726
13/09/1997,1998,6,925.1175412041906
20/09/1997,1998,7,994.7305537359078
23/09/1997,1998,8,994.3464813810267
27/09/1997,1998,9,993.8870523450798
04/10/1997,1998,10,968.3535349781073
18/10/1997,1998,11,931.9895347320277
26/10/1997,1998,12,1013.0085544842416
01/11/1997,1998,13,1017.0286768613524
08/11/1997,1998,14,956.9714069394674
22/11/1997,1998,15,965.2783854259777
29/11/1997,1998,16,1009.2140067661759
06/12/1997,1998,17,1058.396646640166
14/12/1997,1998,18,1061.3498496252516
20/12/1997,1998,19,1030.8817889018717
26/12/1997,1998,20,1008.3812558648226
28/12/1997,1998,21,964.2600667282626
10/01/1998,1998,22,976.5092665077431
17/01/1998,1998,23,931.7242323711354
31/01/1998,1998,24,900.0040407648158
07/02/1998,1998,25,918.6141578634624
31/03/1998,1998,26,968.4802541014346
21/02/1998,1998,27,931.2197830956907
01/03/1998,1998,28,900.9730360020162
