Date,Season_End_Year,Week,ELO
15/08/2009,2010,1,970.7952001216305
19/08/2009,2010,2,1155.5289259726808
23/08/2009,2010,3,1183.8654597594048
29/08/2009,2010,4,1155.034385463985
12/09/2009,2010,5,1127.4432474101804
19/09/2009,2010,6,1157.085342193835
26/09/2009,2010,7,1125.3697540394069
03/10/2009,2010,8,1156.3053759528273
18/10/2009,2010,9,1091.1572015469374
24/10/2009,2010,10,1047.7875973940113
31/10/2009,2010,11,1079.5050376337913
07/11/2009,2010,12,1083.8307398499162
21/11/2009,2010,13,1083.0024408006393
28/11/2009,2010,14,1038.4695265761763
05/12/2009,2010,15,954.3172327694748
12/12/2009,2010,16,975.8416468490545
16/12/2009,2010,17,1007.9348769196566
20/12/2009,2010,18,982.799866780562
26/12/2009,2010,19,985.2171523478775
28/12/2009,2010,20,954.9287253673608
10/03/2010,2010,21,882.7266700849692
16/01/2010,2010,22,928.7249203624013
26/01/2010,2010,23,901.62566577815
30/01/2010,2010,24,880.5712299947782
06/02/2010,2010,25,953.3721479415758
09/02/2010,2010,26,927.9128799092235
21/02/2010,2010,27,901.5397836313124
27/02/2010,2010,28,867.8192694375261
06/03/2010,2010,29,850.6927348506073
13/03/2010,2010,30,853.8137170115257
20/03/2010,2010,31,822.3689951884795
28/03/2010,2010,32,795.6488399898477
03/04/2010,2010,33,776.9357492929843
10/04/2010,2010,34,847.1579379144151
17/04/2010,2010,35,817.5354112375464
25/04/2010,2010,36,791.6868557931283
01/05/2010,2010,37,761.6922784006834
09/05/2010,2010,38,1010.8819836837738
18/08/2014,2015,1,981.4301025698453
23/08/2014,2015,2,949.8928021743453
30/08/2014,2015,3,973.9859592842265
13/09/2014,2015,4,984.5558612867788
20/09/2014,2015,5,984.040989019723
28/09/2014,2015,6,956.0940169845263
04/10/2014,2015,7,980.7813487903411
18/10/2014,2015,8,949.1913313993425
26/10/2014,2015,9,917.785961427456
01/11/2014,2015,10,891.6039137497421
08/11/2014,2015,11,963.2168227484997
22/11/2014,2015,12,1037.757622650021
29/11/2014,2015,13,1037.663380014814
02/12/2014,2015,14,1050.2450016188448
06/12/2014,2015,15,1001.3859182322291
13/12/2014,2015,16,1061.4313914123422
20/12/2014,2015,17,1031.4657705563477
26/12/2014,2015,18,1003.1743167724727
28/12/2014,2015,19,1081.787057586165
01/01/2015,2015,20,1085.3418303952901
10/01/2015,2015,21,1116.3081091440938
17/01/2015,2015,22,1088.6696875263603
31/01/2015,2015,23,1013.8093421421543
08/02/2015,2015,24,1009.9928586134267
11/02/2015,2015,25,981.7595460072021
21/02/2015,2015,26,1054.094714688742
28/02/2015,2015,27,1022.4901756521159
04/03/2015,2015,28,994.6219301374421
14/03/2015,2015,29,1095.0734009590612
21/03/2015,2015,30,1064.86033702495
05/04/2015,2015,31,1090.8319684402995
11/04/2015,2015,32,1067.00780422558
18/04/2015,2015,33,1036.6838514274323
25/04/2015,2015,34,1007.2848053204366
02/05/2015,2015,35,966.2429790758982
09/05/2015,2015,36,1023.3837772769733
16/05/2015,2015,37,1028.7986218005558
24/05/2015,2015,38,1067.42845644434
13/08/2016,2017,1,1035.7367860362317
20/08/2016,2017,2,1104.5490370138477
27/08/2016,2017,3,1072.899997192715
10/09/2016,2017,4,1084.1392956531627
17/09/2016,2017,5,1053.9453306018631
26/09/2016,2017,6,1107.2345407629764
02/10/2016,2017,7,1075.9673165107406
16/10/2016,2017,8,1044.3433776049924
22/10/2016,2017,9,1083.5391142820338
29/10/2016,2017,10,1089.0547523702471
05/11/2016,2017,11,1120.323487730914
21/11/2016,2017,12,1082.2864874125478
26/11/2016,2017,13,1051.274396639689
03/12/2016,2017,14,1023.7886870638889
10/12/2016,2017,15,1085.231202605095
14/12/2016,2017,16,1038.6520849855538
18/12/2016,2017,17,1007.6133567323992
26/12/2016,2017,18,1038.1657179116476
31/12/2016,2017,19,1067.319627695982
02/01/2017,2017,20,1035.6082851454955
14/01/2017,2017,21,1062.8609375939589
22/01/2017,2017,22,1031.49169414394
31/01/2017,2017,23,1058.5055458040224
04/02/2017,2017,24,1030.5206510011903
12/02/2017,2017,25,1103.0391216788055
25/02/2017,2017,26,1100.263813111444
04/03/2017,2017,27,1061.2838250640948
12/03/2017,2017,28,1032.045475364257
18/03/2017,2017,29,1024.8035119619844
01/04/2017,2017,30,998.563401155308
04/04/2017,2017,31,1055.8059243449823
08/04/2017,2017,32,1025.5742168280967
15/04/2017,2017,33,995.4386021037612
23/04/2017,2017,34,969.471375891996
29/04/2017,2017,35,1069.987449194974
06/05/2017,2017,36,1055.691261483659
13/05/2017,2017,37,1029.1872247067404
21/05/2017,2017,38,997.7311177431704
12/08/2017,2018,1,1176.689252088637
19/08/2017,2018,2,1088.3557403696539
27/08/2017,2018,3,1120.4911654712757
10/09/2017,2018,4,1151.538613117906
16/09/2017,2018,5,1158.8909420639295
23/09/2017,2018,6,1145.718672372791
01/10/2017,2018,7,1175.1459229093412
14/10/2017,2018,8,1165.1760861025248
21/10/2017,2018,9,1138.8922233390165
30/10/2017,2018,10,1166.1299198900913
04/11/2017,2018,11,1197.6386420379336
18/11/2017,2018,12,1226.463369721068
26/11/2017,2018,13,1197.6390015278514
29/11/2017,2018,14,1229.3515929032876
02/12/2017,2018,15,1171.8952785102522
09/12/2017,2018,16,1203.5733190971944
12/12/2017,2018,17,1233.8848425436784
16/12/2017,2018,18,1188.8067924893483
23/12/2017,2018,19,1155.3969797375826
26/12/2017,2018,20,1181.8696046963762
30/12/2017,2018,21,1161.451606661781
01/01/2018,2018,22,1129.8683836503192
13/01/2018,2018,23,1098.3013212564395
20/01/2018,2018,24,1068.1160884676058
31/01/2018,2018,25,1061.8847837615242
03/02/2018,2018,26,1145.8962555958901
10/02/2018,2018,27,1116.526389554987
24/02/2018,2018,28,1108.208831924848
03/03/2018,2018,29,1137.3623733088814
10/03/2018,2018,30,1169.0440566796624
19/04/2018,2018,31,1177.0822006681478
31/03/2018,2018,32,1191.6775132180408
07/04/2018,2018,33,1223.4004967600645
14/04/2018,2018,34,1255.0449490370183
22/04/2018,2018,35,1128.096196358508
28/04/2018,2018,36,1125.7374902949841
06/05/2018,2018,37,1095.8474080565973
13/05/2018,2018,38,1044.6915986195152
12/08/2018,2019,1,1044.0201666431828
19/08/2018,2019,2,1015.5336721646972
26/08/2018,2019,3,978.9034598962787
02/09/2018,2019,4,947.1785837920171
16/09/2018,2019,5,915.6322930675581
22/09/2018,2019,6,1009.8474893487714
30/09/2018,2019,7,1041.2211236790222
06/10/2018,2019,8,1030.6762174897774
20/10/2018,2019,9,1011.8601047453487
28/10/2018,2019,10,984.7852608998845
03/11/2018,2019,11,954.3756762421032
10/11/2018,2019,12,965.9724391336987
26/11/2018,2019,13,934.4129565816041
01/12/2018,2019,14,903.2081888142272
05/12/2018,2019,15,892.3104278173844
08/12/2018,2019,16,973.2181587784102
15/12/2018,2019,17,954.9879176731134
22/12/2018,2019,18,924.0571300191763
26/12/2018,2019,19,892.4478598508157
30/12/2018,2019,20,1005.0109281789322
02/01/2019,2019,21,1035.8433502607936
12/01/2019,2019,22,1067.3214737289072
19/01/2019,2019,23,1072.7585163915849
29/01/2019,2019,24,1119.5510561751316
02/02/2019,2019,25,1121.9855679344143
09/02/2019,2019,26,1153.108282869035
23/02/2019,2019,27,1261.7059919686103
26/02/2019,2019,28,1212.7317120452517
02/03/2019,2019,29,1159.5834907898086
10/03/2019,2019,30,1127.88664756129
16/03/2019,2019,31,1088.8418044683149
30/03/2019,2019,32,1118.1501508174067
06/04/2019,2019,33,1149.8326757537766
13/04/2019,2019,34,1181.415449521513
22/04/2019,2019,35,1179.8444507232975
28/04/2019,2019,36,1155.7092258664482
03/05/2019,2019,37,1119.6032432799643
12/05/2019,2019,38,1083.7251186493388
10/08/2019,2020,1,1113.8210719833369
17/08/2019,2020,2,1085.6745201089718
25/08/2019,2020,3,1094.1300949101064
31/08/2019,2020,4,1078.0501741209957
14/09/2019,2020,5,1064.5965278078586
21/09/2019,2020,6,1128.6044190415594
28/09/2019,2020,7,1094.143847084555
05/10/2019,2020,8,1125.8442399551989
19/10/2019,2020,9,1097.2915093231697
26/10/2019,2020,10,1065.584162123822
02/11/2019,2020,11,1038.9073464407081
09/11/2019,2020,12,1067.3567736519938
23/11/2019,2020,13,1098.9318199732772
30/11/2019,2020,14,1059.5855530486522
03/12/2019,2020,15,1029.016528132111
07/12/2019,2020,16,1001.3772534539223
14/12/2019,2020,17,1075.1783082268735
21/12/2019,2020,18,1104.732421093993
26/12/2019,2020,19,1067.2648932736497
28/12/2019,2020,20,1038.9368522804625
01/01/2020,2020,21,984.4635454133886
11/01/2020,2020,22,954.7347382820108
19/01/2020,2020,23,1060.9236520310633
22/01/2020,2020,24,1091.0957112740857
02/02/2020,2020,25,1089.0565915304794
15/02/2020,2020,26,1131.144932932785
22/02/2020,2020,27,1162.5809490068375
29/02/2020,2020,28,1137.8978165065869
07/03/2020,2020,29,1133.2123343026942
22/06/2020,2020,30,1102.3312386415034
25/06/2020,2020,31,1148.0259710659252
29/06/2020,2020,32,1181.716509118688
05/07/2020,2020,33,1171.7120372307702
08/07/2020,2020,34,1203.3335858324695
11/07/2020,2020,35,1221.5784466141251
15/07/2020,2020,36,1215.2975202176845
18/07/2020,2020,37,1230.513070903957
26/07/2020,2020,38,1137.3778829835078
12/01/2021,2021,1,1076.0297790921986
20/09/2020,2021,2,1104.3171375317186
26/09/2020,2021,3,1071.047445787873
03/10/2020,2021,4,1036.3867688203488
19/10/2020,2021,5,1038.5720878516831
26/10/2020,2021,6,1006.8530894885707
31/10/2020,2021,7,975.5355526575532
06/11/2020,2021,8,982.4298197662062
23/11/2020,2021,9,1058.1563724764271
28/11/2020,2021,10,1027.0020721427732
05/12/2020,2021,11,1031.6182208276134
13/12/2020,2021,12,1069.6585979842182
17/12/2020,2021,13,1073.8419847826729
21/12/2020,2021,14,1119.745746520329
27/12/2020,2021,15,1078.8006153438128
29/12/2020,2021,16,1103.8671647401825
17/02/2021,2021,17,1111.1299354850833
21/01/2021,2021,18,1122.3094598369805
16/01/2021,2021,19,1044.3042163142118
27/01/2021,2021,20,1149.7457577924818
31/01/2021,2021,21,1099.6427424915935
03/02/2021,2021,22,1076.070952436091
06/02/2021,2021,23,1087.499991452296
13/02/2021,2021,24,1113.2933541752689
20/02/2021,2021,25,1086.139369651745
28/02/2021,2021,26,1049.6289342128644
06/03/2021,2021,27,1077.1388524956692
13/03/2021,2021,28,1115.906803102132
03/03/2021,2021,29,1064.7656797665438
04/04/2021,2021,30,1043.1354339763573
11/04/2021,2021,31,1006.5300230793658
18/04/2021,2021,32,988.9627069193506
25/04/2021,2021,33,1043.849729119152
03/05/2021,2021,34,1012.5531682785871
10/05/2021,2021,35,1040.1809837424657
15/05/2021,2021,36,1008.4587334208036
19/05/2021,2021,37,982.843823452297
23/05/2021,2021,38,953.3055595883898
14/08/2021,2022,1,923.0375941429539
21/08/2021,2022,2,906.459744126958
29/08/2021,2022,3,959.9289713341531
13/09/2021,2022,4,929.1728310515045
18/09/2021,2022,5,898.5604630119676
25/09/2021,2022,6,936.0935133804232
02/10/2021,2022,7,880.6592691044349
16/10/2021,2022,8,862.7543493762173
23/10/2021,2022,9,892.4004070753549
30/10/2021,2022,10,1005.253281656972
06/11/2021,2022,11,1074.7560854304115
20/11/2021,2022,12,1099.967348590048
23/02/2022,2022,13,1177.4986004959912
01/12/2021,2022,14,1105.1633569034443
04/12/2021,2022,15,1035.2889251238578
12/12/2021,2022,16,1064.8388802236889
05/02/2022,2022,17,1004.4694268623279
19/05/2022,2022,18,1019.9090684271368
06/04/2022,2022,19,996.7803670480167
30/12/2021,2022,20,1033.1154881555633
02/01/2022,2022,21,997.6580300879617
01/03/2022,2022,22,1115.8111201952302
23/01/2022,2022,23,1025.796102015307
08/02/2022,2022,24,1038.0065619140573
13/02/2022,2022,25,1013.069632025553
19/02/2022,2022,26,1071.8691256244438
26/02/2022,2022,27,1149.6895086750837
05/03/2022,2022,28,1084.2215662436301
12/03/2022,2022,29,994.2606635961913
21/04/2022,2022,30,1004.982962672329
02/04/2022,2022,31,971.2983189019891
10/04/2022,2022,32,917.0044440426395
17/04/2022,2022,33,952.1402901904238
24/04/2022,2022,34,1033.4913069975414
30/04/2022,2022,35,1065.1000701369985
07/05/2022,2022,36,1038.7218181767516
15/05/2022,2022,37,1012.2999815579603
22/05/2022,2022,38,988.4896405816714
