Date,Season_End_Year,Week,ELO
15/08/1998,1999,1,996.2638236549084
22/08/1998,1999,2,1026.7539312763452
29/08/1998,1999,3,1051.5891057195706
09/09/1998,1999,4,1021.2642505021078
12/09/1998,1999,5,990.8974692629404
19/09/1998,1999,6,1007.377508507269
26/09/1998,1999,7,999.1685312919674
03/10/1998,1999,8,1028.1007509571843
17/10/1998,1999,9,997.3848981223374
24/10/1998,1999,10,1044.1373260676962
02/11/1998,1999,11,1044.6804913415194
07/11/1998,1999,12,1053.5036221421171
14/11/1998,1999,13,1051.533534860689
21/11/1998,1999,14,1022.6407652967999
28/11/1998,1999,15,985.1484246689369
05/12/1998,1999,16,907.0030770875558
12/12/1998,1999,17,876.8339660931648
21/12/1998,1999,18,848.164532961126
26/12/1998,1999,19,816.4732072629453
28/12/1998,1999,20,791.8793363941147
09/01/1999,1999,21,760.1591734644811
17/01/1999,1999,22,793.4781836664597
31/01/1999,1999,23,774.764420090129
08/02/1999,1999,24,904.0035362531984
13/02/1999,1999,25,992.712035417224
20/02/1999,1999,26,1049.4993490815934
27/02/1999,1999,27,1010.6142020561304
06/03/1999,1999,28,985.1629993794531
13/03/1999,1999,29,986.0403575035776
20/04/1999,1999,30,988.7919470404414
03/04/1999,1999,31,955.2634415044664
05/04/1999,1999,32,1024.8684535203606
10/04/1999,1999,33,998.8310063323811
17/04/1999,1999,34,1017.7550568447926
24/04/1999,1999,35,960.692353128538
01/05/1999,1999,36,958.6987139046545
08/05/1999,1999,37,996.8706584006266
16/05/1999,1999,38,963.751555028698
19/08/2000,2001,1,1010.2366161513812
23/08/2000,2001,2,973.3783804427975
26/08/2000,2001,3,941.6679054402836
06/09/2000,2001,4,942.2065799988397
10/09/2000,2001,5,944.2930091132077
16/09/2000,2001,6,1015.5893325452369
23/09/2000,2001,7,1053.6497037490503
30/09/2000,2001,8,1033.510134715463
14/10/2000,2001,9,1000.0901024814852
21/10/2000,2001,10,1031.2428911411441
28/10/2000,2001,11,1003.408841753423
04/11/2000,2001,12,1033.164712209259
11/11/2000,2001,13,1007.7226293728626
18/11/2000,2001,14,1046.783562083811
25/11/2000,2001,15,1020.2870978983445
02/12/2000,2001,16,990.854140518367
09/12/2000,2001,17,1074.0984691091908
16/12/2000,2001,18,1022.8137581595522
23/12/2000,2001,19,1049.1152370975278
26/12/2000,2001,20,1023.1038693418096
30/12/2000,2001,21,1052.7055374735462
01/01/2001,2001,22,1094.9329926799162
13/01/2001,2001,23,1091.2019595521467
22/01/2001,2001,24,1083.5693447280362
30/01/2001,2001,25,1114.0553262814099
03/02/2001,2001,26,1103.7999366860452
11/02/2001,2001,27,1133.2330744373057
24/02/2001,2001,28,1089.0468685654562
03/03/2001,2001,29,1079.916862125535
17/03/2001,2001,30,1049.3628187527472
01/04/2001,2001,31,1074.7778644020107
10/04/2001,2001,32,1043.0563296686855
13/04/2001,2001,33,937.4404192445389
17/04/2001,2001,34,956.8701558743651
21/04/2001,2001,35,1046.9658431803146
30/04/2001,2001,36,1126.441715005054
05/05/2001,2001,37,1067.2306015694626
19/05/2001,2001,38,1036.4086912017508
