Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1025.0
19/08/1992,1993,2,1052.5549918376346
22/08/1992,1993,3,1084.1356030693546
26/08/1992,1993,4,1050.7522827233909
29/08/1992,1993,5,1025.2098939887308
02/09/1992,1993,6,1052.9677218464474
05/09/1992,1993,7,1082.9615593456272
14/09/1992,1993,8,1112.9661367528847
21/09/1992,1993,9,1065.0063721091497
26/09/1992,1993,10,1073.2646504716822
03/10/1992,1993,11,1056.7862700333176
17/10/1992,1993,12,1039.8360052419066
24/10/1992,1993,13,1006.9834253536142
31/10/1992,1993,14,1003.9205304211895
07/11/1992,1993,15,972.3370945676085
21/11/1992,1993,16,942.3008637233945
28/11/1992,1993,17,945.5027084021109
05/12/1992,1993,18,955.6437790373534
12/12/1992,1993,19,964.258652808086
19/12/1992,1993,20,1002.2489305682657
26/12/1992,1993,21,1067.6222459935361
28/12/1992,1993,22,1039.6769618215835
09/01/1993,1993,23,960.4530926020223
16/01/1993,1993,24,964.7101847598998
26/01/1993,1993,25,1030.9547956910326
30/01/1993,1993,26,977.7196390581332
06/02/1993,1993,27,1007.2981547625512
23/01/1993,1993,28,999.1638981663126
03/03/1993,1993,29,1067.0660661002596
20/02/1993,1993,30,981.5160095975909
27/02/1993,1993,31,982.4027088533262
07/03/1993,1993,32,1012.547275073574
10/03/1993,1993,33,985.4300816405021
13/03/1993,1993,34,940.8772111956846
20/03/1993,1993,35,929.6032384076483
24/03/1993,1993,36,904.3440003138529
03/04/1993,1993,37,954.4392653874224
10/04/1993,1993,38,975.7220623546165
12/04/1993,1993,39,944.0309550019064
17/04/1993,1993,40,912.4306051206638
01/05/1993,1993,41,881.8136017722333
08/05/1993,1993,42,893.5354868347919
14/08/1993,1994,1,925.5674794683368
18/08/1993,1994,2,959.1706202617042
21/08/1993,1994,3,958.2612944561995
24/08/1993,1994,4,964.1955439814755
27/08/1993,1994,5,955.7841788616536
01/09/1993,1994,6,1016.4381247664542
11/09/1993,1994,7,1021.0505368698774
18/09/1993,1994,8,1034.7872760732632
25/09/1993,1994,9,1007.8310143376444
02/10/1993,1994,10,979.2587039127644
16/10/1993,1994,11,942.101656798435
23/10/1993,1994,12,910.4037657866622
31/10/1993,1994,13,912.5671690367005
06/11/1993,1994,14,959.3484833316542
20/11/1993,1994,15,961.4679118839468
23/11/1993,1994,16,929.7639268295505
27/11/1993,1994,17,908.156638085014
04/12/1993,1994,18,987.2099865476242
23/02/1994,1994,19,922.6247119813156
11/12/1993,1994,20,955.5585895021778
18/12/1993,1994,21,959.3228107667458
26/12/1993,1994,22,998.5200066136907
02/02/1994,1994,23,976.8458932962628
01/01/1994,1994,24,1024.88007568271
03/01/1994,1994,25,1013.6561850207482
15/01/1994,1994,26,937.0644663708702
22/01/1994,1994,27,907.5748321587979
05/02/1994,1994,28,929.6705162628765
12/02/1994,1994,29,922.1219965231218
19/02/1994,1994,30,949.2509900322309
26/02/1994,1994,31,891.3946571633044
06/03/1994,1994,32,859.6690464976305
04/05/1994,1994,33,1071.4171223871751
19/03/1994,1994,34,829.1782657432684
26/03/1994,1994,35,922.375879758656
02/04/1994,1994,36,893.4578361416048
04/04/1994,1994,37,920.219773636564
09/04/1994,1994,38,946.7843170751959
16/04/1994,1994,39,976.9210711862104
23/04/1994,1994,40,963.7799853969007
02/05/1994,1994,41,1040.4870014792623
08/05/1994,1994,42,1091.7698877547316
20/08/1994,1995,1,1089.939475243697
24/08/1994,1995,2,1061.442979830442
27/08/1994,1995,3,1025.4413567514928
29/08/1994,1995,4,971.0725734557662
10/09/1994,1995,5,966.6047910500639
17/09/1994,1995,6,1071.7772156464116
24/09/1994,1995,7,1020.8750225346271
03/10/1994,1995,8,1010.6057974081687
10/10/1994,1995,9,1039.1060324642021
15/10/1994,1995,10,1069.3529651150125
23/10/1994,1995,11,1029.2602954552378
29/10/1994,1995,12,1067.4800649163142
02/11/1994,1995,13,1007.0239173237591
06/11/1994,1995,14,1009.8323445221395
19/11/1994,1995,15,1038.733976074311
26/11/1994,1995,16,1070.4557494897992
03/12/1994,1995,17,1061.5638745541473
10/12/1994,1995,18,1019.8918519042089
17/12/1994,1995,19,1019.7261563865009
26/12/1994,1995,20,1033.295574713343
28/12/1994,1995,21,1001.1384706696672
31/12/1994,1995,22,972.3830983626939
03/01/1995,1995,23,940.6669275014606
14/01/1995,1995,24,937.6625301706266
21/01/1995,1995,25,910.8317876613507
25/01/1995,1995,26,912.8681191533451
04/02/1995,1995,27,913.866632412953
11/02/1995,1995,28,963.5425115573819
18/02/1995,1995,29,989.0003532419493
14/03/1995,1995,30,1078.2311250850485
25/02/1995,1995,31,1019.5946544056385
04/03/1995,1995,32,1007.2914897497443
06/03/1995,1995,33,1007.1389092060543
11/03/1995,1995,34,1038.099299442361
18/03/1995,1995,35,1051.9604458739193
01/04/1995,1995,36,1023.9259784644305
09/05/1995,1995,37,950.0051111915519
15/04/1995,1995,38,1055.5422051326923
17/04/1995,1995,39,1024.2649741945395
01/05/1995,1995,40,992.8018337865897
06/05/1995,1995,41,878.1174585510776
14/05/1995,1995,42,966.1589223325209
19/08/1995,1996,1,937.7568324935112
23/08/1995,1996,2,980.3528860782902
26/08/1995,1996,3,982.1000972283178
30/08/1995,1996,4,984.8997514095315
09/09/1995,1996,5,1007.4330142107838
16/09/1995,1996,6,981.8217138577716
23/09/1995,1996,7,937.1621267318337
30/09/1995,1996,8,905.8924436694911
14/10/1995,1996,9,943.1302542818344
21/10/1995,1996,10,916.13383440732
28/10/1995,1996,11,884.8122027873433
04/11/1995,1996,12,856.6410910190812
19/11/1995,1996,13,872.7042486607446
22/11/1995,1996,14,847.6882446461336
25/11/1995,1996,15,852.1040659530333
04/12/1995,1996,16,820.6276522948048
09/12/1995,1996,17,950.0112710567523
16/12/1995,1996,18,918.3176388845137
23/12/1995,1996,19,997.2262307172625
31/01/1996,1996,20,947.5218957572602
30/12/1995,1996,21,1028.784924445981
01/01/1996,1996,22,1026.0653198038513
14/01/1996,1996,23,994.3650773150994
20/01/1996,1996,24,993.7302860896565
03/02/1996,1996,25,957.6343848267129
10/02/1996,1996,26,1054.0210176937915
17/04/1996,1996,27,1030.0354209326104
24/02/1996,1996,28,1013.5447261801014
02/03/1996,1996,29,1025.2144419550564
09/03/1996,1996,30,1046.7870794417972
16/03/1996,1996,31,979.0890211397667
25/03/1996,1996,32,931.0210890341856
30/03/1996,1996,33,899.6803683433276
06/04/1996,1996,34,1008.8224994978189
08/04/1996,1996,35,982.1481065584061
13/04/1996,1996,36,1024.1906440401024
27/04/1996,1996,37,1080.341494888157
05/05/1996,1996,38,1019.985392953047
17/08/1996,1997,1,989.8831774240006
21/08/1996,1997,2,990.3317935012271
24/08/1996,1997,3,963.6523492079826
04/09/1996,1997,4,931.9839804690027
07/09/1996,1997,5,903.3396362063985
14/09/1996,1997,6,943.1029420874042
21/09/1996,1997,7,913.4886522928965
28/09/1996,1997,8,915.4467836925097
13/10/1996,1997,9,918.1689296516204
19/10/1996,1997,10,977.1852105202341
26/10/1996,1997,11,976.0914298410404
04/11/1996,1997,12,991.8607125897156
16/11/1996,1997,13,1017.7113290070745
23/11/1996,1997,14,986.7115339897749
30/11/1996,1997,15,956.5513297040849
07/12/1996,1997,16,926.7340187581918
17/12/1996,1997,17,987.8722514787095
21/12/1996,1997,18,1020.9389755206313
26/12/1996,1997,19,1047.2692214459225
28/12/1996,1997,20,1078.1121493851786
01/01/1997,1997,21,1066.066114988945
11/01/1997,1997,22,1038.4587058205616
18/01/1997,1997,23,1007.5584589915929
29/01/1997,1997,24,1062.5115939551795
01/02/1997,1997,25,1061.14718659967
19/02/1997,1997,26,1034.6867145308645
22/02/1997,1997,27,1021.6024089516262
01/03/1997,1997,28,995.4237934439171
03/03/1997,1997,29,996.1096948614337
08/03/1997,1997,30,1011.5473912366945
15/03/1997,1997,31,984.7477836202187
22/03/1997,1997,32,958.7485225617576
06/04/1997,1997,33,1041.7318446331137
09/04/1997,1997,34,1069.8820784310365
19/04/1997,1997,35,1067.272844077375
21/04/1997,1997,36,1072.4708753717125
03/05/1997,1997,37,1046.3897275756176
11/05/1997,1997,38,1077.111983974341
09/08/1997,1998,1,1105.679721935099
11/08/1997,1998,2,1078.699555312233
23/08/1997,1998,3,1065.0646690164529
27/08/1997,1998,4,1058.3123917272906
30/08/1997,1998,5,1026.9297449099302
13/09/1997,1998,6,1058.2928514495807
20/09/1997,1998,7,1050.238861038119
24/09/1997,1998,8,1042.7300667488757
28/09/1997,1998,9,1042.2010782034029
04/10/1997,1998,10,1049.4265022320685
20/10/1997,1998,11,943.8034330634473
25/10/1997,1998,12,951.3579668360481
01/11/1997,1998,13,1022.6115955557024
08/11/1997,1998,14,1032.6749614659047
22/11/1997,1998,15,1004.8315662109818
29/11/1997,1998,16,977.8433305179658
06/12/1997,1998,17,944.385056353005
13/12/1997,1998,18,975.7744474385104
20/12/1997,1998,19,945.8398900909834
26/12/1997,1998,20,915.788815882767
28/12/1997,1998,21,1092.3031106372412
10/01/1998,1998,22,1059.914238569061
17/01/1998,1998,23,1060.6473096077716
31/01/1998,1998,24,1092.3675012140911
