Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1000.0
19/08/1992,1993,2,1000.0
22/08/1992,1993,3,997.6125045546725
25/08/1992,1993,4,1000.0544528532547
29/08/1992,1993,5,972.3892710750413
02/09/1992,1993,6,943.4811894840278
05/09/1992,1993,7,915.8202842342893
12/09/1992,1993,8,920.5129841845329
19/09/1992,1993,9,987.179097871564
26/09/1992,1993,10,949.5128159767728
03/10/1992,1993,11,965.9911964151376
17/10/1992,1993,12,964.4970829015768
24/10/1992,1993,13,965.6439337101584
02/11/1992,1993,14,933.9802428752912
07/11/1992,1993,15,904.0034064059265
21/11/1992,1993,16,902.8390720650631
28/11/1992,1993,17,871.5111473485615
05/12/1992,1993,18,928.5495712999975
12/12/1992,1993,19,991.2463277646024
20/12/1992,1993,20,1018.6226399993939
26/12/1992,1993,21,1049.3209029145055
28/12/1992,1993,22,1078.8308479278312
09/01/1993,1993,23,1011.4594685622608
16/01/1993,1993,24,961.2248675793411
27/01/1993,1993,25,932.4832316863191
30/01/1993,1993,26,906.5070973706141
02/02/1993,1993,27,948.08768399477
10/02/1993,1993,28,1024.552190369826
21/04/1993,1993,29,982.4201325993076
20/02/1993,1993,30,992.8754573126123
27/02/1993,1993,31,991.988758056877
05/05/1993,1993,32,1014.8044080456883
03/03/1993,1993,33,993.5759364498617
15/03/1993,1993,34,991.8599871928716
20/03/1993,1993,35,1020.2434382342785
23/03/1993,1993,36,1024.6466240187242
03/04/1993,1993,37,1012.3357068783173
09/04/1993,1993,38,983.0025521146309
12/04/1993,1993,39,1014.6358464537858
17/04/1993,1993,40,1013.7340797481296
01/05/1993,1993,41,1013.4412011798553
08/05/1993,1993,42,957.3664155246099
20/08/1994,1995,1,914.8849173847007
24/08/1994,1995,2,914.5995289981506
27/08/1994,1995,3,915.96196767329
30/08/1994,1995,4,885.6304071047168
10/09/1994,1995,5,904.6509691079144
17/09/1994,1995,6,913.3216761292656
24/09/1994,1995,7,882.5741604662987
01/10/1994,1995,8,938.5728122371679
08/10/1994,1995,9,907.2121279850978
15/10/1994,1995,10,883.0119046781516
22/10/1994,1995,11,913.5031188993676
29/10/1994,1995,12,955.1500275208962
02/11/1994,1995,13,1015.6061751134513
05/11/1994,1995,14,1044.6252739093188
19/11/1994,1995,15,1014.0975363209659
26/11/1994,1995,16,1012.9095248445278
03/12/1994,1995,17,984.5860173019156
11/12/1994,1995,18,985.8579815945685
17/12/1994,1995,19,960.7140252369092
26/12/1994,1995,20,964.4347386640139
27/12/1994,1995,21,974.4893005304634
31/12/1994,1995,22,947.5690491402057
02/01/1995,1995,23,916.3224999296081
14/01/1995,1995,24,944.3628443301757
