Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1000.0
19/08/1992,1993,2,1027.5549918376346
22/08/1992,1993,3,1029.6875
25/08/1992,1993,4,1057.6662744127025
29/08/1992,1993,5,1038.4687927891873
15/09/1992,1993,6,1049.5423415094308
05/09/1992,1993,7,997.3780626926298
12/09/1992,1993,8,966.6740635342755
19/09/1992,1993,9,982.8762278223998
26/09/1992,1993,10,957.6936825520975
04/10/1992,1993,11,930.5179315745971
17/10/1992,1993,12,947.4681963660082
24/10/1992,1993,13,916.0007393311437
31/10/1992,1993,14,886.0446485674015
07/11/1992,1993,15,922.0935697184113
21/11/1992,1993,16,890.5898201981428
28/11/1992,1993,17,858.9424904619493
07/12/1992,1993,18,968.6793514569504
12/12/1992,1993,19,928.980964919626
19/12/1992,1993,20,983.2686339921858
26/12/1992,1993,21,984.6144304609899
28/12/1992,1993,22,947.9380019160521
09/01/1993,1993,23,1015.3093812816226
16/01/1993,1993,24,1044.7944278025466
26/01/1993,1993,25,1075.5620451148181
30/01/1993,1993,26,1037.4976256620198
06/02/1993,1993,27,1006.9574609016512
10/02/1993,1993,28,980.7816064768399
03/03/1993,1993,29,971.262071490439
20/02/1993,1993,30,949.9489851024209
27/02/1993,1993,31,939.6902887133804
07/03/1993,1993,32,1025.7808625171244
10/03/1993,1993,33,964.745570866763
13/03/1993,1993,34,1002.4732155036218
20/03/1993,1993,35,974.0660340077511
24/03/1993,1993,36,1005.7626614212882
04/05/1993,1993,37,950.9064328371218
10/04/1993,1993,38,1037.2631320966395
12/04/1993,1993,39,990.4670529594194
17/04/1993,1993,40,985.8561749465397
01/05/1993,1993,41,979.7185922056437
08/05/1993,1993,42,999.2828385613535
14/08/1993,1994,1,1030.9539564473773
17/08/1993,1994,2,1060.5103753264955
21/08/1993,1994,3,1090.1140786853803
25/08/1993,1994,4,1039.3928575807613
28/08/1993,1994,5,1001.7064888410256
31/08/1993,1994,6,973.3948118079452
11/09/1993,1994,7,1000.6411725535892
18/09/1993,1994,8,1028.135152801809
25/09/1993,1994,9,1000.2457419874313
03/10/1993,1994,10,972.4551645349411
16/10/1993,1994,11,957.7325319350057
23/10/1993,1994,12,934.1347882043639
30/10/1993,1994,13,985.8154807526574
06/11/1993,1994,14,939.0341664577038
20/11/1993,1994,15,907.7984551420203
23/11/1993,1994,16,929.4023981719633
27/11/1993,1994,17,932.1392541476059
04/12/1993,1994,18,974.9367464829725
08/12/1993,1994,19,926.684054494917
11/12/1993,1994,20,921.1895278080141
