Date,Season_End_Year,Week,ELO
16/08/2008,2009,1,1044.9976744862995
23/08/2008,2009,2,1048.3320072602723
30/08/2008,2009,3,999.2886268564384
13/09/2008,2009,4,1045.767006716821
21/09/2008,2009,5,1043.2391421881164
27/09/2008,2009,6,1131.853944992796
05/10/2008,2009,7,1163.3153300293484
19/10/2008,2009,8,1193.9278405288808
25/10/2008,2009,9,1222.6497335719941
29/10/2008,2009,10,1191.2005617309635
01/11/2008,2009,11,1160.9046642321186
08/11/2008,2009,12,1064.029914467948
16/11/2008,2009,13,1039.088816611111
22/11/2008,2009,14,1031.1290740240386
29/11/2008,2009,15,1033.3612089416422
06/12/2008,2009,16,1059.597891482685
13/12/2008,2009,17,1080.607776744236
20/12/2008,2009,18,991.2149467927065
26/12/2008,2009,19,936.5503303904251
30/12/2008,2009,20,909.5927000983489
10/01/2009,2009,21,882.6925239940194
17/01/2009,2009,22,860.4209477701716
28/01/2009,2009,23,832.0235240364963
31/01/2009,2009,24,849.15396899777
07/02/2009,2009,25,910.912105866352
23/02/2009,2009,26,879.8103259133854
01/03/2009,2009,27,849.4996935494619
04/03/2009,2009,28,952.1018850741847
14/03/2009,2009,29,955.8361394859639
22/03/2009,2009,30,925.049285207367
04/04/2009,2009,31,938.8587086197789
11/04/2009,2009,32,912.4737106783128
18/04/2009,2009,33,885.802431162891
25/04/2009,2009,34,870.8485279101549
04/05/2009,2009,35,839.1809383231908
09/05/2009,2009,36,808.1984050926878
16/05/2009,2009,37,823.5571444978935
24/05/2009,2009,38,811.7193933321272
15/08/2009,2010,1,801.2178267758959
19/08/2009,2010,2,787.4675826949028
22/08/2009,2010,3,826.3943123323966
29/08/2009,2010,4,854.0688076346883
12/09/2009,2010,5,825.6084385558305
19/09/2009,2010,6,794.923827820906
26/09/2009,2010,7,779.0975410549141
03/10/2009,2010,8,959.9949908031144
19/10/2009,2010,9,931.6868025573987
24/10/2009,2010,10,917.9656784402945
31/10/2009,2010,11,886.2482382005145
08/11/2009,2010,12,993.2341795083049
21/11/2009,2010,13,995.417678629002
28/11/2009,2010,14,1041.573957522864
05/12/2009,2010,15,1012.2976855443804
12/12/2009,2010,16,1018.3970046098857
25/11/2009,2010,17,1031.021363981244
19/12/2009,2010,18,986.671954147328
27/12/2009,2010,19,955.9986313183912
29/12/2009,2010,20,961.1904241269457
02/02/2010,2010,21,1028.5122893109656
16/01/2010,2010,22,996.4136470217004
23/01/2010,2010,23,969.3048346578872
30/01/2010,2010,24,970.0801835308367
06/02/2010,2010,25,1109.0715451470276
10/02/2010,2010,26,1053.0804903771032
