Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1000.0
18/08/1992,1993,2,1027.5549918376346
22/08/1992,1993,3,1018.4873606618111
25/08/1992,1993,4,1013.7139933354481
30/08/1992,1993,5,1006.7180130484818
01/09/1992,1993,6,1004.7920586686955
05/09/1992,1993,7,1007.2390847490374
12/09/1992,1993,8,1034.9716141390877
19/09/1992,1993,9,987.3915935902069
26/09/1992,1993,10,983.7691860295963
03/10/1992,1993,11,1015.1861616008879
17/10/1992,1993,12,978.8906586642197
24/10/1992,1993,13,977.7438078556381
31/10/1992,1993,14,1005.2766966744323
07/11/1992,1993,15,1001.3908230214472
21/11/1992,1993,16,1000.9003709186012
28/11/1992,1993,17,1032.5477006547947
05/12/1992,1993,18,1022.4066300195522
12/12/1992,1993,19,1048.6595168671113
21/12/1992,1993,20,1090.0086667374942
26/12/1992,1993,21,1072.3026848393172
28/12/1992,1993,22,1102.122302098724
09/01/1993,1993,23,1036.1288724419676
16/01/1993,1993,24,968.6792568349839
27/01/1993,1993,25,993.9242423629494
30/01/1993,1993,26,1099.266491806125
06/02/1993,1993,27,1065.9886866767545
09/02/1993,1993,28,1060.111159137975
02/03/1993,1993,29,907.8748249811823
20/02/1993,1993,30,1043.7560897565686
27/02/1993,1993,31,996.5699296246289
06/04/1993,1993,32,832.4868426366772
10/03/1993,1993,33,876.6650703814512
13/03/1993,1993,34,846.7855481279881
20/03/1993,1993,35,858.0595209160244
24/03/1993,1993,36,826.3628935024874
03/04/1993,1993,37,795.272011925024
10/04/1993,1993,38,801.2167368921487
12/04/1993,1993,39,771.4482645923156
19/04/1993,1993,40,900.358615637248
01/05/1993,1993,41,869.3375470567004
08/05/1993,1993,42,912.9621942322875
14/08/1993,1994,1,1006.3787034788479
17/08/1993,1994,2,1037.869146166991
21/08/1993,1994,3,1068.6537315196026
25/08/1993,1994,4,1039.9572263280604
28/08/1993,1994,5,1043.255279450007
31/08/1993,1994,6,1045.1958874723562
11/09/1993,1994,7,1020.0943330829607
18/09/1993,1994,8,991.373121226043
26/09/1993,1994,9,995.1351967165795
02/10/1993,1994,10,969.9144600569628
17/10/1993,1994,11,984.738234538786
25/10/1993,1994,12,1021.8126342014266
30/10/1993,1994,13,970.131941653133
06/11/1993,1994,14,941.1464574311724
20/11/1993,1994,15,927.4469132133248
24/11/1993,1994,16,1019.0029713820268
27/11/1993,1994,17,1071.9728314567756
04/12/1993,1994,18,1062.0705769534743
08/12/1993,1994,19,1093.7316437866452
11/12/1993,1994,20,1047.2384278130226
18/12/1993,1994,21,1088.0061838334918
27/12/1993,1994,22,1086.3116885620632
02/02/1994,1994,23,974.1854298829916
01/01/1994,1994,24,1032.4945649391493
29/03/1994,1994,25,903.7903277814211
15/01/1994,1994,26,1044.139160317446
22/01/1994,1994,27,1043.4564910204565
05/02/1994,1994,28,914.7546505147571
12/02/1994,1994,29,916.0032848735493
22/02/1994,1994,30,945.3730120123996
23/03/1994,1994,31,932.7691163667267
05/03/1994,1994,32,914.7858664989299
12/03/1994,1994,33,982.9944190275121
19/03/1994,1994,34,964.2923340294341
26/03/1994,1994,35,901.109778816673
02/04/1994,1994,36,876.9437372283746
04/04/1994,1994,37,850.1817997334155
09/04/1994,1994,38,818.8326676371685
16/04/1994,1994,39,833.6492515958831
23/04/1994,1994,40,807.4231868511548
01/05/1994,1994,41,786.4958168876734
07/05/1994,1994,42,832.1845946972588
20/08/1994,1995,1,802.290081100657
23/08/1994,1995,2,851.3846931722859
27/08/1994,1995,3,925.5589273111557
30/08/1994,1995,4,894.6383891272995
10/09/1994,1995,5,863.3800763800921
17/09/1994,1995,6,831.8271944052416
24/09/1994,1995,7,1002.606688888826
01/10/1994,1995,8,974.2404631976915
10/10/1994,1995,9,945.740228141658
16/10/1994,1995,10,914.9399998446809
23/10/1994,1995,11,883.5777638960836
29/10/1994,1995,12,853.968304811799
01/11/1994,1995,13,972.2121339791938
05/11/1994,1995,14,943.1930351833263
19/11/1994,1995,15,915.2867496290888
26/11/1994,1995,16,940.8872830026531
03/12/1994,1995,17,909.1618784268362
10/12/1994,1995,18,878.2491903367667
16/12/1994,1995,19,903.497113401945
26/12/1994,1995,20,907.8870271143467
28/12/1994,1995,21,877.1424566735882
31/12/1994,1995,22,845.5094011001174
02/01/1995,1995,23,899.4261573557062
14/01/1995,1995,24,1001.7529180897884
21/01/1995,1995,25,996.5592518547933
28/01/1995,1995,26,967.598568466522
04/02/1995,1995,27,942.2805890230275
05/04/1995,1995,28,759.5002881139038
28/02/1995,1995,29,907.9389323796407
22/02/1995,1995,30,892.8308460618207
25/02/1995,1995,31,939.6198268415089
04/03/1995,1995,32,878.2492457660296
08/03/1995,1995,33,846.8921133007225
11/04/1995,1995,34,738.2161172250314
20/03/1995,1995,35,816.0220589100641
01/04/1995,1995,36,784.427129372591
09/05/1995,1995,37,830.2292198732581
15/04/1995,1995,38,706.5003524689079
17/04/1995,1995,39,775.5477004823725
29/04/1995,1995,40,746.3087209621838
06/05/1995,1995,41,860.9930961976959
14/05/1995,1995,42,798.9643013060386
19/08/2000,2001,1,770.3566112699585
22/08/2000,2001,2,924.0526032542989
26/08/2000,2001,3,979.0974012927456
06/09/2000,2001,4,947.5515557965592
09/09/2000,2001,5,917.6205663391247
16/09/2000,2001,6,976.1474193302953
23/09/2000,2001,7,1001.0450765097731
30/09/2000,2001,8,1031.2595772073291
14/10/2000,2001,9,1031.5725954917589
21/10/2000,2001,10,1061.6086403480872
28/10/2000,2001,11,1092.1552823114462
04/11/2000,2001,12,1037.0616283044046
11/11/2000,2001,13,1062.5037111408012
20/11/2000,2001,14,1092.2151093038003
25/11/2000,2001,15,1123.629914912786
02/12/2000,2001,16,1043.2467413850839
10/12/2000,2001,17,1069.3535012351745
16/12/2000,2001,18,1094.666677702108
23/12/2000,2001,19,1063.7920000680774
26/12/2000,2001,20,1053.4887750029052
30/12/2000,2001,21,1082.5089790118627
01/01/2001,2001,22,1052.451358425037
14/01/2001,2001,23,1083.980778046773
20/01/2001,2001,24,1044.7806535543623
10/03/2001,2001,25,988.9231425383012
03/02/2001,2001,26,1015.5433493646572
10/02/2001,2001,27,984.2458001414859
24/02/2001,2001,28,1017.0996596604359
04/03/2001,2001,29,1048.0961725242844
17/03/2001,2001,30,1017.6637529918563
02/04/2001,2001,31,1109.5109016898873
10/04/2001,2001,32,1117.1459042052854
14/04/2001,2001,33,1147.763683288513
16/04/2001,2001,34,1177.358214940856
21/04/2001,2001,35,1208.9723420649175
30/04/2001,2001,36,1129.4964702401783
07/05/2001,2001,37,1161.1994019652514
19/05/2001,2001,38,1147.0125523203799
18/08/2001,2002,1,1093.673824221648
21/08/2001,2002,2,1119.1847940898008
25/08/2001,2002,3,1050.118470165633
08/09/2001,2002,4,1012.3997961987064
16/09/2001,2002,5,1005.5060326865431
24/10/2001,2002,6,963.5703487321185
22/09/2001,2002,7,977.8070927993629
30/09/2001,2002,8,954.5498457557619
13/10/2001,2002,9,957.9607188331607
21/10/2001,2002,10,960.8669199199369
28/10/2001,2002,11,931.8459799943757
04/11/2001,2002,12,900.1508695443779
18/11/2001,2002,13,868.4254774244993
25/11/2001,2002,14,898.4725561465574
01/12/2001,2002,15,868.0687265438936
09/12/2001,2002,16,839.200616154163
17/12/2001,2002,17,807.6234850276496
22/12/2001,2002,18,950.5798173552243
26/12/2001,2002,19,990.4390916443998
29/12/2001,2002,20,1045.5090273119667
01/01/2002,2002,21,1018.841839367205
12/01/2002,2002,22,1047.9911357811195
19/01/2002,2002,23,1079.7151428881466
30/01/2002,2002,24,1112.8269652632184
02/02/2002,2002,25,1144.486999590023
09/02/2002,2002,26,1113.2861045778268
13/03/2002,2002,27,1005.7840580804485
02/03/2002,2002,28,1086.5895447289001
06/03/2002,2002,29,1055.4731655927715
16/03/2002,2002,30,1038.059165252993
23/03/2002,2002,31,1027.9830384896266
30/03/2002,2002,32,994.9038035401995
01/04/2002,2002,33,1021.6156704398331
06/04/2002,2002,34,985.3298875582433
24/04/2002,2002,35,1030.6849245584756
21/04/2002,2002,36,969.1806889595814
27/04/2002,2002,37,1000.7652305548019
11/05/2002,2002,38,972.5197113099032
