Date,Season_End_Year,Week,ELO
16/08/1992,1993,1,975.0
19/08/1992,1993,2,1014.2880893218262
23/08/1992,1993,3,969.6218208632469
25/08/1992,1993,4,974.3951881896098
29/08/1992,1993,5,978.838910639578
01/09/1992,1993,6,980.5061767125694
05/09/1992,1993,7,1033.6668080142522
12/09/1992,1993,8,952.3674177942742
19/09/1992,1993,9,923.2989617442458
26/09/1992,1993,10,894.3968783268033
03/10/1992,1993,11,946.7377004818366
18/10/1992,1993,12,964.8081815103417
25/10/1992,1993,13,1039.6202633788025
31/10/1992,1993,14,985.2014266031931
07/11/1992,1993,15,1012.6086684525014
22/11/1992,1993,16,1062.5800449655655
28/11/1992,1993,17,1093.9079696820672
07/12/1992,1993,18,984.1711086870662
13/12/1992,1993,19,1010.060744882237
19/12/1992,1993,20,972.0704671220574
05/05/1993,1993,21,993.8441141649578
28/12/1992,1993,22,979.5136254177667
09/01/1993,1993,23,947.8309622620685
16/01/1993,1993,24,921.6757494071722
21/04/1993,1993,25,1113.000074193404
31/01/1993,1993,26,972.1982385567452
06/02/1993,1993,27,974.5712034101556
10/02/1993,1993,28,967.8807158047414
13/02/1993,1993,29,937.020905942874
20/02/1993,1993,30,953.3759753242803
27/02/1993,1993,31,997.1383940479476
06/03/1993,1993,32,965.9409308301434
10/03/1993,1993,33,1005.9712381096251
13/03/1993,1993,34,1037.6450406346726
20/03/1993,1993,35,1066.0522221305432
23/03/1993,1993,36,1061.6490363460975
03/04/1993,1993,37,1008.6704083379866
10/04/1993,1993,38,1052.9748677616203
12/04/1993,1993,39,1050.519584667182
17/04/1993,1993,40,1082.1199345484247
01/05/1993,1993,41,1021.6927270270841
08/05/1993,1993,42,1024.5867543546779
14/08/1993,1994,1,1054.4010766935635
18/08/1993,1994,2,1082.671557114841
22/08/1993,1994,3,1114.2893247924842
25/08/1993,1994,4,1037.1759766356188
28/08/1993,1994,5,1068.6547547612854
01/09/1993,1994,6,1008.0008088564848
12/09/1993,1994,7,976.323784784917
18/09/1993,1994,8,948.8298045366973
25/09/1993,1994,9,917.6788370853589
02/10/1993,1994,10,938.4356523220275
16/10/1993,1994,11,964.1678891259246
23/10/1993,1994,12,966.3578905065648
30/10/1993,1994,13,995.6265433082601
06/11/1993,1994,14,1054.6851835056277
21/11/1993,1994,15,1015.1277823504145
05/02/1994,1994,16,1121.8236610613696
28/11/1993,1994,17,1046.7447722327017
04/12/1993,1994,18,1020.4545504465154
08/12/1993,1994,19,1047.8665129597464
11/12/1993,1994,20,1029.2549873264552
18/12/1993,1994,21,1021.6156293294977
26/12/1993,1994,22,994.6129091609989
28/12/1993,1994,23,992.5020907972744
01/01/1994,1994,24,1046.3192144201882
04/01/1994,1994,25,1078.3773765375
15/01/1994,1994,26,1108.6674276938625
22/01/1994,1994,27,1138.0562251576237
30/03/1994,1994,28,1022.1358412372339
14/02/1994,1994,29,1036.8012640300424
19/02/1994,1994,30,1011.4018229294297
26/02/1994,1994,31,1042.631877747441
05/03/1994,1994,32,1011.0036548983849
