Date,Season_End_Year,Week,ELO
17/08/1992,1993,1,1000.0
19/08/1992,1993,2,968.1799918376346
22/08/1992,1993,3,938.1626769002902
26/08/1992,1993,4,998.5931413836408
29/08/1992,1993,5,998.0501106168532
01/09/1992,1993,6,1028.0542181120006
05/09/1992,1993,7,1057.9904008591116
12/09/1992,1993,8,1021.4534991596802
20/09/1992,1993,9,987.5604309760827
28/09/1992,1993,10,951.2149068621967
03/10/1992,1993,11,947.7133214098022
17/10/1992,1993,12,949.2074349233629
24/10/1992,1993,13,974.2680669144002
31/10/1992,1993,14,1004.2241576781423
07/11/1992,1993,15,1032.0586572158238
21/11/1992,1993,16,1062.0948880600379
28/11/1992,1993,17,1036.749987549414
06/12/1992,1993,18,1010.9533986735022
12/12/1992,1993,19,984.7005118259431
19/12/1992,1993,20,1010.2145534100072
26/12/1992,1993,21,1041.1153545725588
28/12/1992,1993,22,1033.6721962768495
09/01/1993,1993,23,1063.975075662673
16/01/1993,1993,24,999.9403076242818
26/01/1993,1993,25,1028.3827929509632
30/01/1993,1993,26,1056.8633666377457
06/02/1993,1993,27,1051.4679094622336
23/02/1993,1993,28,987.1342878088469
21/04/1993,1993,29,1000.6220360170125
20/02/1993,1993,30,1018.6337888513605
27/02/1993,1993,31,1032.7634753279879
05/05/1993,1993,32,1028.9124014648853
10/03/1993,1993,33,1059.88066876106
13/03/1993,1993,34,1022.6251803230178
20/03/1993,1993,35,1025.1552272621627
24/03/1993,1993,36,995.7132138357351
03/04/1993,1993,37,1026.8040954131984
09/04/1993,1993,38,1024.7517996657793
12/04/1993,1993,39,1027.2070827602176
18/04/1993,1993,40,996.0567314763204
01/05/1993,1993,41,1030.2756083307183
08/05/1993,1993,42,980.5359957406536
14/08/1993,1994,1,979.455055881303
17/08/1993,1994,2,949.898637002185
21/08/1993,1994,3,918.6843744660623
24/08/1993,1994,4,888.4660344472818
27/08/1993,1994,5,896.8773995671037
01/09/1993,1994,6,922.8654725653959
11/09/1993,1994,7,986.7882482644637
20/09/1993,1994,8,956.2707933261419
25/09/1993,1994,9,990.6593658027579
04/10/1993,1994,10,983.6798384073113
16/10/1993,1994,11,989.7499384907694
23/10/1993,1994,12,987.5599371101292
01/11/1993,1994,13,956.4292026634913
07/11/1993,1994,14,936.3842796433635
20/11/1993,1994,15,964.9771219336637
22/11/1993,1994,16,958.6514087163788
27/11/1993,1994,17,928.9726974287711
04/12/1993,1994,18,897.2976277852746
08/12/1993,1994,19,945.5503197733301
11/12/1993,1994,20,916.2593680812358
18/12/1993,1994,21,886.2961365409373
22/02/1994,1994,22,933.4681319738519
28/12/1993,1994,23,886.6468664614463
01/01/1994,1994,24,854.9662131649249
29/03/1994,1994,25,928.8406405841598
15/01/1994,1994,26,894.0561039661712
22/01/1994,1994,27,864.6673065024099
05/02/1994,1994,28,924.0980858706444
12/02/1994,1994,29,930.1925567336069
19/02/1994,1994,30,903.0635632244978
26/02/1994,1994,31,958.5974231044822
05/03/1994,1994,32,961.2722379377628
12/03/1994,1994,33,929.9137608435626
19/03/1994,1994,34,926.9420017766585
26/03/1994,1994,35,931.5211895489078
02/04/1994,1994,36,954.7173443731673
04/04/1994,1994,37,981.1113959191953
09/04/1994,1994,38,1060.9938189939762
16/04/1994,1994,39,1025.9169562425097
23/04/1994,1994,40,995.0174381679757
30/04/1994,1994,41,1003.4325919111383
07/05/1994,1994,42,1014.0669339567964
20/08/1994,1995,1,988.6818921841354
24/08/1994,1995,2,1025.2513210943355
27/08/1994,1995,3,1053.6327532620076
31/08/1994,1995,4,1022.675740438606
10/09/1994,1995,5,1003.6551784354084
17/09/1994,1995,6,1001.4325979327419
24/09/1994,1995,7,1026.7936169717052
01/10/1994,1995,8,997.6175909872696
08/10/1994,1995,9,1012.9205857414778
15/10/1994,1995,10,1044.6002224407137
22/10/1994,1995,11,1075.808805045336
29/10/1994,1995,12,1037.5890355842596
10/11/1994,1995,13,996.6814650386568
05/11/1994,1995,14,1027.6659866573543
20/11/1994,1995,15,1028.128128913251
26/11/1994,1995,16,1065.0783612226307
03/12/1994,1995,17,1096.8037657984476
12/12/1994,1995,18,1035.4264599855458
17/12/1994,1995,19,953.4835746907925
26/12/1994,1995,20,926.1997309675958
28/12/1994,1995,21,894.7201159399698
31/12/1994,1995,22,898.8515406784886
02/01/1995,1995,23,907.189796326691
14/01/1995,1995,24,910.1941936575249
11/04/1995,1995,25,863.8614581479503
25/01/1995,1995,26,870.1097918796527
04/02/1995,1995,27,885.766840881897
11/02/1995,1995,28,861.1065430341075
21/03/1995,1995,29,922.2728489530876
22/02/1995,1995,30,910.5562859953143
25/02/1995,1995,31,936.1400561757748
04/03/1995,1995,32,936.9241346517399
08/03/1995,1995,33,907.8734766442033
15/03/1995,1995,34,920.6197002268595
18/03/1995,1995,35,953.7849826230929
01/04/1995,1995,36,895.2418030050517
03/05/1995,1995,37,1056.2119467632406
14/04/1995,1995,38,988.8917628035742
17/04/1995,1995,39,1108.5002172101838
29/04/1995,1995,40,1091.1816478314497
06/05/1995,1995,41,1024.7351921770803
14/05/1995,1995,42,997.4581654880785
19/08/1995,1996,1,998.2159281750622
23/08/1995,1996,2,955.6198745902832
26/08/1995,1996,3,925.9788618117063
30/08/1995,1996,4,894.5517761598277
10/09/1995,1996,5,862.8338054650521
16/09/1995,1996,6,833.1455418255059
23/09/1995,1996,7,803.3391278618178
30/09/1995,1996,8,781.3348991386472
14/10/1995,1996,9,762.5026700989541
21/10/1995,1996,10,820.06997504234
28/10/1995,1996,11,795.5876779023204
04/11/1995,1996,12,883.239131906488
18/11/1995,1996,13,893.2582883714587
22/11/1995,1996,14,928.0214898271346
25/11/1995,1996,15,1044.859557509637
02/12/1995,1996,16,1070.4365082563188
09/12/1995,1996,17,1039.3650030173947
18/12/1995,1996,18,1039.7301517736707
23/12/1995,1996,19,1008.3389463134264
26/12/1995,1996,20,982.0306531483384
31/01/1996,1996,21,987.8406470543763
01/01/1996,1996,22,1017.4887927626329
13/01/1996,1996,23,986.058880935568
20/01/1996,1996,24,986.6936721610109
03/02/1996,1996,25,1019.554214891496
10/02/1996,1996,26,988.1488638213743
05/03/1996,1996,27,994.9614858137243
24/02/1996,1996,28,1017.9238468932787
02/03/1996,1996,29,1024.7615703844167
12/03/1996,1996,30,1000.4514194091984
16/03/1996,1996,31,1029.2755555097747
23/03/1996,1996,32,998.8081721622749
30/03/1996,1996,33,998.1982258521836
06/04/1996,1996,34,970.5418880623212
08/04/1996,1996,35,938.8272688406704
13/04/1996,1996,36,995.5280276971669
27/04/1996,1996,37,1027.4376035807732
05/05/1996,1996,38,1036.109480905838
19/08/2000,2001,1,989.6244197831547
23/08/2000,2001,2,1039.0725665549317
26/08/2000,2001,3,984.1520638628148
05/09/2000,2001,4,1042.0785841193835
09/09/2000,2001,5,1016.3989245607066
17/09/2000,2001,6,1014.6118628175212
23/09/2000,2001,7,1014.5785136014337
30/09/2000,2001,8,988.58421715453
14/10/2000,2001,9,1016.573738443738
23/10/2000,2001,10,1042.8604177536108
28/10/2000,2001,11,1013.659265793849
04/11/2000,2001,12,983.0633562457856
11/11/2000,2001,13,956.4263234678357
18/11/2000,2001,14,936.6394453549628
25/11/2000,2001,15,905.2246397459771
03/12/2000,2001,16,874.2263515685991
09/12/2000,2001,17,980.2326275964266
16/12/2000,2001,18,988.4319697344552
23/12/2000,2001,19,956.9503377768857
26/12/2000,2001,20,970.8747424191516
30/12/2000,2001,21,941.273074287415
01/01/2001,2001,22,946.496094143879
13/01/2001,2001,23,915.6700427014113
20/01/2001,2001,24,930.3439778521829
31/01/2001,2001,25,961.3452795300232
03/02/2001,2001,26,974.2139498634825
10/02/2001,2001,27,944.0390641606961
24/02/2001,2001,28,993.3539023632942
03/03/2001,2001,29,961.9347253108392
17/03/2001,2001,30,940.6220127568275
31/03/2001,2001,31,909.772305980725
08/04/2001,2001,32,879.3286407560361
14/04/2001,2001,33,913.4708955474069
11/04/2001,2001,34,852.9349904754806
21/04/2001,2001,35,981.520285723551
28/04/2001,2001,36,1012.4620003932789
07/05/2001,2001,37,980.7590686682058
19/05/2001,2001,38,949.0654711438256
17/08/2002,2003,1,917.3403877844254
24/08/2002,2003,2,1003.6350010151642
28/08/2002,2003,3,974.7710062318101
31/08/2002,2003,4,1006.646820419451
10/09/2002,2003,5,986.2652319096616
15/09/2002,2003,6,990.5659287423987
21/09/2002,2003,7,989.0400530396035
28/09/2002,2003,8,962.6143553928897
05/10/2002,2003,9,934.9325598070048
19/10/2002,2003,10,903.2115372406163
26/10/2002,2003,11,970.8175830818257
02/11/2002,2003,12,999.1317111327091
09/11/2002,2003,13,1065.3668894713658
16/11/2002,2003,14,1000.6460399719431
23/11/2002,2003,15,968.9515812533006
30/11/2002,2003,16,1004.3050254494246
09/12/2002,2003,17,1033.2183683049427
14/12/2002,2003,18,1042.9089737981126
23/12/2002,2003,19,1017.0914065245988
26/12/2002,2003,20,1045.9435598265372
28/12/2002,2003,21,1076.540982377223
01/01/2003,2003,22,1083.0607767478111
11/01/2003,2003,23,1121.5626361371667
18/01/2003,2003,24,1096.4144974033973
29/01/2003,2003,25,1127.8417513131624
01/02/2003,2003,26,1013.6700979310931
09/02/2003,2003,27,1050.156120695893
22/02/2003,2003,28,1020.1156747913602
01/03/2003,2003,29,989.528273995528
16/03/2003,2003,30,1024.5637334174785
22/03/2003,2003,31,994.5323134396007
05/04/2003,2003,32,964.5150604368353
12/04/2003,2003,33,1005.0565769617691
18/04/2003,2003,34,1033.294557521175
21/04/2003,2003,35,1051.2660155115577
27/04/2003,2003,36,1022.7258476361417
03/05/2003,2003,37,1108.844799182491
11/05/2003,2003,38,1036.2450264587762
17/08/2003,2004,1,1067.512311286465
23/08/2003,2004,2,1064.7530863483505
25/08/2003,2004,3,1128.1071731970135
31/08/2003,2004,4,1096.3819755217028
14/09/2003,2004,5,1127.5017910048903
20/09/2003,2004,6,1125.8429685387873
28/09/2003,2004,7,1093.75913536854
04/10/2003,2004,8,1009.959957572358
18/10/2003,2004,9,1043.6229135156627
25/10/2003,2004,10,1013.5121502608913
01/11/2003,2004,11,1060.9964999633814
09/11/2003,2004,12,991.1153390828665
22/11/2003,2004,13,959.3899894232818
30/11/2003,2004,14,927.884828153435
07/12/2003,2004,15,930.1129653294472
13/12/2003,2004,16,911.5913938948881
22/12/2003,2004,17,952.9954520188481
26/12/2003,2004,18,921.3123097736433
28/12/2003,2004,19,954.9513895074732
07/01/2004,2004,20,986.0149594442938
10/01/2004,2004,21,929.7070368942186
17/01/2004,2004,22,940.7040940194373
01/02/2004,2004,23,922.7867230709528
08/02/2004,2004,24,940.6324642544164
11/02/2004,2004,25,909.1885339168219
21/02/2004,2004,26,1013.4769820013634
28/02/2004,2004,27,982.3572888827675
14/03/2004,2004,28,1045.6363418370747
22/03/2004,2004,29,1002.8416866038594
27/03/2004,2004,30,1003.6923677273965
04/04/2004,2004,31,1012.5630274334483
10/04/2004,2004,32,999.2347652646
12/04/2004,2004,33,995.1164991965107
17/04/2004,2004,34,967.0831387652486
24/04/2004,2004,35,965.1567691363803
01/05/2004,2004,36,1067.884941281054
08/05/2004,2004,37,1019.1335793974823
15/05/2004,2004,38,1047.1381071511641
14/08/2004,2005,1,1052.026269726705
21/08/2004,2005,2,1020.4143589211576
24/08/2004,2005,3,993.3142677167255
28/08/2004,2005,4,1052.4583586250246
11/09/2004,2005,5,1016.5916233962565
18/09/2004,2005,6,1045.7186078876034
25/09/2004,2005,7,1021.6394273924138
02/10/2004,2005,8,1007.3612505763008
16/10/2004,2005,9,1141.6024277997458
24/10/2004,2005,10,1090.0393116252865
01/11/2004,2005,11,1057.5696822686193
07/11/2004,2005,12,1071.7668227758566
13/11/2004,2005,13,1061.2080909544072
20/11/2004,2005,14,1088.69321860515
27/11/2004,2005,15,1137.3066657412144
06/12/2004,2005,16,1080.505312032743
11/12/2004,2005,17,1043.543610468457
18/12/2004,2005,18,1073.808097790253
26/12/2004,2005,19,1042.4705309981625
28/12/2004,2005,20,1002.4088008548257
01/01/2005,2005,21,1033.4462146835426
04/01/2005,2005,22,1076.1925100665396
15/01/2005,2005,23,1107.765234838514
22/01/2005,2005,24,990.5719829352583
02/02/2005,2005,25,993.2308379326363
06/02/2005,2005,26,1094.6673304413703
13/02/2005,2005,27,1069.9893574194377
28/02/2005,2005,28,1100.9601000255377
07/03/2005,2005,29,1072.703268470925
19/03/2005,2005,30,1023.7035801464569
02/04/2005,2005,31,1021.8044417551522
09/04/2005,2005,32,1068.6587752300416
16/04/2005,2005,33,1050.2810285713356
20/04/2005,2005,34,1081.4391241677872
23/04/2005,2005,35,1089.4725199912355
30/04/2005,2005,36,1120.7911912830841
07/05/2005,2005,37,1152.378566253375
15/05/2005,2005,38,1140.1440671832988
13/08/2005,2006,1,1126.6623018717337
20/08/2005,2006,2,1165.8619957781887
23/08/2005,2006,3,1173.2245243632733
27/08/2005,2006,4,1199.3084820164972
10/09/2005,2006,5,1197.9535413707802
18/09/2005,2006,6,1137.8720767240059
24/09/2005,2006,7,1073.4795069499207
02/10/2005,2006,8,1102.9184396957012
16/10/2005,2006,9,1129.0596029502412
22/10/2005,2006,10,1072.6567577805408
31/10/2005,2006,11,1104.346037632353
05/11/2005,2006,12,1040.0091436592638
19/11/2005,2006,13,1044.1647748724388
26/11/2005,2006,14,1013.223702819947
04/12/2005,2006,15,1044.1349537514964
10/12/2005,2006,16,1001.3798358965837
17/12/2005,2006,17,1030.0523341799624
26/12/2005,2006,18,1001.8042767261014
28/12/2005,2006,19,982.1153306948463
31/12/2005,2006,20,981.2016491088142
04/01/2006,2006,21,949.6971808719825
14/01/2006,2006,22,1081.18943512272
21/01/2006,2006,23,1055.2177687675994
01/02/2006,2006,24,1086.5829773654928
04/02/2006,2006,25,1061.0046663659384
12/02/2006,2006,26,1089.0708343743845
26/02/2006,2006,27,1060.606900404341
05/03/2006,2006,28,1085.6996742364495
11/03/2006,2006,29,953.7424087349259
18/03/2006,2006,30,924.9675113008149
25/03/2006,2006,31,893.5186601746418
02/04/2006,2006,32,864.0345377040817
08/04/2006,2006,33,833.0984140167233
15/04/2006,2006,34,801.7481543358386
04/05/2006,2006,35,827.923567696009
25/04/2006,2006,36,881.3339755742379
29/04/2006,2006,37,851.6774939312572
07/05/2006,2006,38,803.4543218212837
20/08/2006,2007,1,779.4461757181082
23/08/2006,2007,2,848.8710446237726
26/08/2006,2007,3,991.7057933066334
11/09/2006,2007,4,949.4964465579991
17/09/2006,2007,5,917.8911894493816
23/09/2006,2007,6,969.7941752838841
30/09/2006,2007,7,992.3238748829768
14/10/2006,2007,8,991.6638522716759
21/10/2006,2007,9,937.7462303554389
30/10/2006,2007,10,1000.4195774581196
04/11/2006,2007,11,927.4583043742095
11/11/2006,2007,12,927.7256121669004
18/11/2006,2007,13,992.6026546475596
25/11/2006,2007,14,960.8779390524077
29/11/2006,2007,15,1037.810642136088
04/12/2006,2007,16,1014.3490305025762
09/12/2006,2007,17,994.0188543779026
17/12/2006,2007,18,962.4287618661137
23/12/2006,2007,19,930.7230824213558
26/12/2006,2007,20,977.7504011581841
30/12/2006,2007,21,1036.6055528437225
01/01/2007,2007,22,1068.306211038631
13/01/2007,2007,23,1075.7601908305985
20/01/2007,2007,24,1047.8296957872446
17/04/2007,2007,25,1050.2643553019338
03/02/2007,2007,26,1019.2106573197927
10/02/2007,2007,27,960.3755784849321
14/03/2007,2007,28,908.8088621395143
03/03/2007,2007,29,931.3667208935415
17/03/2007,2007,30,1001.8645296103616
31/03/2007,2007,31,1029.0360777120522
06/04/2007,2007,32,1029.1638023317905
09/04/2007,2007,33,1059.7163555125974
14/04/2007,2007,34,1075.9097975289446
21/04/2007,2007,35,1034.1731689316532
28/04/2007,2007,36,1008.3664898123212
05/05/2007,2007,37,977.8427530409587
13/05/2007,2007,38,947.3008262746473
11/08/2007,2008,1,1058.011946358372
15/08/2007,2008,2,1087.8986474258172
19/08/2007,2008,3,1125.0813350999472
25/08/2007,2008,4,1096.6265351390762
02/09/2007,2008,5,1067.8354290066516
16/09/2007,2008,6,1121.929400547181
22/09/2007,2008,7,1092.5128226691215
29/09/2007,2008,8,1123.0051218607077
07/10/2007,2008,9,1153.7944617921048
20/10/2007,2008,10,1183.3020798886303
27/10/2007,2008,11,1155.1930316238781
05/11/2007,2008,12,1181.7968270608776
11/11/2007,2008,13,1181.7531583394366
24/11/2007,2008,14,1209.9419299028666
01/12/2007,2008,15,1119.2691948086488
09/12/2007,2008,16,1025.2560225390089
15/12/2007,2008,17,1078.2048959233161
22/12/2007,2008,18,1078.2832494080085
27/12/2007,2008,19,1056.9802515106644
30/12/2007,2008,20,1065.7306973724144
02/01/2008,2008,21,1097.325694121246
12/01/2008,2008,22,1065.7710691556547
20/01/2008,2008,23,1078.6998744362452
30/01/2008,2008,24,986.4858436364083
02/02/2008,2008,25,958.3941836448681
10/02/2008,2008,26,1100.6755733077082
25/02/2008,2008,27,1068.9806378235764
01/03/2008,2008,28,1065.1784275329148
08/03/2008,2008,29,997.3481904257067
16/03/2008,2008,30,1062.131299212361
22/03/2008,2008,31,1019.4452440911947
29/03/2008,2008,32,981.356560075983
05/04/2008,2008,33,958.8961594087676
12/04/2008,2008,34,1011.1279517898623
20/04/2008,2008,35,1082.4631219451126
26/04/2008,2008,36,1005.6735064695645
04/05/2008,2008,37,976.8410405819541
11/05/2008,2008,38,949.3316562028896
17/08/2008,2009,1,920.2351221823162
24/08/2008,2009,2,967.9052938860934
31/08/2008,2009,3,993.2040359145393
13/09/2008,2009,4,966.8329367449759
21/09/2008,2009,5,1011.921482758302
28/09/2008,2009,6,986.2267874073242
05/10/2008,2009,7,960.0215999856684
20/10/2008,2009,8,958.8312292394959
26/10/2008,2009,9,994.1781812100705
29/10/2008,2009,10,963.630797280545
02/11/2008,2009,11,925.8685935345338
09/11/2008,2009,12,898.0521183875877
16/11/2008,2009,13,922.9932162444246
22/11/2008,2009,14,1006.6209019338717
30/11/2008,2009,15,976.3243611164951
06/12/2008,2009,16,998.9120089508289
13/12/2008,2009,17,968.3051400396263
21/12/2008,2009,18,894.9976305590224
26/12/2008,2009,19,949.6622469613038
