Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1000.0
19/08/1992,1993,2,975.0
22/08/1992,1993,3,977.3448653175718
24/08/1992,1993,4,946.7076917108534
29/08/1992,1993,5,998.9900700161355
01/09/1992,1993,6,997.3228039431441
05/09/1992,1993,7,967.7860638322286
12/09/1992,1993,8,937.5919042137983
19/09/1992,1993,9,942.4338627525684
26/09/1992,1993,10,980.1001446473596
03/10/1992,1993,11,947.3658470762804
17/10/1992,1993,12,948.6813912817865
24/10/1992,1993,13,923.6207592907493
31/10/1992,1993,14,963.8740325605825
07/11/1992,1993,15,967.7599062135675
22/11/1992,1993,16,975.0778433586811
28/11/1992,1993,17,1006.1794137741336
05/12/1992,1993,18,1032.743931547495
12/12/1992,1993,19,1024.1290577767625
19/12/1992,1993,20,969.8413887042027
26/12/1992,1993,21,986.4505308443534
28/12/1992,1993,22,960.9461947212799
09/01/1993,1993,23,927.9851356502827
16/01/1993,1993,24,978.2197366332024
26/01/1993,1993,25,933.8165126302201
30/01/1993,1993,26,1051.2228145417062
07/02/1993,1993,27,1000.8239390815949
10/02/1993,1993,28,1045.462724729175
13/02/1993,1993,29,1076.3225345910423
20/02/1993,1993,30,1048.055647363019
27/02/1993,1993,31,1079.7007959773186
06/03/1993,1993,32,1107.1535147197565
09/03/1993,1993,33,1080.2906648897117
13/03/1993,1993,34,1110.1701871431746
20/03/1993,1993,35,1036.7301359426006
24/03/1993,1993,36,987.4109492151342
03/04/1993,1993,37,937.3156841415647
10/04/1993,1993,38,973.8897386994464
12/04/1993,1993,39,942.933919423452
17/04/1993,1993,40,947.5447974363318
01/05/1993,1993,41,917.8912251226259
08/05/1993,1993,42,886.5693421349891
14/08/1993,1994,1,854.8982242489653
17/08/1993,1994,2,823.4077815608224
21/08/1993,1994,3,792.3147588198129
25/08/1993,1994,4,854.1076909574748
28/08/1993,1994,5,836.9832547673598
31/08/1993,1994,6,805.5285137995675
11/09/1993,1994,7,774.1567850273858
18/09/1993,1994,8,742.4346381285377
25/09/1993,1994,9,717.6645648997891
02/10/1993,1994,10,759.0896756452133
16/10/1993,1994,11,796.2467227595428
24/10/1993,1994,12,919.3203638520704
30/10/1993,1994,13,890.051711050375
06/11/1993,1994,14,940.5472355776712
20/11/1993,1994,15,908.9461868240605
24/11/1993,1994,16,1022.6200040664662
