Date,Season_End_Year,Week,ELO
16/08/2008,2009,1,969.1740451477272
23/08/2008,2009,2,1009.6386865653551
30/08/2008,2009,3,982.4347026781847
14/09/2008,2009,4,956.4957065722949
20/09/2008,2009,5,1023.2707866196899
27/09/2008,2009,6,996.1274411523925
05/10/2008,2009,7,968.6741980539371
19/10/2008,2009,8,995.9018974550779
26/10/2008,2009,9,960.5549454845033
29/10/2008,2009,10,1002.0577631652917
01/11/2008,2009,11,1072.194108881205
08/11/2008,2009,12,1057.2529216439193
15/11/2008,2009,13,1025.5290423485574
22/11/2008,2009,14,1057.1354319684726
29/11/2008,2009,15,1054.903297050869
06/12/2008,2009,16,1056.8220359692264
13/12/2008,2009,17,1061.9441655204614
20/12/2008,2009,18,951.3970117611037
26/12/2008,2009,19,925.7687256870879
28/12/2008,2009,20,894.7849765813171
10/01/2009,2009,21,964.4877027994878
17/01/2009,2009,22,933.8996062653413
27/01/2009,2009,23,907.1117412967224
31/01/2009,2009,24,988.0309584715079
07/02/2009,2009,25,961.9088979194613
21/02/2009,2009,26,956.2062684432607
01/03/2009,2009,27,998.4273173074738
04/03/2009,2009,28,1039.9331171061315
14/03/2009,2009,29,1008.2334511728455
21/03/2009,2009,30,1035.4508176131026
04/04/2009,2009,31,1067.009625785097
11/04/2009,2009,32,1047.9478011292028
18/04/2009,2009,33,1076.7013332869574
25/04/2009,2009,34,1049.069210892208
02/05/2009,2009,35,1012.3704579145622
09/05/2009,2009,36,1043.3529911450653
16/05/2009,2009,37,1074.956884848964
24/05/2009,2009,38,1046.08677472605
15/08/2009,2010,1,1075.2915746044196
19/08/2009,2010,2,1046.5215681889306
22/08/2009,2010,3,1048.4242324294123
29/08/2009,2010,4,1080.1487282902974
12/09/2009,2010,5,1059.3775510257208
19/09/2009,2010,6,1015.4731260037044
26/09/2009,2010,7,994.282083518453
04/10/2009,2010,8,1015.7664257634798
17/10/2009,2010,9,1047.3953965260002
24/10/2009,2010,10,1145.0994107084512
31/10/2009,2010,11,1114.7691875723378
08/11/2009,2010,12,1007.7832462645474
22/11/2009,2010,13,1039.110968166319
28/11/2009,2010,14,1041.024858994988
05/12/2009,2010,15,1010.1928258332176
12/12/2009,2010,16,1010.0197308042451
05/01/2010,2010,17,1022.8035973000763
19/12/2009,2010,18,981.4776191627474
26/12/2009,2010,19,949.9686174780331
28/12/2009,2010,20,921.5506535998811
10/03/2010,2010,21,1016.7564787984822
16/01/2010,2010,22,1038.8712315671014
16/02/2010,2010,23,1048.161736257276
01/02/2010,2010,24,1021.174529909013
06/02/2010,2010,25,1050.9340698248666
09/02/2010,2010,26,1034.2577029209515
20/02/2010,2010,27,1079.728926905049
27/02/2010,2010,28,1048.7904140328442
05/05/2010,2010,29,1037.6435827247578
13/03/2010,2010,30,1051.020279044887
20/03/2010,2010,31,1019.6220144170055
27/03/2010,2010,32,1051.0038147986213
03/04/2010,2010,33,1082.569626278643
11/04/2010,2010,34,1078.6419403559428
17/04/2010,2010,35,994.4561528363163
25/04/2010,2010,36,968.75116589136
01/05/2010,2010,37,1012.3667769762466
09/05/2010,2010,38,1013.9110903365249
14/08/2010,2011,1,987.2066790043483
21/08/2010,2011,2,955.809126084292
28/08/2010,2011,3,939.5268086919131
13/09/2010,2011,4,1018.0518399836429
18/09/2010,2011,5,1008.6688112022076
26/09/2010,2011,6,1048.4890580552458
02/10/2010,2011,7,1088.1052428253033
16/10/2010,2011,8,1055.5074954215522
24/10/2010,2011,9,1023.9842839372874
30/10/2010,2011,10,992.6833709975601
06/11/2010,2011,11,961.8878877523293
09/11/2010,2011,12,993.7873491454917
13/11/2010,2011,13,1067.9055319513523
20/11/2010,2011,14,1098.8998852648547
27/11/2010,2011,15,1103.0820725812682
04/12/2010,2011,16,1082.0033267393544
11/12/2010,2011,17,1050.2352549880097
23/02/2011,2011,18,992.8347021574688
26/12/2010,2011,19,1077.1389968354606
28/12/2010,2011,20,1006.9731682881159
01/01/2011,2011,21,1057.0823551007281
04/01/2011,2011,22,1029.9613606409166
15/01/2011,2011,23,1055.4355102956329
22/01/2011,2011,24,1017.1747460185188
02/02/2011,2011,25,987.9463704347279
05/02/2011,2011,26,1047.923348688657
12/02/2011,2011,27,1019.6085592249273
28/02/2011,2011,28,990.6635093817783
05/03/2011,2011,29,960.5055203395326
19/03/2011,2011,30,1017.373313543512
02/04/2011,2011,31,1053.2757134941648
09/04/2011,2011,32,1024.7914769780064
26/04/2011,2011,33,1063.278986510993
23/04/2011,2011,34,1033.333127474522
30/04/2011,2011,35,1046.0744197912584
08/05/2011,2011,36,1107.5778737731027
17/05/2011,2011,37,1078.408021870963
22/05/2011,2011,38,1038.0684556461035
14/08/2011,2012,1,1053.1506155651618
21/08/2011,2012,2,1051.5966249522708
28/08/2011,2012,3,1078.2352808682465
10/09/2011,2012,4,1122.7652799304517
18/09/2011,2012,5,1034.6831196135945
24/09/2011,2012,6,1099.420067888206
02/10/2011,2012,7,1036.2384079777837
15/10/2011,2012,8,1087.425704490765
23/10/2011,2012,9,1047.536135121207
31/10/2011,2012,10,1016.384506800863
06/11/2011,2012,11,923.7782516519624
19/11/2011,2012,12,893.0091534068945
26/11/2011,2012,13,926.5787700989719
04/12/2011,2012,14,1000.8085736346777
11/12/2011,2012,15,1173.6239255311252
17/12/2011,2012,16,1202.2207049694264
21/12/2011,2012,17,1170.9260450286195
26/12/2011,2012,18,1147.1989908131502
31/12/2011,2012,19,1133.3637079222178
02/01/2012,2012,20,1160.747696097969
14/01/2012,2012,21,1156.1377420388853
21/01/2012,2012,22,1082.2485099033418
31/01/2012,2012,23,1050.6813812271694
04/02/2012,2012,24,1019.0597531797696
11/02/2012,2012,25,987.669672697208
26/02/2012,2012,26,1052.2283304020823
03/03/2012,2012,27,1095.8075143173833
10/03/2012,2012,28,1068.1882280376371
21/03/2012,2012,29,1071.0842737830533
24/03/2012,2012,30,1086.6745120410972
31/03/2012,2012,31,1040.9405434348478
07/04/2012,2012,32,1070.6083341449566
09/04/2012,2012,33,1066.0412804755942
01/05/2012,2012,34,1073.8565655605764
21/04/2012,2012,35,1034.7401277047952
28/04/2012,2012,36,1053.9589144697857
06/05/2012,2012,37,1047.6368053356862
13/05/2012,2012,38,1044.3250880890853
18/08/2012,2013,1,1029.3261003525795
26/08/2012,2013,2,1040.4549630013867
01/09/2012,2013,3,1068.3297652822316
15/09/2012,2013,4,1106.9701194248896
22/09/2012,2013,5,1075.661639938592
29/09/2012,2013,6,1107.02023864001
07/10/2012,2013,7,1096.9778913005941
20/10/2012,2013,8,1066.422705703867
27/10/2012,2013,9,1064.6866674406765
03/11/2012,2013,10,1029.9264137471034
10/11/2012,2013,11,1060.4060821554576
19/11/2012,2013,12,1065.2622743897496
24/11/2012,2013,13,1094.5342693525747
28/11/2012,2013,14,1126.2473647645659
01/12/2012,2013,15,1155.4871823501185
08/12/2012,2013,16,1132.7618335588083
15/12/2012,2013,17,1136.173196878059
22/12/2012,2013,18,1138.7738616899583
26/12/2012,2013,19,1165.9742797778558
29/12/2012,2013,20,1132.500166950038
01/01/2013,2013,21,1102.6284882500206
12/01/2013,2013,22,1067.7212600108137
19/01/2013,2013,23,1038.0178245834154
29/01/2013,2013,24,1024.504569734757
02/02/2013,2013,25,992.9325815164957
09/02/2013,2013,26,1051.2535426605773
23/02/2013,2013,27,1011.0279500827069
02/03/2013,2013,28,976.7848311408538
10/03/2013,2013,29,946.6099837386856
16/03/2013,2013,30,963.4665667838015
30/03/2013,2013,31,933.4001159378207
06/04/2013,2013,32,902.2907103838073
14/04/2013,2013,33,887.4791659094875
20/04/2013,2013,34,942.0373823718661
27/04/2013,2013,35,991.5029031670592
06/05/2013,2013,36,999.4733064747072
12/05/2013,2013,37,971.536865593952
19/05/2013,2013,38,977.4103836351057
17/08/2013,2014,1,947.6512232415643
24/08/2013,2014,2,977.7482892808532
31/08/2013,2014,3,1045.9669409529097
14/09/2013,2014,4,1052.9606067366537
22/09/2013,2014,5,1027.4644726104098
29/09/2013,2014,6,991.4129747970272
05/10/2013,2014,7,938.3510961717456
19/10/2013,2014,8,971.4068965640594
26/10/2013,2014,9,939.9638552329303
02/11/2013,2014,10,985.9000149227877
10/11/2013,2014,11,987.7040052910934
23/11/2013,2014,12,1032.2251386707512
30/11/2013,2014,13,1000.5718412890424
04/12/2013,2014,14,1003.1971008555877
07/12/2013,2014,15,1120.653163015153
14/12/2013,2014,16,1112.2965663644034
21/12/2013,2014,17,1143.665242914247
26/12/2013,2014,18,1113.7240667593283
29/12/2013,2014,19,1085.197060376777
01/01/2014,2014,20,1097.0712181828992
12/01/2014,2014,21,1065.958059339336
18/01/2014,2014,22,999.3343517502434
29/01/2014,2014,23,970.1383366130972
01/02/2014,2014,24,1094.22408147472
08/02/2014,2014,25,1102.6086814956457
12/02/2014,2014,26,1084.0205927691977
22/02/2014,2014,27,1053.089439279168
01/03/2014,2014,28,1152.5438581279432
08/03/2014,2014,29,1136.7370453303304
15/03/2014,2014,30,1164.517218227546
23/03/2014,2014,31,1196.638693452821
29/03/2014,2014,32,1227.0467449951998
05/04/2014,2014,33,1165.8343763068078
12/04/2014,2014,34,1192.9079154354886
19/04/2014,2014,35,1155.9256301461771
26/04/2014,2014,36,1130.4699176281515
03/05/2014,2014,37,1162.1902581611214
11/05/2014,2014,38,1192.5816007653516
16/08/2014,2015,1,1074.7762157889283
