Date,Season_End_Year,Week,ELO
15/08/2011,2012,1,970.3952604092349
20/08/2011,2012,2,981.3129482021849
27/08/2011,2012,3,980.1554054356537
10/09/2011,2012,4,951.5748511931744
17/09/2011,2012,5,1010.2227131579759
24/09/2011,2012,6,979.6936441338183
02/10/2011,2012,7,1042.8753040442407
15/10/2011,2012,8,1009.0875968952764
22/10/2011,2012,9,1005.9607656726425
29/10/2011,2012,10,1037.4348760403545
05/11/2011,2012,11,1056.0390517852638
19/11/2011,2012,12,1029.3291492094622
27/11/2011,2012,13,1033.720494336606
03/12/2011,2012,14,961.6217653322329
10/12/2011,2012,15,1048.9879996543066
17/12/2011,2012,16,1057.0189572830934
21/12/2011,2012,17,1013.0001726705975
27/12/2011,2012,18,1006.4464250518882
31/12/2011,2012,19,1052.9991263323507
02/01/2012,2012,20,1098.3133579620858
15/01/2012,2012,21,1135.1030577485335
21/01/2012,2012,22,1109.7439666046475
31/01/2012,2012,23,1116.8868836003521
04/02/2012,2012,24,1144.6582318680307
11/02/2012,2012,25,1111.0921236660217
26/02/2012,2012,26,1046.5334659611474
03/03/2012,2012,27,1077.0336002953725
11/03/2012,2012,28,1159.125191263669
17/03/2012,2012,29,1188.5612397706243
24/03/2012,2012,30,1108.0556453170477
01/04/2012,2012,31,1080.8962339108239
06/04/2012,2012,32,1049.812433578464
11/04/2012,2012,33,1021.1699724897227
14/04/2012,2012,34,1052.0762723978933
21/04/2012,2012,35,1046.1302683118565
28/04/2012,2012,36,1008.7826704412048
06/05/2012,2012,37,979.426888587525
13/05/2012,2012,38,1027.0770385719684
18/08/2012,2013,1,1062.6682622057863
25/08/2012,2013,2,1094.3928837112799
01/09/2012,2013,3,1083.9598302521097
15/09/2012,2013,4,1013.3786130815795
22/09/2012,2013,5,981.971627674357
29/09/2012,2013,6,950.6130289729393
06/10/2012,2013,7,946.8652079537225
20/10/2012,2013,8,1018.2241538124312
27/10/2012,2013,9,994.9963870087511
03/11/2012,2013,10,1048.8779146914567
10/11/2012,2013,11,1022.5135437741279
17/11/2012,2013,12,1060.0637574835846
25/11/2012,2013,13,1067.282287409825
28/11/2012,2013,14,1141.7108383119112
01/12/2012,2013,15,1171.275757737389
08/12/2012,2013,16,1145.0084433634722
16/12/2012,2013,17,1118.5153763675498
23/12/2012,2013,18,1159.2523450701613
26/12/2012,2013,19,1101.8824490438417
29/12/2012,2013,20,1133.0745755852583
01/01/2013,2013,21,1108.1240337209165
12/01/2013,2013,22,1121.6241982738052
19/01/2013,2013,23,1151.3276337012035
29/01/2013,2013,24,1150.0501516038148
02/02/2013,2013,25,1061.2530308760524
09/02/2013,2013,26,1095.9212691417986
17/02/2013,2013,27,1058.4155108942489
02/03/2013,2013,28,1085.4550788411236
09/03/2013,2013,29,1045.0911444184185
16/03/2013,2013,30,1013.5316913168972
30/03/2013,2013,31,981.8118068510023
06/04/2013,2013,32,985.727008512866
07/05/2013,2013,33,1074.868578205061
20/04/2013,2013,34,1012.260883940061
28/04/2013,2013,35,980.5882338519588
04/05/2013,2013,36,1041.9560994892936
12/05/2013,2013,37,1044.0173952713603
19/05/2013,2013,38,970.7278304681433
17/08/2013,2014,1,943.1324317747142
25/08/2013,2014,2,923.7516511878031
01/09/2013,2014,3,977.959363291837
16/09/2013,2014,4,1033.154028970138
22/09/2013,2014,5,1064.2187168646014
28/09/2013,2014,6,1039.6138096133639
06/10/2013,2014,7,1008.1253306422742
19/10/2013,2014,8,1039.3323567105504
27/10/2013,2014,9,1047.741234562174
03/11/2013,2014,10,1007.5029746873234
10/11/2013,2014,11,1005.6989843190178
23/11/2013,2014,12,1037.3497663553178
01/12/2013,2014,13,1005.8302368230067
04/12/2013,2014,14,1121.6826220187017
09/12/2013,2014,15,1111.637987188295
15/12/2013,2014,16,1103.0642617069964
22/12/2013,2014,17,1072.149355332704
26/12/2013,2014,18,1040.4913109136874
28/12/2013,2014,19,1019.7148187406134
01/01/2014,2014,20,996.8660624558931
11/01/2014,2014,21,967.6714526017225
19/01/2014,2014,22,942.4988650714557
28/01/2014,2014,23,968.9174216401694
01/02/2014,2014,24,941.871772279645
08/02/2014,2014,25,967.7812604534714
12/02/2014,2014,26,986.3693491799193
23/02/2014,2014,27,961.5006254247443
02/03/2014,2014,28,967.4127211438533
25/03/2014,2014,29,955.4142499100325
15/03/2014,2014,30,937.3916591841916
22/03/2014,2014,31,909.5514053008743
29/03/2014,2014,32,1007.2395322212066
05/04/2014,2014,33,973.5595825945982
13/04/2014,2014,34,943.5405948594581
19/04/2014,2014,35,973.759702674095
26/04/2014,2014,36,1004.3955407145952
03/05/2014,2014,37,972.7177779827168
11/05/2014,2014,38,1075.7331177726187
16/08/2014,2015,1,1130.0543410273438
23/08/2014,2015,2,1161.5916414228438
30/08/2014,2015,3,1192.4857790227209
13/09/2014,2015,4,1160.763094131772
20/09/2014,2015,5,1133.607048914853
27/09/2014,2015,6,1110.89919857505
04/10/2014,2015,7,1069.7874834236536
19/10/2014,2015,8,1042.1943512284881
25/10/2014,2015,9,1070.4376386841502
01/11/2014,2015,10,1077.4827004819992
09/11/2014,2015,11,1148.3053134243603
22/11/2014,2015,12,1117.8868814281502
29/11/2014,2015,13,1106.435334351757
02/12/2014,2015,14,1137.9999034828525
07/12/2014,2015,15,1107.9913293072232
14/12/2014,2015,16,1078.1609841650663
20/12/2014,2015,17,1109.4392809540498
26/12/2014,2015,18,1137.4381027726356
29/12/2014,2015,19,1100.0093396576478
01/01/2015,2015,20,1086.213710139065
10/01/2015,2015,21,1089.9960713932178
17/01/2015,2015,22,1059.395708080875
01/02/2015,2015,23,1158.4515907946898
07/02/2015,2015,24,1137.8049576940518
11/02/2015,2015,25,1058.7384716722756
21/02/2015,2015,26,1160.8900809743202
28/02/2015,2015,27,1192.4946200109462
04/03/2015,2015,28,1166.1148143525727
16/03/2015,2015,29,1134.3937926931728
21/03/2015,2015,30,1165.8113391051531
