Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1000.0
19/08/1992,1993,2,972.4450081623654
22/08/1992,1993,3,974.832503607693
25/08/1992,1993,4,947.8558786282895
30/08/1992,1993,5,954.8518589152558
02/09/1992,1993,6,982.7280270803417
05/09/1992,1993,7,1023.8187571768992
14/09/1992,1993,8,993.8141797696418
19/09/1992,1993,9,1007.4314345401683
27/09/1992,1993,10,962.1422018685374
03/10/1992,1993,11,930.6399047716702
17/10/1992,1993,12,942.456268775008
24/10/1992,1993,13,944.0998056952996
31/10/1992,1993,14,998.518642470909
07/11/1992,1993,15,1050.9442000495776
21/11/1992,1993,16,1060.769218769037
28/11/1992,1993,17,1086.1141192796608
05/12/1992,1993,18,1059.6708231535395
12/12/1992,1993,19,1090.392941502896
19/12/1992,1993,20,987.8442541200798
26/12/1992,1993,21,996.2988527797112
28/12/1992,1993,22,1027.4720762264467
09/01/1993,1993,23,996.0255953165823
16/01/1993,1993,24,966.5375754589292
27/01/1993,1993,25,941.2925899309637
30/01/1993,1993,26,967.2687242466686
07/02/1993,1993,27,1017.6675997067799
10/02/1993,1993,28,1043.8434541315912
02/03/1993,1993,29,996.6992467692063
20/02/1993,1993,30,1072.8961702794595
27/02/1993,1993,31,1102.9889727874909
20/04/1993,1993,32,938.7063645748618
10/03/1993,1993,33,1012.0351712421824
05/05/1993,1993,34,919.2425130621513
20/03/1993,1993,35,1008.6008420319937
24/03/1993,1993,36,1038.0428554584214
11/05/1993,1993,37,937.4619906756162
09/04/1993,1993,38,1067.214098203469
12/04/1993,1993,39,992.8444508689372
17/04/1993,1993,40,1027.6002585999936
01/05/1993,1993,41,950.952260169388
08/05/1993,1993,42,888.4998728724312
14/08/1993,1994,1,980.7280028985816
16/08/1993,1994,2,927.0250355465198
21/08/1993,1994,3,958.2392980826424
25/08/1993,1994,4,1035.3526462395077
28/08/1993,1994,5,1000.8684398128494
01/09/1993,1994,6,998.5965588748253
11/09/1993,1994,7,1000.8843706038211
18/09/1993,1994,8,1031.6961894671358
26/09/1993,1994,9,1027.9341139765993
03/10/1993,1994,10,1055.7246914290895
16/10/1993,1994,11,1025.161025081306
23/10/1993,1994,12,1003.1119466880432
30/10/1993,1994,13,974.287789052616
06/11/1993,1994,14,923.7922645253198
20/11/1993,1994,15,946.8512896689386
24/11/1993,1994,16,948.022633783894
27/11/1993,1994,17,953.3693486798427
04/12/1993,1994,18,922.278495952963
06/12/1993,1994,19,929.5415879811102
11/12/1993,1994,20,958.8325396732045
18/12/1993,1994,21,966.471897670162
27/12/1993,1994,22,935.0889470909365
28/12/1993,1994,23,1003.7061801682481
01/01/1994,1994,24,977.346111099229
03/01/1994,1994,25,945.631708086862
15/01/1994,1994,26,919.0533614451072
22/01/1994,1994,27,877.035491820085
05/02/1994,1994,28,846.9856727284508
12/02/1994,1994,29,831.9780205456968
02/03/1994,1994,30,848.3803438851944
27/02/1994,1994,31,800.974236289044
05/03/1994,1994,32,847.5807513934342
05/05/1994,1994,33,961.1135244338725
19/03/1994,1994,34,866.2828363915122
26/03/1994,1994,35,906.8590762605398
02/04/1994,1994,36,932.3765745952281
04/04/1994,1994,37,905.7003146823052
09/04/1994,1994,38,879.1357712436734
17/04/1994,1994,39,849.2496507584212
23/04/1994,1994,40,954.937584110737
30/04/1994,1994,41,928.4375849293106
07/05/1994,1994,42,935.5989303704523
20/08/1994,1995,1,1009.2964564317776
24/08/1994,1995,2,1036.487217985071
27/08/1994,1995,3,1004.7709002133355
30/08/1994,1995,4,1035.6914383971916
12/09/1994,1995,5,970.817154488901
17/09/1994,1995,6,919.6975606478477
