Date,Season_End_Year,Week,ELO
07/08/1999,2000,1,914.1933252891672
10/08/1999,2000,2,884.0273165308294
14/08/1999,2000,3,958.5677517728009
21/08/1999,2000,4,1001.1063380006609
24/08/1999,2000,5,975.888133170967
30/08/1999,2000,6,945.6399541965787
11/09/1999,2000,7,915.4100844124184
18/09/1999,2000,8,1066.9866574235214
25/09/1999,2000,9,1035.704365003571
03/10/1999,2000,10,1004.1473411792516
16/10/1999,2000,11,972.6657597141407
24/10/1999,2000,12,944.059134491382
31/10/1999,2000,13,913.3343397583742
06/11/1999,2000,14,906.9519758158688
20/11/1999,2000,15,914.2660348885212
27/11/1999,2000,16,886.5509893306676
04/12/1999,2000,17,855.0866108904474
18/12/1999,2000,18,823.4303512132337
26/12/1999,2000,19,794.1097091525592
28/12/1999,2000,20,862.1266482505074
03/01/2000,2000,21,831.1018674124758
15/01/2000,2000,22,806.0522206749035
22/01/2000,2000,23,774.4025167013175
05/02/2000,2000,24,749.1961460929751
12/02/2000,2000,25,782.1629865217168
26/02/2000,2000,26,759.7248639359897
04/03/2000,2000,27,733.6871104855616
11/03/2000,2000,28,717.7026226119824
18/03/2000,2000,29,860.5971304081445
25/03/2000,2000,30,878.693076425956
01/04/2000,2000,31,848.5419749114023
08/04/2000,2000,32,869.241307562495
15/04/2000,2000,33,838.9401111464398
23/04/2000,2000,34,814.4011688567425
03/05/2000,2000,35,775.7753170335122
29/04/2000,2000,36,806.0834820284231
06/05/2000,2000,37,836.176331943627
14/05/2000,2000,38,904.7821199901488
19/08/2006,2007,1,873.4398721584291
22/08/2006,2007,2,909.7293335537075
26/08/2006,2007,3,889.5830631548666
09/09/2006,2007,4,858.5030226696172
16/09/2006,2007,5,901.3574303051435
23/09/2006,2007,6,907.6248127570279
02/10/2006,2007,7,927.1530923101296
14/10/2006,2007,8,901.7579186301334
21/10/2006,2007,9,892.8985712132817
28/10/2006,2007,10,921.2720811121467
04/11/2006,2007,11,967.6900861157513
11/11/2006,2007,12,937.6917830110997
18/11/2006,2007,13,906.5404347676861
23/01/2007,2007,14,964.1612141116656
28/11/2006,2007,15,878.8431034289797
04/12/2006,2007,16,902.3047150624916
09/12/2006,2007,17,928.7204284060422
16/12/2006,2007,18,897.2670062587249
23/12/2006,2007,19,873.7510093508612
26/12/2006,2007,20,847.5246900735527
21/02/2007,2007,21,933.385519649697
01/01/2007,2007,22,876.6182672804379
13/01/2007,2007,23,851.7195506766994
20/01/2007,2007,24,820.8640733904138
31/01/2007,2007,25,935.7347447935163
03/02/2007,2007,26,904.0157659285104
10/02/2007,2007,27,939.2739066660494
24/02/2007,2007,28,901.6630594479697
03/03/2007,2007,29,906.4025031924252
17/03/2007,2007,30,877.5746894928735
31/03/2007,2007,31,861.3304718245606
07/04/2007,2007,32,829.7547289031849
09/04/2007,2007,33,973.802022598767
18/04/2007,2007,34,928.5955579417218
21/04/2007,2007,35,944.6867443120025
28/04/2007,2007,36,917.7600941891799
05/05/2007,2007,37,994.8134584690853
13/05/2007,2007,38,994.2182774234772
08/08/2015,2016,1,1003.219221216105
15/08/2015,2016,2,1027.3567531710107
23/08/2015,2016,3,1024.1790650019939
29/08/2015,2016,4,1002.3545510765543
12/09/2015,2016,5,1090.899692401228
19/09/2015,2016,6,1121.2703853907756
27/09/2015,2016,7,1094.0697777583675
03/10/2015,2016,8,1080.6555356563238
17/10/2015,2016,9,1049.0710849086543
24/10/2015,2016,10,1091.9503111816532
31/10/2015,2016,11,1158.7117039129755
07/11/2015,2016,12,1128.6350668595921
21/11/2015,2016,13,1096.9203516566124
28/11/2015,2016,14,1125.9015076246392
05/12/2015,2016,15,1157.6147433198391
12/12/2015,2016,16,1189.0624814653106
20/12/2015,2016,17,1220.7461826176643
26/12/2015,2016,18,1189.5153171333757
28/12/2015,2016,19,1163.1886245730902
02/01/2016,2016,20,1132.8743392304793
13/01/2016,2016,21,1080.9215611877844
18/01/2016,2016,22,1022.9733365716005
23/01/2016,2016,23,1068.01533519095
03/02/2016,2016,24,1077.8263861963765
06/02/2016,2016,25,1047.21126671564
13/02/2016,2016,26,1078.9295453134723
27/02/2016,2016,27,1078.4583582908947
02/03/2016,2016,28,1048.7119112694982
05/03/2016,2016,29,1017.6916420808872
20/04/2016,2016,30,971.5411930828226
19/03/2016,2016,31,986.1050825709441
02/04/2016,2016,32,954.4114557023491
09/04/2016,2016,33,958.6838131107959
16/04/2016,2016,34,1001.7467017139908
11/05/2016,2016,35,929.0012465841014
30/04/2016,2016,36,1001.0978745848196
08/05/2016,2016,37,969.3826498996701
15/05/2016,2016,38,964.5623937983488
13/08/2016,2017,1,1020.9265836362305
20/08/2016,2017,2,989.6695075987823
27/08/2016,2017,3,958.3717362263792
10/09/2016,2017,4,1028.3045104049502
18/09/2016,2017,5,1146.2481768784137
26/09/2016,2017,6,1092.9589667173004
01/10/2016,2017,7,1088.6799142291268
16/10/2016,2017,8,1119.2090341864252
22/10/2016,2017,9,1109.3585965878117
29/10/2016,2017,10,1140.8501038638585
06/11/2016,2017,11,1109.6618595635232
19/11/2016,2017,12,1137.713121903533
27/11/2016,2017,13,1071.1379362353557
03/12/2016,2017,14,1043.2634317352952
10/12/2016,2017,15,1069.5604728191024
14/12/2016,2017,16,1039.0129796611175
17/12/2016,2017,17,996.6417148401961
26/12/2016,2017,18,991.7061205051625
01/01/2017,2017,19,965.9770367043141
03/01/2017,2017,20,936.0043358473238
14/01/2017,2017,21,941.2957518592765
21/01/2017,2017,22,949.313104625841
31/01/2017,2017,23,1088.4783310435184
04/02/2017,2017,24,1116.4632258463505
11/02/2017,2017,25,1084.760742671338
25/02/2017,2017,26,1087.1960972264571
04/03/2017,2017,27,1046.0915598666707
15/05/2017,2017,28,935.9247471361947
18/03/2017,2017,29,1019.6719627101943
01/04/2017,2017,30,1049.0046033533474
04/04/2017,2017,31,1084.4258789707935
08/04/2017,2017,32,1057.5560094560853
15/04/2017,2017,33,1089.2816319948925
22/04/2017,2017,34,1048.6452700814723
01/05/2017,2017,35,1017.1112685166717
06/05/2017,2017,36,985.386757315942
12/05/2017,2017,37,953.7046518057743
21/05/2017,2017,38,913.8245485123529
12/08/2017,2018,1,981.8022377549183
19/08/2017,2018,2,1012.4803710506243
26/08/2017,2018,3,1005.0606055963409
09/09/2017,2018,4,1065.3662856033022
16/09/2017,2018,5,1039.4917255118644
23/09/2017,2018,6,1094.3225071431766
30/09/2017,2018,7,1082.5440450638284
14/10/2017,2018,8,1171.8754852255122
21/10/2017,2018,9,1130.019995895822
28/10/2017,2018,10,1070.5954424023535
05/11/2017,2018,11,1026.0610487979707
19/11/2017,2018,12,1051.43698571471
25/11/2017,2018,13,1080.8970772925657
28/11/2017,2018,14,1050.885582152859
02/12/2017,2018,15,1058.3846587485004
09/12/2017,2018,16,1026.7066181615583
12/12/2017,2018,17,999.1219510157857
16/12/2017,2018,18,971.9865169637912
23/12/2017,2018,19,942.2847975461315
26/12/2017,2018,20,1059.5704282687043
30/12/2017,2018,21,995.5599184715935
02/01/2018,2018,22,983.7724159707692
13/01/2018,2018,23,986.6475038041658
20/01/2018,2018,24,954.9317434760542
31/01/2018,2018,25,955.6539606536888
05/02/2018,2018,26,1069.9533616528797
10/02/2018,2018,27,1041.1322401179245
24/02/2018,2018,28,1085.5880475985252
03/03/2018,2018,29,1117.0533203078132
11/03/2018,2018,30,1091.7345416846692
17/03/2018,2018,31,1061.4152850131159
