Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,975.0
18/08/1992,1993,2,947.4450081623654
22/08/1992,1993,3,915.8643969306454
25/08/1992,1993,4,919.7183752223971
29/08/1992,1993,5,938.9158568459122
01/09/1992,1993,6,908.9117493507649
05/09/1992,1993,7,980.221116849127
12/09/1992,1993,8,952.4885874590767
19/09/1992,1993,9,965.0477038057685
26/09/1992,1993,10,993.949787223211
03/10/1992,1993,11,963.668591903213
17/10/1992,1993,12,962.3530476977069
24/10/1992,1993,13,960.7095107774153
31/10/1992,1993,14,1018.5174206900882
07/11/1992,1993,15,989.2182643872171
21/11/1992,1993,16,948.431375947286
28/11/1992,1993,17,952.9716835475607
05/12/1992,1993,18,921.9744562101782
12/12/1992,1993,19,949.2883190183669
20/12/1992,1993,20,945.099815805014
26/12/1992,1993,21,914.4015528899024
28/12/1992,1993,22,938.7705820319055
09/01/1993,1993,23,943.418937595564
16/01/1993,1993,24,969.5741504504603
26/01/1993,1993,25,938.8065331381888
30/01/1993,1993,26,992.0416897710882
06/02/1993,1993,27,1019.6730099830645
10/02/1993,1993,28,1049.943726950816
21/04/1993,1993,29,1038.64826697187
20/02/1993,1993,30,1081.6109710081073
27/02/1993,1993,31,1055.8420073628736
06/03/1993,1993,32,1028.3892886204358
09/03/1993,1993,33,1060.1118542837428
13/03/1993,1993,34,1091.1248563993486
20/03/1993,1993,35,1118.4254640697352
24/03/1993,1993,36,1114.4409986149965
03/04/1993,1993,37,1060.3474110625564
09/04/1993,1993,38,1089.6805658262429
12/04/1993,1993,39,1015.8118927164264
17/04/1993,1993,40,1043.213571512562
01/05/1993,1993,41,1026.4023713773438
09/05/1993,1993,42,996.8166403290577
14/08/1993,1994,1,1022.6480437259866
17/08/1993,1994,2,1015.3983948984317
21/08/1993,1994,3,1016.7472620958478
24/08/1993,1994,4,988.6522186407545
28/08/1993,1994,5,990.4633157513766
31/08/1993,1994,6,1021.9180567191689
11/09/1993,1994,7,1056.1557291310394
20/09/1993,1994,8,1086.6731840693612
27/09/1993,1994,9,1074.0367563151483
02/10/1993,1994,10,1043.7125266257785
16/10/1993,1994,11,1027.5433678415432
25/10/1993,1994,12,990.4689681789025
30/10/1993,1994,13,950.7418551373032
06/11/1993,1994,14,981.9150455038791
20/11/1993,1994,15,961.5247943086987
24/11/1993,1994,16,960.3534501937434
27/11/1993,1994,17,957.6165942181008
04/12/1993,1994,18,926.0060165846262
16/03/1994,1994,19,1058.3025962747615
11/12/1993,1994,20,977.5367952574293
18/12/1993,1994,21,1009.0306182159084
26/12/1993,1994,22,969.8334223689634
28/12/1993,1994,23,971.944240732688
01/01/1994,1994,24,940.6749912297148
29/03/1994,1994,25,1146.7535508684516
15/01/1994,1994,26,1035.2432694315517
22/01/1994,1994,27,1035.9259387285413
05/02/1994,1994,28,1007.6783769299241
12/02/1994,1994,29,1034.2299002241673
26/04/1994,1994,30,1223.0857237866553
26/02/1994,1994,31,1008.3970747412428
05/03/1994,1994,32,1054.9572060505923
12/03/1994,1994,33,1086.3156831447925
19/03/1994,1994,34,1017.4823982583785
26/03/1994,1994,35,1060.203722035321
02/04/1994,1994,36,1175.6715944855027
04/04/1994,1994,37,1143.4427134007606
19/04/1994,1994,38,1169.1595539317234
16/04/1994,1994,39,1169.805412521545
23/04/1994,1994,40,1196.6882011500372
30/04/1994,1994,41,1249.5857229680819
07/05/1994,1994,42,1069.8890354970238
20/08/1994,1995,1,1071.7194480080584
23/08/1994,1995,2,1022.6248359364295
27/08/1994,1995,3,982.7030776403379
31/08/1994,1995,4,953.3626292647918
10/09/1994,1995,5,982.1251990014837
17/09/1994,1995,6,973.4544919801325
24/09/1994,1995,7,1002.6995232921614
01/10/1994,1995,8,941.3726912598845
08/10/1994,1995,9,912.4105876967159
17/10/1994,1995,10,881.887604323759
22/10/1994,1995,11,851.1393863416373
30/10/1994,1995,12,961.7706472776641
09/11/1994,1995,13,965.599403177212
05/11/1994,1995,14,933.8936223950482
19/11/1994,1995,15,1070.524694168563
26/11/1994,1995,16,1033.5744618591832
03/12/1994,1995,17,1003.9931825629886
10/12/1994,1995,18,1045.665205212927
16/12/1994,1995,19,1020.4172821477488
26/12/1994,1995,20,1049.4298207477561
28/12/1994,1995,21,1081.0031308134694
31/12/1994,1995,22,1054.0000603824349
02/01/1995,1995,23,1082.4857025213907
14/01/1995,1995,24,1114.1818915259041
02/05/1995,1995,25,1013.4106163959972
25/01/1995,1995,26,1051.6716558689552
04/02/1995,1995,27,1051.5949919635088
11/02/1995,1995,28,1026.133465796922
21/03/1995,1995,29,1086.2579729921763
22/02/1995,1995,30,994.5060121544235
25/02/1995,1995,31,1054.7128907989872
04/03/1995,1995,32,1017.5465343610399
07/03/1995,1995,33,985.8242568863403
11/03/1995,1995,34,1025.049981969108
18/03/1995,1995,35,1054.745839322171
01/04/1995,1995,36,1111.7068395121023
10/04/1995,1995,37,1084.2663374982528
14/04/1995,1995,38,1036.3290089821442
17/04/1995,1995,39,1005.6365650543213
29/04/1995,1995,40,1007.69128042282
04/05/1995,1995,41,1007.5427298572577
13/05/1995,1995,42,1047.6102440040618
19/08/1995,1996,1,1076.9169305638902
23/08/1995,1996,2,1105.6676945840338
26/08/1995,1996,3,1078.9634919266696
30/08/1995,1996,4,1064.1670087275777
09/09/1995,1996,5,1096.1824022551325
16/09/1995,1996,6,1060.648169490709
23/09/1995,1996,7,1029.6472930091088
30/09/1995,1996,8,997.9552889558837
16/10/1995,1996,9,972.5781877247069
21/10/1995,1996,10,943.3664879588639
28/10/1995,1996,11,914.7911956646687
06/11/1995,1996,12,887.8438735351796
18/11/1995,1996,13,928.3658362382914
22/11/1995,1996,14,893.6026347826155
25/11/1995,1996,15,889.1868134757158
03/12/1995,1996,16,967.8176591403211
09/12/1995,1996,17,973.1924257656
16/12/1995,1996,18,944.1939639356996
23/12/1995,1996,19,954.1916336181276
26/12/1995,1996,20,1054.184569738087
30/12/1995,1996,21,1092.204515920195
01/01/1996,1996,22,1062.643138818651
13/01/1996,1996,23,935.6428399192198
20/01/1996,1996,24,965.0566070651344
03/02/1996,1996,25,933.6493143894807
10/02/1996,1996,26,904.1047662902668
13/03/1996,1996,27,1017.0759381205153
24/02/1996,1996,28,942.8507750010406
02/03/1996,1996,29,959.1956989598909
17/04/1996,1996,30,1113.718559708315
16/03/1996,1996,31,985.7336487194922
23/03/1996,1996,32,1051.3294808617984
30/03/1996,1996,33,1086.0227272471786
06/04/1996,1996,34,1089.9772614962978
08/04/1996,1996,35,1121.6918807179486
13/04/1996,1996,36,1153.173026355977
27/04/1996,1996,37,1063.4124857527684
05/05/1996,1996,38,1067.9452519922943
17/08/1996,1997,1,1036.539533283898
21/08/1996,1997,2,1006.6482062504309
26/08/1996,1997,3,917.6685542114199
04/09/1996,1997,4,1010.5872126764896
07/09/1996,1997,5,1060.3269488064984
14/09/1996,1997,6,1091.6416351583293
23/09/1996,1997,7,1122.447900889274
28/09/1996,1997,8,1152.543396804623
12/10/1996,1997,9,1184.0383524887784
19/10/1996,1997,10,1215.7146825733414
26/10/1996,1997,11,1158.9587764232754
02/11/1996,1997,12,1162.0870687316208
16/11/1996,1997,13,1136.236452314262
23/11/1996,1997,14,1134.480292985967
30/11/1996,1997,15,1160.5333686105307
07/12/1996,1997,16,1192.1498904399189
14/12/1996,1997,17,1223.6558563984945
22/12/1996,1997,18,1165.935413605812
18/03/1997,1997,19,975.3061678790446
28/12/1996,1997,20,1196.4654381165851
26/02/1997,1997,21,1031.4754548143044
11/01/1997,1997,22,1154.634369222882
18/01/1997,1997,23,1060.3975648935636
29/01/1997,1997,24,1029.7905895994077
01/02/1997,1997,25,1025.6748914775837
06/05/1997,1997,26,991.2601836067054
23/02/1997,1997,27,1054.809059621611
01/03/1997,1997,28,1004.3593289924231
03/03/1997,1997,29,1003.6734275749066
09/04/1997,1997,30,920.3022586103218
15/03/1997,1997,31,973.4463829486402
23/03/1997,1997,32,981.0052063834918
05/04/1997,1997,33,951.2387690493865
16/04/1997,1997,34,977.1627181689339
19/04/1997,1997,35,945.6781429824143
22/04/1997,1997,36,917.0659452021207
03/05/1997,1997,37,923.9426235033322
11/05/1997,1997,38,1032.9343964191469
09/08/1997,1998,1,1028.6193373555013
22/10/1997,1998,2,1032.808508451967
23/08/1997,1998,3,1017.114577091499
27/08/1997,1998,4,989.9667008986013
30/08/1997,1998,5,963.083811528794
13/09/1997,1998,6,1082.6291363633045
20/09/1997,1998,7,989.8857707281836
23/09/1997,1998,8,1020.8660734492047
28/09/1997,1998,9,1018.1354651326523
04/10/1997,1998,10,991.2160087569493
18/10/1997,1998,11,1025.3350795105864
25/10/1997,1998,12,1092.4006241673835
01/11/1997,1998,13,1021.1469954477293
10/11/1997,1998,14,1060.495894687234
22/11/1997,1998,15,1029.8817381047188
29/11/1997,1998,16,985.9461167645206
07/12/1997,1998,17,1013.3528461942492
13/12/1997,1998,18,1000.939737118553
11/03/1998,1998,19,959.6678325957796
26/12/1997,1998,20,1025.6413912307694
28/12/1997,1998,21,999.5141005497892
10/01/1998,1998,22,968.0056027757792
17/01/1998,1998,23,980.1044391260933
31/01/1998,1998,24,991.1743223295106
09/02/1998,1998,25,1022.0014515941184
31/03/1998,1998,26,964.9957097035498
21/02/1998,1998,27,1050.9616843531473
28/02/1998,1998,28,991.2286517860007
29/04/1998,1998,29,998.6241766558898
14/03/1998,1998,30,1006.8708687142508
28/03/1998,1998,31,980.6074555955898
04/04/1998,1998,32,965.2529868821913
11/04/1998,1998,33,1016.4545220897409
13/04/1998,1998,34,1019.7211504481654
18/04/1998,1998,35,994.094371923253
25/04/1998,1998,36,985.0970142903775
02/05/1998,1998,37,971.1140139129936
10/05/1998,1998,38,980.16508276849
15/08/1998,1999,1,1021.7983887276381
22/08/1998,1999,2,1025.956312574683
29/08/1998,1999,3,1030.1294223684151
09/09/1998,1999,4,1063.1436013641012
12/09/1998,1999,5,1031.9923268558355
19/09/1998,1999,6,1063.147615283498
27/09/1998,1999,7,1052.9176090803358
03/10/1998,1999,8,1014.8980073849436
17/10/1998,1999,9,983.8375665436934
24/10/1998,1999,10,996.5047518053506
31/10/1998,1999,11,992.5813289130795
07/11/1998,1999,12,1022.5535171756869
14/11/1998,1999,13,991.3268280947905
21/11/1998,1999,14,1050.8915160550669
28/11/1998,1999,15,996.5904013118319
05/12/1998,1999,16,1026.0961756216948
13/12/1998,1999,17,1070.4454211103803
19/12/1998,1999,18,963.3919150821953
26/12/1998,1999,19,995.0832407803761
29/12/1998,1999,20,1011.0919359101489
09/01/1999,1999,21,1055.9383099113356
16/01/1999,1999,22,1056.7503865502722
30/01/1999,1999,23,1054.8135394258636
08/02/1999,1999,24,925.5744232627942
03/03/1999,1999,25,1021.3207657592893
21/02/1999,1999,26,928.136959832546
27/02/1999,1999,27,926.526287801062
06/03/1999,1999,28,975.3138153893484
13/03/1999,1999,29,902.6714748117195
20/03/1999,1999,30,872.1221026120528
03/04/1999,1999,31,975.0109340907351
05/04/1999,1999,32,946.9269616300592
11/04/1999,1999,33,919.3582625764208
19/04/1999,1999,34,898.4736232632021
24/04/1999,1999,35,910.3645505351111
01/05/1999,1999,36,885.3474383397499
08/05/1999,1999,37,853.985743444074
16/05/1999,1999,38,822.2632548443372
07/08/1999,2000,1,908.06992955517
10/08/1999,2000,2,877.2647702898016
14/08/1999,2000,3,883.9404789023567
21/08/1999,2000,4,883.7161801436199
25/08/1999,2000,5,852.678266394205
28/08/1999,2000,6,831.6122930234319
11/09/1999,2000,7,863.1419012769345
18/09/1999,2000,8,966.3162171655756
26/09/1999,2000,9,973.7717799232254
02/10/1999,2000,10,882.0332187995367
16/10/1999,2000,11,915.6248152267908
23/10/1999,2000,12,925.3500499291574
30/10/1999,2000,13,936.3929855135011
07/11/1999,2000,14,1078.787515759089
20/11/1999,2000,15,1035.7184916383908
27/11/1999,2000,16,1039.5041133400093
04/12/1999,2000,17,1070.9684917802294
18/12/1999,2000,18,1085.7851167415818
26/12/1999,2000,19,1085.6962685176236
28/12/1999,2000,20,1054.852875804153
03/01/2000,2000,21,1114.548668702714
15/01/2000,2000,22,1079.5145155591476
22/01/2000,2000,23,1110.8878208066665
05/02/2000,2000,24,1047.5996115745293
12/02/2000,2000,25,1018.9279234003662
26/02/2000,2000,26,1057.1224259486557
04/03/2000,2000,27,1012.6484312798968
11/03/2000,2000,28,1041.1312583524114
19/03/2000,2000,29,1010.0330645463853
26/03/2000,2000,30,981.5849738895222
01/04/2000,2000,31,950.2145301189074
08/04/2000,2000,32,918.5222281095984
16/04/2000,2000,33,846.660261520752
22/04/2000,2000,34,814.9362909237386
12/04/2000,2000,35,865.1645828123587
30/04/2000,2000,36,783.5731253175346
06/05/2000,2000,37,849.433144474401
14/05/2000,2000,38,817.7449724685142
