Date,Season_End_Year,Week,ELO
16/08/2003,2004,1,968.8079649089166
23/08/2003,2004,2,928.2820314374029
27/08/2003,2004,3,916.4762421463168
30/08/2003,2004,4,942.0909704769145
13/09/2003,2004,5,916.8414807490633
20/09/2003,2004,6,891.4159922967779
27/09/2003,2004,7,920.9763465286184
04/10/2003,2004,8,1004.7755243248005
18/10/2003,2004,9,1028.8662356512216
25/10/2003,2004,10,1060.5916465687897
01/11/2003,2004,11,1034.6996414162347
08/11/2003,2004,12,1047.471151578883
22/11/2003,2004,13,980.2515452459309
29/11/2003,2004,14,1005.3440395832657
06/12/2003,2004,15,965.7132965164183
14/12/2003,2004,16,938.9464855958638
21/01/2004,2004,17,1145.5270430577623
26/12/2003,2004,18,917.4358069269878
28/12/2003,2004,19,1005.2637637005506
07/01/2004,2004,20,1010.1947172709711
10/01/2004,2004,21,978.5805965222313
17/01/2004,2004,22,1153.6504008284633
31/01/2004,2004,23,1104.822483325328
07/02/2004,2004,24,1077.7337331677898
10/02/2004,2004,25,976.1839773678139
21/02/2004,2004,26,1023.347075548253
28/02/2004,2004,27,1021.7694963890295
14/03/2004,2004,28,992.4852627654449
20/03/2004,2004,29,961.3545161572059
27/03/2004,2004,30,937.5146907677761
03/04/2004,2004,31,906.2932793563383
10/04/2004,2004,32,919.6215415251866
12/04/2004,2004,33,888.2504328038222
17/04/2004,2004,34,1027.5376679112321
25/04/2004,2004,35,1026.690333599683
01/05/2004,2004,36,1058.8068285398333
09/05/2004,2004,37,1060.659243358795
15/05/2004,2004,38,1034.5814954655955
15/08/2009,2010,1,1006.2780797404523
18/08/2009,2010,2,1034.5959186843843
22/08/2009,2010,3,1005.0137756794061
29/08/2009,2010,4,977.3392803771144
12/09/2009,2010,5,939.9715265644484
20/09/2009,2010,6,1030.6650077980905
27/09/2009,2010,7,959.0702520213836
03/10/2009,2010,8,855.1882600511171
17/10/2009,2010,9,903.6809145935318
24/10/2009,2010,10,954.5257995441509
31/10/2009,2010,11,984.8560226802641
07/11/2009,2010,12,958.8628168076812
21/11/2009,2010,13,935.4924327773957
29/11/2009,2010,14,903.9770299654659
05/12/2009,2010,15,948.7963841318074
12/12/2009,2010,16,1039.8243249155141
15/12/2009,2010,17,1009.1097932628453
20/12/2009,2010,18,1034.2448034019399
26/12/2009,2010,19,1007.9698726505737
28/12/2009,2010,20,976.5516469100611
23/03/2010,2010,21,1031.1881385830861
16/01/2010,2010,22,944.1699766452688
26/01/2010,2010,23,979.3294755793986
30/01/2010,2010,24,978.5541267064491
07/02/2010,2010,25,948.7066577749401
10/02/2010,2010,26,1043.9404310105708
20/02/2010,2010,27,1012.5845512036809
27/02/2010,2010,28,946.5381297680691
06/03/2010,2010,29,924.6266595093692
