Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,475
18/08/1992,1993,2,445
23/08/1992,1993,3,504
26/08/1992,1993,4,538
29/08/1992,1993,5,566
02/09/1992,1993,6,561
05/09/1992,1993,7,454
12/09/1992,1993,8,411
19/09/1992,1993,9,422
28/09/1992,1993,10,475
03/10/1992,1993,11,513
17/10/1992,1993,12,552
24/10/1992,1993,13,594
02/11/1992,1993,14,636
07/11/1992,1993,15,679
21/11/1992,1993,16,522
28/11/1992,1993,17,489
05/12/1992,1993,18,457
12/12/1992,1993,19,415
19/12/1992,1993,20,433
26/12/1992,1993,21,465
28/12/1992,1993,22,428
09/01/1993,1993,23,423
16/01/1993,1993,24,525
06/05/1993,1993,25,373
31/01/1993,1993,26,434
03/03/1993,1993,27,396
10/02/1993,1993,28,393
04/05/1993,1993,29,413
20/02/1993,1993,30,425
01/03/1993,1993,31,361
21/04/1993,1993,32,372
24/02/1993,1993,33,428
13/03/1993,1993,34,458
20/03/1993,1993,35,569
24/03/1993,1993,36,559
11/05/1993,1993,37,399
10/04/1993,1993,38,397
12/04/1993,1993,39,354
06/04/1993,1993,40,362
01/05/1993,1993,41,388
08/05/1993,1993,42,469
14/08/1993,1994,1,361
16/08/1993,1994,2,451
21/08/1993,1994,3,476
24/08/1993,1994,4,509
28/08/1993,1994,5,563
01/09/1993,1994,6,578
11/09/1993,1994,7,623
19/09/1993,1994,8,584
25/09/1993,1994,9,611
02/10/1993,1994,10,536
16/10/1993,1994,11,531
23/10/1993,1994,12,504
30/10/1993,1994,13,525
06/11/1993,1994,14,486
20/11/1993,1994,15,525
24/11/1993,1994,16,532
27/11/1993,1994,17,593
04/12/1993,1994,18,464
06/12/1993,1994,19,458
12/12/1993,1994,20,535
18/12/1993,1994,21,502
27/12/1993,1994,22,532
29/12/1993,1994,23,575
01/01/1994,1994,24,615
03/01/1994,1994,25,593
15/01/1994,1994,26,531
22/01/1994,1994,27,481
27/04/1994,1994,28,670
13/02/1994,1994,29,487
19/02/1994,1994,30,487
26/02/1994,1994,31,682
05/03/1994,1994,32,722
22/03/1994,1994,33,705
19/03/1994,1994,34,764
26/03/1994,1994,35,745
02/04/1994,1994,36,640
04/04/1994,1994,37,621
19/04/1994,1994,38,662
16/04/1994,1994,39,659
23/04/1994,1994,40,704
30/04/1994,1994,41,509
07/05/1994,1994,42,476
20/08/1994,1995,1,509
23/08/1994,1995,2,467
28/08/1994,1995,3,416
31/08/1994,1995,4,437
10/09/1994,1995,5,442
18/09/1994,1995,6,404
25/09/1994,1995,7,472
01/10/1994,1995,8,386
08/10/1994,1995,9,413
15/10/1994,1995,10,493
23/10/1994,1995,11,578
29/10/1994,1995,12,505
23/11/1994,1995,13,374
06/11/1994,1995,14,496
19/11/1994,1995,15,452
26/11/1994,1995,16,512
03/12/1994,1995,17,504
12/12/1994,1995,18,589
17/12/1994,1995,19,484
26/12/1994,1995,20,473
28/12/1994,1995,21,505
31/12/1994,1995,22,478
02/01/1995,1995,23,438
14/01/1995,1995,24,444
21/01/1995,1995,25,473
24/01/1995,1995,26,474
04/02/1995,1995,27,436
11/02/1995,1995,28,424
22/03/1995,1995,29,332
21/02/1995,1995,30,472
25/02/1995,1995,31,504
05/03/1995,1995,32,459
08/03/1995,1995,33,417
12/04/1995,1995,34,331
19/03/1995,1995,35,374
01/04/1995,1995,36,414
08/04/1995,1995,37,371
15/04/1995,1995,38,374
17/04/1995,1995,39,428
29/04/1995,1995,40,465
04/05/1995,1995,41,469
14/05/1995,1995,42,444
20/08/1995,1996,1,462
23/08/1995,1996,2,529
26/08/1995,1996,3,523
29/08/1995,1996,4,545
10/09/1995,1996,5,588
16/09/1995,1996,6,628
23/09/1995,1996,7,666
30/09/1995,1996,8,597
14/10/1995,1996,9,629
21/10/1995,1996,10,656
30/10/1995,1996,11,419
04/11/1995,1996,12,642
18/11/1995,1996,13,611
21/11/1995,1996,14,653
26/11/1995,1996,15,648
02/12/1995,1996,16,637
09/12/1995,1996,17,603
16/12/1995,1996,18,609
23/12/1995,1996,19,573
26/12/1995,1996,20,608
30/12/1995,1996,21,581
02/01/1996,1996,22,539
13/01/1996,1996,23,579
20/01/1996,1996,24,544
03/02/1996,1996,25,527
10/02/1996,1996,26,558
05/03/1996,1996,27,631
24/02/1996,1996,28,651
02/03/1996,1996,29,594
01/05/1996,1996,30,569
16/03/1996,1996,31,671
23/03/1996,1996,32,675
20/03/1996,1996,33,645
06/04/1996,1996,34,714
08/04/1996,1996,35,534
15/04/1996,1996,36,538
27/04/1996,1996,37,566
05/05/1996,1996,38,610
17/08/1996,1997,1,652
19/08/1996,1997,2,575
24/08/1996,1997,3,612
04/09/1996,1997,4,593
07/09/1996,1997,5,597
16/09/1996,1997,6,630
21/09/1996,1997,7,669
28/09/1996,1997,8,711
12/10/1996,1997,9,746
19/10/1996,1997,10,643
26/10/1996,1997,11,680
02/11/1996,1997,12,678
16/11/1996,1997,13,588
24/11/1996,1997,14,617
30/11/1996,1997,15,655
07/12/1996,1997,16,689
04/12/1996,1997,17,695
21/12/1996,1997,18,442
26/12/1996,1997,19,463
28/12/1996,1997,20,484
01/01/1997,1997,21,515
11/01/1997,1997,22,485
19/01/1997,1997,23,527
29/01/1997,1997,24,563
01/02/1997,1997,25,556
15/02/1997,1997,26,543
23/02/1997,1997,27,465
01/03/1997,1997,28,492
19/02/1997,1997,29,506
08/03/1997,1997,30,532
15/03/1997,1997,31,569
24/03/1997,1997,32,538
05/04/1997,1997,33,587
12/04/1997,1997,34,624
19/04/1997,1997,35,583
21/04/1997,1997,36,581
03/05/1997,1997,37,546
11/05/1997,1997,38,589
09/08/1997,1998,1,571
11/08/1997,1998,2,610
23/08/1997,1998,3,652
27/08/1997,1998,4,651
30/08/1997,1998,5,617
13/09/1997,1998,6,660
21/09/1997,1998,7,707
24/09/1997,1998,8,744
27/09/1997,1998,9,668
04/10/1997,1998,10,696
18/10/1997,1998,11,657
26/10/1997,1998,12,617
01/11/1997,1998,13,554
09/11/1997,1998,14,659
22/11/1997,1998,15,537
30/11/1997,1998,16,484
06/12/1997,1998,17,532
13/12/1997,1998,18,494
11/03/1998,1998,19,670
26/12/1997,1998,20,531
28/12/1997,1998,21,497
10/01/1998,1998,22,547
17/01/1998,1998,23,551
31/01/1998,1998,24,591
08/02/1998,1998,25,618
31/03/1998,1998,26,789
21/02/1998,1998,27,659
02/03/1998,1998,28,627
29/04/1998,1998,29,910
14/03/1998,1998,30,713
28/03/1998,1998,31,748
06/05/1998,1998,32,719
11/04/1998,1998,33,811
13/04/1998,1998,34,843
18/04/1998,1998,35,874
25/04/1998,1998,36,895
03/05/1998,1998,37,935
10/05/1998,1998,38,607
17/08/1998,1999,1,650
22/08/1998,1999,2,647
29/08/1998,1999,3,629
09/09/1998,1999,4,615
12/09/1998,1999,5,591
20/09/1998,1999,6,659
26/09/1998,1999,7,492
04/10/1998,1999,8,522
17/10/1998,1999,9,441
25/10/1998,1999,10,503
31/10/1998,1999,11,545
08/11/1998,1999,12,582
14/11/1998,1999,13,580
21/11/1998,1999,14,508
29/11/1998,1999,15,514
05/12/1998,1999,16,516
13/12/1998,1999,17,491
20/12/1998,1999,18,620
26/12/1998,1999,19,650
28/12/1998,1999,20,675
09/01/1999,1999,21,679
16/01/1999,1999,22,709
31/01/1999,1999,23,769
06/02/1999,1999,24,809
17/02/1999,1999,25,809
20/02/1999,1999,26,844
28/02/1999,1999,27,749
09/03/1999,1999,28,784
13/03/1999,1999,29,819
20/03/1999,1999,30,858
03/04/1999,1999,31,741
06/04/1999,1999,32,781
05/05/1999,1999,33,918
19/04/1999,1999,34,816
24/04/1999,1999,35,859
02/05/1999,1999,36,891
11/05/1999,1999,37,716
16/05/1999,1999,38,755
07/08/1999,2000,1,790
10/08/1999,2000,2,828
14/08/1999,2000,3,734
22/08/1999,2000,4,708
25/08/1999,2000,5,747
28/08/1999,2000,6,634
11/09/1999,2000,7,669
18/09/1999,2000,8,712
25/09/1999,2000,9,751
03/10/1999,2000,10,562
16/10/1999,2000,11,638
23/10/1999,2000,12,673
30/10/1999,2000,13,601
07/11/1999,2000,14,541
20/11/1999,2000,15,608
28/11/1999,2000,16,650
04/12/1999,2000,17,682
18/12/1999,2000,18,657
26/12/1999,2000,19,560
28/12/1999,2000,20,665
03/01/2000,2000,21,612
15/01/2000,2000,22,647
24/01/2000,2000,23,657
05/02/2000,2000,24,503
13/02/2000,2000,25,464
26/02/2000,2000,26,572
05/03/2000,2000,27,579
12/03/2000,2000,28,524
19/03/2000,2000,29,551
26/03/2000,2000,30,578
01/04/2000,2000,31,619
09/05/2000,2000,32,696
16/04/2000,2000,33,659
23/04/2000,2000,34,695
02/05/2000,2000,35,780
29/04/2000,2000,36,737
06/05/2000,2000,37,823
14/05/2000,2000,38,589
19/08/2000,2001,1,520
21/08/2000,2001,2,552
26/08/2000,2001,3,589
06/09/2000,2001,4,582
