Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,500
19/08/1992,1993,2,502
22/08/1992,1993,3,499
25/08/1992,1993,4,467
29/08/1992,1993,5,498
02/09/1992,1993,6,461
05/09/1992,1993,7,494
13/09/1992,1993,8,493
19/09/1992,1993,9,532
26/09/1992,1993,10,574
03/10/1992,1993,11,609
19/10/1992,1993,12,609
24/10/1992,1993,13,570
01/11/1992,1993,14,608
07/11/1992,1993,15,649
21/11/1992,1993,16,639
28/11/1992,1993,17,583
05/12/1992,1993,18,623
12/12/1992,1993,19,665
19/12/1992,1993,20,630
26/12/1992,1993,21,531
28/12/1992,1993,22,568
09/01/1993,1993,23,609
17/01/1993,1993,24,652
27/01/1993,1993,25,695
30/01/1993,1993,26,508
06/02/1993,1993,27,612
10/02/1993,1993,28,504
13/02/1993,1993,29,544
20/02/1993,1993,30,581
27/02/1993,1993,31,626
21/04/1993,1993,32,601
10/03/1993,1993,33,590
14/03/1993,1993,34,569
20/03/1993,1993,35,600
24/03/1993,1993,36,571
04/04/1993,1993,37,609
10/04/1993,1993,38,569
12/04/1993,1993,39,612
18/04/1993,1993,40,650
02/05/1993,1993,41,513
09/05/1993,1993,42,482
14/08/1993,1994,1,542
18/08/1993,1994,2,524
21/08/1993,1994,3,522
23/08/1993,1994,4,481
28/08/1993,1994,5,519
31/08/1993,1994,6,544
11/09/1993,1994,7,538
18/09/1993,1994,8,580
25/09/1993,1994,9,518
02/10/1993,1994,10,478
16/10/1993,1994,11,516
23/10/1993,1994,12,568
30/10/1993,1994,13,611
06/11/1993,1994,14,650
20/11/1993,1994,15,687
24/11/1993,1994,16,524
28/11/1993,1994,17,498
04/12/1993,1994,18,494
08/12/1993,1994,19,507
11/12/1993,1994,20,423
19/12/1993,1994,21,385
22/02/1994,1994,22,556
29/12/1993,1994,23,520
01/01/1994,1994,24,477
16/03/1994,1994,25,393
15/01/1994,1994,26,510
22/01/1994,1994,27,520
06/02/1994,1994,28,565
12/02/1994,1994,29,606
02/03/1994,1994,30,467
30/03/1994,1994,31,356
06/03/1994,1994,32,507
12/03/1994,1994,33,430
19/03/1994,1994,34,354
27/04/1994,1994,35,375
02/04/1994,1994,36,318
04/04/1994,1994,37,316
11/04/1994,1994,38,286
16/04/1994,1994,39,459
23/04/1994,1994,40,417
30/04/1994,1994,41,337
07/05/1994,1994,42,395
20/08/1994,1995,1,464
24/08/1994,1995,2,464
27/08/1994,1995,3,451
29/08/1994,1995,4,495
10/09/1994,1995,5,534
17/09/1994,1995,6,450
24/09/1994,1995,7,407
01/10/1994,1995,8,368
08/10/1994,1995,9,326
15/10/1994,1995,10,417
22/10/1994,1995,11,378
29/10/1994,1995,12,302
09/11/1994,1995,13,232
06/11/1994,1995,14,275
19/11/1994,1995,15,367
27/11/1994,1995,16,385
03/12/1994,1995,17,383
10/12/1994,1995,18,438
19/12/1994,1995,19,405
26/12/1994,1995,20,416
28/12/1994,1995,21,450
31/12/1994,1995,22,429
02/01/1995,1995,23,438
14/01/1995,1995,24,504
21/01/1995,1995,25,533
25/01/1995,1995,26,616
04/02/1995,1995,27,585
11/02/1995,1995,28,622
18/02/1995,1995,29,658
22/02/1995,1995,30,579
25/02/1995,1995,31,529
04/03/1995,1995,32,496
06/03/1995,1995,33,499
04/04/1995,1995,34,496
18/03/1995,1995,35,458
01/04/1995,1995,36,500
03/05/1995,1995,37,418
15/04/1995,1995,38,440
17/04/1995,1995,39,386
29/04/1995,1995,40,352
06/05/1995,1995,41,493
14/05/1995,1995,42,391
19/08/1995,1996,1,585
23/08/1995,1996,2,624
26/08/1995,1996,3,582
30/08/1995,1996,4,623
09/09/1995,1996,5,564
16/09/1995,1996,6,598
23/09/1995,1996,7,603
30/09/1995,1996,8,646
14/10/1995,1996,9,619
21/10/1995,1996,10,592
28/10/1995,1996,11,634
04/11/1995,1996,12,673
18/11/1995,1996,13,698
20/11/1995,1996,14,739
25/11/1995,1996,15,571
02/12/1995,1996,16,582
10/12/1995,1996,17,557
16/12/1995,1996,18,589
23/12/1995,1996,19,459
31/01/1996,1996,20,578
06/03/1996,1996,21,608
01/01/1996,1996,22,492
13/01/1996,1996,23,505
21/01/1996,1996,24,612
03/02/1996,1996,25,617
10/02/1996,1996,26,659
28/02/1996,1996,27,615
24/02/1996,1996,28,563
03/03/1996,1996,29,574
09/03/1996,1996,30,650
16/03/1996,1996,31,358
19/03/1996,1996,32,355
17/04/1996,1996,33,472
06/04/1996,1996,34,441
08/04/1996,1996,35,492
14/04/1996,1996,36,461
27/04/1996,1996,37,433
05/05/1996,1996,38,390
17/08/1996,1997,1,355
21/08/1996,1997,2,529
24/08/1996,1997,3,558
04/09/1996,1997,4,633
07/09/1996,1997,5,629
15/09/1996,1997,6,627
21/09/1996,1997,7,636
30/09/1996,1997,8,598
12/10/1996,1997,9,446
19/10/1996,1997,10,481
26/10/1996,1997,11,438
02/11/1996,1997,12,479
16/11/1996,1997,13,447
23/11/1996,1997,14,516
30/11/1996,1997,15,549
07/12/1996,1997,16,626
04/12/1996,1997,17,584
22/12/1996,1997,18,706
26/12/1996,1997,19,583
28/12/1996,1997,20,562
01/01/1997,1997,21,588
11/01/1997,1997,22,588
18/01/1997,1997,23,543
29/01/1997,1997,24,486
01/02/1997,1997,25,534
19/02/1997,1997,26,588
22/02/1997,1997,27,532
02/03/1997,1997,28,602
05/03/1997,1997,29,574
09/04/1997,1997,30,681
15/03/1997,1997,31,562
22/03/1997,1997,32,597
05/04/1997,1997,33,640
