Date,Season_End_Year,Week,ELO
09/08/1997,1998,1,464
12/08/1997,1998,2,500
24/08/1997,1998,3,464
27/08/1997,1998,4,506
30/08/1997,1998,5,431
13/09/1997,1998,6,398
20/09/1997,1998,7,361
23/09/1997,1998,8,322
27/09/1997,1998,9,281
04/10/1997,1998,10,253
20/10/1997,1998,11,452
25/10/1997,1998,12,409
01/11/1997,1998,13,441
08/11/1997,1998,14,403
22/11/1997,1998,15,541
29/11/1997,1998,16,499
08/12/1997,1998,17,457
13/12/1997,1998,18,460
20/12/1997,1998,19,335
26/12/1997,1998,20,378
28/12/1997,1998,21,520
10/01/1998,1998,22,477
17/01/1998,1998,23,503
31/01/1998,1998,24,467
07/02/1998,1998,25,486
11/03/1998,1998,26,560
21/02/1998,1998,27,444
28/02/1998,1998,28,525
31/03/1998,1998,29,490
14/03/1998,1998,30,659
28/03/1998,1998,31,559
04/04/1998,1998,32,453
11/04/1998,1998,33,526
13/04/1998,1998,34,381
18/04/1998,1998,35,401
25/04/1998,1998,36,380
02/05/1998,1998,37,337
10/05/1998,1998,38,299
