Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,500
18/08/1992,1993,2,530
22/08/1992,1993,3,567
26/08/1992,1993,4,554
29/08/1992,1993,5,580
15/09/1992,1993,6,520
05/09/1992,1993,7,622
12/09/1992,1993,8,665
19/09/1992,1993,9,516
26/09/1992,1993,10,542
03/10/1992,1993,11,611
19/10/1992,1993,12,611
24/10/1992,1993,13,605
31/10/1992,1993,14,580
07/11/1992,1993,15,531
22/11/1992,1993,16,524
28/11/1992,1993,17,551
05/12/1992,1993,18,446
13/12/1992,1993,19,415
19/12/1992,1993,20,470
26/12/1992,1993,21,505
28/12/1992,1993,22,469
09/01/1993,1993,23,466
16/01/1993,1993,24,552
26/01/1993,1993,25,506
30/01/1993,1993,26,479
02/02/1993,1993,27,407
07/04/1993,1993,28,597
03/03/1993,1993,29,421
21/02/1993,1993,30,440
28/02/1993,1993,31,457
21/04/1993,1993,32,643
09/03/1993,1993,33,473
05/05/1993,1993,34,646
20/03/1993,1993,35,443
24/03/1993,1993,36,470
03/04/1993,1993,37,557
10/04/1993,1993,38,523
12/04/1993,1993,39,563
17/04/1993,1993,40,594
03/05/1993,1993,41,603
08/05/1993,1993,42,687
14/08/1993,1994,1,730
18/08/1993,1994,2,590
21/08/1993,1994,3,623
24/08/1993,1994,4,663
29/08/1993,1994,5,658
01/09/1993,1994,6,643
12/09/1993,1994,7,685
18/09/1993,1994,8,492
25/09/1993,1994,9,487
02/10/1993,1994,10,525
18/10/1993,1994,11,495
23/10/1993,1994,12,506
30/10/1993,1994,13,535
06/11/1993,1994,14,496
20/11/1993,1994,15,526
23/11/1993,1994,16,562
27/11/1993,1994,17,535
05/12/1993,1994,18,576
22/02/1994,1994,19,778
11/12/1993,1994,20,604
18/12/1993,1994,21,647
26/12/1993,1994,22,660
29/12/1993,1994,23,694
01/01/1994,1994,24,737
29/03/1994,1994,25,618
15/01/1994,1994,26,772
23/01/1994,1994,27,815
05/02/1994,1994,28,856
12/02/1994,1994,29,871
19/02/1994,1994,30,896
26/02/1994,1994,31,583
05/03/1994,1994,32,622
27/04/1994,1994,33,591
20/03/1994,1994,34,664
26/03/1994,1994,35,704
02/04/1994,1994,36,644
04/04/1994,1994,37,679
11/04/1994,1994,38,709
16/04/1994,1994,39,553
24/04/1994,1994,40,552
02/05/1994,1994,41,521
07/05/1994,1994,42,446
20/08/1994,1995,1,447
23/08/1994,1995,2,481
27/08/1994,1995,3,538
31/08/1994,1995,4,517
10/09/1994,1995,5,549
18/09/1994,1995,6,633
24/09/1994,1995,7,676
01/10/1994,1995,8,544
09/10/1994,1995,9,576
15/10/1994,1995,10,612
23/10/1994,1995,11,558
29/10/1994,1995,12,665
02/11/1994,1995,13,707
05/11/1994,1995,14,748
19/11/1994,1995,15,788
26/11/1994,1995,16,828
03/12/1994,1995,17,865
10/12/1994,1995,18,890
17/12/1994,1995,19,704
26/12/1994,1995,20,740
01/02/1995,1995,21,659
31/12/1994,1995,22,778
02/01/1995,1995,23,821
14/01/1995,1995,24,859
22/01/1995,1995,25,656
28/01/1995,1995,26,697
05/02/1995,1995,27,592
12/02/1995,1995,28,617
04/04/1995,1995,29,741
22/02/1995,1995,30,659
25/02/1995,1995,31,565
04/03/1995,1995,32,598
08/03/1995,1995,33,640
11/03/1995,1995,34,621
18/03/1995,1995,35,663
01/04/1995,1995,36,701
20/04/1995,1995,37,642
15/04/1995,1995,38,727
17/04/1995,1995,39,608
30/04/1995,1995,40,506
08/05/1995,1995,41,533
14/05/1995,1995,42,452
19/08/1995,1996,1,544
23/08/1995,1996,2,471
26/08/1995,1996,3,426
28/08/1995,1996,4,384
09/09/1995,1996,5,443
16/09/1995,1996,6,405
23/09/1995,1996,7,466
30/09/1995,1996,8,424
14/10/1995,1996,9,492
21/10/1995,1996,10,495
28/10/1995,1996,11,591
05/11/1995,1996,12,479
18/11/1995,1996,13,605
08/11/1995,1996,14,442
26/11/1995,1996,15,610
02/12/1995,1996,16,639
09/12/1995,1996,17,392
16/12/1995,1996,18,551
23/12/1995,1996,19,538
26/12/1995,1996,20,569
30/12/1995,1996,21,595
01/01/1996,1996,22,585
13/01/1996,1996,23,628
20/01/1996,1996,24,667
03/02/1996,1996,25,708
10/02/1996,1996,26,657
28/02/1996,1996,27,572
24/02/1996,1996,28,624
02/03/1996,1996,29,566
17/04/1996,1996,30,685
16/03/1996,1996,31,638
13/03/1996,1996,32,607
30/03/1996,1996,33,562
06/04/1996,1996,34,440
08/04/1996,1996,35,525
13/04/1996,1996,36,621
27/04/1996,1996,37,657
05/05/1996,1996,38,698
17/08/1996,1997,1,615
21/08/1996,1997,2,441
25/08/1996,1997,3,513
04/09/1996,1997,4,459
09/09/1996,1997,5,424
14/09/1996,1997,6,382
21/09/1996,1997,7,404
28/09/1996,1997,8,403
12/10/1996,1997,9,368
19/10/1996,1997,10,379
26/10/1996,1997,11,343
03/11/1996,1997,12,644
16/11/1996,1997,13,638
25/11/1996,1997,14,519
30/11/1996,1997,15,556
07/12/1996,1997,16,549
14/12/1996,1997,17,506
