Date,Season_End_Year,Week,ELO
14/08/2010,2011,1,534
21/08/2010,2011,2,505
28/08/2010,2011,3,525
11/09/2010,2011,4,572
19/09/2010,2011,5,545
25/09/2010,2011,6,514
03/10/2010,2011,7,539
17/10/2010,2011,8,507
23/10/2010,2011,9,440
01/11/2010,2011,10,585
06/11/2010,2011,11,596
10/11/2010,2011,12,523
13/11/2010,2011,13,513
20/11/2010,2011,14,548
27/11/2010,2011,15,563
25/01/2011,2011,16,382
11/12/2010,2011,17,594
22/02/2011,2011,18,649
12/01/2011,2011,19,606
28/12/2010,2011,20,628
01/01/2011,2011,21,593
04/01/2011,2011,22,567
15/01/2011,2011,23,450
22/01/2011,2011,24,408
02/02/2011,2011,25,341
05/02/2011,2011,26,299
12/02/2011,2011,27,391
26/02/2011,2011,28,622
07/03/2011,2011,29,594
19/03/2011,2011,30,552
03/04/2011,2011,31,522
10/04/2011,2011,32,481
16/04/2011,2011,33,450
23/04/2011,2011,34,467
30/04/2011,2011,35,484
07/05/2011,2011,36,493
14/05/2011,2011,37,530
22/05/2011,2011,38,487
