Date,Season_End_Year,Week,ELO
19/08/1995,1996,1,461
22/08/1995,1996,2,423
26/08/1995,1996,3,468
30/08/1995,1996,4,427
09/09/1995,1996,5,446
16/09/1995,1996,6,407
23/09/1995,1996,7,364
30/09/1995,1996,8,324
14/10/1995,1996,9,334
21/10/1995,1996,10,306
30/10/1995,1996,11,543
04/11/1995,1996,12,350
18/11/1995,1996,13,307
22/11/1995,1996,14,265
25/11/1995,1996,15,222
02/12/1995,1996,16,310
09/12/1995,1996,17,268
16/12/1995,1996,18,229
23/12/1995,1996,19,403
27/12/1995,1996,20,362
30/12/1995,1996,21,320
01/01/1996,1996,22,277
13/01/1996,1996,23,489
20/01/1996,1996,24,447
03/02/1996,1996,25,406
10/02/1996,1996,26,364
17/02/1996,1996,27,401
25/02/1996,1996,28,367
02/03/1996,1996,29,435
20/03/1996,1996,30,488
16/03/1996,1996,31,525
23/03/1996,1996,32,542
30/03/1996,1996,33,536
06/04/1996,1996,34,498
08/04/1996,1996,35,539
13/04/1996,1996,36,497
27/04/1996,1996,37,459
05/05/1996,1996,38,418
09/08/1997,1998,1,496
01/12/1997,1998,2,591
23/08/1997,1998,3,505
27/08/1997,1998,4,463
01/09/1997,1998,5,467
13/09/1997,1998,6,424
20/09/1997,1998,7,543
23/09/1997,1998,8,533
27/09/1997,1998,9,535
04/10/1997,1998,10,492
18/10/1997,1998,11,416
26/10/1997,1998,12,513
01/11/1997,1998,13,521
08/11/1997,1998,14,425
22/11/1997,1998,15,434
29/11/1997,1998,16,486
06/12/1997,1998,17,558
14/12/1997,1998,18,560
20/12/1997,1998,19,527
26/12/1997,1998,20,484
28/12/1997,1998,21,441
10/01/1998,1998,22,468
17/01/1998,1998,23,378
31/01/1998,1998,24,336
07/02/1998,1998,25,369
31/03/1998,1998,26,477
21/02/1998,1998,27,403
01/03/1998,1998,28,361
07/03/1998,1998,29,320
14/03/1998,1998,30,487
28/03/1998,1998,31,518
04/04/1998,1998,32,472
11/04/1998,1998,33,510
13/04/1998,1998,34,475
18/04/1998,1998,35,440
25/04/1998,1998,36,607
02/05/1998,1998,37,649
10/05/1998,1998,38,513
18/08/2001,2002,1,556
21/08/2001,2002,2,585
27/08/2001,2002,3,741
08/09/2001,2002,4,738
15/09/2001,2002,5,541
19/09/2001,2002,6,528
22/09/2001,2002,7,543
29/09/2001,2002,8,493
13/10/2001,2002,9,461
20/10/2001,2002,10,530
27/10/2001,2002,11,490
03/11/2001,2002,12,498
18/11/2001,2002,13,540
24/11/2001,2002,14,564
03/12/2001,2002,15,535
08/12/2001,2002,16,417
15/12/2001,2002,17,463
23/12/2001,2002,18,424
26/12/2001,2002,19,382
29/12/2001,2002,20,396
01/01/2002,2002,21,451
12/01/2002,2002,22,487
19/01/2002,2002,23,475
29/01/2002,2002,24,433
02/02/2002,2002,25,392
09/02/2002,2002,26,507
23/02/2002,2002,27,546
02/03/2002,2002,28,506
05/03/2002,2002,29,404
16/03/2002,2002,30,366
23/03/2002,2002,31,476
30/03/2002,2002,32,507
01/04/2002,2002,33,479
06/04/2002,2002,34,520
23/04/2002,2002,35,493
20/04/2002,2002,36,522
29/04/2002,2002,37,477
11/05/2002,2002,38,436
17/08/2002,2003,1,403
24/08/2002,2003,2,373
22/01/2003,2003,3,505
01/09/2002,2003,4,473
11/09/2002,2003,5,592
14/09/2002,2003,6,557
21/09/2002,2003,7,523
28/09/2002,2003,8,514
05/10/2002,2003,9,476
20/10/2002,2003,10,440
28/10/2002,2003,11,442
02/11/2002,2003,12,411
09/11/2002,2003,13,409
17/11/2002,2003,14,471
23/11/2002,2003,15,529
30/11/2002,2003,16,474
07/12/2002,2003,17,487
16/12/2002,2003,18,372
21/12/2002,2003,19,371
26/12/2002,2003,20,716
28/12/2002,2003,21,693
01/01/2003,2003,22,579
11/01/2003,2003,23,538
18/01/2003,2003,24,546
28/01/2003,2003,25,468
01/02/2003,2003,26,500
08/02/2003,2003,27,507
22/02/2003,2003,28,539
08/03/2003,2003,29,457
15/03/2003,2003,30,493
24/03/2003,2003,31,519
