Date,Season_End_Year,Week,ELO
08/08/2015,2016,1,475
17/08/2015,2016,2,440
22/08/2015,2016,3,549
29/08/2015,2016,4,595
12/09/2015,2016,5,532
19/09/2015,2016,6,566
26/09/2015,2016,7,514
03/10/2015,2016,8,531
17/10/2015,2016,9,489
25/10/2015,2016,10,446
01/11/2015,2016,11,403
07/11/2015,2016,12,362
21/11/2015,2016,13,376
28/11/2015,2016,14,449
05/12/2015,2016,15,548
12/12/2015,2016,16,683
19/12/2015,2016,17,709
26/12/2015,2016,18,702
28/12/2015,2016,19,589
02/01/2016,2016,20,596
12/01/2016,2016,21,553
16/01/2016,2016,22,585
23/01/2016,2016,23,566
02/02/2016,2016,24,609
07/02/2016,2016,25,577
13/02/2016,2016,26,535
27/02/2016,2016,27,549
01/03/2016,2016,28,656
05/03/2016,2016,29,699
12/03/2016,2016,30,740
20/03/2016,2016,31,695
02/04/2016,2016,32,582
09/04/2016,2016,33,621
17/04/2016,2016,34,583
23/04/2016,2016,35,547
30/04/2016,2016,36,502
07/05/2016,2016,37,500
17/05/2016,2016,38,460
14/08/2016,2017,1,425
21/08/2016,2017,2,383
27/08/2016,2017,3,388
10/09/2016,2017,4,466
17/09/2016,2017,5,439
24/09/2016,2017,6,576
01/10/2016,2017,7,584
15/10/2016,2017,8,617
22/10/2016,2017,9,639
29/10/2016,2017,10,540
05/11/2016,2017,11,386
19/11/2016,2017,12,528
27/11/2016,2017,13,485
04/12/2016,2017,14,720
10/12/2016,2017,15,608
13/12/2016,2017,16,659
18/12/2016,2017,17,578
26/12/2016,2017,18,556
31/12/2016,2017,19,599
03/01/2017,2017,20,608
14/01/2017,2017,21,488
21/01/2017,2017,22,475
31/01/2017,2017,23,362
04/02/2017,2017,24,330
13/02/2017,2017,25,311
25/02/2017,2017,26,279
04/03/2017,2017,27,445
11/03/2017,2017,28,559
18/03/2017,2017,29,587
01/04/2017,2017,30,587
05/04/2017,2017,31,614
08/04/2017,2017,32,572
15/04/2017,2017,33,537
22/04/2017,2017,34,579
29/04/2017,2017,35,618
06/05/2017,2017,36,580
13/05/2017,2017,37,607
21/05/2017,2017,38,612
12/08/2017,2018,1,438
19/08/2017,2018,2,399
26/08/2017,2018,3,370
09/09/2017,2018,4,332
15/09/2017,2018,5,524
23/09/2017,2018,6,492
30/09/2017,2018,7,494
14/10/2017,2018,8,457
21/10/2017,2018,9,587
28/10/2017,2018,10,553
04/11/2017,2018,11,599
18/11/2017,2018,12,707
25/11/2017,2018,13,620
29/11/2017,2018,14,580
03/12/2017,2018,15,572
09/12/2017,2018,16,572
13/12/2017,2018,17,532
17/12/2017,2018,18,489
23/12/2017,2018,19,481
26/12/2017,2018,20,481
30/12/2017,2018,21,597
01/01/2018,2018,22,594
14/01/2018,2018,23,683
20/01/2018,2018,24,679
31/01/2018,2018,25,728
03/02/2018,2018,26,764
11/02/2018,2018,27,462
24/02/2018,2018,28,525
03/03/2018,2018,29,528
11/03/2018,2018,30,498
17/03/2018,2018,31,541
31/03/2018,2018,32,545
07/04/2018,2018,33,545
14/04/2018,2018,34,507
18/04/2018,2018,35,473
28/04/2018,2018,36,429
05/05/2018,2018,37,482
13/05/2018,2018,38,534
11/08/2018,2019,1,575
18/08/2018,2019,2,610
25/08/2018,2019,3,606
01/09/2018,2019,4,567
15/09/2018,2019,5,594
22/09/2018,2019,6,428
01/10/2018,2019,7,514
06/10/2018,2019,8,594
20/10/2018,2019,9,581
27/10/2018,2019,10,620
03/11/2018,2019,11,578
10/11/2018,2019,12,544
25/11/2018,2019,13,501
01/12/2018,2019,14,486
04/12/2018,2019,15,514
08/12/2018,2019,16,492
15/12/2018,2019,17,453
22/12/2018,2019,18,487
26/12/2018,2019,19,465
30/12/2018,2019,20,427
02/01/2019,2019,21,465
13/01/2019,2019,22,423
19/01/2019,2019,23,505
30/01/2019,2019,24,559
02/02/2019,2019,25,474
09/02/2019,2019,26,432
23/02/2019,2019,27,529
27/02/2019,2019,28,487
02/03/2019,2019,29,454
09/03/2019,2019,30,482
16/03/2019,2019,31,530
30/03/2019,2019,32,489
06/04/2019,2019,33,446
13/04/2019,2019,34,543
20/04/2019,2019,35,504
27/04/2019,2019,36,531
04/05/2019,2019,37,559
12/05/2019,2019,38,516
10/08/2019,2020,1,498
17/08/2019,2020,2,539
25/08/2019,2020,3,512
31/08/2019,2020,4,470
15/09/2019,2020,5,531
20/09/2019,2020,6,574
28/09/2019,2020,7,596
06/10/2019,2020,8,563
19/10/2019,2020,9,561
26/10/2019,2020,10,545
02/11/2019,2020,11,708
09/11/2019,2020,12,622
23/11/2019,2020,13,594
30/11/2019,2020,14,549
03/12/2019,2020,15,513
