Date,Season_End_Year,Week,ELO
13/08/2021,2022,1,1132.801126102969
21/08/2021,2022,2,1107.413767200536
28/08/2021,2022,3,1109.6415064031546
11/09/2021,2022,4,1081.7482379680548
18/09/2021,2022,5,1113.4568132234558
25/09/2021,2022,6,1168.3325671724338
03/10/2021,2022,7,1194.3028577371824
16/10/2021,2022,8,1162.8970675118173
24/10/2021,2022,9,1134.6349176788322
30/10/2021,2022,10,1021.7820430972149
06/11/2021,2022,11,900.981711191771
20/11/2021,2022,12,913.8281928450282
28/11/2021,2022,13,961.8599953008204
02/12/2021,2022,14,930.8140559868056
05/12/2021,2022,15,958.1652515350618
10/12/2021,2022,16,985.8604987684388
19/01/2022,2022,17,935.2311159683466
11/01/2022,2022,18,993.5383223092376
26/12/2021,2022,19,957.0659995478715
29/12/2021,2022,20,944.3949116628858
02/01/2022,2022,21,1023.9826112076584
16/01/2022,2022,22,965.9686774727127
22/01/2022,2022,23,909.2181224078744
09/02/2022,2022,24,897.6640561081304
12/02/2022,2022,25,912.7081566328977
19/02/2022,2022,26,887.486572425849
26/02/2022,2022,27,858.4885347591904
05/03/2022,2022,28,896.3239617219253
12/03/2022,2022,29,986.2848643693642
20/03/2022,2022,30,954.9742643232128
02/04/2022,2022,31,1130.5400446975518
10/04/2022,2022,32,1164.329967397241
16/04/2022,2022,33,1194.6653062137475
23/04/2022,2022,34,1194.1803692222484
02/05/2022,2022,35,1129.2359998129136
07/05/2022,2022,36,1160.7699764751912
15/05/2022,2022,37,1191.7170525286795
22/05/2022,2022,38,1097.342493977543
07/08/2022,2023,1,1101.4343420370328
13/08/2022,2023,2,1130.8844753360445
20/08/2022,2023,3,1080.159192065954
27/08/2022,2023,4,1074.1363503611622
30/08/2022,2023,5,1084.0576999792847
03/09/2022,2023,6,1113.0622691754425
15/03/2023,2023,7,1200.680530583986
18/09/2022,2023,8,1081.4994609609482
01/10/2022,2023,9,1076.1119934531582
08/10/2022,2023,10,1044.7108894648911
14/10/2022,2023,11,1109.465424546631
19/10/2022,2023,12,1121.18906649694
23/10/2022,2023,13,1058.6037442028655
29/10/2022,2023,14,1037.8305578075972
05/11/2022,2023,15,1042.0764558984606
12/11/2022,2023,16,1202.0464607583608
26/12/2022,2023,17,1202.7520670973647
30/12/2022,2023,18,1231.611109263109
02/01/2023,2023,19,1262.3531177248083
14/01/2023,2023,20,1283.1258172703995
22/01/2023,2023,21,1239.8099549269687
04/02/2023,2023,22,1263.2409463272227
11/02/2023,2023,23,1259.1119891889964
18/02/2023,2023,24,1239.629922652747
05/04/2023,2023,25,1143.7102052684982
06/03/2023,2023,26,1270.2518285310891
11/03/2023,2023,27,1169.0388921378683
18/03/2023,2023,28,1167.3487341959037
01/04/2023,2023,29,1168.8579478900979
08/04/2023,2023,30,1112.4340757898285
15/04/2023,2023,31,1075.4654526145916
22/04/2023,2023,32,1107.902886131276
26/04/2023,2023,33,1139.6065597651416
29/04/2023,2023,34,1171.1570854138365
06/05/2023,2023,35,1139.4321722092438
14/05/2023,2023,36,1165.8407649691
20/05/2023,2023,37,1196.3331980085234
28/05/2023,2023,38,1316.3135428092169
