Date,Season_End_Year,Week,ELO
12/08/2017,2018,1,975.2127946410337
19/08/2017,2018,2,943.6005502927937
26/08/2017,2018,3,951.0203157470771
09/09/2017,2018,4,1021.2279082496601
15/09/2017,2018,5,964.3805785633397
24/09/2017,2018,6,1060.4915551843585
01/10/2017,2018,7,1029.641650732575
15/10/2017,2018,8,1033.051191191477
20/10/2017,2018,9,1077.477158136067
29/10/2017,2018,10,1076.4371680482227
04/11/2017,2018,11,1107.1679602574895
20/11/2017,2018,12,1104.8476614454257
25/11/2017,2018,13,1073.257338853337
28/11/2017,2018,14,1072.315877675075
02/12/2017,2018,15,1044.3377757644496
09/12/2017,2018,16,1012.4960250759705
13/12/2017,2018,17,980.7828066528747
16/12/2017,2018,18,1025.860856707205
23/12/2017,2018,19,1055.5625761248648
26/12/2017,2018,20,1024.2208347804326
30/12/2017,2018,21,1022.2404363083276
01/01/2018,2018,22,1026.0540238538815
13/01/2018,2018,23,998.4243687441993
20/01/2018,2018,24,970.299709069465
31/01/2018,2018,25,980.0097448730023
03/02/2018,2018,26,1054.9850511883376
10/02/2018,2018,27,1039.3240936604832
24/02/2018,2018,28,1127.896559843292
04/03/2018,2018,29,1159.226951762211
10/03/2018,2018,30,1093.8882363470002
09/05/2018,2018,31,1138.6703170077928
31/03/2018,2018,32,1066.9060859517917
07/04/2018,2018,33,1059.3499472843073
14/04/2018,2018,34,1027.2776824156824
17/04/2018,2018,35,1100.8263195700947
28/04/2018,2018,36,1103.1850256336186
04/05/2018,2018,37,1168.4013645614
13/05/2018,2018,38,1108.6920095717003
11/08/2018,2019,1,1060.8969568074112
19/08/2018,2019,2,1131.8799295052795
25/08/2018,2019,3,1100.469682090401
01/09/2018,2019,4,1089.915197315265
17/09/2018,2019,5,1087.1757497147644
22/09/2018,2019,6,1056.1705297936246
29/09/2018,2019,7,1034.68715880172
05/10/2018,2019,8,1093.4135864350374
20/10/2018,2019,9,1124.4044527313602
27/10/2018,2019,10,1150.4919905992954
03/11/2018,2019,11,1102.8705861134913
10/11/2018,2019,12,982.8658068459459
24/11/2018,2019,13,988.5343579257435
01/12/2018,2019,14,1025.1021486971754
04/12/2018,2019,15,1057.9030526869885
08/12/2018,2019,16,976.9953217259628
16/12/2018,2019,17,955.5597657991311
22/12/2018,2019,18,927.937766362985
26/12/2018,2019,19,968.1268849850019
29/12/2018,2019,20,1035.5416967414276
02/01/2019,2019,21,1034.4206910908383
12/01/2019,2019,22,1013.5514498594963
19/01/2019,2019,23,988.6650418688201
29/01/2019,2019,24,931.417953217291
02/02/2019,2019,25,953.8175764651268
09/02/2019,2019,26,922.6948615305059
03/04/2019,2019,27,981.341642428703
26/02/2019,2019,28,890.9712212070068
02/03/2019,2019,29,930.5191992049711
09/03/2019,2019,30,1043.8992080208395
16/04/2019,2019,31,927.0016728847934
30/03/2019,2019,32,1013.0425332229288
23/04/2019,2019,33,927.8728368764994
13/04/2019,2019,34,953.9810002739442
20/04/2019,2019,35,959.3240390587558
27/04/2019,2019,36,969.2429436968416
05/05/2019,2019,37,986.7062674702968
12/05/2019,2019,38,976.0538623016788
10/08/2019,2020,1,1004.8385943881482
17/08/2019,2020,2,1020.6771482263075
24/08/2019,2020,3,984.3215335502111
31/08/2019,2020,4,971.0591380852801
14/09/2019,2020,5,984.5127843984171
21/09/2019,2020,6,991.2223298242376
28/09/2019,2020,7,959.502995295822
05/10/2019,2020,8,1045.817779034138
19/10/2019,2020,9,1014.8687516997254
26/10/2019,2020,10,1040.2125947148095
02/11/2019,2020,11,1069.6083658070831
10/11/2019,2020,12,1040.4131688056257
23/11/2019,2020,13,1012.5279046996613
30/11/2019,2020,14,1001.9007587791488
05/12/2019,2020,15,1036.4687597260804
08/12/2019,2020,16,1062.7759118758354
16/12/2019,2020,17,1064.1153592355045
21/12/2019,2020,18,1033.2164940130194
26/12/2019,2020,19,1004.739508753461
28/12/2019,2020,20,1030.6914490983227
01/01/2020,2020,21,1031.3640286401476
11/01/2020,2020,22,1001.1470198819804
18/01/2020,2020,23,998.5893800108329
21/01/2020,2020,24,937.610982134411
01/02/2020,2020,25,940.6066109188046
08/02/2020,2020,26,953.3793799083176
22/02/2020,2020,27,988.2305782086369
29/02/2020,2020,28,958.4726532120139
07/03/2020,2020,29,999.3448726159946
20/06/2020,2020,30,1072.443075148726
23/06/2020,2020,31,1070.9508945803293
30/06/2020,2020,32,1039.2775527216843
04/07/2020,2020,33,1070.5913463281242
08/07/2020,2020,34,1042.3538578335542
11/07/2020,2020,35,1011.3036447265301
16/07/2020,2020,36,1037.4412799964632
20/07/2020,2020,37,1034.9265176869417
26/07/2020,2020,38,1128.0617056073909
14/09/2020,2021,1,1100.4389902369956
20/09/2020,2021,2,1129.6304900277446
26/09/2020,2021,3,1099.3975935673682
03/10/2020,2021,4,1068.9957273235395
18/10/2020,2021,5,1073.4728348423941
26/10/2020,2021,6,1072.3831419513847
01/11/2020,2021,7,1040.659306780871
06/11/2020,2021,8,1033.765039672218
21/11/2020,2021,9,1103.3196051936152
28/11/2020,2021,10,1144.1270851439338
07/12/2020,2021,11,1114.555832993562
13/12/2020,2021,12,1078.2065079582921
16/12/2020,2021,13,1076.5649692806448
20/12/2020,2021,14,1009.8825694942434
27/12/2020,2021,15,1031.7513519630127
29/12/2020,2021,16,1000.8321574608941
02/01/2021,2021,17,1008.9422408446836
13/01/2021,2021,18,983.0839097198215
16/01/2021,2021,19,1048.951059072605
27/01/2021,2021,20,1048.0263040739665
31/01/2021,2021,21,1104.2231646941912
03/02/2021,2021,22,1171.107456297034
06/02/2021,2021,23,1159.678417280829
13/02/2021,2021,24,1157.730153088208
22/02/2021,2021,25,1100.6079396285525
27/02/2021,2021,26,1033.310618395374
06/03/2021,2021,27,1001.6043307832076
14/03/2021,2021,28,1027.1782233228882
20/03/2021,2021,29,1054.6240418125544
04/04/2021,2021,30,1030.8449461963605
12/04/2021,2021,31,1036.9150834428185
20/04/2021,2021,32,1046.9736510165485
24/04/2021,2021,33,963.8144717004832
01/05/2021,2021,34,1111.908330505916
09/05/2021,2021,35,1063.6669120317226
15/05/2021,2021,36,1067.9875057452703
18/05/2021,2021,37,1178.317657411631
23/05/2021,2021,38,1147.405843166429
14/08/2021,2022,1,1177.6738086118648
21/08/2021,2022,2,1209.0670673628922
28/08/2021,2022,3,1138.5292407487607
11/09/2021,2022,4,1166.4225091838605
19/09/2021,2022,5,1193.4331887072947
27/09/2021,2022,6,1183.9094135798284
02/10/2021,2022,7,1182.9682593298432
16/10/2021,2022,8,1080.1086500609715
23/10/2021,2022,9,1051.1226854669014
30/10/2021,2022,10,1118.0502349356516
06/11/2021,2022,11,1100.095798214822
20/11/2021,2022,12,1046.8429666130742
27/11/2021,2022,13,1047.8326052699172
01/12/2021,2022,14,1062.8434738746967
04/12/2021,2022,15,1054.4984595588014
16/03/2022,2022,16,926.0205186301536
15/12/2021,2022,17,1026.1290614052632
15/02/2022,2022,18,1120.848207720564
26/12/2021,2022,19,1054.9235606258305
29/12/2021,2022,20,1082.0552983463353
02/01/2022,2022,21,1109.698999151512
14/01/2022,2022,22,1102.6313761597362
23/01/2022,2022,23,1121.5943616243965
18/01/2022,2022,24,1111.7018994605266
12/02/2022,2022,25,1148.8917212040467
19/02/2022,2022,26,1062.0487141216734
26/02/2022,2022,27,1001.6434338839214
05/03/2022,2022,28,969.9726793116865
12/03/2022,2022,29,954.6133899434668
20/04/2022,2022,30,1141.124683774624
02/04/2022,2022,31,912.8894355235025
09/04/2022,2022,32,1058.278819842506
16/04/2022,2022,33,1171.5647675165585
24/04/2022,2022,34,1119.3511289111798
30/04/2022,2022,35,1151.0689319261573
07/05/2022,2022,36,1177.8194219013492
15/05/2022,2022,37,1140.147938418228
22/05/2022,2022,38,1167.1108712560663
07/08/2022,2023,1,1198.2089423941998
13/08/2022,2023,2,1201.5997401392062
21/08/2022,2023,3,1232.3579760151224
27/08/2022,2023,4,1263.6957271156264
30/08/2022,2023,5,1169.4024319108046
04/09/2022,2023,6,1199.0238674336351
04/04/2023,2023,7,1214.930419848008
15/03/2023,2023,8,1185.7915747002992
01/10/2022,2023,9,1200.277951142166
08/10/2022,2023,10,1168.656970263187
14/10/2022,2023,11,1103.9024351814471
18/10/2022,2023,12,1071.051797105716
22/10/2022,2023,13,1042.9705351177045
29/10/2022,2023,14,1125.3623832708665
05/11/2022,2023,15,1155.7164225244048
13/11/2022,2023,16,1128.7505935383954
26/12/2022,2023,17,1160.4732014334322
31/12/2022,2023,18,1132.7234100263126
