Date,Season_End_Year,Week,ELO
15/08/2009,2010,1,467
19/08/2009,2010,2,743
23/08/2009,2010,3,785
29/08/2009,2010,4,743
12/09/2009,2010,5,629
19/09/2009,2010,6,671
26/09/2009,2010,7,628
03/10/2009,2010,8,669
18/10/2009,2010,9,629
24/10/2009,2010,10,540
31/10/2009,2010,11,578
07/11/2009,2010,12,581
21/11/2009,2010,13,578
28/11/2009,2010,14,516
05/12/2009,2010,15,440
12/12/2009,2010,16,489
16/12/2009,2010,17,515
20/12/2009,2010,18,488
26/12/2009,2010,19,496
28/12/2009,2010,20,460
10/03/2010,2010,21,368
16/01/2010,2010,22,421
26/01/2010,2010,23,388
30/01/2010,2010,24,358
06/02/2010,2010,25,463
09/02/2010,2010,26,418
21/02/2010,2010,27,382
27/02/2010,2010,28,328
06/03/2010,2010,29,308
13/03/2010,2010,30,337
20/03/2010,2010,31,295
28/03/2010,2010,32,263
03/04/2010,2010,33,241
10/04/2010,2010,34,320
17/04/2010,2010,35,280
25/04/2010,2010,36,247
01/05/2010,2010,37,205
09/05/2010,2010,38,664
18/08/2014,2015,1,624
23/08/2014,2015,2,585
30/08/2014,2015,3,592
13/09/2014,2015,4,586
20/09/2014,2015,5,546
28/09/2014,2015,6,501
04/10/2014,2015,7,532
18/10/2014,2015,8,493
26/10/2014,2015,9,454
01/11/2014,2015,10,412
08/11/2014,2015,11,519
22/11/2014,2015,12,601
29/11/2014,2015,13,594
02/12/2014,2015,14,598
06/12/2014,2015,15,519
13/12/2014,2015,16,561
20/12/2014,2015,17,524
26/12/2014,2015,18,489
28/12/2014,2015,19,612
01/01/2015,2015,20,607
10/01/2015,2015,21,646
17/01/2015,2015,22,615
31/01/2015,2015,23,452
08/02/2015,2015,24,459
11/02/2015,2015,25,424
21/02/2015,2015,26,556
28/02/2015,2015,27,513
04/03/2015,2015,28,479
14/03/2015,2015,29,607
21/03/2015,2015,30,572
05/04/2015,2015,31,616
11/04/2015,2015,32,583
18/04/2015,2015,33,544
25/04/2015,2015,34,502
02/05/2015,2015,35,432
09/05/2015,2015,36,560
16/05/2015,2015,37,559
24/05/2015,2015,38,590
13/08/2016,2017,1,547
20/08/2016,2017,2,629
27/08/2016,2017,3,587
10/09/2016,2017,4,615
17/09/2016,2017,5,589
26/09/2016,2017,6,688
02/10/2016,2017,7,652
16/10/2016,2017,8,619
22/10/2016,2017,9,651
29/10/2016,2017,10,649
05/11/2016,2017,11,687
21/11/2016,2017,12,623
26/11/2016,2017,13,581
03/12/2016,2017,14,552
10/12/2016,2017,15,664
14/12/2016,2017,16,558
18/12/2016,2017,17,516
26/12/2016,2017,18,548
31/12/2016,2017,19,587
02/01/2017,2017,20,549
14/01/2017,2017,21,580
22/01/2017,2017,22,538
31/01/2017,2017,23,569
04/02/2017,2017,24,532
12/02/2017,2017,25,622
25/02/2017,2017,26,609
04/03/2017,2017,27,583
12/03/2017,2017,28,551
18/03/2017,2017,29,536
01/04/2017,2017,30,495
04/04/2017,2017,31,597
08/04/2017,2017,32,525
15/04/2017,2017,33,484
23/04/2017,2017,34,446
29/04/2017,2017,35,629
06/05/2017,2017,36,573
13/05/2017,2017,37,546
21/05/2017,2017,38,505
12/08/2017,2018,1,771
19/08/2017,2018,2,608
27/08/2017,2018,3,618
10/09/2017,2018,4,659
16/09/2017,2018,5,670
23/09/2017,2018,6,648
01/10/2017,2018,7,684
14/10/2017,2018,8,668
21/10/2017,2018,9,633
30/10/2017,2018,10,659
04/11/2017,2018,11,698
18/11/2017,2018,12,737
26/11/2017,2018,13,710
29/11/2017,2018,14,750
02/12/2017,2018,15,654
09/12/2017,2018,16,696
12/12/2017,2018,17,738
16/12/2017,2018,18,674
23/12/2017,2018,19,620
26/12/2017,2018,20,670
30/12/2017,2018,21,652
01/01/2018,2018,22,609
13/01/2018,2018,23,569
20/01/2018,2018,24,527
31/01/2018,2018,25,535
03/02/2018,2018,26,676
10/02/2018,2018,27,636
24/02/2018,2018,28,624
03/03/2018,2018,29,659
10/03/2018,2018,30,702
19/04/2018,2018,31,627
31/03/2018,2018,32,727
07/04/2018,2018,33,770
14/04/2018,2018,34,813
22/04/2018,2018,35,571
28/04/2018,2018,36,581
06/05/2018,2018,37,543
13/05/2018,2018,38,491
12/08/2018,2019,1,501
19/08/2018,2019,2,459
26/08/2018,2019,3,427
02/09/2018,2019,4,384
16/09/2018,2019,5,345
22/09/2018,2019,6,511
30/09/2018,2019,7,553
06/10/2018,2019,8,525
20/10/2018,2019,9,497
28/10/2018,2019,10,461
03/11/2018,2019,11,422
10/11/2018,2019,12,447
26/11/2018,2019,13,405
01/12/2018,2019,14,362
05/12/2018,2019,15,349
08/12/2018,2019,16,500
15/12/2018,2019,17,472
22/12/2018,2019,18,440
26/12/2018,2019,19,399
30/12/2018,2019,20,591
02/01/2019,2019,21,625
12/01/2019,2019,22,667
19/01/2019,2019,23,671
29/01/2019,2019,24,719
02/02/2019,2019,25,714
09/02/2019,2019,26,754
23/02/2019,2019,27,853
26/02/2019,2019,28,817
02/03/2019,2019,29,689
10/03/2019,2019,30,658
16/03/2019,2019,31,594
30/03/2019,2019,32,633
06/04/2019,2019,33,676
13/04/2019,2019,34,718
22/04/2019,2019,35,711
28/04/2019,2019,36,676
03/05/2019,2019,37,608
12/05/2019,2019,38,561
10/08/2019,2020,1,597
17/08/2019,2020,2,561
25/08/2019,2020,3,574
31/08/2019,2020,4,555
14/09/2019,2020,5,540
21/09/2019,2020,6,728
28/09/2019,2020,7,681
05/10/2019,2020,8,719
19/10/2019,2020,9,655
26/10/2019,2020,10,623
02/11/2019,2020,11,584
09/11/2019,2020,12,626
23/11/2019,2020,13,669
30/11/2019,2020,14,547
03/12/2019,2020,15,504
07/12/2019,2020,16,469
14/12/2019,2020,17,617
21/12/2019,2020,18,656
26/12/2019,2020,19,592
28/12/2019,2020,20,559
01/01/2020,2020,21,493
11/01/2020,2020,22,461
19/01/2020,2020,23,582
22/01/2020,2020,24,616
02/02/2020,2020,25,611
15/02/2020,2020,26,656
22/02/2020,2020,27,698
