Date,Season_End_Year,Week,ELO
17/08/2013,2014,1,968.4438567888593
25/08/2013,2014,2,1068.622931539168
31/08/2013,2014,3,1075.1041044798426
14/09/2013,2014,4,1061.1562079940509
22/09/2013,2014,5,1034.3553211931796
28/09/2013,2014,6,1065.9035871957255
05/10/2013,2014,7,1022.3061112405559
19/10/2013,2014,8,996.5783208580308
26/10/2013,2014,9,994.702610110078
03/11/2013,2014,10,1034.9408699849287
09/11/2013,2014,11,1005.0194730516835
24/11/2013,2014,12,1056.7566392428325
30/11/2013,2014,13,1030.4505521136277
04/12/2013,2014,14,1027.8252925470824
07/12/2013,2014,15,990.5399630532684
14/12/2013,2014,16,1020.4809063239853
21/12/2013,2014,17,989.1160496635492
26/12/2013,2014,18,957.6929230569634
28/12/2013,2014,19,983.0311107049671
01/01/2014,2014,20,960.4391491714118
11/01/2014,2014,21,911.5601644974497
18/01/2014,2014,22,898.1258675295113
28/01/2014,2014,23,874.6609745716318
01/02/2014,2014,24,933.6886662310735
08/02/2014,2014,25,907.7791780572472
11/02/2014,2014,26,919.1847055089542
22/02/2014,2014,27,887.8818521410552
02/03/2014,2014,28,859.3985383870049
08/03/2014,2014,29,898.1805588265175
15/03/2014,2014,30,871.0212567469762
22/03/2014,2014,31,858.2189020438169
29/03/2014,2014,32,880.4949328423335
05/04/2014,2014,33,850.8521218872603
12/04/2014,2014,34,973.4799888524749
19/04/2014,2014,35,1010.4622741417863
27/04/2014,2014,36,979.9036155155477
03/05/2014,2014,37,904.5578765186845
11/05/2014,2014,38,879.6897708539476
11/08/2018,2019,1,848.955521672774
18/08/2018,2019,2,892.1453556048103
25/08/2018,2019,3,914.0303061761991
02/09/2018,2019,4,883.607005149207
15/09/2018,2019,5,863.5255842849294
22/09/2018,2019,6,852.2387651330857
30/09/2018,2019,7,820.8651308028349
06/10/2018,2019,8,807.8883412520074
20/10/2018,2019,9,887.8399782508693
27/10/2018,2019,10,875.6711394475667
03/11/2018,2019,11,844.0579104994706
10/11/2018,2019,12,964.062689767016
24/11/2018,2019,13,933.6807602537538
30/11/2018,2019,14,986.6177959960459
04/12/2018,2019,15,955.0958765593323
08/12/2018,2019,16,982.5310432509618
15/12/2018,2019,17,955.3312702876351
22/12/2018,2019,18,925.4574669295384
26/12/2018,2019,19,973.0389336191756
29/12/2018,2019,20,1076.682151600686
01/01/2019,2019,21,1046.8942766769092
12/01/2019,2019,22,1002.3690295132549
19/01/2019,2019,23,968.3397805483932
29/01/2019,2019,24,937.8299149581396
02/02/2019,2019,25,1012.9964872412123
09/02/2019,2019,26,1080.8407772386242
22/02/2019,2019,27,1054.3947945779025
26/02/2019,2019,28,993.104530109389
02/03/2019,2019,29,966.018042016159
09/03/2019,2019,30,1053.5222717185857
16/04/2019,2019,31,999.7219266754768
31/03/2019,2019,32,1024.2597825707383
03/04/2019,2019,33,1004.3253730540623
13/04/2019,2019,34,972.7425992863259
21/04/2019,2019,35,982.1356778230826
27/04/2019,2019,36,955.648214822879
04/05/2019,2019,37,926.1230360869154
12/05/2019,2019,38,984.1871600461513
