Date,Season_End_Year,Week,ELO
15/08/1998,1999,1,496
22/08/1998,1999,2,538
29/08/1998,1999,3,556
09/09/1998,1999,4,521
12/09/1998,1999,5,479
19/09/1998,1999,6,497
26/09/1998,1999,7,470
03/10/1998,1999,8,499
17/10/1998,1999,9,456
24/10/1998,1999,10,534
02/11/1998,1999,11,544
07/11/1998,1999,12,564
14/11/1998,1999,13,559
21/11/1998,1999,14,523
28/11/1998,1999,15,479
05/12/1998,1999,16,336
12/12/1998,1999,17,302
21/12/1998,1999,18,262
26/12/1998,1999,19,219
28/12/1998,1999,20,194
09/01/1999,1999,21,154
17/01/1999,1999,22,237
31/01/1999,1999,23,216
08/02/1999,1999,24,442
13/02/1999,1999,25,522
20/02/1999,1999,26,574
27/02/1999,1999,27,510
06/03/1999,1999,28,475
13/03/1999,1999,29,479
20/04/1999,1999,30,475
03/04/1999,1999,31,436
05/04/1999,1999,32,522
10/04/1999,1999,33,489
17/04/1999,1999,34,511
24/04/1999,1999,35,435
01/05/1999,1999,36,434
08/05/1999,1999,37,506
16/05/1999,1999,38,479
19/08/2000,2001,1,559
23/08/2000,2001,2,490
26/08/2000,2001,3,453
06/09/2000,2001,4,450
10/09/2000,2001,5,453
16/09/2000,2001,6,559
23/09/2000,2001,7,597
30/09/2000,2001,8,558
14/10/2000,2001,9,512
21/10/2000,2001,10,543
28/10/2000,2001,11,514
04/11/2000,2001,12,553
11/11/2000,2001,13,519
18/11/2000,2001,14,546
25/11/2000,2001,15,515
02/12/2000,2001,16,487
09/12/2000,2001,17,624
16/12/2000,2001,18,488
23/12/2000,2001,19,517
26/12/2000,2001,20,486
30/12/2000,2001,21,518
01/01/2001,2001,22,579
13/01/2001,2001,23,577
22/01/2001,2001,24,565
30/01/2001,2001,25,597
03/02/2001,2001,26,585
11/02/2001,2001,27,616
24/02/2001,2001,28,553
03/03/2001,2001,29,550
17/03/2001,2001,30,508
01/04/2001,2001,31,556
10/04/2001,2001,32,516
13/04/2001,2001,33,376
17/04/2001,2001,34,419
21/04/2001,2001,35,585
30/04/2001,2001,36,731
05/05/2001,2001,37,581
19/05/2001,2001,38,538
18/08/2001,2002,1,491
24/10/2001,2002,2,469
25/08/2001,2002,3,597
09/09/2001,2002,4,595
16/09/2001,2002,5,554
05/12/2001,2002,6,582
22/09/2001,2002,7,542
29/09/2001,2002,8,581
13/10/2001,2002,9,577
20/10/2001,2002,10,507
27/10/2001,2002,11,430
04/11/2001,2002,12,546
19/11/2001,2002,13,551
24/11/2001,2002,14,439
01/12/2001,2002,15,494
08/12/2001,2002,16,619
15/12/2001,2002,17,573
22/12/2001,2002,18,495
26/12/2001,2002,19,516
29/12/2001,2002,20,549
01/01/2002,2002,21,600
12/01/2002,2002,22,453
21/01/2002,2002,23,427
29/01/2002,2002,24,463
03/02/2002,2002,25,464
10/02/2002,2002,26,426
24/02/2002,2002,27,447
02/03/2002,2002,28,579
09/03/2002,2002,29,487
18/03/2002,2002,30,530
23/03/2002,2002,31,420
30/03/2002,2002,32,396
01/04/2002,2002,33,380
06/04/2002,2002,34,338
13/04/2002,2002,35,360
20/04/2002,2002,36,319
27/04/2002,2002,37,326
11/05/2002,2002,38,457
17/08/2002,2003,1,424
24/08/2002,2003,2,454
27/08/2002,2003,3,412
31/08/2002,2003,4,619
11/09/2002,2003,5,487
14/09/2002,2003,6,457
21/09/2002,2003,7,457
28/09/2002,2003,8,418
06/10/2002,2003,9,376
20/10/2002,2003,10,540
26/10/2002,2003,11,499
03/11/2002,2003,12,495
09/11/2002,2003,13,468
16/11/2002,2003,14,551
24/11/2002,2003,15,582
01/12/2002,2003,16,625
07/12/2002,2003,17,667
14/12/2002,2003,18,649
21/12/2002,2003,19,626
26/12/2002,2003,20,623
28/12/2002,2003,21,665
22/01/2003,2003,22,634
11/01/2003,2003,23,599
18/01/2003,2003,24,591
29/01/2003,2003,25,676
01/02/2003,2003,26,704
08/02/2003,2003,27,739
22/02/2003,2003,28,779
02/03/2003,2003,29,751
15/03/2003,2003,30,672
22/03/2003,2003,31,686
05/04/2003,2003,32,462
12/04/2003,2003,33,426
19/04/2003,2003,34,388
21/04/2003,2003,35,351
26/04/2003,2003,36,465
03/05/2003,2003,37,437
11/05/2003,2003,38,394
17/08/2003,2004,1,353
23/08/2003,2004,2,428
26/08/2003,2004,3,465
30/08/2003,2004,4,476
13/09/2003,2004,5,436
20/09/2003,2004,6,397
28/09/2003,2004,7,562
04/10/2003,2004,8,596
20/10/2003,2004,9,638
26/10/2003,2004,10,683
03/11/2003,2004,11,719
08/11/2003,2004,12,762
22/11/2003,2004,13,688
29/11/2003,2004,14,439
07/12/2003,2004,15,414
13/12/2003,2004,16,465
20/12/2003,2004,17,520
26/12/2003,2004,18,628
28/12/2003,2004,19,668
07/01/2004,2004,20,628
10/01/2004,2004,21,668
17/01/2004,2004,22,708
31/01/2004,2004,23,649
08/02/2004,2004,24,622
11/02/2004,2004,25,597
21/02/2004,2004,26,625
28/02/2004,2004,27,596
13/03/2004,2004,28,627
20/03/2004,2004,29,582
27/03/2004,2004,30,533
20/04/2004,2004,31,532
10/04/2004,2004,32,537
12/04/2004,2004,33,594
17/04/2004,2004,34,573
24/04/2004,2004,35,485
01/05/2004,2004,36,476
08/05/2004,2004,37,477
15/05/2004,2004,38,548
14/08/2004,2005,1,512
21/08/2004,2005,2,555
25/08/2004,2005,3,607
28/08/2004,2005,4,507
13/09/2004,2005,5,498
18/09/2004,2005,6,488
27/09/2004,2005,7,536
02/10/2004,2005,8,505
17/10/2004,2005,9,511
23/10/2004,2005,10,468
30/10/2004,2005,11,425
06/11/2004,2005,12,460
13/11/2004,2005,13,485
20/11/2004,2005,14,444
27/11/2004,2005,15,406
05/12/2004,2005,16,453
11/12/2004,2005,17,491
20/12/2004,2005,18,560
26/12/2004,2005,19,538
28/12/2004,2005,20,659
01/01/2005,2005,21,620
03/01/2005,2005,22,536
15/01/2005,2005,23,578
22/01/2005,2005,24,609
01/02/2005,2005,25,501
05/02/2005,2005,26,503
16/03/2005,2005,27,534
27/02/2005,2005,28,512
05/03/2005,2005,29,507
19/03/2005,2005,30,471
02/04/2005,2005,31,475
09/04/2005,2005,32,429
16/04/2005,2005,33,386
20/04/2005,2005,34,429
23/04/2005,2005,35,387
01/05/2005,2005,36,352
07/05/2005,2005,37,335
15/05/2005,2005,38,378
13/08/2005,2006,1,403
20/08/2005,2006,2,454
08/02/2006,2006,3,539
28/08/2005,2006,4,574
10/09/2005,2006,5,616
17/09/2005,2006,6,582
24/09/2005,2006,7,617
01/10/2005,2006,8,577
17/10/2005,2006,9,533
22/10/2005,2006,10,572
29/10/2005,2006,11,535
05/11/2005,2006,12,506
19/11/2005,2006,13,464
26/11/2005,2006,14,394
04/12/2005,2006,15,362
10/12/2005,2006,16,405
17/12/2005,2006,17,366
26/12/2005,2006,18,324
22/02/2006,2006,19,508
31/12/2005,2006,20,458
02/01/2006,2006,21,428
14/01/2006,2006,22,506
22/01/2006,2006,23,633
31/01/2006,2006,24,554
05/02/2006,2006,25,495
12/02/2006,2006,26,505
25/02/2006,2006,27,506
04/03/2006,2006,28,524
12/03/2006,2006,29,644
18/03/2006,2006,30,595
26/03/2006,2006,31,623
02/04/2006,2006,32,606
08/04/2006,2006,33,584
15/04/2006,2006,34,521
17/04/2006,2006,35,595
22/04/2006,2006,36,439
29/04/2006,2006,37,408
07/05/2006,2006,38,367
19/08/2006,2007,1,326
23/08/2006,2007,2,298
26/08/2006,2007,3,473
09/09/2006,2007,4,433
16/09/2006,2007,5,390
23/09/2006,2007,6,348
30/09/2006,2007,7,321
16/10/2006,2007,8,280
21/10/2006,2007,9,314
28/10/2006,2007,10,349
04/11/2006,2007,11,475
11/11/2006,2007,12,432
18/11/2006,2007,13,390
25/11/2006,2007,14,425
05/12/2006,2007,15,453
02/12/2006,2007,16,396
09/12/2006,2007,17,412
16/12/2006,2007,18,374
23/12/2006,2007,19,339
27/12/2006,2007,20,389
30/12/2006,2007,21,426
02/01/2007,2007,22,385
13/01/2007,2007,23,342
20/01/2007,2007,24,511
31/01/2007,2007,25,524
03/02/2007,2007,26,483
10/02/2007,2007,27,445
24/02/2007,2007,28,482
03/03/2007,2007,29,477
18/03/2007,2007,30,520
31/03/2007,2007,31,582
06/04/2007,2007,32,579
09/04/2007,2007,33,554
15/04/2007,2007,34,513
21/04/2007,2007,35,506
28/04/2007,2007,36,481
07/05/2007,2007,37,440
13/05/2007,2007,38,440
