Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1000.0
19/08/1992,1993,2,972.4450081623654
22/08/1992,1993,3,978.560505725021
26/08/1992,1993,4,987.4620112431783
29/08/1992,1993,5,1043.3407537620926
02/09/1992,1993,6,1072.441215808035
05/09/1992,1993,7,1019.2805845063523
12/09/1992,1993,8,989.2969592924729
20/09/1992,1993,9,1023.1900274760706
26/09/1992,1993,10,1006.0829349328947
03/10/1992,1993,11,974.9531107435031
17/10/1992,1993,12,1011.2486136801713
24/10/1992,1993,13,1044.1011935684637
31/10/1992,1993,14,992.6205438239597
07/11/1992,1993,15,1022.5973802933244
21/11/1992,1993,16,1054.101129813593
29/11/1992,1993,17,1080.6141239391088
05/12/1992,1993,18,1107.0574200652302
11/12/1992,1993,19,1091.7173097952148
19/12/1992,1993,20,1094.2929587896979
26/12/1992,1993,21,1077.6838166495472
28/12/1992,1993,22,1053.3147875075442
09/01/1993,1993,23,1023.0119081217208
16/01/1993,1993,24,978.7893621155212
27/01/1993,1993,25,978.4685149966954
30/01/1993,1993,26,947.0250011503558
06/02/1993,1993,27,910.9297846459314
10/02/1993,1993,28,917.6202722513456
13/02/1993,1993,29,885.9949142409909
21/02/1993,1993,30,857.5063119081877
01/03/1993,1993,31,911.8698529631057
06/04/1993,1993,32,978.4710857175008
10/03/1993,1993,33,972.9051446134671
15/03/1993,1993,34,974.6210938704572
20/03/1993,1993,35,978.0554230806459
24/03/1993,1993,36,984.4304800335967
03/04/1993,1993,37,1015.6859164291541
10/04/1993,1993,38,941.8970311596191
12/04/1993,1993,39,1015.7657042694356
17/04/1993,1993,40,984.0410094955467
01/05/1993,1993,41,1014.6580128439773
08/05/1993,1993,42,986.3131894627938
14/08/1993,1994,1,954.9739858269761
17/08/1993,1994,2,962.223634654531
21/08/1993,1994,3,931.4390493019192
25/08/1993,1994,4,984.7389428094529
28/08/1993,1994,5,974.4635286362239
01/09/1993,1994,6,976.735409574248
11/09/1993,1994,7,1129.661602481694
18/09/1993,1994,8,1115.9248632783083
25/09/1993,1994,9,1147.075830729647
02/10/1993,1994,10,1074.353414003086
16/10/1993,1994,11,1049.1852342339048
23/10/1993,1994,12,1019.9245433961904
30/10/1993,1994,13,965.3336396559052
06/11/1993,1994,14,934.2354546776323
20/11/1993,1994,15,904.0274803126687
22/11/1993,1994,16,910.3531935299536
27/11/1993,1994,17,865.194565873846
05/12/1993,1994,18,834.85458047151
16/03/1994,1994,19,1102.9822402761856
11/12/1993,1994,20,881.3477964451326
13/04/1994,1994,21,1060.3244015843848
27/12/1993,1994,22,850.6524421940709
28/12/1993,1994,23,979.126376358751
01/01/1994,1994,24,1006.3033966902509
03/01/1994,1994,25,1036.2450133619607
15/01/1994,1994,26,1034.7361614508102
22/01/1994,1994,27,1033.1603858777466
05/02/1994,1994,28,939.7393008408332
12/02/1994,1994,29,913.5348789107946
30/03/1994,1994,30,1031.6976516221819
27/02/1994,1994,31,944.5386631674475
05/03/1994,1994,32,1074.9691534061546
04/05/1994,1994,33,1031.4272935273834
19/03/1994,1994,34,1059.3296371294134
26/03/1994,1994,35,1089.914578733452
02/04/1994,1994,36,1061.7365883251723
04/04/1994,1994,37,1072.9291642858136
27/04/1994,1994,38,1070.7725681784589
16/04/1994,1994,39,1029.7573901741612
23/04/1994,1994,40,1039.2264604084016
30/04/1994,1994,41,1062.3574144352963
07/05/1994,1994,42,1060.1889142038697
20/08/1994,1995,1,1091.894191804909
09/11/1994,1995,2,1008.3893308775556
27/08/1994,1995,3,1133.8554236344557
31/08/1994,1995,4,1164.8124364578573
10/09/1994,1995,5,1135.4407068440503
