Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,525
19/08/1992,1993,2,555
22/08/1992,1993,3,596
26/08/1992,1993,4,556
29/08/1992,1993,5,530
02/09/1992,1993,6,562
05/09/1992,1993,7,599
14/09/1992,1993,8,636
21/09/1992,1993,9,544
26/09/1992,1993,10,562
03/10/1992,1993,11,547
17/10/1992,1993,12,519
24/10/1992,1993,13,491
31/10/1992,1993,14,490
07/11/1992,1993,15,447
21/11/1992,1993,16,406
28/11/1992,1993,17,419
05/12/1992,1993,18,439
12/12/1992,1993,19,458
19/12/1992,1993,20,484
26/12/1992,1993,21,583
28/12/1992,1993,22,554
09/01/1993,1993,23,455
16/01/1993,1993,24,457
26/01/1993,1993,25,548
30/01/1993,1993,26,463
06/02/1993,1993,27,497
23/01/1993,1993,28,502
03/03/1993,1993,29,606
20/02/1993,1993,30,469
27/02/1993,1993,31,475
07/03/1993,1993,32,511
10/03/1993,1993,33,478
13/03/1993,1993,34,416
20/03/1993,1993,35,386
24/03/1993,1993,36,348
03/04/1993,1993,37,426
10/04/1993,1993,38,466
12/04/1993,1993,39,423
17/04/1993,1993,40,380
01/05/1993,1993,41,338
08/05/1993,1993,42,367
14/08/1993,1994,1,405
18/08/1993,1994,2,449
21/08/1993,1994,3,448
24/08/1993,1994,4,458
27/08/1993,1994,5,439
01/09/1993,1994,6,492
11/09/1993,1994,7,498
18/09/1993,1994,8,550
25/09/1993,1994,9,519
02/10/1993,1994,10,485
16/10/1993,1994,11,422
23/10/1993,1994,12,380
31/10/1993,1994,13,383
06/11/1993,1994,14,469
20/11/1993,1994,15,470
23/11/1993,1994,16,434
27/11/1993,1994,17,399
04/12/1993,1994,18,528
23/02/1994,1994,19,408
11/12/1993,1994,20,489
18/12/1993,1994,21,494
26/12/1993,1994,22,525
02/02/1994,1994,23,490
01/01/1994,1994,24,552
03/01/1994,1994,25,543
15/01/1994,1994,26,417
22/01/1994,1994,27,380
05/02/1994,1994,28,413
12/02/1994,1994,29,404
19/02/1994,1994,30,438
26/02/1994,1994,31,373
06/03/1994,1994,32,333
04/05/1994,1994,33,592
19/03/1994,1994,34,291
26/03/1994,1994,35,455
02/04/1994,1994,36,413
04/04/1994,1994,37,451
09/04/1994,1994,38,480
16/04/1994,1994,39,522
23/04/1994,1994,40,495
02/05/1994,1994,41,565
08/05/1994,1994,42,617
20/08/1994,1995,1,598
24/08/1994,1995,2,553
27/08/1994,1995,3,496
29/08/1994,1995,4,452
10/09/1994,1995,5,445
17/09/1994,1995,6,626
24/09/1994,1995,7,560
03/10/1994,1995,8,538
10/10/1994,1995,9,574
15/10/1994,1995,10,616
23/10/1994,1995,11,531
29/10/1994,1995,12,599
02/11/1994,1995,13,515
06/11/1994,1995,14,512
19/11/1994,1995,15,554
26/11/1994,1995,16,597
03/12/1994,1995,17,570
10/12/1994,1995,18,517
17/12/1994,1995,19,511
26/12/1994,1995,20,542
28/12/1994,1995,21,510
31/12/1994,1995,22,478
03/01/1995,1995,23,439
14/01/1995,1995,24,428
21/01/1995,1995,25,399
25/01/1995,1995,26,398
04/02/1995,1995,27,402
