Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,500
19/08/1992,1993,2,500
22/08/1992,1993,3,497
25/08/1992,1993,4,500
29/08/1992,1993,5,461
02/09/1992,1993,6,425
05/09/1992,1993,7,392
12/09/1992,1993,8,401
19/09/1992,1993,9,528
26/09/1992,1993,10,467
03/10/1992,1993,11,482
17/10/1992,1993,12,476
24/10/1992,1993,13,475
02/11/1992,1993,14,433
07/11/1992,1993,15,398
21/11/1992,1993,16,396
28/11/1992,1993,17,353
05/12/1992,1993,18,440
12/12/1992,1993,19,511
20/12/1992,1993,20,547
26/12/1992,1993,21,588
28/12/1992,1993,22,627
09/01/1993,1993,23,503
16/01/1993,1993,24,439
27/01/1993,1993,25,406
30/01/1993,1993,26,379
02/02/1993,1993,27,451
10/02/1993,1993,28,559
21/04/1993,1993,29,482
20/02/1993,1993,30,518
27/02/1993,1993,31,512
05/05/1993,1993,32,515
03/03/1993,1993,33,511
15/03/1993,1993,34,511
20/03/1993,1993,35,541
23/03/1993,1993,36,549
03/04/1993,1993,37,526
09/04/1993,1993,38,490
12/04/1993,1993,39,526
17/04/1993,1993,40,525
01/05/1993,1993,41,513
08/05/1993,1993,42,419
20/08/1994,1995,1,364
24/08/1994,1995,2,376
27/08/1994,1995,3,389
30/08/1994,1995,4,349
10/09/1994,1995,5,385
17/09/1994,1995,6,389
24/09/1994,1995,7,347
01/10/1994,1995,8,433
08/10/1994,1995,9,391
15/10/1994,1995,10,354
22/10/1994,1995,11,384
29/10/1994,1995,12,477
02/11/1994,1995,13,561
05/11/1994,1995,14,592
19/11/1994,1995,15,549
26/11/1994,1995,16,543
03/12/1994,1995,17,480
11/12/1994,1995,18,480
17/12/1994,1995,19,443
26/12/1994,1995,20,455
27/12/1994,1995,21,472
31/12/1994,1995,22,434
02/01/1995,1995,23,395
14/01/1995,1995,24,420
21/01/1995,1995,25,383
25/01/1995,1995,26,497
04/02/1995,1995,27,524
11/02/1995,1995,28,440
03/05/1995,1995,29,447
14/03/1995,1995,30,470
25/02/1995,1995,31,408
05/03/1995,1995,32,423
09/05/1995,1995,33,486
04/04/1995,1995,34,468
18/03/1995,1995,35,436
01/04/1995,1995,36,464
20/04/1995,1995,37,531
14/04/1995,1995,38,490
17/04/1995,1995,39,565
29/04/1995,1995,40,489
06/05/1995,1995,41,527
14/05/1995,1995,42,455
09/08/1997,1998,1,491
12/08/1997,1998,2,455
23/08/1997,1998,3,516
27/08/1997,1998,4,416
30/08/1997,1998,5,373
13/09/1997,1998,6,337
20/09/1997,1998,7,554
24/09/1997,1998,8,552
27/09/1997,1998,9,550
04/10/1997,1998,10,516
18/10/1997,1998,11,555
25/10/1997,1998,12,595
03/12/1997,1998,13,503
08/11/1997,1998,14,572
24/11/1997,1998,15,613
29/11/1997,1998,16,587
06/12/1997,1998,17,505
13/12/1997,1998,18,471
20/12/1997,1998,19,485
26/12/1997,1998,20,486
28/12/1997,1998,21,519
10/01/1998,1998,22,479
17/01/1998,1998,23,453
31/01/1998,1998,24,425
09/02/1998,1998,25,388
11/03/1998,1998,26,276
21/02/1998,1998,27,347
28/02/1998,1998,28,319
05/05/1998,1998,29,375
14/03/1998,1998,30,236
28/03/1998,1998,31,391
18/03/1998,1998,32,426
11/04/1998,1998,33,350
13/04/1998,1998,34,311
18/04/1998,1998,35,451
27/04/1998,1998,36,411
02/05/1998,1998,37,369
10/05/1998,1998,38,462
14/08/2004,2005,1,411
21/08/2004,2005,2,383
24/08/2004,2005,3,351
28/08/2004,2005,4,311
11/09/2004,2005,5,271
18/09/2004,2005,6,231
25/09/2004,2005,7,339
04/10/2004,2005,8,449
16/10/2004,2005,9,418
23/10/2004,2005,10,505
30/10/2004,2005,11,534
06/11/2004,2005,12,554
13/11/2004,2005,13,522
20/11/2004,2005,14,455
27/11/2004,2005,15,458
05/12/2004,2005,16,411
11/12/2004,2005,17,428
18/12/2004,2005,18,392
26/12/2004,2005,19,349
28/12/2004,2005,20,474
01/01/2005,2005,21,431
03/01/2005,2005,22,512
15/01/2005,2005,23,481
22/01/2005,2005,24,606
01/02/2005,2005,25,589
05/02/2005,2005,26,549
14/02/2005,2005,27,516
26/02/2005,2005,28,551
05/03/2005,2005,29,694
19/03/2005,2005,30,653
02/04/2005,2005,31,513
10/04/2005,2005,32,450
16/04/2005,2005,33,485
20/04/2005,2005,34,442
23/04/2005,2005,35,532
30/04/2005,2005,36,515
07/05/2005,2005,37,528
15/05/2005,2005,38,485
18/08/2013,2014,1,455
24/08/2013,2014,2,415
31/08/2013,2014,3,469
14/09/2013,2014,4,428
22/09/2013,2014,5,386
28/09/2013,2014,6,346
05/10/2013,2014,7,307
21/10/2013,2014,8,265
26/10/2013,2014,9,252
02/11/2013,2014,10,218
09/11/2013,2014,11,399
23/11/2013,2014,12,545
30/11/2013,2014,13,511
03/12/2013,2014,14,539
07/12/2013,2014,15,576
14/12/2013,2014,16,546
21/12/2013,2014,17,506
26/12/2013,2014,18,547
28/12/2013,2014,19,512
01/01/2014,2014,20,500
11/01/2014,2014,21,460
18/01/2014,2014,22,538
28/01/2014,2014,23,580
02/02/2014,2014,24,539
08/02/2014,2014,25,579
16/04/2014,2014,26,820
22/02/2014,2014,27,546
02/03/2014,2014,28,532
08/03/2014,2014,29,492
15/03/2014,2014,30,490
22/03/2014,2014,31,434
29/03/2014,2014,32,624
05/04/2014,2014,33,664
12/04/2014,2014,34,706
19/04/2014,2014,35,860
27/04/2014,2014,36,729
05/05/2014,2014,37,728
11/05/2014,2014,38,676
16/08/2014,2015,1,636
23/08/2014,2015,2,572
30/08/2014,2015,3,540
13/09/2014,2015,4,546
21/09/2014,2015,5,604
27/09/2014,2015,6,714
04/10/2014,2015,7,486
18/10/2014,2015,8,462
25/10/2014,2015,9,478
03/11/2014,2015,10,442
08/11/2014,2015,11,404
23/11/2014,2015,12,516
29/11/2014,2015,13,534
02/12/2014,2015,14,505
06/12/2014,2015,15,524
13/12/2014,2015,16,530
20/12/2014,2015,17,493
26/12/2014,2015,18,456
28/12/2014,2015,19,464
