Date,Season_End_Year,Week,ELO
17/08/1996,1997,1,973.3787509613209
21/08/1996,1997,2,996.7048567964431
24/08/1996,1997,3,969.3289341501816
04/09/1996,1997,4,1010.0827625522659
09/09/1996,1997,5,1037.4935083192925
14/09/1996,1997,6,1064.137056176571
21/09/1996,1997,7,1061.6267168047625
28/09/1996,1997,8,1031.5312208894136
12/10/1996,1997,9,1000.7954876727041
19/10/1996,1997,10,988.2466235962294
27/10/1996,1997,11,959.8540684507043
02/11/1996,1997,12,1025.3380699976933
17/11/1996,1997,13,1056.4439488349483
23/11/1996,1997,14,1048.7583311321814
30/11/1996,1997,15,1078.9185354178715
07/12/1996,1997,16,1098.05801157073
16/12/1996,1997,17,1053.5568247583622
21/12/1996,1997,18,973.3211936736011
26/12/1996,1997,19,946.14264959431
28/12/1996,1997,20,956.7243665596577
19/02/1997,1997,21,977.7566156006114
11/01/1997,1997,22,998.5554354533608
18/01/1997,1997,23,968.1065772541028
29/01/1997,1997,24,971.8113200132005
01/02/1997,1997,25,940.1338621018956
15/02/1997,1997,26,969.0035167188647
22/02/1997,1997,27,948.63922562251
01/03/1997,1997,28,1048.4073408485483
05/03/1997,1997,29,984.6671290736053
09/04/1997,1997,30,1073.487584899254
15/03/1997,1997,31,932.1679585093246
22/03/1997,1997,32,981.3040194079309
05/04/1997,1997,33,1082.8346136972975
12/04/1997,1997,34,1123.7078824413345
19/04/1997,1997,35,1083.5018419556282
23/04/1997,1997,36,1068.3393415999026
03/05/1997,1997,37,1094.4204893959975
11/05/1997,1997,38,1067.8587169403497
09/08/1997,1998,1,1029.0892871502608
22/10/1997,1998,2,1087.1198747010003
23/08/1997,1998,3,954.747645951621
17/12/1997,1998,4,1081.6809829993692
30/08/1997,1998,5,992.7613199519711
13/09/1997,1998,6,1021.2846075550929
20/09/1997,1998,7,990.750464322529
24/09/1997,1998,8,1016.350543691144
27/09/1997,1998,9,1048.0731257092414
06/10/1997,1998,10,1088.938135385551
18/10/1997,1998,11,1094.593303642381
25/10/1997,1998,12,1037.7603412826434
01/11/1997,1998,13,1088.6357588475446
08/11/1997,1998,14,1060.9780450310348
22/11/1997,1998,15,1088.8214402859578
29/11/1997,1998,16,1061.0105638935083
06/12/1997,1998,17,1091.3951395574559
14/12/1997,1998,18,1088.4419365723702
20/12/1997,1998,19,1064.763979858681
26/12/1997,1998,20,1094.966441930124
28/12/1997,1998,21,1001.6904252614567
11/01/1998,1998,22,1067.0730108732864
17/01/1998,1998,23,1054.9741745229724
31/01/1998,1998,24,1086.1653387218
07/02/1998,1998,25,1007.9963444740259
14/02/1998,1998,26,1043.2313872811517
21/02/1998,1998,27,1018.0443061146175
28/02/1998,1998,28,1057.6973703362464
29/04/1998,1998,29,859.5244756905503
15/03/1998,1998,30,1030.976492944301
28/03/1998,1998,31,999.2509291393995
05/04/1998,1998,32,966.4135527007459
11/04/1998,1998,33,977.4022499510273
13/04/1998,1998,34,1009.5505090273575
18/04/1998,1998,35,905.209231636247
26/04/1998,1998,36,873.4863494066635
02/05/1998,1998,37,941.7368185997451
10/05/1998,1998,38,1073.34965852029
15/08/1998,1999,1,1065.5386805959404
22/08/1998,1999,2,1061.3807567488955
29/08/1998,1999,3,1055.7252500148466
09/09/1998,1999,4,1087.418459449585
12/09/1998,1999,5,1117.7852406887523
19/09/1998,1999,6,1149.435616696472
26/09/1998,1999,7,1118.322436998479
03/10/1998,1999,8,1049.9347063668863
17/10/1998,1999,9,1001.2864310884277
24/10/1998,1999,10,1037.2583705106742
31/10/1998,1999,11,1037.0576374793914
07/11/1998,1999,12,1072.8815899729725
16/11/1998,1999,13,1047.331165503659
22/11/1998,1999,14,1017.7109673044114
28/11/1998,1999,15,1048.728152542474
05/12/1998,1999,16,1048.3293290961335
12/12/1998,1999,17,1063.6922196957844
19/12/1998,1999,18,1036.446455180964
26/12/1998,1999,19,1036.8446660234074
28/12/1998,1999,20,1078.484930722254
09/01/1999,1999,21,1033.6385567210673
16/01/1999,1999,22,1069.3655725458802
30/01/1999,1999,23,1095.1987784908622
07/02/1999,1999,24,1094.901792521239
05/05/1999,1999,25,1035.818234199453
20/02/1999,1999,26,1038.1144788568697
27/02/1999,1999,27,1038.550212573942
10/03/1999,1999,28,1070.2367993481325
13/03/1999,1999,29,1101.644228465611
20/03/1999,1999,30,1074.7801532950978
03/04/1999,1999,31,1036.0772163701772
03/02/1999,1999,32,1063.5743163870382
10/04/1999,1999,33,1067.0589034356312
17/04/1999,1999,34,1029.4449607444267
24/04/1999,1999,35,1022.708620589282
02/05/1999,1999,36,998.5028399373816
08/05/1999,1999,37,1023.4777378797133
16/05/1999,1999,38,991.7636503466757
07/08/1999,2000,1,1024.5358347416895
10/08/1999,2000,2,999.2906325135573
14/08/1999,2000,3,972.6037056254955
21/08/1999,2000,4,936.8348776747305
25/08/1999,2000,5,963.1392818654584
28/08/1999,2000,6,1027.4935236994804
11/09/1999,2000,7,995.9639154459777
18/09/1999,2000,8,964.7635739924143
25/09/1999,2000,9,920.4796838370963
04/10/1999,2000,10,937.5069008496471
16/10/1999,2000,11,907.3904585254976
25/10/1999,2000,12,872.5695559391608
30/10/1999,2000,13,975.3157816216249
06/11/1999,2000,14,945.3811484762991
20/11/1999,2000,15,916.5994697021946
28/11/1999,2000,16,886.9541155667051
05/12/1999,2000,17,861.207295264433
18/12/1999,2000,18,954.6330777530036
26/12/1999,2000,19,919.5410423446775
28/12/1999,2000,20,944.2974103881763
03/01/2000,2000,21,975.3221912262079
15/01/2000,2000,22,1003.8768178422631
22/01/2000,2000,23,1017.8024527691438
05/02/2000,2000,24,1015.6793206169244
12/02/2000,2000,25,987.0175025923575
26/02/2000,2000,26,990.8673579710332
04/03/2000,2000,27,1035.3413526397921
11/03/2000,2000,28,1004.1603440737155
18/03/2000,2000,29,972.4434660805192
25/03/2000,2000,30,941.3863817491094
02/04/2000,2000,31,994.0467277983206
08/04/2000,2000,32,973.347395147228
15/04/2000,2000,33,941.8396367813322
21/04/2000,2000,34,931.3748355560814
24/04/2000,2000,35,1000.4868406196387
29/04/2000,2000,36,1000.5391104474606
06/05/2000,2000,37,1008.4493642174988
14/05/2000,2000,38,977.4249316721156
19/08/2000,2001,1,981.0462310233825
23/08/2000,2001,2,949.3242538205493
26/08/2000,2001,3,954.955361280716
06/09/2000,2001,4,966.7374932362875
10/09/2000,2001,5,964.6510641219195
16/09/2000,2001,6,935.8758150057355
23/09/2000,2001,7,938.5388725759144
30/09/2000,2001,8,906.8261177755764
15/10/2000,2001,9,875.1564375100048
21/10/2000,2001,10,844.9882886843892
28/10/2000,2001,11,815.3975415884372
06/11/2000,2001,12,852.5239810340646
11/11/2000,2001,13,949.2469075531568
18/11/2000,2001,14,979.332973348717
25/11/2000,2001,15,959.3490281421584
02/12/2000,2001,16,1039.7322016698606
09/12/2000,2001,17,1008.7338812122123
16/12/2000,2001,18,1037.5604063827363
23/12/2000,2001,19,1066.6289816710687
26/12/2000,2001,20,1052.7045770288028
30/12/2000,2001,21,1027.100925224321
01/01/2001,2001,22,1057.914795994181
13/01/2001,2001,23,1029.5640956605214
20/01/2001,2001,24,1014.8901605097496
30/01/2001,2001,25,984.4041789563761
03/02/2001,2001,26,1052.7592628853656
10/02/2001,2001,27,1056.9367919114848
24/02/2001,2001,28,1088.317100657039
03/03/2001,2001,29,1117.7291525176486
18/03/2001,2001,30,1112.0308430244115
31/03/2001,2001,31,1019.8243872782127
07/04/2001,2001,32,990.9299864739909
14/04/2001,2001,33,945.4413614397411
16/04/2001,2001,34,974.2524030209607
21/04/2001,2001,35,934.689682264443
28/04/2001,2001,36,904.4438441913339
05/05/2001,2001,37,1050.036065483627
19/05/2001,2001,38,1064.2229151284985
18/08/2001,2002,1,1095.6352191050717
21/08/2001,2002,2,1070.1242492369188
25/08/2001,2002,3,1066.9418623798974
08/09/2001,2002,4,1057.424070556071
15/09/2001,2002,5,965.717912506366
12/12/2001,2002,6,934.4152276029648
23/09/2001,2002,7,941.6963811939393
29/09/2001,2002,8,911.9513565501322
15/10/2001,2002,9,882.4385635844482
20/10/2001,2002,10,907.5697462485527
28/10/2001,2002,11,937.4362262481378
03/11/2001,2002,12,906.3469246136647
17/11/2001,2002,13,939.251730278948
24/11/2001,2002,14,907.6116101706419
01/12/2001,2002,15,887.728522306913
08/12/2001,2002,16,962.2352994221267
15/12/2001,2002,17,903.0736828792891
22/12/2001,2002,18,964.0028081569579
26/12/2001,2002,19,933.080343038555
29/12/2001,2002,20,979.2562642023613
02/01/2002,2002,21,947.9052102809372
12/01/2002,2002,22,920.8589010873654
19/01/2002,2002,23,889.1348939803383
29/01/2002,2002,24,858.059400196729
02/02/2002,2002,25,900.1340068535918
09/02/2002,2002,26,872.654457197703
23/02/2002,2002,27,898.9227902073729
03/03/2002,2002,28,976.9921192462522
05/03/2002,2002,29,955.5213651427524
16/03/2002,2002,30,982.3094867116179
23/03/2002,2002,31,955.6710198090766
30/03/2002,2002,32,924.9905086386915
01/04/2002,2002,33,893.8678723481556
06/04/2002,2002,34,863.0485041329546
13/04/2002,2002,35,834.9159835135724
20/04/2002,2002,36,823.1828836825889
27/04/2002,2002,37,792.8363679170774
11/05/2002,2002,38,802.3683586503182
11/08/2007,2008,1,854.5547806661939
15/08/2007,2008,2,824.6680795987485
18/08/2007,2008,3,794.889861625901
25/08/2007,2008,4,763.4113866334898
01/09/2007,2008,5,742.6081029489864
17/09/2007,2008,6,883.3901481902778
22/09/2007,2008,7,863.1744233614673
29/09/2007,2008,8,872.7279218182348
07/10/2007,2008,9,842.1313700379675
20/10/2007,2008,10,857.4801879266139
28/10/2007,2008,11,825.9930446323706
03/11/2007,2008,12,798.3591954681428
10/11/2007,2008,13,769.3934813765277
24/11/2007,2008,14,752.9751422954984
01/12/2007,2008,15,721.5884011951291
08/12/2007,2008,16,707.2138750949282
15/12/2007,2008,17,685.3769451317744
23/12/2007,2008,18,762.0556726094974
26/12/2007,2008,19,740.8395739816474
30/12/2007,2008,20,711.2509721729718
02/01/2008,2008,21,684.0049211033113
12/01/2008,2008,22,658.8610400111489
19/01/2008,2008,23,636.507104506158
30/01/2008,2008,24,728.721135305995
02/02/2008,2008,25,762.6393305182688
09/02/2008,2008,26,744.1650234204167
23/02/2008,2008,27,717.0092289365138
01/03/2008,2008,28,765.4301381561947
12/03/2008,2008,29,752.7315569747151
15/03/2008,2008,30,736.2241344740667
22/03/2008,2008,31,709.0630200238912
29/03/2008,2008,32,758.6358380890784
06/04/2008,2008,33,736.55770598576
12/04/2008,2008,34,708.2565752089115
19/04/2008,2008,35,677.4401502980762
28/04/2008,2008,36,663.2488524279781
03/05/2008,2008,37,647.0182987001647
11/05/2008,2008,38,619.7079708064159
