Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,500
19/08/1992,1993,2,530
22/08/1992,1993,3,532
25/08/1992,1993,4,564
29/08/1992,1993,5,533
15/09/1992,1993,6,592
05/09/1992,1993,7,488
12/09/1992,1993,8,447
19/09/1992,1993,9,465
26/09/1992,1993,10,437
04/10/1992,1993,11,402
17/10/1992,1993,12,430
24/10/1992,1993,13,388
31/10/1992,1993,14,348
07/11/1992,1993,15,419
21/11/1992,1993,16,379
28/11/1992,1993,17,338
07/12/1992,1993,18,523
12/12/1992,1993,19,434
19/12/1992,1993,20,507
26/12/1992,1993,21,507
28/12/1992,1993,22,441
09/01/1993,1993,23,565
16/01/1993,1993,24,606
26/01/1993,1993,25,648
30/01/1993,1993,26,553
06/02/1993,1993,27,514
10/02/1993,1993,28,482
03/03/1993,1993,29,466
20/02/1993,1993,30,445
27/02/1993,1993,31,430
07/03/1993,1993,32,561
10/03/1993,1993,33,456
13/03/1993,1993,34,501
20/03/1993,1993,35,464
24/03/1993,1993,36,507
04/05/1993,1993,37,418
10/04/1993,1993,38,541
12/04/1993,1993,39,487
17/04/1993,1993,40,474
01/05/1993,1993,41,458
08/05/1993,1993,42,499
14/08/1993,1994,1,542
17/08/1993,1994,2,582
21/08/1993,1994,3,627
25/08/1993,1994,4,574
28/08/1993,1994,5,520
31/08/1993,1994,6,495
11/09/1993,1994,7,534
18/09/1993,1994,8,576
25/09/1993,1994,9,518
03/10/1993,1994,10,492
16/10/1993,1994,11,471
23/10/1993,1994,12,434
30/10/1993,1994,13,507
06/11/1993,1994,14,421
20/11/1993,1994,15,381
23/11/1993,1994,16,416
27/11/1993,1994,17,417
04/12/1993,1994,18,518
08/12/1993,1994,19,424
11/12/1993,1994,20,415
18/12/1993,1994,21,373
27/12/1993,1994,22,332
29/12/1993,1994,23,298
01/01/1994,1994,24,255
03/01/1994,1994,25,222
15/01/1994,1994,26,402
22/01/1994,1994,27,369
05/02/1994,1994,28,507
12/02/1994,1994,29,484
19/02/1994,1994,30,484
30/03/1994,1994,31,372
05/03/1994,1994,32,521
13/03/1994,1994,33,468
21/03/1994,1994,34,435
26/03/1994,1994,35,374
02/04/1994,1994,36,329
04/04/1994,1994,37,294
09/04/1994,1994,38,420
16/04/1994,1994,39,381
23/04/1994,1994,40,408
30/04/1994,1994,41,366
07/05/1994,1994,42,660
20/08/1994,1995,1,591
24/08/1994,1995,2,544
27/08/1994,1995,3,515
30/08/1994,1995,4,483
10/09/1994,1995,5,451
17/09/1994,1995,6,445
24/09/1994,1995,7,444
01/10/1994,1995,8,417
08/10/1994,1995,9,375
15/10/1994,1995,10,333
22/10/1994,1995,11,303
29/10/1994,1995,12,376
01/11/1994,1995,13,422
05/11/1994,1995,14,418
21/11/1994,1995,15,535
26/11/1994,1995,16,572
05/12/1994,1995,17,610
10/12/1994,1995,18,555
17/12/1994,1995,19,552
26/12/1994,1995,20,480
01/02/1995,1995,21,484
31/12/1994,1995,22,518
02/01/1995,1995,23,489
14/01/1995,1995,24,483
21/01/1995,1995,25,520
24/01/1995,1995,26,518
04/02/1995,1995,27,525
13/02/1995,1995,28,525
03/05/1995,1995,29,524
22/02/1995,1995,30,494
25/02/1995,1995,31,661
04/03/1995,1995,32,596
08/03/1995,1995,33,498
15/03/1995,1995,34,488
18/03/1995,1995,35,586
01/04/1995,1995,36,548
09/05/1995,1995,37,588
14/04/1995,1995,38,582
17/04/1995,1995,39,524
29/04/1995,1995,40,522
06/05/1995,1995,41,546
14/05/1995,1995,42,561
19/08/1995,1996,1,552
23/08/1995,1996,2,485
26/08/1995,1996,3,510
30/08/1995,1996,4,551
09/09/1995,1996,5,510
17/09/1995,1996,6,470
23/09/1995,1996,7,437
01/10/1995,1996,8,395
14/10/1995,1996,9,385
22/10/1995,1996,10,466
28/10/1995,1996,11,424
05/11/1995,1996,12,536
18/11/1995,1996,13,585
22/11/1995,1996,14,628
25/11/1995,1996,15,587
02/12/1995,1996,16,606
11/12/1995,1996,17,639
16/12/1995,1996,18,603
23/12/1995,1996,19,524
26/12/1995,1996,20,555
30/12/1995,1996,21,581
01/01/1996,1996,22,634
13/01/1996,1996,23,630
20/01/1996,1996,24,665
03/02/1996,1996,25,639
10/02/1996,1996,26,680
21/02/1996,1996,27,651
24/02/1996,1996,28,693
02/03/1996,1996,29,726
09/03/1996,1996,30,678
17/03/1996,1996,31,609
23/03/1996,1996,32,530
30/03/1996,1996,33,606
06/04/1996,1996,34,644
08/04/1996,1996,35,555
16/04/1996,1996,36,555
27/04/1996,1996,37,594
05/05/1996,1996,38,637
17/08/1996,1997,1,663
21/08/1996,1997,2,670
24/08/1996,1997,3,664
04/09/1996,1997,4,589
07/09/1996,1997,5,545
14/09/1996,1997,6,507
