Date,Season_End_Year,Week,ELO
19/08/2001,2002,1,391
22/08/2001,2002,2,571
25/08/2001,2002,3,574
09/09/2001,2002,4,576
15/09/2001,2002,5,547
12/12/2001,2002,6,701
22/09/2001,2002,7,539
30/09/2001,2002,8,563
14/10/2001,2002,9,521
21/10/2001,2002,10,508
27/10/2001,2002,11,538
03/11/2001,2002,12,642
17/11/2001,2002,13,671
24/11/2001,2002,14,647
02/12/2001,2002,15,628
08/12/2001,2002,16,665
15/12/2001,2002,17,614
11/02/2002,2002,18,518
26/12/2001,2002,19,593
30/12/2001,2002,20,563
02/01/2002,2002,21,601
12/01/2002,2002,22,644
19/01/2002,2002,23,598
30/01/2002,2002,24,564
02/02/2002,2002,25,553
09/02/2002,2002,26,596
23/02/2002,2002,27,481
02/03/2002,2002,28,440
06/03/2002,2002,29,402
16/03/2002,2002,30,362
24/03/2002,2002,31,299
30/03/2002,2002,32,358
01/04/2002,2002,33,315
08/04/2002,2002,34,401
23/04/2002,2002,35,542
20/04/2002,2002,36,513
27/04/2002,2002,37,518
11/05/2002,2002,38,477
17/08/2002,2003,1,510
24/08/2002,2003,2,501
23/10/2002,2003,3,552
31/08/2002,2003,4,427
11/09/2002,2003,5,579
14/09/2002,2003,6,613
23/09/2002,2003,7,638
28/09/2002,2003,8,548
06/10/2002,2003,9,590
19/10/2002,2003,10,592
27/10/2002,2003,11,516
03/11/2002,2003,12,478
09/11/2002,2003,13,445
17/11/2002,2003,14,442
23/11/2002,2003,15,528
30/11/2002,2003,16,501
07/12/2002,2003,17,544
15/12/2002,2003,18,476
21/12/2002,2003,19,446
26/12/2002,2003,20,434
28/12/2002,2003,21,391
19/02/2003,2003,22,605
11/01/2003,2003,23,432
19/01/2003,2003,24,501
29/01/2003,2003,25,460
01/02/2003,2003,26,421
08/02/2003,2003,27,575
24/02/2003,2003,28,606
01/03/2003,2003,29,632
15/03/2003,2003,30,587
22/03/2003,2003,31,545
07/04/2003,2003,32,502
12/04/2003,2003,33,470
19/04/2003,2003,34,561
22/04/2003,2003,35,514
26/04/2003,2003,36,529
03/05/2003,2003,37,587
11/05/2003,2003,38,630
16/08/2003,2004,1,669
23/08/2003,2004,2,538
21/10/2003,2004,3,598
30/08/2003,2004,4,572
14/09/2003,2004,5,583
20/09/2003,2004,6,586
28/09/2003,2004,7,618
04/10/2003,2004,8,661
18/10/2003,2004,9,635
25/10/2003,2004,10,775
02/11/2003,2004,11,570
08/11/2003,2004,12,527
24/11/2003,2004,13,563
30/11/2003,2004,14,659
06/12/2003,2004,15,696
14/12/2003,2004,16,666
20/12/2003,2004,17,635
26/12/2003,2004,18,665
28/12/2003,2004,19,578
07/01/2004,2004,20,532
10/01/2004,2004,21,625
19/01/2004,2004,22,589
31/01/2004,2004,23,628
07/02/2004,2004,24,595
11/02/2004,2004,25,558
21/02/2004,2004,26,435
28/02/2004,2004,27,455
13/03/2004,2004,28,512
20/03/2004,2004,29,472
27/03/2004,2004,30,473
03/04/2004,2004,31,488
10/04/2004,2004,32,533
12/04/2004,2004,33,469
17/04/2004,2004,34,481
24/04/2004,2004,35,528
01/05/2004,2004,36,595
09/05/2004,2004,37,556
15/05/2004,2004,38,661
14/08/2004,2005,1,626
21/08/2004,2005,2,658
25/08/2004,2005,3,543
30/08/2004,2005,4,505
11/09/2004,2005,5,475
18/09/2004,2005,6,468
25/09/2004,2005,7,504
04/10/2004,2005,8,394
16/10/2004,2005,9,355
23/10/2004,2005,10,314
30/10/2004,2005,11,429
07/11/2004,2005,12,525
13/11/2004,2005,13,483
20/11/2004,2005,14,440
27/11/2004,2005,15,402
04/12/2004,2005,16,493
13/12/2004,2005,17,585
20/12/2004,2005,18,516
26/12/2004,2005,19,474
28/12/2004,2005,20,432
01/01/2005,2005,21,475
05/01/2005,2005,22,463
16/01/2005,2005,23,499
22/01/2005,2005,24,541
02/02/2005,2005,25,532
05/02/2005,2005,26,502
04/05/2005,2005,27,455
26/02/2005,2005,28,470
05/03/2005,2005,29,475
19/03/2005,2005,30,446
03/04/2005,2005,31,473
09/04/2005,2005,32,433
16/04/2005,2005,33,463
19/04/2005,2005,34,474
23/04/2005,2005,35,442
30/04/2005,2005,36,509
07/05/2005,2005,37,544
15/05/2005,2005,38,596
13/08/2005,2006,1,639
20/08/2005,2006,2,516
24/08/2005,2006,3,473
27/08/2005,2006,4,511
10/09/2005,2006,5,504
17/09/2005,2006,6,462
26/09/2005,2006,7,423
01/10/2005,2006,8,382
17/10/2005,2006,9,426
22/10/2005,2006,10,540
29/10/2005,2006,11,499
05/11/2005,2006,12,530
20/11/2005,2006,13,491
27/11/2005,2006,14,637
03/12/2005,2006,15,618
10/12/2005,2006,16,384
17/12/2005,2006,17,493
26/12/2005,2006,18,457
28/12/2005,2006,19,464
31/12/2005,2006,20,437
02/01/2006,2006,21,479
14/01/2006,2006,22,509
23/01/2006,2006,23,477
31/01/2006,2006,24,522
04/02/2006,2006,25,480
11/02/2006,2006,26,569
26/02/2006,2006,27,543
04/03/2006,2006,28,497
11/03/2006,2006,29,457
19/03/2006,2006,30,548
25/03/2006,2006,31,532
01/04/2006,2006,32,501
04/05/2006,2006,33,491
15/04/2006,2006,34,564
15/03/2006,2006,35,417
24/04/2006,2006,36,601
29/04/2006,2006,37,641
07/05/2006,2006,38,531
20/08/2006,2007,1,488
23/08/2006,2007,2,500
26/08/2006,2007,3,547
09/09/2006,2007,4,615
17/09/2006,2007,5,594
23/09/2006,2007,6,558
02/10/2006,2007,7,545
16/10/2006,2007,8,586
21/10/2006,2007,9,589
28/10/2006,2007,10,519
04/11/2006,2007,11,588
11/11/2006,2007,12,567
18/11/2006,2007,13,463
25/11/2006,2007,14,421
29/11/2006,2007,15,499
02/12/2006,2007,16,422
09/12/2006,2007,17,381
18/12/2006,2007,18,475
23/12/2006,2007,19,552
27/12/2006,2007,20,502
30/12/2006,2007,21,546
01/01/2007,2007,22,503
13/01/2007,2007,23,502
20/01/2007,2007,24,508
30/01/2007,2007,25,472
03/02/2007,2007,26,573
11/02/2007,2007,27,538
24/02/2007,2007,28,499
03/03/2007,2007,29,487
17/03/2007,2007,30,513
31/03/2007,2007,31,501
06/04/2007,2007,32,458
09/04/2007,2007,33,418
14/04/2007,2007,34,383
21/04/2007,2007,35,414
29/04/2007,2007,36,372
05/05/2007,2007,37,518
13/05/2007,2007,38,465
12/08/2007,2008,1,422
15/08/2007,2008,2,488
18/08/2007,2008,3,431
25/08/2007,2008,4,392
01/09/2007,2008,5,399
15/09/2007,2008,6,421
22/09/2007,2008,7,486
29/09/2007,2008,8,505
07/10/2007,2008,9,462
20/10/2007,2008,10,454
27/10/2007,2008,11,438
03/11/2007,2008,12,503
10/11/2007,2008,13,461
25/11/2007,2008,14,514
03/12/2007,2008,15,479
08/12/2007,2008,16,436
15/12/2007,2008,17,394
22/12/2007,2008,18,404
26/12/2007,2008,19,363
29/12/2007,2008,20,396
01/01/2008,2008,21,357
12/01/2008,2008,22,323
19/01/2008,2008,23,290
29/01/2008,2008,24,307
03/02/2008,2008,25,540
09/02/2008,2008,26,489
23/02/2008,2008,27,459
01/03/2008,2008,28,418
08/03/2008,2008,29,470
16/03/2008,2008,30,735
22/03/2008,2008,31,468
29/03/2008,2008,32,406
05/04/2008,2008,33,365
12/04/2008,2008,34,458
19/04/2008,2008,35,422
26/04/2008,2008,36,570
03/05/2008,2008,37,600
11/05/2008,2008,38,643
16/08/2008,2009,1,546
23/08/2008,2009,2,682
18/02/2009,2009,3,507
13/09/2008,2009,4,725
20/09/2008,2009,5,528
27/09/2008,2009,6,488
04/10/2008,2009,7,457
18/10/2008,2009,8,461
26/10/2008,2009,9,479
29/10/2008,2009,10,519
01/11/2008,2009,11,486
09/11/2008,2009,12,577
15/11/2008,2009,13,722
22/11/2008,2009,14,721
29/11/2008,2009,15,705
06/12/2008,2009,16,644
13/12/2008,2009,17,634
20/12/2008,2009,18,673
26/12/2008,2009,19,664
28/12/2008,2009,20,663
11/03/2009,2009,21,359
18/01/2009,2009,22,584
27/01/2009,2009,23,470
31/01/2009,2009,24,512
07/02/2009,2009,25,529
22/02/2009,2009,26,548
28/02/2009,2009,27,559
04/03/2009,2009,28,401
14/03/2009,2009,29,482
21/03/2009,2009,30,629
04/04/2009,2009,31,592
12/04/2009,2009,32,633
18/04/2009,2009,33,598
25/04/2009,2009,34,636
02/05/2009,2009,35,596
09/05/2009,2009,36,639
16/05/2009,2009,37,681
24/05/2009,2009,38,620
15/08/2009,2010,1,659
25/11/2009,2010,2,652
23/08/2009,2010,3,622
30/08/2009,2010,4,584
13/09/2009,2010,5,624
20/09/2009,2010,6,487
26/09/2009,2010,7,446
04/10/2009,2010,8,422
19/10/2009,2010,9,591
25/10/2009,2010,10,593
31/10/2009,2010,11,728
08/11/2009,2010,12,649
21/11/2009,2010,13,598
28/11/2009,2010,14,610
06/12/2009,2010,15,649
12/12/2009,2010,16,600
05/01/2010,2010,17,462
19/12/2009,2010,18,684
26/12/2009,2010,19,679
28/12/2009,2010,20,636
03/02/2010,2010,21,413
17/01/2010,2010,22,435
26/01/2010,2010,23,392
30/01/2010,2010,24,353
06/02/2010,2010,25,417
09/02/2010,2010,26,462
21/02/2010,2010,27,512
28/02/2010,2010,28,487
05/05/2010,2010,29,504
14/03/2010,2010,30,454
21/03/2010,2010,31,413
27/03/2010,2010,32,354
04/04/2010,2010,33,432
11/04/2010,2010,34,459
17/04/2010,2010,35,472
25/04/2010,2010,36,429
02/05/2010,2010,37,546
09/05/2010,2010,38,475
14/08/2010,2011,1,478
22/08/2010,2011,2,623
28/08/2010,2011,3,603
11/09/2010,2011,4,632
18/09/2010,2011,5,611
25/09/2010,2011,6,603
02/10/2010,2011,7,586
16/10/2010,2011,8,524
23/10/2010,2011,9,484
30/10/2010,2011,10,522
06/11/2010,2011,11,519
10/11/2010,2011,12,478
13/11/2010,2011,13,492
21/11/2010,2011,14,454
27/11/2010,2011,15,471
04/12/2010,2011,16,430
11/12/2010,2011,17,445
26/01/2011,2011,18,520
26/12/2010,2011,19,416
28/12/2010,2011,20,523
01/01/2011,2011,21,482
04/01/2011,2011,22,520
15/01/2011,2011,23,519
22/01/2011,2011,24,552
02/02/2011,2011,25,581
05/02/2011,2011,26,586
14/02/2011,2011,27,586
27/02/2011,2011,28,583
05/03/2011,2011,29,625
19/03/2011,2011,30,577
03/04/2011,2011,31,607
09/04/2011,2011,32,579
27/04/2011,2011,33,615
23/04/2011,2011,34,569
30/04/2011,2011,35,657
09/05/2011,2011,36,623
15/05/2011,2011,37,666
22/05/2011,2011,38,645
13/08/2011,2012,1,643
21/08/2011,2012,2,612
28/08/2011,2012,3,584
11/09/2011,2012,4,571
18/09/2011,2012,5,650
24/09/2011,2012,6,611
02/10/2011,2012,7,637
15/10/2011,2012,8,555
23/10/2011,2012,9,492
29/10/2011,2012,10,534
06/11/2011,2012,11,499
19/11/2011,2012,12,498
26/11/2011,2012,13,546
05/12/2011,2012,14,709
10/12/2011,2012,15,499
17/12/2011,2012,16,541
21/12/2011,2012,17,513
26/12/2011,2012,18,573
31/12/2011,2012,19,562
02/01/2012,2012,20,652
14/01/2012,2012,21,614
21/01/2012,2012,22,640
01/02/2012,2012,23,641
04/02/2012,2012,24,584
11/02/2012,2012,25,623
25/02/2012,2012,26,664
04/03/2012,2012,27,707
10/03/2012,2012,28,559
17/03/2012,2012,29,518
26/03/2012,2012,30,479
31/03/2012,2012,31,547
07/04/2012,2012,32,602
09/04/2012,2012,33,607
01/05/2012,2012,34,731
21/04/2012,2012,35,756
28/04/2012,2012,36,692
06/05/2012,2012,37,772
13/05/2012,2012,38,634
18/08/2012,2013,1,676
25/08/2012,2013,2,646
01/09/2012,2013,3,471
15/09/2012,2013,4,638
22/09/2012,2013,5,671
29/09/2012,2013,6,640
07/10/2012,2013,7,593
20/10/2012,2013,8,636
27/10/2012,2013,9,564
03/11/2012,2013,10,572
10/11/2012,2013,11,562
18/11/2012,2013,12,455
24/11/2012,2013,13,415
28/11/2012,2013,14,488
01/12/2012,2013,15,445
10/12/2012,2013,16,501
15/12/2012,2013,17,440
22/12/2012,2013,18,398
26/12/2012,2013,19,403
29/12/2012,2013,20,360
01/01/2013,2013,21,587
12/01/2013,2013,22,560
19/01/2013,2013,23,518
30/01/2013,2013,24,550
02/02/2013,2013,25,521
09/02/2013,2013,26,523
23/02/2013,2013,27,568
02/03/2013,2013,28,563
17/04/2013,2013,29,490
17/03/2013,2013,30,637
01/04/2013,2013,31,679
