Date,Season_End_Year,Week,ELO
12/08/2017,2018,1,1039.8984667620816
20/08/2017,2018,2,1077.6466625089608
26/08/2017,2018,3,1081.7713330546549
11/09/2017,2018,4,1053.473282140676
16/09/2017,2018,5,1053.5218509548372
23/09/2017,2018,6,1066.6941206459758
30/09/2017,2018,7,1037.7259562704203
14/10/2017,2018,8,1011.395215098339
21/10/2017,2018,9,1151.3763814059457
28/10/2017,2018,10,1121.9765198496525
04/11/2017,2018,11,1153.4221606752924
18/11/2017,2018,12,1093.4069852432501
26/11/2017,2018,13,1076.9354212937342
29/11/2017,2018,14,1047.755760570361
02/12/2017,2018,15,1019.2617568128273
09/12/2017,2018,16,1051.1035075013065
12/12/2017,2018,17,1019.5323768971926
16/12/2017,2018,18,1046.667810949187
23/12/2017,2018,19,1043.868337811364
26/12/2017,2018,20,1037.766688238983
30/12/2017,2018,21,1058.1846862735783
01/01/2018,2018,22,1030.341902918216
13/01/2018,2018,23,1000.359233485545
20/01/2018,2018,24,948.6517012431555
30/01/2018,2018,25,922.6327890731579
03/02/2018,2018,26,900.7065718571599
11/02/2018,2018,27,1053.5616097846573
24/02/2018,2018,28,1084.815265469482
03/03/2018,2018,29,1056.9739731758434
10/03/2018,2018,30,1070.826862431532
17/03/2018,2018,31,1028.7750835964243
31/03/2018,2018,32,997.0664482230047
07/04/2018,2018,33,1004.6225868904891
14/04/2018,2018,34,1037.1905350705522
09/05/2018,2018,35,1122.5575201631657
28/04/2018,2018,36,1005.7898381220626
06/05/2018,2018,37,1104.3027138978453
13/05/2018,2018,38,1091.137350276669
11/08/2018,2019,1,1062.3469196597055
19/08/2018,2019,2,1043.492988531607
25/08/2018,2019,3,1021.6080379602181
01/09/2018,2019,4,1030.612024963451
15/09/2018,2019,5,1002.4977577715825
22/09/2018,2019,6,975.186534860009
29/09/2018,2019,7,951.6341896145275
06/10/2018,2019,8,962.1790958037723
20/10/2018,2019,9,945.1069370718403
27/10/2018,2019,10,914.7483227046155
05/11/2018,2019,11,944.4335482264032
10/11/2018,2019,12,963.6035568129762
25/11/2018,2019,13,1029.6690495943262
01/12/2018,2019,14,993.1012588228942
04/12/2018,2019,15,966.9333442080772
08/12/2018,2019,16,944.1936027449186
15/12/2018,2019,17,912.7112994501673
22/12/2018,2019,18,881.9092518270755
26/12/2018,2019,19,857.823252333265
29/12/2018,2019,20,826.8879744722476
02/01/2019,2019,21,796.0555523903862
12/01/2019,2019,22,840.5807995540405
20/01/2019,2019,23,830.311758951721
29/01/2019,2019,24,799.178470566824
02/02/2019,2019,25,773.9405594488671
09/02/2019,2019,26,754.7799731935887
23/02/2019,2019,27,737.1768991133246
26/02/2019,2019,28,941.8052026449503
02/03/2019,2019,29,902.2572246469861
09/03/2019,2019,30,871.4781496854018
16/03/2019,2019,31,841.01534787856
30/03/2019,2019,32,811.8624736700428
06/04/2019,2019,33,789.6928698728666
13/04/2019,2019,34,766.7390924937807
20/04/2019,2019,35,741.3546594422647
26/04/2019,2019,36,735.5387345023815
05/05/2019,2019,37,810.0823877557332
12/05/2019,2019,38,856.7153509630767
