Date,Season_End_Year,Week,ELO
16/08/2008,2009,1,597
23/08/2008,2009,2,595
30/08/2008,2009,3,486
13/09/2008,2009,4,570
21/09/2008,2009,5,553
27/09/2008,2009,6,674
05/10/2008,2009,7,716
19/10/2008,2009,8,753
25/10/2008,2009,9,790
29/10/2008,2009,10,763
01/11/2008,2009,11,716
08/11/2008,2009,12,539
16/11/2008,2009,13,506
22/11/2008,2009,14,494
29/11/2008,2009,15,506
06/12/2008,2009,16,540
13/12/2008,2009,17,564
20/12/2008,2009,18,412
26/12/2008,2009,19,361
30/12/2008,2009,20,331
10/01/2009,2009,21,304
17/01/2009,2009,22,280
28/01/2009,2009,23,248
31/01/2009,2009,24,312
07/02/2009,2009,25,400
23/02/2009,2009,26,360
01/03/2009,2009,27,321
04/03/2009,2009,28,479
14/03/2009,2009,29,482
22/03/2009,2009,30,452
04/04/2009,2009,31,479
11/04/2009,2009,32,422
18/04/2009,2009,33,364
25/04/2009,2009,34,350
04/05/2009,2009,35,314
09/05/2009,2009,36,272
16/05/2009,2009,37,288
24/05/2009,2009,38,271
15/08/2009,2010,1,260
19/08/2009,2010,2,250
22/08/2009,2010,3,284
29/08/2009,2010,4,349
12/09/2009,2010,5,315
19/09/2009,2010,6,273
26/09/2009,2010,7,250
03/10/2009,2010,8,676
19/10/2009,2010,9,507
24/10/2009,2010,10,466
31/10/2009,2010,11,428
08/11/2009,2010,12,565
21/11/2009,2010,13,554
28/11/2009,2010,14,593
05/12/2009,2010,15,560
12/12/2009,2010,16,566
25/11/2009,2010,17,591
19/12/2009,2010,18,534
27/12/2009,2010,19,493
29/12/2009,2010,20,499
02/02/2010,2010,21,576
16/01/2010,2010,22,540
23/01/2010,2010,23,499
30/01/2010,2010,24,498
06/02/2010,2010,25,663
10/02/2010,2010,26,554
20/02/2010,2010,27,515
21/04/2010,2010,28,324
07/03/2010,2010,29,473
13/03/2010,2010,30,442
20/03/2010,2010,31,337
27/03/2010,2010,32,396
03/04/2010,2010,33,353
10/04/2010,2010,34,274
17/04/2010,2010,35,358
24/04/2010,2010,36,286
03/05/2010,2010,37,358
09/05/2010,2010,38,421
18/08/2013,2014,1,395
24/08/2013,2014,2,578
31/08/2013,2014,3,521
14/09/2013,2014,4,526
21/09/2013,2014,5,622
28/09/2013,2014,6,665
05/10/2013,2014,7,667
19/10/2013,2014,8,633
27/10/2013,2014,9,605
02/11/2013,2014,10,647
09/11/2013,2014,11,618
23/11/2013,2014,12,472
01/12/2013,2014,13,590
04/12/2013,2014,14,550
09/12/2013,2014,15,584
14/12/2013,2014,16,591
21/12/2013,2014,17,562
26/12/2013,2014,18,520
28/12/2013,2014,19,545
01/01/2014,2014,20,505
11/01/2014,2014,21,465
18/01/2014,2014,22,412
28/01/2014,2014,23,370
01/02/2014,2014,24,490
08/02/2014,2014,25,557
11/02/2014,2014,26,515
22/02/2014,2014,27,555
01/03/2014,2014,28,504
26/03/2014,2014,29,523
15/03/2014,2014,30,462
22/03/2014,2014,31,551
29/03/2014,2014,32,483
05/04/2014,2014,33,519
06/05/2014,2014,34,386
20/04/2014,2014,35,478
26/04/2014,2014,36,489
03/05/2014,2014,37,425
11/05/2014,2014,38,344
16/08/2014,2015,1,382
24/08/2014,2015,2,399
31/08/2014,2015,3,357
15/09/2014,2015,4,414
20/09/2014,2015,5,413
27/09/2014,2015,6,377
04/10/2014,2015,7,605
18/10/2014,2015,8,605
25/10/2014,2015,9,608
01/11/2014,2015,10,571
08/11/2014,2015,11,464
23/11/2014,2015,12,422
29/11/2014,2015,13,392
03/12/2014,2015,14,444
06/12/2014,2015,15,444
13/12/2014,2015,16,406
20/12/2014,2015,17,363
26/12/2014,2015,18,582
28/12/2014,2015,19,351
01/01/2015,2015,20,425
10/01/2015,2015,21,386
18/01/2015,2015,22,346
31/01/2015,2015,23,303
07/02/2015,2015,24,415
10/02/2015,2015,25,443
21/02/2015,2015,26,495
28/02/2015,2015,27,453
03/03/2015,2015,28,451
14/03/2015,2015,29,446
22/03/2015,2015,30,409
04/04/2015,2015,31,373
11/04/2015,2015,32,333
28/04/2015,2015,33,659
25/04/2015,2015,34,430
04/05/2015,2015,35,624
09/05/2015,2015,36,496
16/05/2015,2015,37,469
24/05/2015,2015,38,538
13/08/2016,2017,1,716
20/08/2016,2017,2,771
27/08/2016,2017,3,732
10/09/2016,2017,4,704
17/09/2016,2017,5,671
24/09/2016,2017,6,634
01/10/2016,2017,7,603
15/10/2016,2017,8,570
22/10/2016,2017,9,534
29/10/2016,2017,10,494
06/11/2016,2017,11,624
19/11/2016,2017,12,515
26/11/2016,2017,13,545
05/12/2016,2017,14,514
10/12/2016,2017,15,519
14/12/2016,2017,16,477
17/12/2016,2017,17,435
26/12/2016,2017,18,393
30/12/2016,2017,19,470
02/01/2017,2017,20,428
14/01/2017,2017,21,548
22/01/2017,2017,22,520
01/02/2017,2017,23,587
04/02/2017,2017,24,636
11/02/2017,2017,25,534
25/02/2017,2017,26,547
04/03/2017,2017,27,509
11/03/2017,2017,28,594
18/03/2017,2017,29,552
01/04/2017,2017,30,592
05/04/2017,2017,31,633
08/04/2017,2017,32,601
15/04/2017,2017,33,529
22/04/2017,2017,34,601
29/04/2017,2017,35,614
06/05/2017,2017,36,387
14/05/2017,2017,37,346
21/05/2017,2017,38,316
