Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,500
18/08/1992,1993,2,530
22/08/1992,1993,3,518
25/08/1992,1993,4,511
30/08/1992,1993,5,502
01/09/1992,1993,6,499
05/09/1992,1993,7,502
12/09/1992,1993,8,529
19/09/1992,1993,9,469
26/09/1992,1993,10,470
03/10/1992,1993,11,510
17/10/1992,1993,12,467
24/10/1992,1993,13,468
31/10/1992,1993,14,496
07/11/1992,1993,15,494
21/11/1992,1993,16,494
28/11/1992,1993,17,535
05/12/1992,1993,18,515
12/12/1992,1993,19,544
21/12/1992,1993,20,592
26/12/1992,1993,21,560
28/12/1992,1993,22,596
09/01/1993,1993,23,549
16/01/1993,1993,24,443
27/01/1993,1993,25,471
30/01/1993,1993,26,663
06/02/1993,1993,27,559
09/02/1993,1993,28,552
02/03/1993,1993,29,343
20/02/1993,1993,30,532
27/02/1993,1993,31,471
06/04/1993,1993,32,311
10/03/1993,1993,33,301
13/03/1993,1993,34,264
20/03/1993,1993,35,294
24/03/1993,1993,36,251
03/04/1993,1993,37,211
10/04/1993,1993,38,276
12/04/1993,1993,39,236
19/04/1993,1993,40,455
01/05/1993,1993,41,424
08/05/1993,1993,42,453
14/08/1993,1994,1,579
17/08/1993,1994,2,615
21/08/1993,1994,3,658
25/08/1993,1994,4,624
28/08/1993,1994,5,624
31/08/1993,1994,6,624
11/09/1993,1994,7,579
18/09/1993,1994,8,537
26/09/1993,1994,9,536
02/10/1993,1994,10,491
17/10/1993,1994,11,507
25/10/1993,1994,12,536
30/10/1993,1994,13,463
06/11/1993,1994,14,435
20/11/1993,1994,15,419
24/11/1993,1994,16,569
27/11/1993,1994,17,596
04/12/1993,1994,18,586
08/12/1993,1994,19,628
11/12/1993,1994,20,523
18/12/1993,1994,21,594
27/12/1993,1994,22,588
02/02/1994,1994,23,435
01/01/1994,1994,24,515
29/03/1994,1994,25,373
15/01/1994,1994,26,535
22/01/1994,1994,27,545
05/02/1994,1994,28,380
12/02/1994,1994,29,403
22/02/1994,1994,30,438
23/03/1994,1994,31,405
05/03/1994,1994,32,398
12/03/1994,1994,33,475
19/03/1994,1994,34,447
26/03/1994,1994,35,362
02/04/1994,1994,36,338
04/04/1994,1994,37,300
09/04/1994,1994,38,260
16/04/1994,1994,39,304
23/04/1994,1994,40,270
01/05/1994,1994,41,241
07/05/1994,1994,42,316
20/08/1994,1995,1,279
23/08/1994,1995,2,340
27/08/1994,1995,3,450
30/08/1994,1995,4,410
10/09/1994,1995,5,371
17/09/1994,1995,6,330
24/09/1994,1995,7,592
01/10/1994,1995,8,564
10/10/1994,1995,9,528
16/10/1994,1995,10,479
23/10/1994,1995,11,441
29/10/1994,1995,12,398
01/11/1994,1995,13,535
05/11/1994,1995,14,504
19/11/1994,1995,15,464
26/11/1994,1995,16,476
03/12/1994,1995,17,435
10/12/1994,1995,18,405
16/12/1994,1995,19,436
26/12/1994,1995,20,440
28/12/1994,1995,21,408
31/12/1994,1995,22,370
02/01/1995,1995,23,438
14/01/1995,1995,24,565
21/01/1995,1995,25,543
28/01/1995,1995,26,502
04/02/1995,1995,27,475
05/04/1995,1995,28,191
28/02/1995,1995,29,389
22/02/1995,1995,30,381
25/02/1995,1995,31,431
04/03/1995,1995,32,347
08/03/1995,1995,33,305
11/04/1995,1995,34,165
20/03/1995,1995,35,264
01/04/1995,1995,36,222
09/05/1995,1995,37,368
15/04/1995,1995,38,122
17/04/1995,1995,39,270
29/04/1995,1995,40,229
06/05/1995,1995,41,410
14/05/1995,1995,42,331
19/08/2000,2001,1,289
22/08/2000,2001,2,541
26/08/2000,2001,3,571
06/09/2000,2001,4,544
09/09/2000,2001,5,469
16/09/2000,2001,6,515
23/09/2000,2001,7,532
30/09/2000,2001,8,558
14/10/2000,2001,9,554
21/10/2000,2001,10,595
28/10/2000,2001,11,635
04/11/2000,2001,12,530
11/11/2000,2001,13,564
20/11/2000,2001,14,604
25/11/2000,2001,15,646
02/12/2000,2001,16,555
10/12/2000,2001,17,584
16/12/2000,2001,18,615
23/12/2000,2001,19,584
26/12/2000,2001,20,545
30/12/2000,2001,21,578
01/01/2001,2001,22,542
14/01/2001,2001,23,585
20/01/2001,2001,24,538
10/03/2001,2001,25,480
03/02/2001,2001,26,499
10/02/2001,2001,27,462
24/02/2001,2001,28,524
04/03/2001,2001,29,566
17/03/2001,2001,30,518
02/04/2001,2001,31,676
10/04/2001,2001,32,680
14/04/2001,2001,33,720
16/04/2001,2001,34,761
21/04/2001,2001,35,804
30/04/2001,2001,36,658
07/05/2001,2001,37,700
19/05/2001,2001,38,676
18/08/2001,2002,1,617
21/08/2001,2002,2,649
25/08/2001,2002,3,543
08/09/2001,2002,4,473
16/09/2001,2002,5,471
24/10/2001,2002,6,451
22/09/2001,2002,7,446
30/09/2001,2002,8,413
13/10/2001,2002,9,433
21/10/2001,2002,10,446
28/10/2001,2002,11,409
04/11/2001,2002,12,367
18/11/2001,2002,13,325
25/11/2001,2002,14,392
01/12/2001,2002,15,349
09/12/2001,2002,16,310
17/12/2001,2002,17,267
