Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1025.0
19/08/1992,1993,2,1022.8674918376346
22/08/1992,1993,3,993.5658222242968
25/08/1992,1993,4,1020.5424472037002
29/08/1992,1993,5,1016.0987247537321
01/09/1992,1993,6,1014.0519319995582
06/09/1992,1993,7,986.1425442083938
13/09/1992,1993,8,987.0156428528493
19/09/1992,1993,9,982.1736843140792
26/09/1992,1993,10,1007.3562295843815
03/10/1992,1993,11,975.9392540130899
17/10/1992,1993,12,1003.2416369338777
24/10/1992,1993,13,972.9620292259576
31/10/1992,1993,14,976.0249241583823
07/11/1992,1993,15,948.1904246207009
21/11/1992,1993,16,1040.095680350357
29/11/1992,1993,17,1013.5826862248413
05/12/1992,1993,18,937.234440343285
12/12/1992,1993,19,968.2304086174574
20/12/1992,1993,20,940.854096382666
26/12/1992,1993,21,911.6311970722464
28/12/1992,1993,22,931.9845826923461
09/01/1993,1993,23,964.9456417633432
16/01/1993,1993,24,935.4605952424192
21/04/1993,1993,25,973.1191326534586
30/01/1993,1993,26,966.1799786982973
06/02/1993,1993,27,938.548658486321
08/02/1993,1993,28,972.1048561690233
13/02/1993,1993,29,999.9695912748225
20/02/1993,1993,30,970.9168751269542
27/02/1993,1993,31,1016.4806486436127
06/04/1993,1993,32,984.2403062419177
24/02/1993,1993,33,969.294488511673
13/03/1993,1993,34,1053.7361370816548
21/03/1993,1993,35,1039.3721524722587
24/03/1993,1993,36,1032.997095519308
04/05/1993,1993,37,978.6223480595423
10/04/1993,1993,38,1029.3942454852331
14/04/1993,1993,39,1003.0975055927818
17/04/1993,1993,40,1003.999272298438
01/05/1993,1993,41,976.579440188332
08/05/1993,1993,42,966.9004629969837
14/08/1993,1994,1,967.9814028563343
17/08/1993,1994,2,994.6073160643176
21/08/1993,1994,3,963.5892208191348
24/08/1993,1994,4,937.9825150881807
28/08/1993,1994,5,906.503736962514
31/08/1993,1994,6,963.2285921209383
11/09/1993,1994,7,994.6003208931199
18/09/1993,1994,8,1027.3617670397068
25/09/1993,1994,9,1054.3180287753257
02/10/1993,1994,10,1084.6422584646955
17/10/1993,1994,11,1069.8184839828723
23/10/1993,1994,12,1067.3330964808613
30/10/1993,1994,13,1049.7312692283003
06/11/1993,1994,14,1080.8294542065732
20/11/1993,1994,15,1057.7704290629545
23/11/1993,1994,16,1036.1664860330113
27/11/1993,1994,17,1066.0627477139267
04/12/1993,1994,18,1097.7378173574232
08/12/1993,1994,19,1132.4250540851463
13/12/1993,1994,20,1083.621161070811
18/12/1993,1994,21,1113.217074372675
22/12/1993,1994,22,1114.6059489940903
29/12/1993,1994,23,1104.0476658136165
01/01/1994,1994,24,1128.8370861019584
16/03/1994,1994,25,1047.8403968048726
15/01/1994,1994,26,1117.1924907236616
23/01/1994,1994,27,1085.4669927420732
06/02/1994,1994,28,1040.3159244561093
03/05/1994,1994,29,1104.2616537865758
19/02/1994,1994,30,1065.715365556722
28/02/1994,1994,31,1055.2982026429713
05/03/1994,1994,32,1055.4129264625828
13/03/1994,1994,33,1019.1075651854429
19/03/1994,1994,34,1078.3311775592347
26/03/1994,1994,35,1035.609853782292
01/04/1994,1994,36,1055.044914375989
04/04/1994,1994,37,1082.6065679555252
27/04/1994,1994,38,1074.8354149966406
17/04/1994,1994,39,1112.4926884407773
23/04/1994,1994,40,1103.0236182065369
30/04/1994,1994,41,1105.2605081345582
07/05/1994,1994,42,1135.7062501771381
20/08/1994,1995,1,1119.5453351043104
23/08/1994,1995,2,1150.3715875651944
27/08/1994,1995,3,1108.4103557356477
30/08/1994,1995,4,1138.741916304221
11/09/1994,1995,5,1190.862009715318
17/09/1994,1995,6,1085.6895851189702
26/09/1994,1995,7,1072.4562454081902
01/10/1994,1995,8,1101.6322713926259
08/10/1994,1995,9,1064.6405251697245
15/10/1994,1995,10,1047.9799946402613
24/10/1994,1995,11,1077.2909035675355
29/10/1994,1995,12,1108.7113375126205
01/11/1994,1995,13,990.4675083452257
05/11/1994,1995,14,1018.3445332278417
19/11/1994,1995,15,973.8606370675683
26/11/1994,1995,16,1015.0457324748832
05/12/1994,1995,17,988.3095626704952
10/12/1994,1995,18,968.545185128913
17/12/1994,1995,19,1015.8423691997566
26/12/1994,1995,20,1015.9847971473364
01/02/1995,1995,21,1050.6146020473539
31/12/1994,1995,22,987.1418948577708
02/01/1995,1995,23,981.848384234594
14/01/1995,1995,24,982.5309912771618
15/03/1995,1995,25,1073.3824557742944
24/01/1995,1995,26,1008.6200143206341
04/02/1995,1995,27,1050.6912659528002
05/04/1995,1995,28,1103.1262759298945
22/03/1995,1995,29,1071.9107575276341
22/02/1995,1995,30,1079.5407184186029
25/02/1995,1995,31,1053.9569482381423
04/03/1995,1995,32,1016.9448079687502
09/05/1995,1995,33,1255.449209057418
11/03/1995,1995,34,1042.740806769898
18/03/1995,1995,35,1099.6531349854235
02/04/1995,1995,36,1078.1994346712074
09/04/1995,1995,37,1138.5430360422242
15/04/1995,1995,38,1155.245212420407
17/04/1995,1995,39,1186.8559288752638
29/04/1995,1995,40,1212.5905540425833
06/05/1995,1995,41,1226.1856152610576
14/05/1995,1995,42,1197.092899318226
19/08/1995,1996,1,1228.7389335163696
21/08/1995,1996,2,1259.9443961299044
26/08/1995,1996,3,1290.787675689835
30/08/1995,1996,4,1231.7679487687553
09/09/1995,1996,5,1104.713817563775
16/09/1995,1996,6,1038.5276001960008
23/09/1995,1996,7,1069.528476677601
30/09/1995,1996,8,1098.7691945168374
14/10/1995,1996,9,1065.896293086974
21/10/1995,1996,10,1008.328988143588
28/10/1995,1996,11,1039.650619763565
04/11/1995,1996,12,1050.8619164051236
18/11/1995,1996,13,1078.226176449917
31/01/1996,1996,14,1019.1520305571001
25/11/1995,1996,15,1047.0730705308767
02/12/1995,1996,16,1021.496119784195
09/12/1995,1996,17,1016.1213531589161
16/12/1995,1996,18,989.645972916066
24/12/1995,1996,19,1043.6232171530119
27/12/1995,1996,20,1074.8920596462144
30/12/1995,1996,21,1040.4112630119414
01/01/1996,1996,22,1045.3338547249514
13/01/1996,1996,23,1075.455764267471
20/01/1996,1996,24,1045.4810572430194
03/02/1996,1996,25,989.435145744122
03/04/1996,1996,26,932.7241900474935
02/05/1996,1996,27,765.8514444783369
06/03/1996,1996,28,946.6559394339723
02/03/1996,1996,29,915.2546892129044
17/04/1996,1996,30,817.8816584098954
17/03/1996,1996,31,956.4737023076568
13/03/1996,1996,32,914.9363728258589
30/03/1996,1996,33,901.757564235011
06/04/1996,1996,34,903.2629503028696
08/04/1996,1996,35,872.9892312052344
13/04/1996,1996,36,842.3648964131926
29/04/1996,1996,37,793.0107230104556
05/05/1996,1996,38,826.2075464134471
17/08/1996,1997,1,852.8287954521262
20/08/1996,1997,2,821.1401835388448
26/08/1996,1997,3,910.1198355778558
04/09/1996,1997,4,985.6945315237275
07/09/1996,1997,5,954.8629604204583
14/09/1996,1997,6,915.0996545394526
21/09/1996,1997,7,886.9482953167709
28/09/1996,1997,8,856.0517488594343
12/10/1996,1997,9,911.5155368685142
19/10/1996,1997,10,880.038682947789
26/10/1996,1997,11,854.7680812740207
02/11/1996,1997,12,929.0450441460104
16/11/1996,1997,13,897.6289242759714
23/11/1996,1997,14,975.392051817188
01/12/1996,1997,15,1040.6065232675471
07/12/1996,1997,16,1018.3361113418622
14/12/1996,1997,17,1020.3573842253236
21/12/1996,1997,18,1026.012598794343
26/12/1996,1997,19,999.6823528690516
28/12/1996,1997,20,968.4739272942157
01/01/1997,1997,21,938.2623192332683
11/01/1997,1997,22,980.9853450835001
20/01/1997,1997,23,1007.9261835066796
29/01/1997,1997,24,1004.2214407475819
01/02/1997,1997,25,1014.2320393574786
12/03/1997,1997,26,1071.6851556628335
22/02/1997,1997,27,1016.7851055709622
01/03/1997,1997,28,1047.7130689488345
