Date,Season_End_Year,Week,ELO
21/08/1994,1995,1,470
23/08/1994,1995,2,436
27/08/1994,1995,3,398
31/08/1994,1995,4,398
10/09/1994,1995,5,372
17/09/1994,1995,6,434
24/09/1994,1995,7,435
03/10/1994,1995,8,457
08/10/1994,1995,9,424
15/10/1994,1995,10,590
24/10/1994,1995,11,520
29/10/1994,1995,12,427
23/11/1994,1995,13,419
05/11/1994,1995,14,382
20/11/1994,1995,15,341
26/11/1994,1995,16,362
03/12/1994,1995,17,364
10/12/1994,1995,18,327
17/12/1994,1995,19,513
26/12/1994,1995,20,470
28/12/1994,1995,21,499
31/12/1994,1995,22,463
02/01/1995,1995,23,395
14/01/1995,1995,24,370
15/03/1995,1995,25,348
25/01/1995,1995,26,395
04/02/1995,1995,27,355
11/02/1995,1995,28,367
05/04/1995,1995,29,340
22/02/1995,1995,30,446
25/02/1995,1995,31,407
04/03/1995,1995,32,472
08/03/1995,1995,33,433
11/03/1995,1995,34,391
18/03/1995,1995,35,306
01/04/1995,1995,36,269
08/04/1995,1995,37,310
15/04/1995,1995,38,274
17/04/1995,1995,39,231
29/04/1995,1995,40,272
06/05/1995,1995,41,343
14/05/1995,1995,42,406
17/08/1996,1997,1,420
21/08/1996,1997,2,512
24/08/1996,1997,3,475
02/09/1996,1997,4,433
07/09/1996,1997,5,441
15/09/1996,1997,6,402
22/09/1996,1997,7,450
28/09/1996,1997,8,491
12/10/1996,1997,9,458
19/10/1996,1997,10,396
26/10/1996,1997,11,683
02/11/1996,1997,12,511
16/11/1996,1997,13,543
23/11/1996,1997,14,506
30/11/1996,1997,15,467
07/12/1996,1997,16,504
03/12/1996,1997,17,497
21/12/1996,1997,18,456
26/12/1996,1997,19,471
28/12/1996,1997,20,480
19/03/1997,1997,21,554
11/01/1997,1997,22,430
18/01/1997,1997,23,556
29/01/1997,1997,24,554
02/02/1997,1997,25,520
09/04/1997,1997,26,519
22/02/1997,1997,27,557
01/03/1997,1997,28,594
05/03/1997,1997,29,622
08/03/1997,1997,30,598
15/03/1997,1997,31,557
22/03/1997,1997,32,546
07/05/1997,1997,33,510
12/04/1997,1997,34,482
19/04/1997,1997,35,455
23/04/1997,1997,36,420
03/05/1997,1997,37,475
11/05/1997,1997,38,553
09/08/1997,1998,1,588
13/08/1997,1998,2,630
23/08/1997,1998,3,640
27/08/1997,1998,4,641
30/08/1997,1998,5,458
13/09/1997,1998,6,511
20/09/1997,1998,7,555
24/09/1997,1998,8,545
27/09/1997,1998,9,586
06/10/1997,1998,10,548
18/10/1997,1998,11,513
27/10/1997,1998,12,548
01/11/1997,1998,13,553
10/11/1997,1998,14,492
22/11/1997,1998,15,483
29/11/1997,1998,16,523
06/12/1997,1998,17,521
13/12/1997,1998,18,461
20/12/1997,1998,19,428
26/12/1997,1998,20,391
28/12/1997,1998,21,427
10/01/1998,1998,22,434
17/01/1998,1998,23,503
31/01/1998,1998,24,543
07/02/1998,1998,25,578
14/02/1998,1998,26,578
21/02/1998,1998,27,605
28/02/1998,1998,28,528
29/04/1998,1998,29,548
14/03/1998,1998,30,460
28/03/1998,1998,31,429
04/04/1998,1998,32,503
11/04/1998,1998,33,544
14/04/1998,1998,34,524
18/04/1998,1998,35,528
26/04/1998,1998,36,571
02/05/1998,1998,37,591
10/05/1998,1998,38,475
15/08/1998,1999,1,511
22/08/1998,1999,2,540
29/08/1998,1999,3,511
09/09/1998,1999,4,484
12/09/1998,1999,5,508
19/09/1998,1999,6,466
27/09/1998,1999,7,483
03/10/1998,1999,8,558
19/10/1998,1999,9,616
24/10/1998,1999,10,630
31/10/1998,1999,11,661
07/11/1998,1999,12,641
14/11/1998,1999,13,570
21/11/1998,1999,14,530
28/11/1998,1999,15,511
05/12/1998,1999,16,552
12/12/1998,1999,17,595
19/12/1998,1999,18,527
26/12/1998,1999,19,578
28/12/1998,1999,20,572
09/01/1999,1999,21,566
16/01/1999,1999,22,525
30/01/1999,1999,23,524
06/02/1999,1999,24,496
05/05/1999,1999,25,478
20/02/1999,1999,26,461
01/03/1999,1999,27,427
06/03/1999,1999,28,511
13/03/1999,1999,29,507
21/04/1999,1999,30,593
03/04/1999,1999,31,558
06/04/1999,1999,32,519
10/04/1999,1999,33,514
18/04/1999,1999,34,553
24/04/1999,1999,35,634
01/05/1999,1999,36,522
08/05/1999,1999,37,513
16/05/1999,1999,38,446
07/08/1999,2000,1,411
11/08/1999,2000,2,479
14/08/1999,2000,3,532
21/08/1999,2000,4,494
24/08/1999,2000,5,568
30/08/1999,2000,6,608
11/09/1999,2000,7,564
18/09/1999,2000,8,576
25/09/1999,2000,9,607
03/10/1999,2000,10,648
16/10/1999,2000,11,691
23/10/1999,2000,12,453
30/10/1999,2000,13,480
06/11/1999,2000,14,442
20/11/1999,2000,15,560
27/11/1999,2000,16,618
04/12/1999,2000,17,586
18/12/1999,2000,18,406
26/12/1999,2000,19,368
28/12/1999,2000,20,325
03/01/2000,2000,21,423
15/01/2000,2000,22,456
22/01/2000,2000,23,415
05/02/2000,2000,24,445
12/02/2000,2000,25,390
03/05/2000,2000,26,551
05/03/2000,2000,27,457
11/03/2000,2000,28,423
18/03/2000,2000,29,384
26/03/2000,2000,30,543
02/04/2000,2000,31,468
08/04/2000,2000,32,463
15/04/2000,2000,33,563
22/04/2000,2000,34,493
19/04/2000,2000,35,433
29/04/2000,2000,36,522
06/05/2000,2000,37,582
14/05/2000,2000,38,539
19/08/2000,2001,1,524
23/08/2000,2001,2,562
26/08/2000,2001,3,566
06/09/2000,2001,4,593
09/09/2000,2001,5,636
17/09/2000,2001,6,671
24/09/2000,2001,7,635
01/10/2000,2001,8,609
14/10/2000,2001,9,577
21/10/2000,2001,10,540
28/10/2000,2001,11,581
04/11/2000,2001,12,620
11/11/2000,2001,13,616
18/11/2000,2001,14,657
25/11/2000,2001,15,596
02/12/2000,2001,16,627
10/12/2000,2001,17,420
16/12/2000,2001,18,556
23/12/2000,2001,19,590
26/12/2000,2001,20,549
04/04/2001,2001,21,477
01/01/2001,2001,22,392
14/01/2001,2001,23,349
20/01/2001,2001,24,390
31/01/2001,2001,25,347
03/02/2001,2001,26,521
10/02/2001,2001,27,494
24/02/2001,2001,28,542
03/03/2001,2001,29,604
17/03/2001,2001,30,562
01/04/2001,2001,31,514
07/04/2001,2001,32,437
14/04/2001,2001,33,357
16/04/2001,2001,34,321
21/04/2001,2001,35,282
28/04/2001,2001,36,239
05/05/2001,2001,37,388
19/05/2001,2001,38,359
18/08/2001,2002,1,316
26/09/2001,2002,2,457
25/08/2001,2002,3,275
08/09/2001,2002,4,345
15/09/2001,2002,5,508
19/09/2001,2002,6,482
22/09/2001,2002,7,490
29/09/2001,2002,8,418
13/10/2001,2002,9,377
20/10/2001,2002,10,342
29/10/2001,2002,11,383
03/11/2001,2002,12,469
17/11/2001,2002,13,434
24/11/2001,2002,14,453
01/12/2001,2002,15,549
08/12/2001,2002,16,485
16/12/2001,2002,17,500
22/12/2001,2002,18,506
26/12/2001,2002,19,475
29/12/2001,2002,20,461
23/01/2002,2002,21,448
12/01/2002,2002,22,421
19/01/2002,2002,23,490
30/01/2002,2002,24,410
02/02/2002,2002,25,370
09/02/2002,2002,26,325
23/02/2002,2002,27,297
02/03/2002,2002,28,255
09/03/2002,2002,29,347
16/03/2002,2002,30,433
23/03/2002,2002,31,391
30/03/2002,2002,32,475
01/04/2002,2002,33,428
06/04/2002,2002,34,388
13/04/2002,2002,35,410
20/04/2002,2002,36,410
27/04/2002,2002,37,434
11/05/2002,2002,38,680
16/08/2003,2004,1,667
23/08/2003,2004,2,634
26/08/2003,2004,3,598
30/08/2003,2004,4,502
15/09/2003,2004,5,535
20/09/2003,2004,6,497
27/09/2003,2004,7,458
04/10/2003,2004,8,415
19/10/2003,2004,9,375
25/10/2003,2004,10,332
02/11/2003,2004,11,380
09/11/2003,2004,12,485
22/11/2003,2004,13,559
29/11/2003,2004,14,601
06/12/2003,2004,15,646
13/12/2003,2004,16,553
20/12/2003,2004,17,502
26/12/2003,2004,18,527
28/12/2003,2004,19,538
07/01/2004,2004,20,542
11/01/2004,2004,21,508
17/01/2004,2004,22,510
31/01/2004,2004,23,472
07/02/2004,2004,24,430
10/02/2004,2004,25,492
22/02/2004,2004,26,523
28/02/2004,2004,27,520
13/03/2004,2004,28,619
20/03/2004,2004,29,622
28/03/2004,2004,30,621
05/04/2004,2004,31,535
10/04/2004,2004,32,490
13/04/2004,2004,33,453
17/04/2004,2004,34,417
24/04/2004,2004,35,418
01/05/2004,2004,36,427
08/05/2004,2004,37,620
15/05/2004,2004,38,580
16/08/2014,2015,1,577
23/08/2014,2015,2,536
31/08/2014,2015,3,585
13/09/2014,2015,4,733
21/09/2014,2015,5,768
27/09/2014,2015,6,658
04/10/2014,2015,7,627
18/10/2014,2015,8,499
25/10/2014,2015,9,467
01/11/2014,2015,10,429
08/11/2014,2015,11,392
22/11/2014,2015,12,431
29/11/2014,2015,13,395
02/12/2014,2015,14,353
07/12/2014,2015,15,312
13/12/2014,2015,16,292
20/12/2014,2015,17,269
26/12/2014,2015,18,241
28/12/2014,2015,19,472
01/01/2015,2015,20,511
10/01/2015,2015,21,556
17/01/2015,2015,22,520
31/01/2015,2015,23,480
07/02/2015,2015,24,440
10/02/2015,2015,25,401
22/02/2015,2015,26,450
29/04/2015,2015,27,669
04/03/2015,2015,28,407
14/03/2015,2015,29,412
21/03/2015,2015,30,378
04/04/2015,2015,31,502
11/04/2015,2015,32,543
18/04/2015,2015,33,669
25/04/2015,2015,34,711
02/05/2015,2015,35,697
09/05/2015,2015,36,737
16/05/2015,2015,37,714
24/05/2015,2015,38,749
08/08/2015,2016,1,791
15/08/2015,2016,2,834
22/08/2015,2016,3,751
29/08/2015,2016,4,705
13/09/2015,2016,5,745
19/09/2015,2016,6,646
26/09/2015,2016,7,611
03/10/2015,2016,8,657
17/10/2015,2016,9,652
