Date,Season_End_Year,Week,ELO
16/08/1992,1993,1,475
19/08/1992,1993,2,521
23/08/1992,1993,3,462
25/08/1992,1993,4,469
29/08/1992,1993,5,475
01/09/1992,1993,6,479
05/09/1992,1993,7,565
12/09/1992,1993,8,413
19/09/1992,1993,9,374
26/09/1992,1993,10,333
03/10/1992,1993,11,440
18/10/1992,1993,12,470
25/10/1992,1993,13,564
31/10/1992,1993,14,477
07/11/1992,1993,15,509
22/11/1992,1993,16,572
28/11/1992,1993,17,615
07/12/1992,1993,18,430
13/12/1992,1993,19,461
19/12/1992,1993,20,435
05/05/1993,1993,21,405
28/12/1992,1993,22,461
09/01/1993,1993,23,420
16/01/1993,1993,24,391
21/04/1993,1993,25,663
31/01/1993,1993,26,482
06/02/1993,1993,27,487
10/02/1993,1993,28,474
13/02/1993,1993,29,434
20/02/1993,1993,30,454
27/02/1993,1993,31,537
06/03/1993,1993,32,496
10/03/1993,1993,33,524
13/03/1993,1993,34,567
20/03/1993,1993,35,604
23/03/1993,1993,36,596
03/04/1993,1993,37,509
10/04/1993,1993,38,587
12/04/1993,1993,39,579
17/04/1993,1993,40,622
01/05/1993,1993,41,446
08/05/1993,1993,42,431
14/08/1993,1994,1,474
18/08/1993,1994,2,509
22/08/1993,1994,3,548
25/08/1993,1994,4,467
28/08/1993,1994,5,503
01/09/1993,1994,6,450
12/09/1993,1994,7,408
18/09/1993,1994,8,366
25/09/1993,1994,9,330
02/10/1993,1994,10,405
16/10/1993,1994,11,434
23/10/1993,1994,12,442
30/10/1993,1994,13,483
06/11/1993,1994,14,602
21/11/1993,1994,15,528
05/02/1994,1994,16,635
28/11/1993,1994,17,554
04/12/1993,1994,18,529
08/12/1993,1994,19,566
11/12/1993,1994,20,549
18/12/1993,1994,21,537
26/12/1993,1994,22,487
28/12/1993,1994,23,486
01/01/1994,1994,24,559
04/01/1994,1994,25,594
15/01/1994,1994,26,634
22/01/1994,1994,27,675
30/03/1994,1994,28,541
14/02/1994,1994,29,493
19/02/1994,1994,30,462
26/02/1994,1994,31,497
05/03/1994,1994,32,458
13/03/1994,1994,33,511
19/03/1994,1994,34,610
26/03/1994,1994,35,570
02/04/1994,1994,36,484
04/04/1994,1994,37,538
09/04/1994,1994,38,578
16/04/1994,1994,39,539
23/04/1994,1994,40,572
30/04/1994,1994,41,410
07/05/1994,1994,42,352
20/08/1994,1995,1,407
09/11/1994,1995,2,593
28/08/1994,1995,3,458
31/08/1994,1995,4,491
10/09/1994,1995,5,477
17/09/1994,1995,6,435
24/09/1994,1995,7,525
01/10/1994,1995,8,562
08/10/1994,1995,9,604
15/10/1994,1995,10,568
22/10/1994,1995,11,607
29/10/1994,1995,12,650
31/10/1994,1995,13,446
05/11/1994,1995,14,556
21/11/1994,1995,15,476
26/11/1994,1995,16,454
03/12/1994,1995,17,481
11/12/1994,1995,18,481
18/12/1994,1995,19,470
26/12/1994,1995,20,513
28/12/1994,1995,21,556
31/12/1994,1995,22,587
02/01/1995,1995,23,629
14/01/1995,1995,24,502
02/05/1995,1995,25,524
24/01/1995,1995,26,504
04/02/1995,1995,27,505
11/02/1995,1995,28,509
22/03/1995,1995,29,612
14/03/1995,1995,30,551
25/02/1995,1995,31,542
04/03/1995,1995,32,599
05/04/1995,1995,33,641
12/04/1995,1995,34,645
19/03/1995,1995,35,614
10/05/1995,1995,36,417
09/04/1995,1995,37,605
14/04/1995,1995,38,447
17/04/1995,1995,39,490
29/04/1995,1995,40,526
06/05/1995,1995,41,449
14/05/1995,1995,42,498
19/08/1995,1996,1,528
21/08/1995,1996,2,485
26/08/1995,1996,3,514
30/08/1995,1996,4,546
09/09/1995,1996,5,518
16/09/1995,1996,6,556
23/09/1995,1996,7,599
01/10/1995,1996,8,610
14/10/1995,1996,9,554
22/10/1995,1996,10,595
28/10/1995,1996,11,631
04/11/1995,1996,12,591
18/11/1995,1996,13,542
22/11/1995,1996,14,543
25/11/1995,1996,15,500
02/12/1995,1996,16,497
09/12/1995,1996,17,539
17/12/1995,1996,18,582
23/12/1995,1996,19,618
31/01/1996,1996,20,691
30/12/1995,1996,21,608
01/01/1996,1996,22,644
13/01/1996,1996,23,622
20/01/1996,1996,24,657
03/02/1996,1996,25,667
11/02/1996,1996,26,696
13/03/1996,1996,27,677
24/02/1996,1996,28,729
03/03/1996,1996,29,770
01/05/1996,1996,30,594
