Date,Season_End_Year,Week,ELO
17/08/1992,1993,1,500
19/08/1992,1993,2,465
22/08/1992,1993,3,428
26/08/1992,1993,4,514
29/08/1992,1993,5,512
01/09/1992,1993,6,550
05/09/1992,1993,7,589
12/09/1992,1993,8,530
20/09/1992,1993,9,485
28/09/1992,1993,10,432
03/10/1992,1993,11,432
17/10/1992,1993,12,438
24/10/1992,1993,13,477
31/10/1992,1993,14,517
07/11/1992,1993,15,550
21/11/1992,1993,16,591
28/11/1992,1993,17,563
06/12/1992,1993,18,526
12/12/1992,1993,19,497
19/12/1992,1993,20,532
26/12/1992,1993,21,573
28/12/1992,1993,22,547
09/01/1993,1993,23,574
16/01/1993,1993,24,472
26/01/1993,1993,25,500
30/01/1993,1993,26,527
06/02/1993,1993,27,524
23/02/1993,1993,28,457
21/04/1993,1993,29,497
20/02/1993,1993,30,498
27/02/1993,1993,31,551
05/05/1993,1993,32,534
10/03/1993,1993,33,584
13/03/1993,1993,34,528
20/03/1993,1993,35,524
24/03/1993,1993,36,485
03/04/1993,1993,37,525
09/04/1993,1993,38,526
12/04/1993,1993,39,534
18/04/1993,1993,40,496
01/05/1993,1993,41,536
08/05/1993,1993,42,453
14/08/1993,1994,1,453
17/08/1993,1994,2,413
21/08/1993,1994,3,384
24/08/1993,1994,4,344
27/08/1993,1994,5,363
01/09/1993,1994,6,411
11/09/1993,1994,7,521
20/09/1993,1994,8,490
25/09/1993,1994,9,515
04/10/1993,1994,10,494
16/10/1993,1994,11,499
23/10/1993,1994,12,491
01/11/1993,1994,13,449
07/11/1993,1994,14,420
20/11/1993,1994,15,475
22/11/1993,1994,16,458
27/11/1993,1994,17,422
04/12/1993,1994,18,379
08/12/1993,1994,19,473
11/12/1993,1994,20,425
18/12/1993,1994,21,382
22/02/1994,1994,22,443
28/12/1993,1994,23,383
01/01/1994,1994,24,346
29/03/1994,1994,25,430
15/01/1994,1994,26,408
22/01/1994,1994,27,367
05/02/1994,1994,28,422
12/02/1994,1994,29,427
19/02/1994,1994,30,393
26/02/1994,1994,31,470
05/03/1994,1994,32,471
12/03/1994,1994,33,429
19/03/1994,1994,34,428
26/03/1994,1994,35,441
02/04/1994,1994,36,468
04/04/1994,1994,37,495
09/04/1994,1994,38,597
16/04/1994,1994,39,499
23/04/1994,1994,40,459
30/04/1994,1994,41,479
07/05/1994,1994,42,496
20/08/1994,1995,1,463
24/08/1994,1995,2,533
27/08/1994,1995,3,562
31/08/1994,1995,4,521
10/09/1994,1995,5,485
17/09/1994,1995,6,481
24/09/1994,1995,7,521
01/10/1994,1995,8,496
08/10/1994,1995,9,538
15/10/1994,1995,10,580
22/10/1994,1995,11,623
29/10/1994,1995,12,555
10/11/1994,1995,13,490
05/11/1994,1995,14,532
20/11/1994,1995,15,531
26/11/1994,1995,16,586
03/12/1994,1995,17,627
12/12/1994,1995,18,542
17/12/1994,1995,19,407
26/12/1994,1995,20,371
28/12/1994,1995,21,328
31/12/1994,1995,22,349
02/01/1995,1995,23,359
14/01/1995,1995,24,370
11/04/1995,1995,25,350
25/01/1995,1995,26,345
04/02/1995,1995,27,371
11/02/1995,1995,28,336
21/03/1995,1995,29,421
22/02/1995,1995,30,430
25/02/1995,1995,31,460
04/03/1995,1995,32,456
08/03/1995,1995,33,424
15/03/1995,1995,34,434
18/03/1995,1995,35,461
01/04/1995,1995,36,393
03/05/1995,1995,37,542
14/04/1995,1995,38,548
17/04/1995,1995,39,667
29/04/1995,1995,40,608
06/05/1995,1995,41,501
14/05/1995,1995,42,466
19/08/1995,1996,1,471
23/08/1995,1996,2,433
26/08/1995,1996,3,404
30/08/1995,1996,4,363
10/09/1995,1996,5,320
16/09/1995,1996,6,281
23/09/1995,1996,7,244
30/09/1995,1996,8,216
14/10/1995,1996,9,193
21/10/1995,1996,10,291
28/10/1995,1996,11,255
04/11/1995,1996,12,448
18/11/1995,1996,13,452
22/11/1995,1996,14,487
25/11/1995,1996,15,655
02/12/1995,1996,16,698
09/12/1995,1996,17,566
18/12/1995,1996,18,551
23/12/1995,1996,19,511
26/12/1995,1996,20,480
31/01/1996,1996,21,489
01/01/1996,1996,22,511
13/01/1996,1996,23,470
20/01/1996,1996,24,484
03/02/1996,1996,25,532
10/02/1996,1996,26,491
05/03/1996,1996,27,492
24/02/1996,1996,28,523
02/03/1996,1996,29,529
12/03/1996,1996,30,495
16/03/1996,1996,31,527
23/03/1996,1996,32,492
30/03/1996,1996,33,498
06/04/1996,1996,34,458
08/04/1996,1996,35,415
13/04/1996,1996,36,555
27/04/1996,1996,37,594
05/05/1996,1996,38,594
19/08/2000,2001,1,514
23/08/2000,2001,2,560
26/08/2000,2001,3,486
05/09/2000,2001,4,568
09/09/2000,2001,5,523
17/09/2000,2001,6,521
23/09/2000,2001,7,520
30/09/2000,2001,8,462
14/10/2000,2001,9,495
23/10/2000,2001,10,539
28/10/2000,2001,11,499
