Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,475
19/08/1992,1993,2,445
22/08/1992,1993,3,457
24/08/1992,1993,4,490
29/08/1992,1993,5,521
02/09/1992,1993,6,557
06/09/1992,1993,7,591
12/09/1992,1993,8,632
19/09/1992,1993,9,607
26/09/1992,1993,10,602
03/10/1992,1993,11,592
18/10/1992,1993,12,562
24/10/1992,1993,13,568
31/10/1992,1993,14,504
07/11/1992,1993,15,463
21/11/1992,1993,16,501
28/11/1992,1993,17,534
06/12/1992,1993,18,571
12/12/1992,1993,19,642
19/12/1992,1993,20,638
26/12/1992,1993,21,600
28/12/1992,1993,22,629
09/01/1993,1993,23,671
18/01/1993,1993,24,714
27/01/1993,1993,25,757
30/01/1993,1993,26,565
06/02/1993,1993,27,607
08/02/1993,1993,28,568
21/04/1993,1993,29,737
20/02/1993,1993,30,610
27/02/1993,1993,31,646
06/03/1993,1993,32,687
09/03/1993,1993,33,468
14/03/1993,1993,34,489
20/03/1993,1993,35,493
24/03/1993,1993,36,503
05/04/1993,1993,37,584
10/04/1993,1993,38,610
12/04/1993,1993,39,653
17/04/1993,1993,40,694
03/05/1993,1993,41,777
09/05/1993,1993,42,814
15/08/1993,1994,1,853
18/08/1993,1994,2,896
21/08/1993,1994,3,738
23/08/1993,1994,4,779
28/08/1993,1994,5,802
01/09/1993,1994,6,832
11/09/1993,1994,7,589
19/09/1993,1994,8,628
25/09/1993,1994,9,671
02/10/1993,1994,10,712
16/10/1993,1994,11,755
23/10/1993,1994,12,792
30/10/1993,1994,13,834
07/11/1993,1994,14,863
20/11/1993,1994,15,889
24/11/1993,1994,16,739
27/11/1993,1994,17,774
04/12/1993,1994,18,681
07/12/1993,1994,19,718
11/12/1993,1994,20,695
19/12/1993,1994,21,733
26/12/1993,1994,22,720
29/12/1993,1994,23,760
01/01/1994,1994,24,727
04/01/1994,1994,25,692
15/01/1994,1994,26,732
22/01/1994,1994,27,765
30/03/1994,1994,28,615
05/02/1994,1994,29,805
04/05/1994,1994,30,726
26/02/1994,1994,31,705
05/03/1994,1994,32,533
22/03/1994,1994,33,586
19/03/1994,1994,34,527
16/03/1994,1994,35,561
02/04/1994,1994,36,589
04/04/1994,1994,37,620
27/04/1994,1994,38,655
16/04/1994,1994,39,588
23/04/1994,1994,40,628
01/05/1994,1994,41,684
08/05/1994,1994,42,701
20/08/1994,1995,1,743
22/08/1994,1995,2,649
27/08/1994,1995,3,686
31/08/1994,1995,4,725
11/09/1994,1995,5,673
17/09/1994,1995,6,715
24/09/1994,1995,7,453
01/10/1994,1995,8,480
08/10/1994,1995,9,431
15/10/1994,1995,10,546
23/10/1994,1995,11,600
29/10/1994,1995,12,701
10/11/1994,1995,13,770
06/11/1994,1995,14,728
19/11/1994,1995,15,813
26/11/1994,1995,16,675
03/12/1994,1995,17,713
10/12/1994,1995,18,756
17/12/1994,1995,19,577
26/12/1994,1995,20,620
28/12/1994,1995,21,591
31/12/1994,1995,22,558
03/01/1995,1995,23,597
15/01/1995,1995,24,557
22/01/1995,1995,25,760
25/01/1995,1995,26,646
04/02/1995,1995,27,677
11/02/1995,1995,28,712
22/03/1995,1995,29,614
22/02/1995,1995,30,744
25/02/1995,1995,31,577
04/03/1995,1995,32,619
07/03/1995,1995,33,660
15/03/1995,1995,34,635
19/03/1995,1995,35,572
02/04/1995,1995,36,611
10/05/1995,1995,37,731
15/04/1995,1995,38,647
17/04/1995,1995,39,613
01/05/1995,1995,40,651
07/05/1995,1995,41,694
14/05/1995,1995,42,680
19/08/1995,1996,1,486
23/08/1995,1996,2,527
26/08/1995,1996,3,623
28/08/1995,1996,4,665
09/09/1995,1996,5,706
16/09/1995,1996,6,745
23/09/1995,1996,7,679
01/10/1995,1996,8,668
14/10/1995,1996,9,691
21/10/1995,1996,10,721
28/10/1995,1996,11,749
04/11/1995,1996,12,526
18/11/1995,1996,13,557
22/11/1995,1996,14,599
27/11/1995,1996,15,589
02/12/1995,1996,16,589
09/12/1995,1996,17,581
17/12/1995,1996,18,538
24/12/1995,1996,19,464
27/12/1995,1996,20,615
30/12/1995,1996,21,657
01/01/1996,1996,22,578
13/01/1996,1996,23,565
22/01/1996,1996,24,607
03/02/1996,1996,25,649
10/02/1996,1996,26,700
21/02/1996,1996,27,729
25/02/1996,1996,28,763
04/03/1996,1996,29,806
17/04/1996,1996,30,606
16/03/1996,1996,31,669
24/03/1996,1996,32,732
20/03/1996,1996,33,695
06/04/1996,1996,34,772
08/04/1996,1996,35,811
13/04/1996,1996,36,566
28/04/1996,1996,37,639
05/05/1996,1996,38,680
17/08/1996,1997,1,720
21/08/1996,1997,2,713
25/08/1996,1997,3,641
04/09/1996,1997,4,609
07/09/1996,1997,5,650
14/09/1996,1997,6,693
21/09/1996,1997,7,684
29/09/1996,1997,8,722
12/10/1996,1997,9,789
20/10/1996,1997,10,764
26/10/1996,1997,11,576
02/11/1996,1997,12,547
16/11/1996,1997,13,637
23/11/1996,1997,14,588
30/11/1996,1997,15,627
08/12/1996,1997,16,593
18/12/1996,1997,17,590
21/12/1996,1997,18,624
26/12/1996,1997,19,659
28/12/1996,1997,20,702
01/01/1997,1997,21,676
12/01/1997,1997,22,718
18/01/1997,1997,23,760
29/01/1997,1997,24,798
01/02/1997,1997,25,832
05/05/1997,1997,26,584
22/02/1997,1997,27,824
01/03/1997,1997,28,861
19/02/1997,1997,29,869
08/03/1997,1997,30,530
15/03/1997,1997,31,643
22/03/1997,1997,32,686
05/04/1997,1997,33,567
12/04/1997,1997,34,607
19/04/1997,1997,35,647
08/05/1997,1997,36,592
03/05/1997,1997,37,592
11/05/1997,1997,38,619
10/08/1997,1998,1,661
13/08/1997,1998,2,703
23/08/1997,1998,3,693
27/08/1997,1998,4,736
30/08/1997,1998,5,778
13/09/1997,1998,6,815
20/09/1997,1998,7,696
24/09/1997,1998,8,693
27/09/1997,1998,9,597
04/10/1997,1998,10,631
18/10/1997,1998,11,627
25/10/1997,1998,12,670
01/11/1997,1998,13,710
09/11/1997,1998,14,605
22/11/1997,1998,15,643
30/11/1997,1998,16,676
06/12/1997,1998,17,719
15/12/1997,1998,18,758
21/12/1997,1998,19,797
26/12/1997,1998,20,831
28/12/1997,1998,21,524
10/01/1998,1998,22,566
19/01/1998,1998,23,538
31/01/1998,1998,24,498
07/02/1998,1998,25,465
11/03/1998,1998,26,528
21/02/1998,1998,27,549
28/02/1998,1998,28,576
07/03/1998,1998,29,528
14/03/1998,1998,30,485
28/03/1998,1998,31,518
06/04/1998,1998,32,549
10/04/1998,1998,33,557
18/02/1998,1998,34,517
18/04/1998,1998,35,540
27/04/1998,1998,36,580
04/05/1998,1998,37,609
10/05/1998,1998,38,647
15/08/1998,1999,1,611
22/08/1998,1999,2,607
16/12/1998,1999,3,614
09/09/1998,1999,4,642
12/09/1998,1999,5,684
20/09/1998,1999,6,616
24/09/1998,1999,7,650
03/10/1998,1999,8,678
17/10/1998,1999,9,721
24/10/1998,1999,10,666
31/10/1998,1999,11,709
08/11/1998,1999,12,650
14/11/1998,1999,13,687
21/11/1998,1999,14,509
29/11/1998,1999,15,606
05/12/1998,1999,16,599
12/12/1998,1999,17,607
19/12/1998,1999,18,582
26/12/1998,1999,19,623
29/12/1998,1999,20,639
10/01/1999,1999,21,671
16/01/1999,1999,22,712
31/01/1999,1999,23,733
06/02/1999,1999,24,808
17/02/1999,1999,25,808
20/02/1999,1999,26,847
27/02/1999,1999,27,884
05/05/1999,1999,28,716
13/03/1999,1999,29,924
21/03/1999,1999,30,945
03/04/1999,1999,31,745
03/02/1999,1999,32,776
12/05/1999,1999,33,643
17/04/1999,1999,34,773
25/04/1999,1999,35,734
01/05/1999,1999,36,777
09/05/1999,1999,37,758
16/05/1999,1999,38,685
08/08/1999,2000,1,665
11/08/1999,2000,2,707
14/08/1999,2000,3,737
22/08/1999,2000,4,763
25/08/1999,2000,5,799
30/08/1999,2000,6,820
11/09/1999,2000,7,862
18/09/1999,2000,8,709
25/09/1999,2000,9,650
03/10/1999,2000,10,572
16/10/1999,2000,11,599
23/10/1999,2000,12,520
30/10/1999,2000,13,550
06/11/1999,2000,14,588
20/11/1999,2000,15,631
02/02/2000,2000,16,788
04/12/1999,2000,17,673
18/12/1999,2000,18,706
26/12/1999,2000,19,748
28/12/1999,2000,20,718
29/01/2000,2000,21,746
20/02/2000,2000,22,695
24/01/2000,2000,23,708
05/02/2000,2000,24,831
12/02/2000,2000,25,655
26/02/2000,2000,26,648
04/03/2000,2000,27,645
11/03/2000,2000,28,685
18/03/2000,2000,29,724
25/03/2000,2000,30,765
01/04/2000,2000,31,808
10/04/2000,2000,32,851
15/04/2000,2000,33,892
22/04/2000,2000,34,930
24/04/2000,2000,35,952
29/04/2000,2000,36,963
06/05/2000,2000,37,988
14/05/2000,2000,38,1005
20/08/2000,2001,1,1036
22/08/2000,2001,2,784
26/08/2000,2001,3,671
05/09/2000,2001,4,709
09/09/2000,2001,5,750
16/09/2000,2001,6,792
23/09/2000,2001,7,731
01/10/2000,2001,8,643
14/10/2000,2001,9,675
21/10/2000,2001,10,717
28/10/2000,2001,11,758
04/11/2000,2001,12,789
11/11/2000,2001,13,819
18/11/2000,2001,14,848
25/11/2000,2001,15,884
02/12/2000,2001,16,924
09/12/2000,2001,17,787
17/12/2000,2001,18,599
23/12/2000,2001,19,630
26/12/2000,2001,20,660
30/12/2000,2001,21,647
01/01/2001,2001,22,685
13/01/2001,2001,23,726
20/01/2001,2001,24,763
31/01/2001,2001,25,805
03/02/2001,2001,26,841
10/02/2001,2001,27,715
25/02/2001,2001,28,756
03/03/2001,2001,29,740
17/03/2001,2001,30,782
31/03/2001,2001,31,646
10/04/2001,2001,32,686
14/04/2001,2001,33,724
13/05/2001,2001,34,403
21/04/2001,2001,35,632
28/04/2001,2001,36,661
05/05/2001,2001,37,473
19/05/2001,2001,38,337
19/08/2001,2002,1,446
22/08/2001,2002,2,446
26/08/2001,2002,3,451
08/09/2001,2002,4,514
15/09/2001,2002,5,473
12/12/2001,2002,6,476
22/09/2001,2002,7,498
29/09/2001,2002,8,527
13/10/2001,2002,9,555
20/10/2001,2002,10,486
27/10/2001,2002,11,563
04/11/2001,2002,12,521
17/11/2001,2002,13,556
25/11/2001,2002,14,504
01/12/2001,2002,15,465
08/12/2001,2002,16,432
15/12/2001,2002,17,528
22/12/2001,2002,18,581
26/12/2001,2002,19,618
30/12/2001,2002,20,648
02/01/2002,2002,21,702
13/01/2002,2002,22,741
19/01/2002,2002,23,782
29/01/2002,2002,24,703
02/02/2002,2002,25,741
10/02/2002,2002,26,779
23/02/2002,2002,27,819
03/03/2002,2002,28,676
06/03/2002,2002,29,714
16/03/2002,2002,30,757
23/03/2002,2002,31,596
30/03/2002,2002,32,663
22/01/2002,2002,33,661
06/04/2002,2002,34,703
08/05/2002,2002,35,747
20/04/2002,2002,36,743
27/04/2002,2002,37,785
11/05/2002,2002,38,616
17/08/2002,2003,1,658
23/08/2002,2003,2,634
03/09/2002,2003,3,652
31/08/2002,2003,4,621
11/09/2002,2003,5,533
14/09/2002,2003,6,503
21/09/2002,2003,7,541
28/09/2002,2003,8,580
07/10/2002,2003,9,611
19/10/2002,2003,10,609
26/10/2002,2003,11,576
02/11/2002,2003,12,605
09/11/2002,2003,13,544
17/11/2002,2003,14,529
23/11/2002,2003,15,573
01/12/2002,2003,16,613
07/12/2002,2003,17,638
14/12/2002,2003,18,678
22/12/2002,2003,19,566
26/12/2002,2003,20,515
28/12/2002,2003,21,554
01/01/2003,2003,22,595
11/01/2003,2003,23,637
18/01/2003,2003,24,664
04/02/2003,2003,25,736
01/02/2003,2003,26,700
09/02/2003,2003,27,666
22/02/2003,2003,28,634
05/03/2003,2003,29,677
15/03/2003,2003,30,716
22/03/2003,2003,31,758
05/04/2003,2003,32,801
12/04/2003,2003,33,844
19/04/2003,2003,34,825
16/04/2003,2003,35,800
27/04/2003,2003,36,862
03/05/2003,2003,37,890
11/05/2003,2003,38,922
16/08/2003,2004,1,956
23/08/2003,2004,2,985
27/08/2003,2004,3,998
31/08/2003,2004,4,714
13/09/2003,2004,5,754
21/09/2003,2004,6,752
27/09/2003,2004,7,791
04/10/2003,2004,8,828
18/10/2003,2004,9,863
25/10/2003,2004,10,686
01/11/2003,2004,11,728
09/11/2003,2004,12,763
22/11/2003,2004,13,795
30/11/2003,2004,14,754
06/12/2003,2004,15,794
13/12/2003,2004,16,820
21/12/2003,2004,17,850
26/12/2003,2004,18,885
28/12/2003,2004,19,919
07/01/2004,2004,20,953
11/01/2004,2004,21,836
17/01/2004,2004,22,604
31/01/2004,2004,23,644
07/02/2004,2004,24,684
11/02/2004,2004,25,565
21/02/2004,2004,26,553
28/02/2004,2004,27,533
14/03/2004,2004,28,495
20/03/2004,2004,29,583
28/03/2004,2004,30,737
20/04/2004,2004,31,715
10/04/2004,2004,32,779
13/04/2004,2004,33,816
17/04/2004,2004,34,674
24/04/2004,2004,35,598
01/05/2004,2004,36,568
08/05/2004,2004,37,576
15/05/2004,2004,38,670
15/08/2004,2005,1,643
21/08/2004,2005,2,675
30/08/2004,2005,3,599
28/08/2004,2005,4,617
11/09/2004,2005,5,618
20/09/2004,2005,6,686
25/09/2004,2005,7,724
03/10/2004,2005,8,690
16/10/2004,2005,9,656
24/10/2004,2005,10,851
30/10/2004,2005,11,677
07/11/2004,2005,12,657
14/11/2004,2005,13,700
20/11/2004,2005,14,741
27/11/2004,2005,15,779
04/12/2004,2005,16,815
13/12/2004,2005,17,723
18/12/2004,2005,18,759
26/12/2004,2005,19,791
28/12/2004,2005,20,827
01/01/2005,2005,21,869
