Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,475
19/08/1992,1993,2,510
22/08/1992,1993,3,540
21/10/1992,1993,4,428
29/08/1992,1993,5,471
01/09/1992,1993,6,474
05/09/1992,1993,7,514
12/09/1992,1993,8,573
19/09/1992,1993,9,572
26/09/1992,1993,10,530
03/10/1992,1993,11,540
17/10/1992,1993,12,515
24/10/1992,1993,13,434
31/10/1992,1993,14,446
07/11/1992,1993,15,414
21/11/1992,1993,16,488
28/11/1992,1993,17,395
05/12/1992,1993,18,500
11/12/1992,1993,19,523
19/12/1992,1993,20,505
26/12/1992,1993,21,505
28/12/1992,1993,22,466
09/01/1993,1993,23,437
17/01/1993,1993,24,394
26/01/1993,1993,25,459
30/01/1993,1993,26,417
06/02/1993,1993,27,383
09/02/1993,1993,28,358
02/03/1993,1993,29,407
20/02/1993,1993,30,315
27/02/1993,1993,31,279
20/04/1993,1993,32,479
09/03/1993,1993,33,364
13/03/1993,1993,34,321
20/03/1993,1993,35,351
22/03/1993,1993,36,308
03/04/1993,1993,37,266
10/04/1993,1993,38,429
12/04/1993,1993,39,393
06/04/1993,1993,40,463
01/05/1993,1993,41,552
08/05/1993,1993,42,552
20/08/1995,1996,1,534
12/09/1995,1996,2,538
26/08/1995,1996,3,574
30/08/1995,1996,4,542
09/09/1995,1996,5,523
16/09/1995,1996,6,568
23/09/1995,1996,7,605
30/09/1995,1996,8,647
15/10/1995,1996,9,689
21/10/1995,1996,10,729
28/10/1995,1996,11,701
04/11/1995,1996,12,642
18/11/1995,1996,13,543
21/11/1995,1996,14,500
25/11/1995,1996,15,543
02/12/1995,1996,16,499
09/12/1995,1996,17,631
16/12/1995,1996,18,472
23/12/1995,1996,19,539
26/12/1995,1996,20,508
30/12/1995,1996,21,480
01/01/1996,1996,22,447
13/01/1996,1996,23,407
20/01/1996,1996,24,368
04/02/1996,1996,25,330
10/02/1996,1996,26,300
17/02/1996,1996,27,263
24/02/1996,1996,28,361
02/03/1996,1996,29,328
09/03/1996,1996,30,289
16/03/1996,1996,31,327
19/03/1996,1996,32,330
30/03/1996,1996,33,433
05/04/1996,1996,34,488
08/04/1996,1996,35,503
13/04/1996,1996,36,460
27/04/1996,1996,37,420
05/05/1996,1996,38,379
17/08/1996,1997,1,430
21/08/1996,1997,2,402
24/08/1996,1997,3,425
04/09/1996,1997,4,473
07/09/1996,1997,5,513
14/09/1996,1997,6,551
21/09/1996,1997,7,512
28/09/1996,1997,8,393
14/10/1996,1997,9,409
19/10/1996,1997,10,368
26/10/1996,1997,11,501
03/11/1996,1997,12,470
17/11/1996,1997,13,428
23/11/1996,1997,14,477
30/11/1996,1997,15,444
07/12/1996,1997,16,447
03/12/1996,1997,17,414
08/05/1997,1997,18,538
26/12/1996,1997,19,528
28/12/1996,1997,20,499
01/01/1997,1997,21,468
11/01/1997,1997,22,406
18/01/1997,1997,23,536
14/12/1996,1997,24,410
01/02/1997,1997,25,524
05/05/1997,1997,26,537
22/02/1997,1997,27,483
01/03/1997,1997,28,444
05/03/1997,1997,29,559
19/03/1997,1997,30,635
15/03/1997,1997,31,600
22/03/1997,1997,32,663
09/04/1997,1997,33,601
24/03/1997,1997,34,615
19/04/1997,1997,35,514
24/04/1997,1997,36,469
03/05/1997,1997,37,529
11/05/1997,1997,38,529
15/08/1998,1999,1,528
23/08/1998,1999,2,488
29/08/1998,1999,3,518
09/09/1998,1999,4,545
13/09/1998,1999,5,573
19/09/1998,1999,6,569
26/09/1998,1999,7,532
03/10/1998,1999,8,576
17/10/1998,1999,9,606
24/10/1998,1999,10,578
01/11/1998,1999,11,539
07/11/1998,1999,12,519
14/11/1998,1999,13,524
21/11/1998,1999,14,562
29/11/1998,1999,15,556
06/12/1998,1999,16,552
12/12/1998,1999,17,596
19/12/1998,1999,18,628
26/12/1998,1999,19,600
28/12/1998,1999,20,541
09/01/1999,1999,21,540
16/01/1999,1999,22,509
30/01/1999,1999,23,510
06/02/1999,1999,24,481
17/02/1999,1999,25,367
20/02/1999,1999,26,418
27/02/1999,1999,27,376
14/04/1999,1999,28,613
14/03/1999,1999,29,493
20/03/1999,1999,30,530
03/04/1999,1999,31,527
05/04/1999,1999,32,558
10/04/1999,1999,33,591
17/04/1999,1999,34,655
24/04/1999,1999,35,612
01/05/1999,1999,36,587
09/05/1999,1999,37,545
16/05/1999,1999,38,519
07/08/1999,2000,1,486
10/08/1999,2000,2,522
14/08/1999,2000,3,555
21/08/1999,2000,4,598
24/08/1999,2000,5,524
28/08/1999,2000,6,493
11/09/1999,2000,7,555
19/09/1999,2000,8,527
25/09/1999,2000,9,493
03/10/1999,2000,10,343
17/10/1999,2000,11,555
24/10/1999,2000,12,584
30/10/1999,2000,13,618
06/11/1999,2000,14,632
20/11/1999,2000,15,565
27/11/1999,2000,16,557
04/12/1999,2000,17,541
18/12/1999,2000,18,570
26/12/1999,2000,19,405
19/02/2000,2000,20,511
29/01/2000,2000,21,393
15/01/2000,2000,22,365
22/01/2000,2000,23,431
05/02/2000,2000,24,363
14/02/2000,2000,25,323
26/02/2000,2000,26,512
04/03/2000,2000,27,512
12/03/2000,2000,28,567
18/03/2000,2000,29,550
25/03/2000,2000,30,590
03/04/2000,2000,31,631
10/04/2000,2000,32,588
15/04/2000,2000,33,484
22/04/2000,2000,34,482
02/05/2000,2000,35,629
29/04/2000,2000,36,658
06/05/2000,2000,37,521
14/05/2000,2000,38,547
19/08/2000,2001,1,589
22/08/2000,2001,2,589
26/08/2000,2001,3,557
06/09/2000,2001,4,544
09/09/2000,2001,5,497
17/09/2000,2001,6,499
23/09/2000,2001,7,506
30/09/2000,2001,8,590
16/10/2000,2001,9,526
21/10/2000,2001,10,495
28/10/2000,2001,11,455
04/11/2000,2001,12,424
11/11/2000,2001,13,394
18/11/2000,2001,14,353
25/11/2000,2001,15,347
02/12/2000,2001,16,309
09/12/2000,2001,17,278
16/12/2000,2001,18,475
23/12/2000,2001,19,485
26/12/2000,2001,20,652
30/12/2000,2001,21,634
01/01/2001,2001,22,616
13/01/2001,2001,23,649
20/01/2001,2001,24,648
31/01/2001,2001,25,612
03/02/2001,2001,26,594
10/02/2001,2001,27,564
24/02/2001,2001,28,526
03/03/2001,2001,29,529
17/03/2001,2001,30,562
31/03/2001,2001,31,515
09/04/2001,2001,32,515
14/04/2001,2001,33,618
16/04/2001,2001,34,577
21/04/2001,2001,35,616
28/04/2001,2001,36,587
05/05/2001,2001,37,542
19/05/2001,2001,38,584
18/08/2001,2002,1,537
21/08/2001,2002,2,508
25/08/2001,2002,3,483
08/09/2001,2002,4,443
15/09/2001,2002,5,511
19/09/2001,2002,6,537
23/09/2001,2002,7,571
29/09/2001,2002,8,541
13/10/2001,2002,9,545
22/10/2001,2002,10,578
27/10/2001,2002,11,540
03/11/2001,2002,12,581
17/11/2001,2002,13,584
25/11/2001,2002,14,517
01/12/2001,2002,15,578
08/12/2001,2002,16,537
15/12/2001,2002,17,485
11/02/2002,2002,18,563
