Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,525
19/08/1992,1993,2,555
22/08/1992,1993,3,553
26/08/1992,1993,4,467
29/08/1992,1993,5,506
31/08/1992,1993,6,544
05/09/1992,1993,7,576
12/09/1992,1993,8,612
19/09/1992,1993,9,655
26/09/1992,1993,10,637
03/10/1992,1993,11,568
17/10/1992,1993,12,609
25/10/1992,1993,13,515
31/10/1992,1993,14,503
09/11/1992,1993,15,541
21/11/1992,1993,16,570
28/11/1992,1993,17,626
05/12/1992,1993,18,669
12/12/1992,1993,19,598
21/12/1992,1993,20,550
26/12/1992,1993,21,537
28/12/1992,1993,22,506
10/01/1993,1993,23,477
16/01/1993,1993,24,475
27/01/1993,1993,25,508
30/01/1993,1993,26,603
03/03/1993,1993,27,495
10/02/1993,1993,28,521
17/03/1993,1993,29,619
20/02/1993,1993,30,547
28/02/1993,1993,31,530
06/03/1993,1993,32,458
10/03/1993,1993,33,529
13/03/1993,1993,34,577
20/03/1993,1993,35,590
24/03/1993,1993,36,619
05/04/1993,1993,37,538
09/04/1993,1993,38,510
14/04/1993,1993,39,560
19/04/1993,1993,40,341
01/05/1993,1993,41,558
08/05/1993,1993,42,558
15/08/1993,1994,1,519
18/08/1993,1994,2,659
21/08/1993,1994,3,702
25/08/1993,1994,4,736
28/08/1993,1994,5,586
01/09/1993,1994,6,549
11/09/1993,1994,7,508
18/09/1993,1994,8,503
25/09/1993,1994,9,561
02/10/1993,1994,10,595
16/10/1993,1994,11,625
23/10/1993,1994,12,625
30/10/1993,1994,13,604
06/11/1993,1994,14,646
20/11/1993,1994,15,591
05/02/1994,1994,16,530
27/11/1993,1994,17,449
04/12/1993,1994,18,542
22/02/1994,1994,19,625
13/12/1993,1994,20,621
18/12/1993,1994,21,550
27/12/1993,1994,22,588
29/12/1993,1994,23,453
01/01/1994,1994,24,490
04/01/1994,1994,25,462
15/01/1994,1994,26,493
24/01/1994,1994,27,490
29/03/1994,1994,28,338
13/02/1994,1994,29,524
19/02/1994,1994,30,507
26/02/1994,1994,31,623
05/03/1994,1994,32,568
12/03/1994,1994,33,504
21/03/1994,1994,34,537
26/03/1994,1994,35,373
02/04/1994,1994,36,299
04/04/1994,1994,37,301
09/04/1994,1994,38,259
16/04/1994,1994,39,357
23/04/1994,1994,40,329
30/04/1994,1994,41,491
07/05/1994,1994,42,484
20/08/1994,1995,1,445
24/08/1994,1995,2,433
27/08/1994,1995,3,482
31/08/1994,1995,4,482
10/09/1994,1995,5,477
17/09/1994,1995,6,518
24/09/1994,1995,7,478
01/10/1994,1995,8,610
08/10/1994,1995,9,647
15/10/1994,1995,10,556
22/10/1994,1995,11,596
30/10/1994,1995,12,379
02/11/1994,1995,13,386
05/11/1994,1995,14,390
19/11/1994,1995,15,348
26/11/1994,1995,16,405
03/12/1994,1995,17,367
10/12/1994,1995,18,450
17/12/1994,1995,19,487
26/12/1994,1995,20,454
27/12/1994,1995,21,411
31/12/1994,1995,22,466
02/01/1995,1995,23,424
14/01/1995,1995,24,382
15/03/1995,1995,25,408
25/01/1995,1995,26,383
04/02/1995,1995,27,342
