Date,Season_End_Year,Week,ELO
16/08/1992,1993,1,525
19/08/1992,1993,2,490
22/08/1992,1993,3,463
21/10/1992,1993,4,475
29/08/1992,1993,5,432
31/08/1992,1993,6,394
05/09/1992,1993,7,352
12/09/1992,1993,8,314
21/09/1992,1993,9,406
26/09/1992,1993,10,427
03/10/1992,1993,11,427
17/10/1992,1993,12,388
24/10/1992,1993,13,475
31/10/1992,1993,14,447
07/11/1992,1993,15,376
21/11/1992,1993,16,378
28/11/1992,1993,17,337
05/12/1992,1993,18,483
12/12/1992,1993,19,441
20/12/1992,1993,20,440
24/02/1993,1993,21,596
28/12/1992,1993,22,407
09/01/1993,1993,23,506
16/01/1993,1993,24,534
27/01/1993,1993,25,491
30/01/1993,1993,26,527
06/02/1993,1993,27,522
07/04/1993,1993,28,423
17/03/1993,1993,29,416
20/02/1993,1993,30,565
27/02/1993,1993,31,502
21/04/1993,1993,32,446
03/03/1993,1993,33,503
13/03/1993,1993,34,458
21/03/1993,1993,35,446
24/03/1993,1993,36,501
04/04/1993,1993,37,463
10/04/1993,1993,38,393
12/04/1993,1993,39,503
17/04/1993,1993,40,464
01/05/1993,1993,41,408
08/05/1993,1993,42,379
20/08/1994,1995,1,416
22/08/1994,1995,2,510
27/08/1994,1995,3,548
30/08/1994,1995,4,580
10/09/1994,1995,5,620
17/09/1994,1995,6,604
24/09/1994,1995,7,646
02/10/1994,1995,8,685
08/10/1994,1995,9,643
17/10/1994,1995,10,679
22/10/1994,1995,11,718
29/10/1994,1995,12,611
07/11/1994,1995,13,542
05/11/1994,1995,14,501
19/11/1994,1995,15,475
26/11/1994,1995,16,450
03/12/1994,1995,17,458
10/12/1994,1995,18,488
17/12/1994,1995,19,667
26/12/1994,1995,20,636
27/12/1994,1995,21,679
31/12/1994,1995,22,513
02/01/1995,1995,23,552
14/01/1995,1995,24,514
21/01/1995,1995,25,485
25/01/1995,1995,26,515
04/02/1995,1995,27,514
11/02/1995,1995,28,477
22/03/1995,1995,29,664
21/02/1995,1995,30,429
26/02/1995,1995,31,447
04/03/1995,1995,32,451
08/03/1995,1995,33,549
11/03/1995,1995,34,591
18/03/1995,1995,35,634
01/04/1995,1995,36,703
08/04/1995,1995,37,657
12/04/1995,1995,38,684
17/04/1995,1995,39,725
29/04/1995,1995,40,767
06/05/1995,1995,41,808
13/05/1995,1995,42,722
19/08/1995,1996,1,764
23/08/1995,1996,2,697
26/08/1995,1996,3,647
29/08/1995,1996,4,625
09/09/1995,1996,5,600
17/09/1995,1996,6,640
23/09/1995,1996,7,635
30/09/1995,1996,8,663
14/10/1995,1996,9,722
21/10/1995,1996,10,750
28/10/1995,1996,11,652
06/11/1995,1996,12,687
18/11/1995,1996,13,524
31/01/1996,1996,14,543
27/11/1995,1996,15,534
02/12/1995,1996,16,446
10/12/1995,1996,17,471
18/12/1995,1996,18,486
23/12/1995,1996,19,443
26/12/1995,1996,20,522
30/12/1995,1996,21,550
01/01/1996,1996,22,514
13/01/1996,1996,23,542
20/01/1996,1996,24,506
03/02/1996,1996,25,498
10/02/1996,1996,26,467
17/04/1996,1996,27,570
24/02/1996,1996,28,425
02/03/1996,1996,29,467
02/05/1996,1996,30,560
16/03/1996,1996,31,429
23/03/1996,1996,32,624
30/03/1996,1996,33,579
06/04/1996,1996,34,627
08/04/1996,1996,35,667
13/04/1996,1996,36,571
28/04/1996,1996,37,537
05/05/1996,1996,38,588
17/08/1996,1997,1,628
21/08/1996,1997,2,532
24/08/1996,1997,3,509
04/09/1996,1997,4,498
07/09/1996,1997,5,490
14/09/1996,1997,6,447
21/09/1996,1997,7,406
28/09/1996,1997,8,438
12/10/1996,1997,9,345
19/10/1996,1997,10,373
28/10/1996,1997,11,331
02/11/1996,1997,12,290
18/11/1996,1997,13,248
25/11/1996,1997,14,367
30/11/1996,1997,15,328
09/12/1996,1997,16,367
17/12/1996,1997,17,325
21/12/1996,1997,18,572
26/12/1996,1997,19,537
28/12/1996,1997,20,528
01/01/1997,1997,21,555
11/01/1997,1997,22,632
19/01/1997,1997,23,674
29/01/1997,1997,24,550
