Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1000.0
19/08/1992,1993,2,1000.0
22/08/1992,1993,3,1025.7629774077454
26/08/1992,1993,4,991.4301563341113
29/08/1992,1993,5,991.9731871008989
01/09/1992,1993,6,994.0199798550728
05/09/1992,1993,7,964.0261423558932
12/09/1992,1993,8,959.3334424056495
19/09/1992,1993,9,1006.9134629545304
26/09/1992,1993,10,978.5349036538942
04/10/1992,1993,11,1005.7106546313945
17/10/1992,1993,12,958.6545172468726
24/10/1992,1993,13,976.7071670949845
31/10/1992,1993,14,936.4538938251513
09/11/1992,1993,15,905.1041061272953
21/11/1992,1993,16,874.4960312909177
28/11/1992,1993,17,930.7614723969624
05/12/1992,1993,18,899.6414490514144
12/12/1992,1993,19,872.3275862432257
19/12/1992,1993,20,974.8762736260419
05/05/1993,1993,21,1077.9053951652952
22/02/1993,1993,22,862.1600093404564
09/01/1993,1993,23,1040.8697032827984
16/01/1993,1993,24,998.7715659544352
26/01/1993,1993,25,935.875367221341
30/01/1993,1993,26,907.4568998127714
06/02/1993,1993,27,943.5521163171959
23/01/1993,1993,28,964.3178525480224
13/02/1993,1993,29,915.6873812113967
20/02/1993,1993,30,889.6371932605217
27/02/1993,1993,31,872.418705729497
07/04/1993,1993,32,1074.4061861468333
09/03/1993,1993,33,1019.68578623602
13/03/1993,1993,34,992.4850689433074
20/03/1993,1993,35,988.1531505154994
22/03/1993,1993,36,1019.8444709389261
03/04/1993,1993,37,1073.938058491366
10/04/1993,1993,38,1030.1017267231996
14/04/1993,1993,39,1027.9270494258164
17/04/1993,1993,40,993.1712416947599
02/05/1993,1993,41,1050.0567823031688
08/05/1993,1993,42,1109.2272781529318
14/08/1993,1994,1,1015.8107689063714
18/08/1993,1994,2,1045.054380251216
21/08/1993,1994,3,1016.2642559643139
24/08/1993,1994,4,1010.3300064390379
28/08/1993,1994,5,1008.5189093284158
31/08/1993,1994,6,951.7940541699916
11/09/1993,1994,7,924.5476934243476
18/09/1993,1994,8,893.7358745610329
25/09/1993,1994,9,924.9197943627919
04/10/1993,1994,10,931.8993217582384
16/10/1993,1994,11,906.1670849543414
23/10/1993,1994,12,923.9161055905499
30/10/1993,1994,13,978.5070093308351
08/11/1993,1994,14,953.4745251747047
20/11/1993,1994,15,922.1684720279794
24/11/1993,1994,16,892.1210456969786
27/11/1993,1994,17,986.4476816171783
04/12/1993,1994,18,996.3499361204796
07/12/1993,1994,19,1026.043460474272
11/12/1993,1994,20,995.9004573813207
18/12/1993,1994,21,992.1362361167529
27/12/1993,1994,22,966.3521680195422
29/12/1993,1994,23,940.3860134278949
01/01/1994,1994,24,884.8473949724066
30/03/1994,1994,25,1005.2234496267444
15/01/1994,1994,26,854.5573438160441
22/01/1994,1994,27,884.6771768447129
05/02/1994,1994,28,950.7243552895735
12/02/1994,1994,29,976.928777219612
26/04/1994,1994,30,900.429560883621
28/02/1994,1994,31,987.3459401333627
05/03/1994,1994,32,948.6043130130221
05/05/1994,1994,33,923.738611844597
19/03/1994,1994,34,974.2135956715249
26/03/1994,1994,35,969.6344078992755
02/04/1994,1994,36,1051.1498765393815
04/04/1994,1994,37,1021.6695098964647
03/05/1994,1994,38,956.414551349159
16/04/1994,1994,39,958.5293153420376
23/04/1994,1994,40,926.8270835202391
30/04/1994,1994,41,940.436627940068
07/05/1994,1994,42,925.4589039047872
