Date,Season_End_Year,Week,ELO
17/08/1992,1993,1,1000.0
19/08/1992,1993,2,1025.0
22/08/1992,1993,3,1053.722025178884
26/08/1992,1993,4,1087.1053455248477
29/08/1992,1993,5,1031.2266030059334
02/09/1992,1993,6,1032.9339926200712
05/09/1992,1993,7,1030.4869665397293
12/09/1992,1993,8,1060.6811261581597
19/09/1992,1993,9,1060.1362326901017
26/09/1992,1993,10,1062.5677555545496
03/10/1992,1993,11,1094.0700526514167
17/10/1992,1993,12,1067.6240929396147
24/10/1992,1993,13,1097.9037006475346
01/11/1992,1993,14,1066.0138859115482
07/11/1992,1993,15,1095.3130422144193
22/11/1992,1993,16,1045.3416657013552
28/11/1992,1993,17,1015.8480613519006
05/12/1992,1993,18,1046.9680846974486
12/12/1992,1993,19,984.2713282328438
19/12/1992,1993,20,943.1207515473457
24/02/1993,1993,21,1012.125425251195
28/12/1992,1993,22,979.7971800922834
09/01/1993,1993,23,1005.9765265948107
18/01/1993,1993,24,974.4701040691997
27/01/1993,1993,25,974.7909511880255
30/01/1993,1993,26,1003.022463963414
06/02/1993,1993,27,1008.4179211389262
09/02/1993,1993,28,1014.2954486777058
04/05/1993,1993,29,999.0240520551523
20/02/1993,1993,30,1040.0775938426661
27/02/1993,1993,31,982.0326227431638
06/03/1993,1993,32,1018.3169753706468
10/03/1993,1993,33,978.2866680911651
13/03/1993,1993,34,947.2736659755592
20/03/1993,1993,35,951.6055844033672
24/03/1993,1993,36,924.3192355190629
03/04/1993,1993,37,936.6301526594698
10/04/1993,1993,38,963.9705012083841
12/04/1993,1993,39,1010.7665803456042
11/05/1993,1993,40,1063.7733544776424
01/05/1993,1993,41,1007.3062728107308
09/05/1993,1993,42,1035.1667382064625
14/08/1993,1994,1,1020.9498990096772
18/08/1993,1994,2,992.6794185883996
21/08/1993,1994,3,1023.772441329409
25/08/1993,1994,4,970.4725478218754
28/08/1993,1994,5,996.9043397951951
01/09/1993,1994,6,1044.584423748913
11/09/1993,1994,7,980.6616480498451
18/09/1993,1994,8,984.4265223110135
27/09/1993,1994,9,997.0629500652266
02/10/1993,1994,10,1022.2836867248432
16/10/1993,1994,11,1076.024524598627
23/10/1993,1994,12,1107.7224156103998
30/10/1993,1994,13,1077.2363572519498
06/11/1993,1994,14,1102.7594072387965
20/11/1993,1994,15,1133.9951185544799
24/11/1993,1994,16,1001.4805389161723
27/11/1993,1994,17,996.1338240202236
04/12/1993,1994,18,997.0463751023406
08/12/1993,1994,19,969.6344125891097
11/12/1993,1994,20,999.1513327391236
13/04/1994,1994,21,983.4732069097628
27/12/1993,1994,22,1024.9354008363343
29/12/1993,1994,23,1035.4936840168082
01/01/1994,1994,24,1006.4685362397493
03/01/1994,1994,25,1016.5930934832169
16/01/1994,1994,26,987.500575476234
22/01/1994,1994,27,1016.9902096883062
27/04/1994,1994,28,1049.0971425543626
05/02/1994,1994,29,988.9537171647054
