Date,Season_End_Year,Week,ELO
19/08/2006,2007,1,1026.3977848893107
23/08/2006,2007,2,986.8110401105711
26/08/2006,2007,3,932.452479075945
11/09/2006,2007,4,974.6618258245793
16/09/2006,2007,5,1008.8250570014995
23/09/2006,2007,6,1035.732418362833
01/10/2006,2007,7,1066.7316182221534
14/10/2006,2007,8,1035.0102323019937
22/10/2006,2007,9,1005.1386064241589
28/10/2006,2007,10,978.2722353245163
04/11/2006,2007,11,946.955134595304
12/11/2006,2007,12,1044.773822208544
18/11/2006,2007,13,1076.3195758593977
25/11/2006,2007,14,1107.5614319172034
06/12/2006,2007,15,1075.1489719573226
02/12/2006,2007,16,1137.3320155970337
09/12/2006,2007,17,1048.733258613772
16/12/2006,2007,18,974.785526122436
23/12/2006,2007,19,949.4100639220787
26/12/2006,2007,20,1024.4942446745315
30/12/2006,2007,21,995.4748048719011
01/01/2007,2007,22,1029.1323798722947
14/01/2007,2007,23,1029.1579816145234
20/01/2007,2007,24,1055.6932506014562
30/01/2007,2007,25,1085.7464714770117
03/02/2007,2007,26,1114.3655099444636
10/02/2007,2007,27,1145.942673653469
24/02/2007,2007,28,1097.1576228170077
03/03/2007,2007,29,1065.460239700301
17/03/2007,2007,30,1044.777073836696
01/04/2007,2007,31,1013.0764976077012
07/04/2007,2007,32,981.4022238454057
09/04/2007,2007,33,986.2238049473982
14/04/2007,2007,34,1016.1514122664323
21/04/2007,2007,35,1048.6142209995078
30/04/2007,2007,36,1073.6582229717435
05/05/2007,2007,37,996.6048586918381
13/05/2007,2007,38,1001.3872721795187
12/08/2007,2008,1,1027.2163369036696
15/08/2007,2008,2,997.7258758774263
18/08/2007,2008,3,1084.2299738732963
25/08/2007,2008,4,1006.0021051087859
01/09/2007,2008,5,974.8055653534545
15/09/2007,2008,6,935.29811185194
22/09/2007,2008,7,975.4828424969359
29/09/2007,2008,8,943.8689635008151
07/10/2007,2008,9,974.4655152810824
20/10/2007,2008,10,943.0468660823566
27/10/2007,2008,11,1012.2048561138192
03/11/2007,2008,12,965.0805061708809
12/11/2007,2008,13,943.2831724367605
24/11/2007,2008,14,915.0944008733305
01/12/2007,2008,15,909.1566905179648
08/12/2007,2008,16,1073.766408737338
15/12/2007,2008,17,1045.718841971229
22/12/2007,2008,18,1077.3893581613377
26/12/2007,2008,19,1077.282469592469
29/12/2007,2008,20,1048.6759718105795
01/01/2008,2008,21,1019.0989340734673
12/01/2008,2008,22,987.4361179728379
19/01/2008,2008,23,959.7896012445716
30/01/2008,2008,24,937.7399219135717
02/02/2008,2008,25,911.944202670435
09/02/2008,2008,26,887.3147461208199
24/02/2008,2008,27,855.8333394007908
01/03/2008,2008,28,933.0765180122431
08/03/2008,2008,29,1000.9067551194512
15/03/2008,2008,30,972.2435424183683
22/03/2008,2008,31,1007.3170956232387
29/03/2008,2008,32,1013.2963026953989
05/04/2008,2008,33,985.218762943859
12/04/2008,2008,34,934.2821234468398
19/04/2008,2008,35,903.5802941925214
26/04/2008,2008,36,932.9680520327584
03/05/2008,2008,37,901.3156817644399
11/05/2008,2008,38,928.6260096581887
18/08/2012,2013,1,943.6249973946943
11/12/2012,2013,2,903.4489556706804
22/08/2012,2013,3,915.6130374920849
16/09/2012,2013,4,885.350339378276
22/09/2012,2013,5,856.2460919215221
29/09/2012,2013,6,910.414926532763
06/10/2012,2013,7,914.1627475519799
20/10/2012,2013,8,882.4631090883029
27/10/2012,2013,9,923.6443175518866
04/11/2012,2013,10,927.5592710569099
10/11/2012,2013,11,946.5298894835041
17/11/2012,2013,12,1051.895491985476
24/11/2012,2013,13,1023.6824084321976
27/11/2012,2013,14,986.1931548268421
01/12/2012,2013,15,961.5379976991227
08/12/2012,2013,16,933.7201836464981
17/12/2012,2013,17,873.2983619572295
22/12/2012,2013,18,856.6452310519417
26/12/2012,2013,19,914.0151270782611
29/12/2012,2013,20,982.3579101756864
01/01/2013,2013,21,954.3893807758236
12/01/2013,2013,22,1004.4670069000791
19/01/2013,2013,23,1035.3782237065877
30/01/2013,2013,24,1046.9942511562535
02/02/2013,2013,25,1099.3881968739784
09/02/2013,2013,26,1041.0672357298968
23/02/2013,2013,27,980.2062213935873
02/03/2013,2013,28,948.7659599322227
09/03/2013,2013,29,922.3986652093366
16/03/2013,2013,30,912.7522601927064
30/03/2013,2013,31,888.9215990832186
06/04/2013,2013,32,861.9959175106881
13/04/2013,2013,33,913.6309286154875
20/04/2013,2013,34,882.7283142368121
28/04/2013,2013,35,887.1673788751925
04/05/2013,2013,36,941.2939356701827
14/05/2013,2013,37,918.4263502019011
19/05/2013,2013,38,886.9747845488588
