Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,1025.0
19/08/1992,1993,2,985.7119106781738
22/08/1992,1993,3,956.9898854992898
25/08/1992,1993,4,953.1359072075381
29/08/1992,1993,5,926.165052653063
02/09/1992,1993,6,898.288884487977
05/09/1992,1993,7,867.0962800778319
12/09/1992,1993,8,948.3956702978099
19/09/1992,1993,9,948.2989527175124
26/09/1992,1993,10,951.921360278123
03/10/1992,1993,11,984.6556578492022
17/10/1992,1993,12,957.3532749284144
24/10/1992,1993,13,957.0022115778962
31/10/1992,1993,14,1008.4828613224001
08/11/1992,1993,15,1007.3028825495035
21/11/1992,1993,16,977.603970308464
28/11/1992,1993,17,974.4021256297476
05/12/1992,1993,18,917.3637016783116
12/12/1992,1993,19,957.062088215636
19/12/1992,1993,20,931.5393128601394
26/12/1992,1993,21,900.6385116975878
22/02/1993,1993,22,907.7485443430005
09/01/1993,1993,23,905.0296930015453
16/01/1993,1993,24,972.479308608529
27/01/1993,1993,25,941.8234187456817
30/01/1993,1993,26,913.5919059702932
06/02/1993,1993,27,883.5457410855455
09/02/1993,1993,28,911.9386044802267
02/03/1993,1993,29,982.3931217469855
20/02/1993,1993,30,880.2713604229352
27/02/1993,1993,31,876.1033957287009
06/04/1993,1993,32,1002.6221719699574
10/03/1993,1993,33,956.9895956401787
21/04/1993,1993,34,992.1501790632352
20/03/1993,1993,35,928.6061445987717
24/03/1993,1993,36,953.8653826925671
04/05/1993,1993,37,1049.0402302808982
09/04/1993,1993,38,1004.6744677173765
14/04/1993,1993,39,1006.8491450147598
17/04/1993,1993,40,978.83386540088
01/05/1993,1993,41,1020.2280709123762
08/05/1993,1993,42,1077.3850536620816
14/08/1993,1994,1,1108.2373656005989
18/08/1993,1994,2,1077.647551566586
21/08/1993,1994,3,1048.043848207701
24/08/1993,1994,4,1076.1388916627943
28/08/1993,1994,5,1072.8408385408477
01/09/1993,1994,6,1025.16075458713
11/09/1993,1994,7,1022.8729428581341
18/09/1993,1994,8,990.1114967115471
25/09/1993,1994,9,955.7229242349312
02/10/1993,1994,10,914.2978134895069
18/10/1993,1994,11,935.5531804127769
23/10/1993,1994,12,935.7169836421663
31/10/1993,1994,13,933.553580392128
06/11/1993,1994,14,902.1118119838533
20/11/1993,1994,15,873.073462316921
24/11/1993,1994,16,842.0088143996838
27/11/1993,1994,17,887.1674420557914
04/12/1993,1994,18,893.6208933358856
07/12/1993,1994,19,872.0681097068828
11/12/1993,1994,20,877.5626363937856
18/12/1993,1994,21,846.0688134353065
26/12/1993,1994,22,873.0715336038053
29/12/1993,1994,23,841.6997248589537
01/01/1994,1994,24,897.238343314442
03/01/1994,1994,25,915.7822268815562
15/01/1994,1994,26,891.3329283811414
22/01/1994,1994,27,859.8843452908438
28/03/1994,1994,28,953.0081228337757
12/02/1994,1994,29,867.4328650305986
22/02/1994,1994,30,838.0631378917483
16/03/1994,1994,31,896.7415262752966
05/03/1994,1994,32,838.8627303835085
13/03/1994,1994,33,875.1680916606484
19/03/1994,1994,34,899.7132853422007
26/03/1994,1994,35,916.3131450517536
02/04/1994,1994,36,998.4244763654161
04/04/1994,1994,37,1021.0628959442168
03/05/1994,1994,38,1045.514974940702
16/04/1994,1994,39,945.7875224900739
23/04/1994,1994,40,975.8932975221636
30/04/1994,1994,41,1061.492898349793
07/05/1994,1994,42,1016.7533542642157
19/08/2006,2007,1,1077.863355558275
22/08/2006,2007,2,1035.067083989188
26/08/2006,2007,3,1001.355324911994
09/09/2006,2007,4,1007.7378395246049
16/09/2006,2007,5,973.5746083476846
23/09/2006,2007,6,942.9879893502858
30/09/2006,2007,7,983.7063440458214
14/10/2006,2007,8,984.3663666571224
21/10/2006,2007,9,955.261200757058
28/10/2006,2007,10,930.4683055133711
04/11/2006,2007,11,965.3421946782319
11/11/2006,2007,12,983.0375967533719
18/11/2006,2007,13,961.2253556823425
25/11/2006,2007,14,933.1544876418591
28/11/2006,2007,15,960.8518189805654
02/12/2006,2007,16,991.1853501414238
11/12/2006,2007,17,995.7477922965049
16/12/2006,2007,18,1032.4574374557744
23/12/2006,2007,19,1004.7091238249837
26/12/2006,2007,20,957.6818050881554
30/12/2006,2007,21,1058.9370153004309
01/01/2007,2007,22,1004.3319425049942
13/01/2007,2007,23,1014.9307667312038
20/01/2007,2007,24,988.395497744271
30/01/2007,2007,25,1019.2772977771695
03/02/2007,2007,26,976.5086581217363
10/02/2007,2007,27,1017.7942140462875
24/02/2007,2007,28,986.0695399835034
03/03/2007,2007,29,998.5008877252449
17/03/2007,2007,30,973.1066998001811
31/03/2007,2007,31,944.8749776587107
07/04/2007,2007,32,918.8763314893287
17/04/2007,2007,33,959.8047660617269
14/04/2007,2007,34,990.0528485036571
21/04/2007,2007,35,962.8986583579954
28/04/2007,2007,36,989.825308480818
05/05/2007,2007,37,958.9732196321844
13/05/2007,2007,38,921.013170755423
10/08/2019,2020,1,931.2226854933402
18/08/2019,2020,2,1063.0101045237334
24/08/2019,2020,3,1032.84037080437
31/08/2019,2020,4,1042.743732284042
14/09/2019,2020,5,1011.7459809637594
21/09/2019,2020,6,1036.798764483854
28/09/2019,2020,7,1025.967469947895
05/10/2019,2020,8,1010.7632695276372
21/10/2019,2020,9,1088.132141594635
26/10/2019,2020,10,1081.2329003399675
02/11/2019,2020,11,1107.9097160230813
09/11/2019,2020,12,1097.1817987214856
24/11/2019,2020,13,1101.7967480888715
01/12/2019,2020,14,1111.7383185940532
05/12/2019,2020,15,1079.3967389400864
08/12/2019,2020,16,1111.1222717975588
14/12/2019,2020,17,1142.7383243480124
21/12/2019,2020,18,1173.6371895704974
26/12/2019,2020,19,1156.576335946536
29/12/2019,2020,20,1126.5810766529269
02/01/2020,2020,21,1114.1382163545281
10/01/2020,2020,22,1145.5210638177
18/01/2020,2020,23,1135.7510385591754
21/01/2020,2020,24,1104.0254678616332
01/02/2020,2020,25,1131.9823143867357
09/02/2020,2020,26,1163.7072536829053
22/02/2020,2020,27,1128.856055382586
17/06/2020,2020,28,1115.8338943450076
07/03/2020,2020,29,1160.5756720360425
21/06/2020,2020,30,1072.3473060413246
24/06/2020,2020,31,1040.7784861171851
02/07/2020,2020,32,1095.539293485063
05/07/2020,2020,33,1105.5437653729807
08/07/2020,2020,34,1152.6271705135498
11/07/2020,2020,35,1179.6181365860946
16/07/2020,2020,36,1095.8043949672135
20/07/2020,2020,37,1070.560300092816
26/07/2020,2020,38,1038.8593907017118
14/09/2020,2021,1,1007.3241884590802
21/09/2020,2021,2,976.0489273794997
27/09/2020,2021,3,948.2224764462112
04/10/2020,2021,4,919.2451318623005
18/10/2020,2021,5,910.8659862910968
24/10/2020,2021,6,889.6675302315489
31/10/2020,2021,7,867.0914920214111
07/11/2020,2021,8,844.5609491281967
22/11/2020,2021,9,821.4110204338017
28/11/2020,2021,10,790.6013704954752
06/12/2020,2021,11,763.4089409412755
13/12/2020,2021,12,748.8083273062854
17/12/2020,2021,13,736.9552191700514
20/12/2020,2021,14,803.6376189564528
26/12/2020,2021,15,787.2566031298675
29/12/2020,2021,16,762.1900537334976
02/01/2021,2021,17,738.6143075909722
12/01/2021,2021,18,875.8551082527871
17/01/2021,2021,19,850.8979134520661
27/01/2021,2021,20,1083.003587909655
30/01/2021,2021,21,1058.9581836638768
02/02/2021,2021,22,1090.4568828362196
07/02/2021,2021,23,1060.7594448150269
15/02/2021,2021,24,1029.2517126123955
20/02/2021,2021,25,999.1524559728311
28/02/2021,2021,26,968.6456349210918
06/03/2021,2021,27,1000.0994156394871
14/03/2021,2021,28,969.4120433000388
03/03/2021,2021,29,1050.06605419282
03/04/2021,2021,30,937.6934306850663
11/04/2021,2021,31,907.3397145552543
17/04/2021,2021,32,875.7766200416095
24/04/2021,2021,33,958.9357993576748
02/05/2021,2021,34,927.739580807565
08/05/2021,2021,35,896.2346065311363
16/05/2021,2021,36,997.6606832993898
19/05/2021,2021,37,965.942360202642
23/05/2021,2021,38,995.4806240665492
