Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,500
19/08/1992,1993,2,535
22/08/1992,1993,3,527
25/08/1992,1993,4,524
29/08/1992,1993,5,496
02/09/1992,1993,6,464
05/09/1992,1993,7,425
12/09/1992,1993,8,463
19/09/1992,1993,9,420
27/09/1992,1993,10,492
03/10/1992,1993,11,385
17/10/1992,1993,12,477
24/10/1992,1993,13,471
31/10/1992,1993,14,496
08/11/1992,1993,15,499
21/11/1992,1993,16,499
28/11/1992,1993,17,492
05/12/1992,1993,18,452
12/12/1992,1993,19,410
19/12/1992,1993,20,460
26/12/1992,1993,21,498
28/12/1992,1993,22,525
10/01/1993,1993,23,554
16/01/1993,1993,24,593
06/05/1993,1993,25,545
30/01/1993,1993,26,634
06/02/1993,1993,27,673
23/02/1993,1993,28,755
03/03/1993,1993,29,541
20/02/1993,1993,30,714
27/02/1993,1993,31,672
07/04/1993,1993,32,578
10/03/1993,1993,33,583
21/04/1993,1993,34,580
20/03/1993,1993,35,552
24/03/1993,1993,36,572
04/05/1993,1993,37,505
10/04/1993,1993,38,552
12/04/1993,1993,39,593
11/05/1993,1993,40,474
01/05/1993,1993,41,507
08/05/1993,1993,42,504
14/08/1993,1994,1,431
18/08/1993,1994,2,449
21/08/1993,1994,3,424
25/08/1993,1994,4,397
28/08/1993,1994,5,411
01/09/1993,1994,6,448
13/09/1993,1994,7,405
18/09/1993,1994,8,447
25/09/1993,1994,9,452
02/10/1993,1994,10,411
16/10/1993,1994,11,434
23/10/1993,1994,12,431
30/10/1993,1994,13,455
06/11/1993,1994,14,483
20/11/1993,1994,15,482
24/11/1993,1994,16,519
27/11/1993,1994,17,555
04/12/1993,1994,18,580
08/12/1993,1994,19,567
12/12/1993,1994,20,490
18/12/1993,1994,21,598
27/12/1993,1994,22,639
29/12/1993,1994,23,608
01/01/1994,1994,24,647
03/01/1994,1994,25,690
15/01/1994,1994,26,523
22/01/1994,1994,27,565
05/02/1994,1994,28,606
03/05/1994,1994,29,583
30/03/1994,1994,30,548
26/02/1994,1994,31,608
05/03/1994,1994,32,505
12/03/1994,1994,33,518
20/03/1994,1994,34,448
16/03/1994,1994,35,490
02/04/1994,1994,36,591
04/04/1994,1994,37,631
09/04/1994,1994,38,671
16/04/1994,1994,39,629
23/04/1994,1994,40,663
30/04/1994,1994,41,576
07/05/1994,1994,42,566
20/08/1994,1995,1,496
24/08/1994,1995,2,460
27/08/1994,1995,3,485
31/08/1994,1995,4,485
10/09/1994,1995,5,445
17/09/1994,1995,6,449
26/09/1994,1995,7,461
01/10/1994,1995,8,424
08/10/1994,1995,9,473
16/10/1994,1995,10,522
22/10/1994,1995,11,480
29/10/1994,1995,12,480
02/11/1994,1995,13,438
06/11/1994,1995,14,447
19/11/1994,1995,15,477
27/11/1994,1995,16,459
03/12/1994,1995,17,522
10/12/1994,1995,18,481
17/12/1994,1995,19,452
26/12/1994,1995,20,524
28/12/1994,1995,21,556
31/12/1994,1995,22,592
02/01/1995,1995,23,569
14/01/1995,1995,24,537
21/01/1995,1995,25,525
23/01/1995,1995,26,552
04/02/1995,1995,27,590
12/02/1995,1995,28,565
18/02/1995,1995,29,529
14/03/1995,1995,30,427
25/02/1995,1995,31,496
04/03/1995,1995,32,546
08/03/1995,1995,33,526
11/03/1995,1995,34,474
18/03/1995,1995,35,400
01/04/1995,1995,36,361
08/04/1995,1995,37,391
