Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,500
19/08/1992,1993,2,475
22/08/1992,1993,3,478
24/08/1992,1993,4,445
29/08/1992,1993,5,514
01/09/1992,1993,6,510
05/09/1992,1993,7,478
12/09/1992,1993,8,444
19/09/1992,1993,9,448
26/09/1992,1993,10,509
03/10/1992,1993,11,470
17/10/1992,1993,12,472
24/10/1992,1993,13,433
31/10/1992,1993,14,472
07/11/1992,1993,15,474
22/11/1992,1993,16,481
28/11/1992,1993,17,522
05/12/1992,1993,18,554
12/12/1992,1993,19,535
19/12/1992,1993,20,462
26/12/1992,1993,21,491
28/12/1992,1993,22,464
09/01/1993,1993,23,417
16/01/1993,1993,24,481
26/01/1993,1993,25,416
30/01/1993,1993,26,603
07/02/1993,1993,27,486
10/02/1993,1993,28,568
13/02/1993,1993,29,608
20/02/1993,1993,30,566
27/02/1993,1993,31,609
06/03/1993,1993,32,639
09/03/1993,1993,33,587
13/03/1993,1993,34,624
20/03/1993,1993,35,513
24/03/1993,1993,36,458
03/04/1993,1993,37,380
10/04/1993,1993,38,438
12/04/1993,1993,39,397
17/04/1993,1993,40,410
01/05/1993,1993,41,371
08/05/1993,1993,42,330
14/08/1993,1994,1,287
17/08/1993,1994,2,251
21/08/1993,1994,3,209
25/08/1993,1994,4,325
28/08/1993,1994,5,302
31/08/1993,1994,6,259
11/09/1993,1994,7,217
18/09/1993,1994,8,175
25/09/1993,1994,9,148
02/10/1993,1994,10,237
16/10/1993,1994,11,300
24/10/1993,1994,12,481
30/10/1993,1994,13,440
06/11/1993,1994,14,472
20/11/1993,1994,15,442
24/11/1993,1994,16,605
29/11/1993,1994,17,567
04/12/1993,1994,18,466
08/12/1993,1994,19,424
11/12/1993,1994,20,398
18/12/1993,1994,21,360
27/12/1993,1994,22,392
28/12/1993,1994,23,391
01/01/1994,1994,24,354
30/03/1994,1994,25,486
15/01/1994,1994,26,480
22/01/1994,1994,27,529
05/02/1994,1994,28,421
14/02/1994,1994,29,563
04/05/1994,1994,30,445
26/02/1994,1994,31,600
05/03/1994,1994,32,594
12/03/1994,1994,33,581
19/03/1994,1994,34,539
26/03/1994,1994,35,517
02/04/1994,1994,36,459
04/04/1994,1994,37,432
09/04/1994,1994,38,474
16/04/1994,1994,39,630
23/04/1994,1994,40,449
30/04/1994,1994,41,487
07/05/1994,1994,42,462
20/08/1994,1995,1,461
24/08/1994,1995,2,461
27/08/1994,1995,3,419
31/08/1994,1995,4,386
12/09/1994,1995,5,521
17/09/1994,1995,6,537
24/09/1994,1995,7,603
01/10/1994,1995,8,631
08/10/1994,1995,9,673
15/10/1994,1995,10,507
22/10/1994,1995,11,475
29/10/1994,1995,12,435
02/11/1994,1995,13,428
05/11/1994,1995,14,451
19/11/1994,1995,15,495
26/11/1994,1995,16,501
03/12/1994,1995,17,444
10/12/1994,1995,18,419
19/12/1994,1995,19,452
26/12/1994,1995,20,414
28/12/1994,1995,21,430
31/12/1994,1995,22,463
02/01/1995,1995,23,486
14/01/1995,1995,24,486
15/03/1995,1995,25,431
24/01/1995,1995,26,485
04/02/1995,1995,27,459
11/02/1995,1995,28,439
03/05/1995,1995,29,650
12/04/1995,1995,30,605
25/02/1995,1995,31,389
04/03/1995,1995,32,427
05/04/1995,1995,33,565
22/03/1995,1995,34,552
18/03/1995,1995,35,388
02/04/1995,1995,36,594
10/05/1995,1995,37,591
15/04/1995,1995,38,641
17/04/1995,1995,39,681
29/04/1995,1995,40,608
06/05/1995,1995,41,628
14/05/1995,1995,42,528
19/08/1995,1996,1,486
12/09/1995,1996,2,605
26/08/1995,1996,3,461
30/08/1995,1996,4,557
09/09/1995,1996,5,620
16/09/1995,1996,6,558
23/09/1995,1996,7,520
02/10/1995,1996,8,516
14/10/1995,1996,9,448
22/10/1995,1996,10,407
28/10/1995,1996,11,440
04/11/1995,1996,12,497
18/11/1995,1996,13,466
20/11/1995,1996,14,425
25/11/1995,1996,15,468
02/12/1995,1996,16,471
09/12/1995,1996,17,505
16/12/1995,1996,18,474
23/12/1995,1996,19,489
26/12/1995,1996,20,504
31/01/1996,1996,21,527
01/01/1996,1996,22,521
13/01/1996,1996,23,493
20/01/1996,1996,24,532
03/02/1996,1996,25,553
03/04/1996,1996,26,379
17/04/1996,1996,27,571
24/02/1996,1996,28,503
02/03/1996,1996,29,464
20/03/1996,1996,30,393
16/03/1996,1996,31,432
25/03/1996,1996,32,456
30/03/1996,1996,33,421
06/04/1996,1996,34,501
08/04/1996,1996,35,450
13/04/1996,1996,36,695
27/04/1996,1996,37,609
05/05/1996,1996,38,606
18/08/1996,1997,1,555
21/08/1996,1997,2,463
24/08/1996,1997,3,432
04/09/1996,1997,4,443
07/09/1996,1997,5,402
14/09/1996,1997,6,372
23/09/1996,1997,7,333
28/09/1996,1997,8,452
13/10/1996,1997,9,444
19/10/1996,1997,10,484
26/10/1996,1997,11,672
02/11/1996,1997,12,616
16/11/1996,1997,13,581
23/11/1996,1997,14,457
30/11/1996,1997,15,420
07/12/1996,1997,16,338
04/12/1996,1997,17,380
21/12/1996,1997,18,468
26/12/1996,1997,19,427
29/12/1996,1997,20,386
26/02/1997,1997,21,418
11/01/1997,1997,22,448
18/01/1997,1997,23,474
19/03/1997,1997,24,489
01/02/1997,1997,25,440
12/03/1997,1997,26,562
22/02/1997,1997,27,401
01/03/1997,1997,28,589
05/03/1997,1997,29,561
09/04/1997,1997,30,540
15/03/1997,1997,31,525
22/03/1997,1997,32,497
05/04/1997,1997,33,524
12/04/1997,1997,34,566
19/04/1997,1997,35,566
22/04/1997,1997,36,592
03/05/1997,1997,37,620
11/05/1997,1997,38,529
09/08/1997,1998,1,451
13/08/1997,1998,2,409
23/08/1997,1998,3,367
27/08/1997,1998,4,467
30/08/1997,1998,5,424
13/09/1997,1998,6,386
20/09/1997,1998,7,416
24/09/1997,1998,8,376
27/09/1997,1998,9,334
04/10/1997,1998,10,438
18/10/1997,1998,11,399
25/10/1997,1998,12,473
02/11/1997,1998,13,518
08/11/1997,1998,14,556
22/11/1997,1998,15,525
29/11/1997,1998,16,487
07/12/1997,1998,17,444
13/12/1997,1998,18,504
20/12/1997,1998,19,493
26/12/1997,1998,20,492
29/12/1997,1998,21,585
10/01/1998,1998,22,558
19/01/1998,1998,23,586
31/01/1998,1998,24,546
07/02/1998,1998,25,618
18/02/1998,1998,26,585
21/02/1998,1998,27,620
28/02/1998,1998,28,663
07/03/1998,1998,29,706
14/03/1998,1998,30,607
28/03/1998,1998,31,645
04/04/1998,1998,32,460
11/04/1998,1998,33,426
14/04/1998,1998,34,446
18/04/1998,1998,35,404
25/04/1998,1998,36,524
02/05/1998,1998,37,390
10/05/1998,1998,38,418
16/08/1998,1999,1,375
22/08/1998,1999,2,333
29/08/1998,1999,3,291
09/09/1998,1999,4,253
12/09/1998,1999,5,210
19/09/1998,1999,6,291
28/09/1998,1999,7,256
03/10/1998,1999,8,228
17/10/1998,1999,9,309
24/10/1998,1999,10,419
31/10/1998,1999,11,421
07/11/1998,1999,12,441
14/11/1998,1999,13,405
21/11/1998,1999,14,443
28/11/1998,1999,15,407
05/12/1998,1999,16,366
12/12/1998,1999,17,324
19/12/1998,1999,18,494
26/12/1998,1999,19,452
28/12/1998,1999,20,429
09/01/1999,1999,21,469
16/01/1999,1999,22,429
30/01/1999,1999,23,516
06/02/1999,1999,24,474
02/03/1999,1999,25,496
20/02/1999,1999,26,560
27/02/1999,1999,27,523
06/03/1999,1999,28,551
14/03/1999,1999,29,434
20/03/1999,1999,30,472
03/04/1999,1999,31,589
05/04/1999,1999,32,553
10/04/1999,1999,33,460
17/04/1999,1999,34,460
24/04/1999,1999,35,467
01/05/1999,1999,36,579
08/05/1999,1999,37,620
16/05/1999,1999,38,650
07/08/1999,2000,1,691
11/08/1999,2000,2,644
15/08/1999,2000,3,684
21/08/1999,2000,4,532
08/03/2000,2000,5,479
28/08/1999,2000,6,575
11/09/1999,2000,7,513
18/09/1999,2000,8,470
25/09/1999,2000,9,529
04/10/1999,2000,10,502
16/10/1999,2000,11,459
23/10/1999,2000,12,495
30/10/1999,2000,13,482
06/11/1999,2000,14,511
20/11/1999,2000,15,473
28/11/1999,2000,16,434
04/12/1999,2000,17,461
18/12/1999,2000,18,425
26/12/1999,2000,19,396
28/12/1999,2000,20,328
03/01/2000,2000,21,486
16/01/2000,2000,22,446
22/01/2000,2000,23,526
05/02/2000,2000,24,588
12/02/2000,2000,25,625
26/02/2000,2000,26,517
04/03/2000,2000,27,517
11/03/2000,2000,28,452
18/03/2000,2000,29,581
25/03/2000,2000,30,595
01/04/2000,2000,31,537
08/04/2000,2000,32,579
15/04/2000,2000,33,622
22/04/2000,2000,34,584
24/04/2000,2000,35,477
29/04/2000,2000,36,448
07/05/2000,2000,37,454
14/05/2000,2000,38,497
19/08/2000,2001,1,497
23/08/2000,2001,2,408
26/08/2000,2001,3,423
06/09/2000,2001,4,426
09/09/2000,2001,5,383
16/09/2000,2001,6,590
23/09/2000,2001,7,628
30/09/2000,2001,8,544
14/10/2000,2001,9,540
23/10/2000,2001,10,496
28/10/2000,2001,11,455
04/11/2000,2001,12,578
11/11/2000,2001,13,568
18/11/2000,2001,14,635
25/11/2000,2001,15,572
02/12/2000,2001,16,527
09/12/2000,2001,17,556
16/12/2000,2001,18,525
22/12/2000,2001,19,523
27/12/2000,2001,20,554
30/12/2000,2001,21,584
01/01/2001,2001,22,553
13/01/2001,2001,23,555
20/01/2001,2001,24,550
31/01/2001,2001,25,593
01/05/2001,2001,26,464
10/02/2001,2001,27,635
24/02/2001,2001,28,673
03/03/2001,2001,29,715
17/03/2001,2001,30,756
02/04/2001,2001,31,598
07/04/2001,2001,32,555
14/04/2001,2001,33,522
13/05/2001,2001,34,446
21/04/2001,2001,35,522
28/04/2001,2001,36,462
05/05/2001,2001,37,376
19/05/2001,2001,38,620
18/08/2001,2002,1,577
09/01/2002,2002,2,735
25/08/2001,2002,3,540
09/09/2001,2002,4,444
15/09/2001,2002,5,641
24/10/2001,2002,6,484
