Date,Season_End_Year,Week,ELO
16/08/2008,2009,1,457
23/08/2008,2009,2,497
30/08/2008,2009,3,462
14/09/2008,2009,4,419
20/09/2008,2009,5,515
27/09/2008,2009,6,474
05/10/2008,2009,7,439
19/10/2008,2009,8,464
26/10/2008,2009,9,436
29/10/2008,2009,10,506
01/11/2008,2009,11,591
08/11/2008,2009,12,568
15/11/2008,2009,13,533
22/11/2008,2009,14,576
29/11/2008,2009,15,564
06/12/2008,2009,16,570
13/12/2008,2009,17,580
20/12/2008,2009,18,368
26/12/2008,2009,19,335
28/12/2008,2009,20,292
10/01/2009,2009,21,426
17/01/2009,2009,22,383
27/01/2009,2009,23,357
31/01/2009,2009,24,557
07/02/2009,2009,25,516
21/02/2009,2009,26,496
01/03/2009,2009,27,519
04/03/2009,2009,28,586
14/03/2009,2009,29,549
21/03/2009,2009,30,586
04/04/2009,2009,31,628
11/04/2009,2009,32,580
18/04/2009,2009,33,630
25/04/2009,2009,34,592
02/05/2009,2009,35,498
09/05/2009,2009,36,540
16/05/2009,2009,37,582
24/05/2009,2009,38,541
15/08/2009,2010,1,574
19/08/2009,2010,2,533
22/08/2009,2010,3,541
29/08/2009,2010,4,582
12/09/2009,2010,5,558
19/09/2009,2010,6,469
26/09/2009,2010,7,451
04/10/2009,2010,8,495
17/10/2009,2010,9,538
24/10/2009,2010,10,701
31/10/2009,2010,11,634
08/11/2009,2010,12,497
22/11/2009,2010,13,527
28/11/2009,2010,14,539
05/12/2009,2010,15,485
12/12/2009,2010,16,490
05/01/2010,2010,17,549
19/12/2009,2010,18,454
26/12/2009,2010,19,411
28/12/2009,2010,20,375
10/03/2010,2010,21,488
16/01/2010,2010,22,564
16/02/2010,2010,23,549
01/02/2010,2010,24,524
06/02/2010,2010,25,549
09/02/2010,2010,26,524
20/02/2010,2010,27,591
27/02/2010,2010,28,548
05/05/2010,2010,29,547
13/03/2010,2010,30,558
20/03/2010,2010,31,516
27/03/2010,2010,32,555
03/04/2010,2010,33,598
11/04/2010,2010,34,591
17/04/2010,2010,35,478
25/04/2010,2010,36,444
01/05/2010,2010,37,505
09/05/2010,2010,38,514
14/08/2010,2011,1,482
21/08/2010,2011,2,453
28/08/2010,2011,3,433
13/09/2010,2011,4,530
18/09/2010,2011,5,512
26/09/2010,2011,6,572
02/10/2010,2011,7,599
16/10/2010,2011,8,567
24/10/2010,2011,9,526
30/10/2010,2011,10,486
06/11/2010,2011,11,450
09/11/2010,2011,12,487
13/11/2010,2011,13,577
20/11/2010,2011,14,619
27/11/2010,2011,15,618
04/12/2010,2011,16,577
11/12/2010,2011,17,546
23/02/2011,2011,18,481
26/12/2010,2011,19,575
28/12/2010,2011,20,468
01/01/2011,2011,21,548
