Date,Season_End_Year,Week,ELO
17/08/1996,1997,1,983.8567026053486
21/08/1996,1997,2,1049.8245619634881
24/08/1996,1997,3,1055.7038995969979
04/09/1996,1997,4,1029.5484916021949
08/09/1996,1997,5,1022.1808085064267
14/09/1996,1997,6,995.5372606491484
21/09/1996,1997,7,1025.151550443656
28/09/1996,1997,8,993.548255967237
14/10/1996,1997,9,988.2449343947238
19/10/1996,1997,10,950.5894512042826
26/10/1996,1997,11,1003.5975750212737
02/11/1996,1997,12,929.320612149284
16/11/1996,1997,13,897.6564209152338
23/11/1996,1997,14,912.8963499667504
30/11/1996,1997,15,1017.6615816544805
07/12/1996,1997,16,986.0450598250924
15/12/1996,1997,17,1025.0272595939434
21/12/1996,1997,18,994.1923368044597
26/12/1996,1997,19,1021.3708808837509
28/12/1996,1997,20,979.3596328845789
01/01/1997,1997,21,991.4056672808126
11/01/1997,1997,22,1043.06218020723
18/01/1997,1997,23,1046.874536261552
29/01/1997,1997,24,1047.1523768147606
01/02/1997,1997,25,1015.9735368521469
12/03/1997,1997,26,1069.9926954388536
22/02/1997,1997,27,981.69524449945
01/03/1997,1997,28,950.6878566925308
04/03/1997,1997,29,912.9122199735698
08/03/1997,1997,30,1098.3746052706601
16/03/1997,1997,31,1019.5568140015578
22/03/1997,1997,32,1015.9481319627557
05/04/1997,1997,33,1016.7099415829568
13/04/1997,1997,34,988.7382114793025
19/04/1997,1997,35,1044.8109524090007
22/04/1997,1997,36,1019.2785225565372
03/05/1997,1997,37,1048.837751264802
11/05/1997,1997,38,1007.1635384523605
07/08/1999,2000,1,976.3513906875138
10/08/1999,2000,2,1006.5173994458517
14/08/1999,2000,3,1071.269434497085
21/08/1999,2000,4,1040.0456408241948
25/08/1999,2000,5,1071.3912865175923
29/08/1999,2000,6,1054.6156583734214
11/09/1999,2000,7,1083.7049490633694
18/09/1999,2000,8,1114.9052905169328
25/09/1999,2000,9,1138.8411507518683
02/10/1999,2000,10,1169.0556587092772
18/10/1999,2000,11,1200.728411310769
24/10/1999,2000,12,1173.3543191367692
31/10/1999,2000,13,1203.7292214204201
06/11/1999,2000,14,1188.4146739319153
20/11/1999,2000,15,1161.3972016168245
27/11/1999,2000,16,1189.112247174678
04/12/1999,2000,17,1220.3361672762267
18/12/1999,2000,18,1248.479794736844
26/12/1999,2000,19,1144.0350528388176
28/12/1999,2000,20,1165.099350321441
03/01/2000,2000,21,1105.40355742288
15/01/2000,2000,22,1079.3219217035842
23/01/2000,2000,23,1053.2268730670573
05/02/2000,2000,24,1054.727387553001
12/02/2000,2000,25,1028.107113558913
26/02/2000,2000,26,1024.2572581802372
05/03/2000,2000,27,966.1538686528146
11/03/2000,2000,28,998.761670836184
18/03/2000,2000,29,1002.7788615157507
25/03/2000,2000,30,1031.0857789220438
01/04/2000,2000,31,1065.5805240188074
08/04/2000,2000,32,1097.2728260281165
15/04/2000,2000,33,1069.4426858598395
22/04/2000,2000,34,1098.3908240127935
24/04/2000,2000,35,988.5656891672551
29/04/2000,2000,36,1010.9391655892822
06/05/2000,2000,37,1052.3630271596385
14/05/2000,2000,38,1007.3477689158109
19/08/2000,2001,1,1070.793773743287
23/08/2000,2001,2,1021.3456269715099
26/08/2000,2001,3,966.300828933063
05/09/2000,2001,4,974.1683519677158
09/09/2000,2001,5,950.513743987869
16/09/2000,2001,6,979.288993104053
23/09/2000,2001,7,988.239106528711
01/10/2000,2001,8,1011.3949668500088
14/10/2000,2001,9,1079.6433384388058
22/10/2000,2001,10,1077.796487368322
28/10/2000,2001,11,1109.4340635921856
04/11/2000,2001,12,1025.323146837266
11/11/2000,2001,13,1027.6033435751056
18/11/2000,2001,14,1060.6247760043675
25/11/2000,2001,15,1087.121240189834
04/12/2000,2001,16,1127.5999495734106
09/12/2000,2001,17,1153.8927147435088
16/12/2000,2001,18,1087.771573013734
23/12/2000,2001,19,1119.2532049713034
26/12/2000,2001,20,1146.0684741616385
30/12/2000,2001,21,1142.624968502016
01/01/2001,2001,22,1172.6825890888417
13/01/2001,2001,23,1204.3998327737386
21/01/2001,2001,24,1149.5387178560882
