Date,Season_End_Year,Week,ELO
15/08/2011,2012,1,458
20/08/2011,2012,2,480
27/08/2011,2012,3,476
10/09/2011,2012,4,447
17/09/2011,2012,5,513
24/09/2011,2012,6,471
02/10/2011,2012,7,570
15/10/2011,2012,8,524
22/10/2011,2012,9,514
29/10/2011,2012,10,556
05/11/2011,2012,11,576
19/11/2011,2012,12,536
27/11/2011,2012,13,537
03/12/2011,2012,14,397
10/12/2011,2012,15,607
17/12/2011,2012,16,607
21/12/2011,2012,17,504
27/12/2011,2012,18,488
31/12/2011,2012,19,549
02/01/2012,2012,20,624
15/01/2012,2012,21,653
21/01/2012,2012,22,625
31/01/2012,2012,23,632
04/02/2012,2012,24,663
11/02/2012,2012,25,605
26/02/2012,2012,26,510
03/03/2012,2012,27,538
11/03/2012,2012,28,674
17/03/2012,2012,29,715
24/03/2012,2012,30,555
01/04/2012,2012,31,526
06/04/2012,2012,32,483
11/04/2012,2012,33,443
14/04/2012,2012,34,478
21/04/2012,2012,35,482
28/04/2012,2012,36,445
06/05/2012,2012,37,404
13/05/2012,2012,38,511
18/08/2012,2013,1,593
25/08/2012,2013,2,636
01/09/2012,2013,3,600
15/09/2012,2013,4,486
22/09/2012,2013,5,443
29/09/2012,2013,6,401
06/10/2012,2013,7,401
20/10/2012,2013,8,513
27/10/2012,2013,9,477
03/11/2012,2013,10,577
10/11/2012,2013,11,531
17/11/2012,2013,12,560
25/11/2012,2013,13,569
28/11/2012,2013,14,686
01/12/2012,2013,15,728
08/12/2012,2013,16,696
16/12/2012,2013,17,647
23/12/2012,2013,18,689
26/12/2012,2013,19,572
29/12/2012,2013,20,615
01/01/2013,2013,21,567
12/01/2013,2013,22,596
19/01/2013,2013,23,636
29/01/2013,2013,24,646
02/02/2013,2013,25,517
09/02/2013,2013,26,588
17/02/2013,2013,27,499
02/03/2013,2013,28,569
09/03/2013,2013,29,513
16/03/2013,2013,30,471
30/03/2013,2013,31,429
06/04/2013,2013,32,441
07/05/2013,2013,33,609
20/04/2013,2013,34,507
28/04/2013,2013,35,467
04/05/2013,2013,36,556
12/05/2013,2013,37,570
19/05/2013,2013,38,403
17/08/2013,2014,1,363
25/08/2013,2014,2,345
01/09/2013,2014,3,455
16/09/2013,2014,4,558
22/09/2013,2014,5,600
28/09/2013,2014,6,566
06/10/2013,2014,7,525
19/10/2013,2014,8,565
27/10/2013,2014,9,584
03/11/2013,2014,10,510
10/11/2013,2014,11,510
23/11/2013,2014,12,553
01/12/2013,2014,13,514
04/12/2013,2014,14,717
09/12/2013,2014,15,683
15/12/2013,2014,16,658
22/12/2013,2014,17,617
