Date,Season_End_Year,Week,ELO
14/08/1993,1994,1,969.1476880614828
18/08/1993,1994,2,939.9040767166383
22/08/1993,1994,3,908.2863090389953
25/08/1993,1994,4,846.4933769013335
28/08/1993,1994,5,900.6559961841134
01/09/1993,1994,6,874.6679231858212
11/09/1993,1994,7,879.9331195922722
18/09/1993,1994,8,916.1393887552751
25/09/1993,1994,9,889.9277654917203
02/10/1993,1994,10,858.2898273791124
16/10/1993,1994,11,873.0124599790478
23/10/1993,1994,12,895.0615383723106
30/10/1993,1994,13,863.9207711477716
06/11/1993,1994,14,832.7475807811957
20/11/1993,1994,15,846.4471249990432
24/11/1993,1994,16,978.9617046373507
27/11/1993,1994,17,949.0654429564354
04/12/1993,1994,18,942.6119916763412
07/12/1993,1994,19,912.9184673225488
11/12/1993,1994,20,931.5299929558402
18/12/1993,1994,21,960.4702064198628
27/12/1993,1994,22,931.5918816243894
29/12/1993,1994,23,958.271558126012
01/01/1994,1994,24,931.0945377945121
03/01/1994,1994,25,942.3184284564738
15/01/1994,1994,26,860.3986869522878
22/01/1994,1994,27,902.41655657731
05/02/1994,1994,28,949.5919336106963
12/02/1994,1994,29,917.9208943450923
19/02/1994,1994,30,932.3432490000582
26/02/1994,1994,31,907.2139578694279
05/03/1994,1994,32,924.6826286234399
12/03/1994,1994,33,892.9585764778436
19/03/1994,1994,34,933.2972711675795
26/03/1994,1994,35,907.5599116224489
02/04/1994,1994,36,965.1431949628842
04/04/1994,1994,37,933.5205222633545
27/04/1994,1994,38,859.6291833162687
16/04/1994,1994,39,918.7039383046398
23/04/1994,1994,40,891.1752910863261
30/04/1994,1994,41,950.2363149839356
07/05/1994,1994,42,918.7917185933733
