Date,Season_End_Year,Week,ELO
15/08/1992,1993,1,500
19/08/1992,1993,2,470
22/08/1992,1993,3,473
25/08/1992,1993,4,444
30/08/1992,1993,5,453
02/09/1992,1993,6,487
05/09/1992,1993,7,532
14/09/1992,1993,8,495
19/09/1992,1993,9,520
27/09/1992,1993,10,448
03/10/1992,1993,11,406
17/10/1992,1993,12,431
24/10/1992,1993,13,438
31/10/1992,1993,14,525
07/11/1992,1993,15,574
21/11/1992,1993,16,584
28/11/1992,1993,17,612
05/12/1992,1993,18,583
12/12/1992,1993,19,625
19/12/1992,1993,20,464
26/12/1992,1993,21,477
28/12/1992,1993,22,510
09/01/1993,1993,23,468
16/01/1993,1993,24,429
27/01/1993,1993,25,401
30/01/1993,1993,26,428
07/02/1993,1993,27,545
10/02/1993,1993,28,577
02/03/1993,1993,29,453
20/02/1993,1993,30,616
27/02/1993,1993,31,657
20/04/1993,1993,32,431
10/03/1993,1993,33,489
05/05/1993,1993,34,399
20/03/1993,1993,35,491
24/03/1993,1993,36,530
11/05/1993,1993,37,443
09/04/1993,1993,38,558
12/04/1993,1993,39,448
17/04/1993,1993,40,517
01/05/1993,1993,41,442
08/05/1993,1993,42,373
14/08/1993,1994,1,493
16/08/1993,1994,2,403
21/08/1993,1994,3,432
25/08/1993,1994,4,513
28/08/1993,1994,5,475
01/09/1993,1994,6,475
11/09/1993,1994,7,481
18/09/1993,1994,8,522
26/09/1993,1994,9,523
03/10/1993,1994,10,549
16/10/1993,1994,11,506
23/10/1993,1994,12,487
30/10/1993,1994,13,458
06/11/1993,1994,14,426
20/11/1993,1994,15,456
24/11/1993,1994,16,453
27/11/1993,1994,17,454
04/12/1993,1994,18,414
06/12/1993,1994,19,420
11/12/1993,1994,20,468
18/12/1993,1994,21,480
27/12/1993,1994,22,442
28/12/1993,1994,23,518
01/01/1994,1994,24,491
03/01/1994,1994,25,448
15/01/1994,1994,26,408
22/01/1994,1994,27,338
05/02/1994,1994,28,297
12/02/1994,1994,29,282
02/03/1994,1994,30,329
27/02/1994,1994,31,240
05/03/1994,1994,32,328
05/05/1994,1994,33,531
19/03/1994,1994,34,356
26/03/1994,1994,35,417
02/04/1994,1994,36,456
04/04/1994,1994,37,431
09/04/1994,1994,38,402
17/04/1994,1994,39,360
23/04/1994,1994,40,541
30/04/1994,1994,41,499
07/05/1994,1994,42,469
20/08/1994,1995,1,539
24/08/1994,1995,2,586
27/08/1994,1995,3,549
30/08/1994,1995,4,589
12/09/1994,1995,5,454
17/09/1994,1995,6,392
24/09/1994,1995,7,350
01/10/1994,1995,8,419
08/10/1994,1995,9,408
15/10/1994,1995,10,424
22/10/1994,1995,11,381
29/10/1994,1995,12,476
23/11/1994,1995,13,352
05/11/1994,1995,14,435
19/11/1994,1995,15,300
26/11/1994,1995,16,374
03/12/1994,1995,17,483
10/12/1994,1995,18,524
17/12/1994,1995,19,527
26/12/1994,1995,20,560
27/12/1994,1995,21,543
31/12/1994,1995,22,575
02/01/1995,1995,23,615
14/01/1995,1995,24,652
11/04/1995,1995,25,594
25/01/1995,1995,26,569
05/02/1995,1995,27,636
11/02/1995,1995,28,588
22/03/1995,1995,29,593
03/05/1995,1995,30,556
25/02/1995,1995,31,486
04/03/1995,1995,32,482
08/03/1995,1995,33,524
15/03/1995,1995,34,549
18/03/1995,1995,35,591
02/04/1995,1995,36,551
09/05/1995,1995,37,382
14/04/1995,1995,38,572
17/04/1995,1995,39,604
29/04/1995,1995,40,567
06/05/1995,1995,41,509
14/05/1995,1995,42,510
19/08/1995,1996,1,505
23/08/1995,1996,2,466
26/08/1995,1996,3,437
30/08/1995,1996,4,452
09/09/1995,1996,5,615
16/09/1995,1996,6,654
25/09/1995,1996,7,697
30/09/1995,1996,8,738
14/10/1995,1996,9,679
22/10/1995,1996,10,598
29/10/1995,1996,11,632
04/11/1995,1996,12,671
18/11/1995,1996,13,702
21/11/1995,1996,14,745
25/11/1995,1996,15,700
02/12/1995,1996,16,681
