Date,Season_End_Year,Week,ELO
07/08/1999,2000,1,352
10/08/1999,2000,2,311
14/08/1999,2000,3,442
21/08/1999,2000,4,500
24/08/1999,2000,5,470
30/08/1999,2000,6,430
11/09/1999,2000,7,391
18/09/1999,2000,8,631
25/09/1999,2000,9,592
03/10/1999,2000,10,562
16/10/1999,2000,11,535
24/10/1999,2000,12,506
31/10/1999,2000,13,470
06/11/1999,2000,14,464
20/11/1999,2000,15,466
27/11/1999,2000,16,424
04/12/1999,2000,17,385
18/12/1999,2000,18,346
26/12/1999,2000,19,303
28/12/1999,2000,20,371
03/01/2000,2000,21,331
15/01/2000,2000,22,292
22/01/2000,2000,23,252
05/02/2000,2000,24,218
12/02/2000,2000,25,273
26/02/2000,2000,26,241
04/03/2000,2000,27,206
11/03/2000,2000,28,186
18/03/2000,2000,29,457
25/03/2000,2000,30,460
01/04/2000,2000,31,372
08/04/2000,2000,32,398
15/04/2000,2000,33,355
23/04/2000,2000,34,319
03/05/2000,2000,35,266
29/04/2000,2000,36,308
06/05/2000,2000,37,374
14/05/2000,2000,38,456
19/08/2006,2007,1,428
22/08/2006,2007,2,476
26/08/2006,2007,3,438
09/09/2006,2007,4,390
16/09/2006,2007,5,465
23/09/2006,2007,6,469
02/10/2006,2007,7,482
14/10/2006,2007,8,446
21/10/2006,2007,9,412
28/10/2006,2007,10,447
04/11/2006,2007,11,490
11/11/2006,2007,12,448
18/11/2006,2007,13,415
23/01/2007,2007,14,546
28/11/2006,2007,15,390
04/12/2006,2007,16,436
09/12/2006,2007,17,467
16/12/2006,2007,18,425
23/12/2006,2007,19,389
26/12/2006,2007,20,352
21/02/2007,2007,21,475
01/01/2007,2007,22,395
13/01/2007,2007,23,359
20/01/2007,2007,24,324
31/01/2007,2007,25,504
03/02/2007,2007,26,465
10/02/2007,2007,27,500
24/02/2007,2007,28,440
03/03/2007,2007,29,445
17/03/2007,2007,30,405
31/03/2007,2007,31,378
07/04/2007,2007,32,351
09/04/2007,2007,33,639
18/04/2007,2007,34,435
21/04/2007,2007,35,458
28/04/2007,2007,36,432
05/05/2007,2007,37,536
13/05/2007,2007,38,534
08/08/2015,2016,1,534
15/08/2015,2016,2,565
23/08/2015,2016,3,561
29/08/2015,2016,4,536
12/09/2015,2016,5,629
19/09/2015,2016,6,671
27/09/2015,2016,7,618
03/10/2015,2016,8,601
17/10/2015,2016,9,559
24/10/2015,2016,10,613
31/10/2015,2016,11,709
07/11/2015,2016,12,684
21/11/2015,2016,13,648
28/11/2015,2016,14,685
05/12/2015,2016,15,728
12/12/2015,2016,16,769
20/12/2015,2016,17,811
26/12/2015,2016,18,742
28/12/2015,2016,19,708
02/01/2016,2016,20,651
13/01/2016,2016,21,576
18/01/2016,2016,22,501
23/01/2016,2016,23,622
03/02/2016,2016,24,629
06/02/2016,2016,25,586
13/02/2016,2016,26,629
27/02/2016,2016,27,615
02/03/2016,2016,28,580
05/03/2016,2016,29,538
20/04/2016,2016,30,453
19/03/2016,2016,31,501
02/04/2016,2016,32,463
09/04/2016,2016,33,465
16/04/2016,2016,34,494
11/05/2016,2016,35,413
30/04/2016,2016,36,494
08/05/2016,2016,37,459
15/05/2016,2016,38,483
13/08/2016,2017,1,574
20/08/2016,2017,2,532
27/08/2016,2017,3,493
10/09/2016,2017,4,541
18/09/2016,2017,5,736
26/09/2016,2017,6,637
01/10/2016,2017,7,629
16/10/2016,2017,8,668
22/10/2016,2017,9,634
29/10/2016,2017,10,674
06/11/2016,2017,11,631
19/11/2016,2017,12,670
27/11/2016,2017,13,528
03/12/2016,2017,14,487
10/12/2016,2017,15,524
14/12/2016,2017,16,488
17/12/2016,2017,17,458
26/12/2016,2017,18,462
01/01/2017,2017,19,427
03/01/2017,2017,20,387
14/01/2017,2017,21,401
21/01/2017,2017,22,414
31/01/2017,2017,23,633
04/02/2017,2017,24,670
11/02/2017,2017,25,631
25/02/2017,2017,26,634
04/03/2017,2017,27,587
15/05/2017,2017,28,403
18/03/2017,2017,29,557
01/04/2017,2017,30,596
04/04/2017,2017,31,629
08/04/2017,2017,32,587
15/04/2017,2017,33,629
22/04/2017,2017,34,557
01/05/2017,2017,35,514
06/05/2017,2017,36,471
12/05/2017,2017,37,429
21/05/2017,2017,38,372
12/08/2017,2018,1,523
19/08/2017,2018,2,562
26/08/2017,2018,3,535
09/09/2017,2018,4,618
16/09/2017,2018,5,577
23/09/2017,2018,6,622
30/09/2017,2018,7,600
14/10/2017,2018,8,725
21/10/2017,2018,9,534
28/10/2017,2018,10,505
05/11/2017,2018,11,472
19/11/2017,2018,12,522
25/11/2017,2018,13,549
28/11/2017,2018,14,508
02/12/2017,2018,15,515
09/12/2017,2018,16,473
12/12/2017,2018,17,433
16/12/2017,2018,18,392
23/12/2017,2018,19,349
26/12/2017,2018,20,599
30/12/2017,2018,21,510
02/01/2018,2018,22,491
13/01/2018,2018,23,494
20/01/2018,2018,24,455
31/01/2018,2018,25,453
05/02/2018,2018,26,608
10/02/2018,2018,27,556
24/02/2018,2018,28,616
03/03/2018,2018,29,658
11/03/2018,2018,30,624
17/03/2018,2018,31,581
31/03/2018,2018,32,577
07/04/2018,2018,33,534
14/04/2018,2018,34,494
21/04/2018,2018,35,505
30/04/2018,2018,36,469
05/05/2018,2018,37,600
13/05/2018,2018,38,571
11/08/2018,2019,1,617
19/08/2018,2019,2,659
26/08/2018,2019,3,738
02/09/2018,2019,4,903
15/09/2018,2019,5,712
22/09/2018,2019,6,663
29/09/2018,2019,7,628
06/10/2018,2019,8,548
20/10/2018,2019,9,702
27/10/2018,2019,10,739
03/11/2018,2019,11,489
10/11/2018,2019,12,486
24/11/2018,2019,13,459
01/12/2018,2019,14,423
04/12/2018,2019,15,412
10/12/2018,2019,16,490
15/12/2018,2019,17,527
22/12/2018,2019,18,680
26/12/2018,2019,19,621
29/12/2018,2019,20,605
02/01/2019,2019,21,567
12/01/2019,2019,22,706
19/01/2019,2019,23,702
