Date,Season_End_Year,Week,ELO
17/08/2002,2003,1,968.8290831076238
24/08/2002,2003,2,937.1634937936543
27/08/2002,2003,3,924.0730050530167
31/08/2002,2003,4,975.5569368569971
11/09/2002,2003,5,1022.0165529025153
14/09/2002,2003,6,1047.8389141910316
21/09/2002,2003,7,1017.060675174045
30/09/2002,2003,8,987.8440164104252
05/10/2002,2003,9,958.539147052625
19/10/2002,2003,10,968.5456966283039
26/10/2002,2003,11,936.8211231000483
02/11/2002,2003,12,908.506995049165
09/11/2002,2003,13,909.6024459160645
16/11/2002,2003,14,924.9315442270952
23/11/2002,2003,15,906.743049165901
30/11/2002,2003,16,1027.289156618749
08/12/2002,2003,17,997.0006697767229
14/12/2002,2003,18,966.4073766890565
21/12/2002,2003,19,967.7594875038945
26/12/2002,2003,20,937.272975372112
28/12/2002,2003,21,905.9430991998389
19/02/2003,2003,22,969.8079308764737
11/01/2003,2003,23,876.3950452265788
18/01/2003,2003,24,912.4839235666695
29/01/2003,2003,25,882.5398353709353
01/02/2003,2003,26,996.7114887530045
08/02/2003,2003,27,996.6529059699978
23/02/2003,2003,28,933.8784830462027
01/03/2003,2003,29,903.7200950995048
16/03/2003,2003,30,872.1878048487146
22/03/2003,2003,31,840.478041571999
05/04/2003,2003,32,818.264534882636
12/04/2003,2003,33,796.9015941256538
19/04/2003,2003,34,828.5898612064736
21/04/2003,2003,35,797.2766247005635
26/04/2003,2003,36,778.1590218551542
03/05/2003,2003,37,872.3732770432694
11/05/2003,2003,38,911.8929272015872
14/08/2004,2005,1,930.74150845174
22/08/2004,2005,2,971.5453640628375
25/08/2004,2005,3,992.6659239670938
28/08/2004,2005,4,960.6229224260557
11/09/2004,2005,5,930.0171379793404
18/09/2004,2005,6,938.470800743014
25/09/2004,2005,7,907.1936698076262
02/10/2004,2005,8,1026.300583444396
16/10/2004,2005,9,1010.0926255783711
23/10/2004,2005,10,947.6284506540921
30/10/2004,2005,11,919.9335840819062
06/11/2004,2005,12,927.6345491621657
14/11/2004,2005,13,897.3445795569081
20/11/2004,2005,14,956.3236379295947
27/11/2004,2005,15,929.4149687826116
04/12/2004,2005,16,897.7960086090095
11/12/2004,2005,17,866.3438747166066
18/12/2004,2005,18,835.9469211230069
26/12/2004,2005,19,810.0858007214733
28/12/2004,2005,20,850.1475308648102
01/01/2005,2005,21,854.155032033481
03/01/2005,2005,22,885.8829599711634
16/01/2005,2005,23,855.4537332207578
22/01/2005,2005,24,972.6469851240136
01/02/2005,2005,25,978.6570660607026
05/02/2005,2005,26,918.3071922332507
22/02/2005,2005,27,923.1323403388956
15/03/2005,2005,28,948.5459572724387
06/03/2005,2005,29,964.1305706122232
19/03/2005,2005,30,1009.3971931227189
03/04/2005,2005,31,1034.7717391784506
10/04/2005,2005,32,1034.005381537115
26/04/2005,2005,33,1018.9023980933788
20/04/2005,2005,34,1036.3669647362685
23/04/2005,2005,35,997.4803612304938
02/05/2005,2005,36,992.9333506985287
07/05/2005,2005,37,1005.58339625074
15/05/2005,2005,38,1032.9915931488042
13/08/2005,2006,1,1046.4733584603694
20/08/2005,2006,2,1078.1958531007117
24/08/2005,2006,3,1054.24661452795
27/08/2005,2006,4,1026.6680576458918
