Date,Season_End_Year,Week,ELO
14/08/1993,1994,1,458
17/08/1993,1994,2,433
21/08/1993,1994,3,434
25/08/1993,1994,4,461
28/08/1993,1994,5,430
01/09/1993,1994,6,400
11/09/1993,1994,7,397
18/09/1993,1994,8,590
25/09/1993,1994,9,563
02/10/1993,1994,10,657
16/10/1993,1994,11,619
23/10/1993,1994,12,619
01/11/1993,1994,13,661
06/11/1993,1994,14,542
20/11/1993,1994,15,581
24/11/1993,1994,16,574
29/11/1993,1994,17,612
04/12/1993,1994,18,654
08/12/1993,1994,19,612
11/12/1993,1994,20,651
18/12/1993,1994,21,543
27/12/1993,1994,22,549
28/12/1993,1994,23,473
01/01/1994,1994,24,516
03/01/1994,1994,25,497
15/01/1994,1994,26,464
24/01/1994,1994,27,467
28/03/1994,1994,28,423
12/02/1994,1994,29,462
03/05/1994,1994,30,551
26/02/1994,1994,31,562
05/03/1994,1994,32,531
27/04/1994,1994,33,428
19/03/1994,1994,34,494
26/03/1994,1994,35,457
02/04/1994,1994,36,458
04/04/1994,1994,37,483
09/04/1994,1994,38,357
16/04/1994,1994,39,500
23/04/1994,1994,40,467
30/04/1994,1994,41,589
07/05/1994,1994,42,534
20/08/1994,1995,1,559
24/08/1994,1995,2,489
27/08/1994,1995,3,440
31/08/1994,1995,4,398
10/09/1994,1995,5,412
17/09/1994,1995,6,496
25/09/1994,1995,7,428
02/10/1994,1995,8,562
08/10/1994,1995,9,604
15/10/1994,1995,10,489
22/10/1994,1995,11,521
29/10/1994,1995,12,426
01/11/1994,1995,13,380
05/11/1994,1995,14,425
19/11/1994,1995,15,395
26/11/1994,1995,16,352
04/12/1994,1995,17,309
10/12/1994,1995,18,339
17/12/1994,1995,19,474
26/12/1994,1995,20,470
28/12/1994,1995,21,430
31/12/1994,1995,22,596
02/01/1995,1995,23,553
14/01/1995,1995,24,516
15/03/1995,1995,25,461
23/01/1995,1995,26,489
04/02/1995,1995,27,529
13/02/1995,1995,28,529
18/02/1995,1995,29,486
03/05/1995,1995,30,562
25/02/1995,1995,31,457
05/03/1995,1995,32,502
08/03/1995,1995,33,467
11/03/1995,1995,34,465
18/03/1995,1995,35,502
10/05/1995,1995,36,514
08/04/1995,1995,37,548
14/04/1995,1995,38,586
17/04/1995,1995,39,438
30/04/1995,1995,40,574
06/05/1995,1995,41,482
14/05/1995,1995,42,565
19/08/1995,1996,1,524
23/08/1995,1996,2,483
26/08/1995,1996,3,533
30/08/1995,1996,4,518
11/09/1995,1996,5,491
16/09/1995,1996,6,451
23/09/1995,1996,7,484
02/10/1995,1996,8,488
16/10/1995,1996,9,523
21/10/1995,1996,10,520
